Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Ingram,Shared Games with CJ McCollum,Shared Games with Dereon Seabron,Shared Games with Devonte' Graham,Shared Games with Dyson Daniels,Shared Games with Garrett Temple,Shared Games with Herbert Jones,Shared Games with Jaxson Hayes,Shared Games with Jose Alvarado,Shared Games with Kira Lewis Jr.,Shared Games with Larry Nance Jr.,Shared Games with Naji Marshall,Shared Games with Trey Murphy III,Shared Games with Willy Hernangómez,Shared Games with Zion Williamson,Brandon Ingram,CJ McCollum,Dereon Seabron,Devonte' Graham,Dyson Daniels,Garrett Temple,Herbert Jones,Jaxson Hayes,Jose Alvarado,Kira Lewis Jr.,Larry Nance Jr.,Naji Marshall,Trey Murphy III,Willy Hernangómez,Zion Williamson,co_inf with Brandon Ingram,co_inf with CJ McCollum,co_inf with Dereon Seabron,co_inf with Devonte' Graham,co_inf with Dyson Daniels,co_inf with Garrett Temple,co_inf with Herbert Jones,co_inf with Jaxson Hayes,co_inf with Jose Alvarado,co_inf with Kira Lewis Jr.,co_inf with Larry Nance Jr.,co_inf with Naji Marshall,co_inf with Trey Murphy III,co_inf with Willy Hernangómez,co_inf with Zion Williamson,Shared Games with Josh Richardson,Al Horford,Josh Richardson,co_inf with Al Horford,co_inf with Josh Richardson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
32,32,32,2022-12-23,30-231,NOP,@,OKC,W (+3),1,27:17,4.0,8.0,.500,0.0,2.0,.000,2,2.0,1.000,5.0,2.0,7.0,0.0,0.0,0.0,1.0,3.0,10.0,7.9,-3,6.0,4.0,0.6666666666666666,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,6.0,68.0,4.25,7.099999999999998,75.3,4.70625
33,33,33,2022-12-26,30-234,NOP,,IND,W (+20),1,28:40,10.0,18.0,.556,0.0,3.0,.000,0,0.0,,6.0,6.0,12.0,5.0,1.0,1.0,3.0,3.0,20.0,18.4,+4,15.0,10.0,0.6666666666666666,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,18.0,80.0,5.0,18.4,64.7,4.04375
34,34,34,2022-12-28,30-236,NOP,,MIN,W (+1),1,29:13,4.0,12.0,.333,0.0,3.0,.000,4,4.0,1.000,3.0,8.0,11.0,2.0,0.0,1.0,1.0,3.0,12.0,9.6,+2,9.0,4.0,0.4444444444444444,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,9.0,54.0,3.375,7.9999999999999964,74.0,4.625
35,35,35,2022-12-30,30-238,NOP,,PHI,W (+11),1,27:58,4.0,10.0,.400,0.0,1.0,.000,2,2.0,1.000,2.0,7.0,9.0,1.0,1.0,2.0,1.0,4.0,10.0,8.6,-1,9.0,4.0,0.4444444444444444,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,10.0,74.0,4.625,7.799999999999999,97.3,6.08125
36,36,36,2022-12-31,30-239,NOP,@,MEM,L (-15),1,22:26,2.0,5.0,.400,1.0,1.0,1.000,1,2.0,.500,1.0,5.0,6.0,0.0,1.0,3.0,0.0,6.0,6.0,5.8,-11,4.0,1.0,0.25,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,9.0,37.0,2.3125,5.4,46.900000000000006,2.9312500000000004
37,37,37,2023-01-02,30-241,NOP,@,PHI,L (-9),1,28:24,5.0,9.0,.556,2.0,3.0,.667,0,0.0,,1.0,11.0,12.0,1.0,0.0,3.0,2.0,6.0,12.0,10.1,-5,6.0,3.0,0.5,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,17.0,69.0,4.3125,10.099999999999996,76.10000000000001,4.7562500000000005
38,38,38,2023-01-04,30-243,NOP,,HOU,W (+11),1,31:44,6.0,15.0,.400,0.0,2.0,.000,4,5.0,.800,4.0,13.0,17.0,2.0,0.0,1.0,4.0,4.0,16.0,10.7,+4,13.0,6.0,0.4615384615384615,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,12.0,83.0,5.1875,9.099999999999996,98.8,6.175
39,39,39,2023-01-06,30-245,NOP,,BRK,L (-6),1,25:55,5.0,11.0,.455,0.0,0.0,,2,2.0,1.000,4.0,6.0,10.0,0.0,0.0,0.0,3.0,3.0,12.0,6.7,-7,11.0,5.0,0.4545454545454545,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,6.0,63.0,3.9375,5.900000000000002,64.39999999999999,4.0249999999999995
40,40,40,2023-01-07,30-246,NOP,@,DAL,L (-10),1,29:57,10.0,13.0,.769,0.0,2.0,.000,5,6.0,.833,2.0,8.0,10.0,3.0,0.0,0.0,1.0,3.0,25.0,23.2,+1,11.0,10.0,0.9090909090909092,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,18.0,65.0,4.0625,21.2,77.09999999999998,4.818749999999999
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,,0.0,0.0,0.0,0.0,0.0
42,41,41,2023-01-09,30-248,NOP,@,WAS,W (+20),1,28:15,10.0,15.0,.667,0.0,0.0,,7,8.0,.875,4.0,8.0,12.0,1.0,0.0,0.0,3.0,5.0,27.0,21.0,0,15.0,10.0,0.6666666666666666,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,14.0,84.0,5.25,18.2,86.70000000000003,5.418750000000002
43,42,42,2023-01-11,30-250,NOP,@,BOS,L (-11),1,23:23,5.0,10.0,.500,1.0,1.0,1.000,2,2.0,1.000,0.0,4.0,4.0,2.0,0.0,0.0,2.0,2.0,13.0,7.8,-2,9.0,4.0,0.4444444444444444,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,5.0,78.0,4.875,6.9999999999999964,82.49999999999999,5.156249999999999
44,43,43,2023-01-13,30-252,NOP,@,DET,W (+6),1,29:51,12.0,15.0,.800,1.0,3.0,.333,8,10.0,.800,4.0,12.0,16.0,3.0,0.0,1.0,4.0,1.0,33.0,31.3,+11,12.0,11.0,0.9166666666666666,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,24.0,57.0,3.5625,28.1,64.89999999999998,4.056249999999999
45,44,44,2023-01-16,30-255,NOP,@,CLE,L (-10),1,34:59,7.0,9.0,.778,1.0,1.0,1.000,7,9.0,.778,2.0,11.0,13.0,2.0,0.0,1.0,4.0,3.0,22.0,19.3,-7,8.0,6.0,0.75,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,16.0,68.0,4.25,16.499999999999996,66.5,4.15625
46,45,45,2023-01-18,30-257,NOP,,MIA,L (-26),1,25:00,8.0,11.0,.727,0.0,0.0,,2,3.0,.667,4.0,6.0,10.0,0.0,0.0,0.0,4.0,3.0,18.0,12.5,-21,11.0,8.0,0.7272727272727273,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,10.0,53.0,3.3125,11.700000000000005,57.39999999999999,3.5874999999999995
47,46,46,2023-01-20,30-259,NOP,@,ORL,L (-13),1,28:05,9.0,19.0,.474,1.0,1.0,1.000,1,2.0,.500,3.0,7.0,10.0,1.0,0.0,1.0,0.0,5.0,20.0,13.5,-6,18.0,8.0,0.4444444444444444,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,11.0,85.0,5.3125,13.100000000000003,84.49999999999999,5.281249999999999
48,47,47,2023-01-22,30-261,NOP,@,MIA,L (-4),1,24:53,7.0,14.0,.500,0.0,2.0,.000,0,0.0,,3.0,13.0,16.0,1.0,0.0,1.0,2.0,3.0,14.0,11.2,+4,12.0,7.0,0.5833333333333334,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,16.0,51.0,3.1875,11.199999999999996,55.99999999999999,3.4999999999999996
49,48,48,2023-01-24,30-263,NOP,,DEN,L (-1),1,18:02,5.0,9.0,.556,1.0,1.0,1.000,3,5.0,.600,3.0,6.0,9.0,0.0,0.0,1.0,2.0,4.0,14.0,9.9,-2,8.0,4.0,0.5,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,8.0,51.0,3.1875,8.700000000000001,59.1,3.69375
50,49,49,2023-01-25,30-264,NOP,,MIN,L (-9),1,28:41,7.0,9.0,.778,1.0,2.0,.500,0,0.0,,2.0,10.0,12.0,0.0,0.0,1.0,2.0,4.0,15.0,13.0,-13,7.0,6.0,0.8571428571428571,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,17.0,31.0,1.9375,12.999999999999998,42.6,2.6625
51,50,50,2023-01-28,30-267,NOP,,WAS,L (-10),1,8:46,0.0,3.0,.000,0.0,2.0,.000,0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,-4.4,+1,1.0,0.0,0.0,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,-2.0,67.0,4.1875,-4.4,69.80000000000001,4.362500000000001
52,51,51,2023-01-29,30-268,NOP,@,MIL,L (-25),1,22:18,7.0,16.0,.438,0.0,2.0,.000,2,2.0,1.000,0.0,3.0,3.0,1.0,1.0,0.0,2.0,3.0,16.0,7.0,-17,14.0,7.0,0.5,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,1.0,58.0,3.625,6.199999999999999,59.7,3.73125
53,52,52,2023-01-31,30-270,NOP,@,DEN,L (-9),1,18:59,5.0,9.0,.556,0.0,0.0,,0,1.0,.000,2.0,4.0,6.0,2.0,0.0,0.0,1.0,2.0,10.0,7.5,-15,9.0,5.0,0.5555555555555556,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,7.0,83.0,5.1875,7.499999999999998,87.0,5.4375
54,53,53,2023-02-02,30-272,NOP,@,DAL,L (-5),1,21:44,5.0,11.0,.455,0.0,1.0,.000,6,6.0,1.000,9.0,4.0,13.0,2.0,0.0,0.0,1.0,3.0,16.0,17.0,-19,10.0,5.0,0.5,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,13.0,74.0,4.625,14.599999999999998,72.5,4.53125
55,54,54,2023-02-04,30-274,NOP,,LAL,W (+5),1,24:17,9.0,13.0,.692,0.0,1.0,.000,0,0.0,,5.0,9.0,14.0,5.0,0.0,0.0,0.0,1.0,18.0,21.8,-4,12.0,9.0,0.75,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,24.0,66.0,4.125,21.800000000000004,84.9,5.30625
56,55,,2023-02-05,30-275,NOP,,SAC,W (+32),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,,99.0,6.1875,0.0,119.40000000000002,7.462500000000001
57,56,55,2023-02-07,30-277,NOP,,ATL,W (+9),1,25:30,8.0,10.0,.800,0.0,0.0,,0,0.0,,3.0,11.0,14.0,1.0,0.0,1.0,1.0,4.0,16.0,16.4,+5,10.0,8.0,0.8,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,21.0,59.0,3.6875,16.399999999999995,77.2,4.825
58,57,56,2023-02-10,30-280,NOP,,CLE,L (-11),1,23:53,2.0,8.0,.250,0.0,0.0,,3,4.0,.750,5.0,2.0,7.0,1.0,0.0,0.0,0.0,2.0,7.0,5.8,-24,8.0,2.0,0.25,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,3.0,84.0,5.25,4.6000000000000005,84.69999999999999,5.293749999999999
59,58,57,2023-02-13,30-283,NOP,@,OKC,W (+3),1,24:46,5.0,6.0,.833,0.0,1.0,.000,4,5.0,.800,1.0,7.0,8.0,2.0,0.0,0.0,3.0,4.0,14.0,11.0,+16,5.0,5.0,1.0,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,10.0,45.0,2.8125,9.4,57.0,3.5625
60,59,58,2023-02-15,30-285,NOP,@,LAL,L (-18),1,31:06,6.0,9.0,.667,0.0,0.0,,0,0.0,,2.0,9.0,11.0,2.0,1.0,0.0,1.0,3.0,12.0,12.4,-12,9.0,6.0,0.6666666666666666,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,16.0,54.0,3.375,12.4,57.3,3.58125
61,60,59,2023-02-23,30-293,NOP,@,TOR,L (-5),1,29:00,4.0,8.0,.500,0.0,0.0,,4,6.0,.667,2.0,10.0,12.0,2.0,0.0,0.0,2.0,4.0,12.0,9.4,-1,8.0,4.0,0.5,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,10.0,71.0,4.4375,7.799999999999999,72.7,4.54375
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,,0.0,0.0,0.0,0.0,0.0
63,61,60,2023-02-25,30-295,NOP,@,NYK,L (-22),1,32:16,5.0,11.0,.455,0.0,1.0,.000,2,3.0,.667,4.0,6.0,10.0,2.0,0.0,0.0,2.0,3.0,12.0,8.7,-24,10.0,5.0,0.5,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,8.0,52.0,3.25,7.900000000000002,58.80000000000001,3.6750000000000007
64,62,61,2023-02-27,30-297,NOP,,ORL,L (-8),1,23:15,2.0,4.0,.500,0.0,0.0,,4,4.0,1.000,0.0,5.0,5.0,2.0,0.0,1.0,3.0,2.0,8.0,5.8,+3,4.0,2.0,0.5,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,5.0,47.0,2.9375,4.200000000000002,49.7,3.10625
65,63,,2023-03-01,30-299,NOP,@,POR,W (+11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,,102.0,6.375,0.0,96.3,6.01875
