Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Caris LeVert,Shared Games with Cedi Osman,Shared Games with Darius Garland,Shared Games with Dean Wade,Shared Games with Donovan Mitchell,Shared Games with Dylan Windler,Shared Games with Evan Mobley,Shared Games with Isaac Okoro,Shared Games with Isaiah Mobley,Shared Games with Jarrett Allen,Shared Games with Kevin Love,Shared Games with Mamadi Diakite,Shared Games with Raul Neto,Shared Games with Ricky Rubio,Shared Games with Robin Lopez,Caris LeVert,Cedi Osman,Darius Garland,Dean Wade,Donovan Mitchell,Dylan Windler,Evan Mobley,Isaac Okoro,Isaiah Mobley,Jarrett Allen,Kevin Love,Mamadi Diakite,Raul Neto,Ricky Rubio,Robin Lopez,Sam Merrill,co_inf with Caris LeVert,co_inf with Cedi Osman,co_inf with Darius Garland,co_inf with Dean Wade,co_inf with Donovan Mitchell,co_inf with Dylan Windler,co_inf with Evan Mobley,co_inf with Isaac Okoro,co_inf with Isaiah Mobley,co_inf with Jarrett Allen,co_inf with Kevin Love,co_inf with Mamadi Diakite,co_inf with Raul Neto,co_inf with Ricky Rubio,co_inf with Robin Lopez,co_inf with Sam Merrill,Shared Games with Danny Green,Danny Green,Dejounte Murray,co_inf with Danny Green,co_inf with Dejounte Murray,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
31,31,,2022-12-17,25-161,CLE,,DAL,W (+1),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,,59.0,3.6875,0.0,70.80000000000001,4.425000000000001
32,32,,2022-12-19,25-163,CLE,,UTA,W (+23),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,,78.0,4.875,0.0,94.4,5.9
33,33,,2022-12-21,25-165,CLE,,MIL,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,,61.0,3.8125,0.0,93.4,5.8375
34,34,18,2022-12-23,25-167,CLE,,TOR,L (-11),0,14:55,3.0,6.0,.500,0.0,2.0,.000,0,3.0,.000,2.0,2.0,4.0,1.0,0.0,0.0,1.0,2.0,6.0,2.7,-3,4.0,3.0,0.75,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,1.0,54.0,3.375,2.7,75.39999999999999,4.7124999999999995
35,35,19,2022-12-26,25-170,CLE,,BRK,L (-8),1,22:41,2.0,7.0,.286,2.0,4.0,.500,0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,6.0,1.3,-13,3.0,0.0,0.0,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,-1.0,60.0,3.75,1.2999999999999998,92.2,5.7625
36,36,20,2022-12-29,25-173,CLE,@,IND,L (-9),1,21:22,3.0,8.0,.375,1.0,3.0,.333,0,2.0,.000,3.0,3.0,6.0,2.0,0.0,1.0,1.0,0.0,7.0,5.9,-1,5.0,2.0,0.4,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,5.0,87.0,5.4375,5.9,108.2,6.7625
37,37,21,2022-12-31,25-175,CLE,@,CHI,W (+1),1,19:45,1.0,6.0,.167,0.0,3.0,.000,0,0.0,,0.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0,2.0,-0.6,0,3.0,1.0,0.3333333333333333,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,1.0,67.0,4.1875,-0.5999999999999993,79.39999999999999,4.9624999999999995
38,38,22,2023-01-02,25-177,CLE,,CHI,W (+11),1,19:09,2.0,5.0,.400,0.0,2.0,.000,0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,-6,3.0,2.0,0.6666666666666666,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,2.0,67.0,4.1875,3.0,106.29999999999998,6.643749999999999
39,39,23,2023-01-04,25-179,CLE,,PHO,W (+2),0,5:48,1.0,1.0,1.000,0.0,0.0,,0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.6,-7,1.0,1.0,1.0,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,2.0,49.0,3.0625,1.5999999999999994,65.2,4.075
40,40,24,2023-01-06,25-181,CLE,@,DEN,L (-13),0,13:30,2.0,6.0,.333,0.0,1.0,.000,2,2.0,1.000,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,4.7,+6,5.0,2.0,0.4,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,1.0,58.0,3.625,3.9,82.69999999999997,5.168749999999998
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,,0.0,0.0,0.0,0.0,0.0
42,41,25,2023-01-08,25-183,CLE,@,PHO,W (+14),0,15:26,1.0,2.0,.500,0.0,0.0,,0,0.0,,0.0,6.0,6.0,0.0,0.0,1.0,1.0,0.0,2.0,2.5,+10,2.0,1.0,0.5,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,6.0,78.0,4.875,2.5,94.0,5.875
43,42,26,2023-01-10,25-185,CLE,@,UTA,L (-2),0,24:56,5.0,6.0,.833,1.0,2.0,.500,0,0.0,,1.0,2.0,3.0,0.0,3.0,2.0,0.0,5.0,11.0,12.5,+1,4.0,4.0,1.0,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,13.0,59.0,3.6875,12.499999999999996,80.10000000000002,5.006250000000001
44,43,27,2023-01-12,25-187,CLE,@,POR,W (+6),0,13:34,1.0,3.0,.333,0.0,0.0,,4,4.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,3.5,-9,3.0,1.0,0.3333333333333333,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,-1.0,82.0,5.125,1.9000000000000008,106.8,6.675
45,44,28,2023-01-14,25-189,CLE,@,MIN,L (-8),0,7:57,0.0,1.0,.000,0.0,0.0,,0,0.0,,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.4,+5,1.0,0.0,0.0,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,2.0,68.0,4.25,1.3999999999999997,89.39999999999999,5.5874999999999995
46,45,29,2023-01-16,25-191,CLE,,NOP,W (+10),0,19:37,1.0,2.0,.500,0.0,1.0,.000,1,2.0,.500,1.0,3.0,4.0,0.0,0.0,1.0,1.0,2.0,3.0,2.1,+16,1.0,1.0,1.0,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,3.0,73.0,4.5625,1.700000000000001,100.3,6.26875
47,46,30,2023-01-18,25-193,CLE,@,MEM,L (-1),0,16:49,2.0,2.0,1.000,1.0,1.0,1.000,0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,1.0,4.0,5.0,3.4,-3,1.0,1.0,1.0,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,6.0,102.0,6.375,3.4000000000000004,114.90000000000002,7.181250000000001
48,47,31,2023-01-20,25-195,CLE,,GSW,L (-6),0,16:18,2.0,2.0,1.000,0.0,0.0,,1,2.0,.500,0.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,5.0,4.1,+2,2.0,2.0,1.0,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,4.0,67.0,4.1875,3.6999999999999993,91.39999999999998,5.712499999999999
49,48,32,2023-01-21,25-196,CLE,,MIL,W (+12),0,16:51,0.0,2.0,.000,0.0,2.0,.000,0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,+8,0.0,0.0,,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,2.0,87.0,5.4375,0.1999999999999999,108.50000000000004,6.781250000000003
50,49,33,2023-01-24,25-199,CLE,@,NYK,L (-2),0,6:15,0.0,1.0,.000,0.0,0.0,,0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1,-6,1.0,0.0,0.0,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,1.0,73.0,4.5625,-0.0999999999999999,90.3,5.64375
51,50,34,2023-01-26,25-201,CLE,@,HOU,W (+18),0,10:42,2.0,3.0,.667,1.0,1.0,1.000,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,4.3,-3,2.0,1.0,0.5,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,4.0,86.0,5.375,4.3,104.89999999999998,6.556249999999999
52,51,35,2023-01-27,25-202,CLE,@,OKC,L (-12),0,14:58,4.0,7.0,.571,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,8.0,4.8,0,6.0,4.0,0.6666666666666666,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,3.0,86.0,5.375,4.800000000000001,106.8,6.675
53,52,36,2023-01-29,25-204,CLE,,LAC,W (+23),0,12:00,2.0,3.0,.667,1.0,1.0,1.000,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,3.6,-9,2.0,1.0,0.5,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,3.0,116.0,7.25,3.6000000000000005,124.2,7.7625
54,53,,2023-01-31,25-206,CLE,,MIA,L (-3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,,84.0,5.25,0.0,90.7,5.66875
55,54,37,2023-02-02,25-208,CLE,,MEM,W (+15),0,12:57,2.0,4.0,.500,0.0,1.0,.000,0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,2.9,+9,3.0,2.0,0.6666666666666666,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,3.0,102.0,6.375,2.8999999999999995,126.6,7.9125
56,55,38,2023-02-05,25-211,CLE,@,IND,W (+19),0,2:24,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5,0.0,0.0,,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,0.0,109.0,6.8125,0.0,116.9,7.30625
57,56,39,2023-02-06,25-212,CLE,@,WAS,W (+23),0,7:35,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,-0.1,-3,1.0,1.0,1.0,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,0.0,98.0,6.125,-0.1000000000000002,109.90000000000002,6.868750000000001
58,57,40,2023-02-08,25-214,CLE,,DET,W (+28),0,11:59,4.0,4.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,+1,3.0,3.0,1.0,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,7.0,86.0,5.375,7.999999999999998,99.7,6.23125
59,58,41,2023-02-10,25-216,CLE,@,NOP,W (+11),0,2:54,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,-8,0.0,0.0,,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,0.0,104.0,6.5,0.3,118.7,7.41875
60,59,,2023-02-11,25-217,CLE,,CHI,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,,59.0,3.6875,0.0,73.19999999999999,4.574999999999999
61,60,,2023-02-13,25-219,CLE,,SAS,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,,91.0,5.6875,0.0,113.70000000000002,7.106250000000001
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,,0.0,0.0,0.0,0.0,0.0
63,61,42,2023-02-15,25-221,CLE,@,PHI,L (-6),0,4:47,1.0,4.0,.250,0.0,2.0,.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.1,-3,2.0,1.0,0.5,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,-1.0,84.0,5.25,-0.1,112.10000000000002,7.006250000000001
