Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alperen Şengün,Shared Games with Boban Marjanović,Shared Games with Bruno Fernando,Shared Games with Daishen Nix,Shared Games with Darius Days,Shared Games with Garrison Mathews,Shared Games with Jabari Smith Jr.,Shared Games with Jae'Sean Tate,Shared Games with Jalen Green,Shared Games with Josh Christopher,Shared Games with Kenyon Martin Jr.,Shared Games with Kevin Porter Jr.,Shared Games with Tari Eason,Shared Games with Trevor Hudgins,Shared Games with TyTy Washington Jr.,Shared Games with Usman Garuba,Shared Games with Willie Cauley-Stein,Alperen Şengün,Boban Marjanović,Bruno Fernando,Daishen Nix,Darius Days,Garrison Mathews,Jabari Smith Jr.,Jae'Sean Tate,Jalen Green,Josh Christopher,Kenyon Martin Jr.,Kevin Porter Jr.,Tari Eason,Trevor Hudgins,TyTy Washington Jr.,Usman Garuba,Willie Cauley-Stein,co_inf with Alperen Şengün,co_inf with Boban Marjanović,co_inf with Bruno Fernando,co_inf with Daishen Nix,co_inf with Darius Days,co_inf with Garrison Mathews,co_inf with Jabari Smith Jr.,co_inf with Jae'Sean Tate,co_inf with Jalen Green,co_inf with Josh Christopher,co_inf with Kenyon Martin Jr.,co_inf with Kevin Porter Jr.,co_inf with Tari Eason,co_inf with Trevor Hudgins,co_inf with TyTy Washington Jr.,co_inf with Usman Garuba,co_inf with Willie Cauley-Stein
36,36,30,2022-12-31,34-006,HOU,,NYK,L (-20),1,27.166666666666668,5.0,10.0,.500,2.0,4.0,.500,0,1,.000,0,0,0,3,0,1,4,1,12,5.0,-13,6.0,3.0,0.5,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
37,37,31,2023-01-02,34-008,HOU,,DAL,L (-5),1,33.3,7.0,12.0,.583,4.0,6.0,.667,1,1,1.000,0,4,4,3,0,0,2,3,19,13.5,-6,6.0,3.0,0.5,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
38,38,32,2023-01-04,34-010,HOU,@,NOP,L (-11),1,28.916666666666668,5.0,12.0,.417,2.0,6.0,.333,1,1,1.000,0,0,0,0,0,0,0,1,13,6.2,-17,6.0,3.0,0.5,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
39,39,33,2023-01-05,34-011,HOU,,UTA,L (-17),1,30.766666666666666,3.0,6.0,.500,3.0,6.0,.500,3,3,1.000,0,3,3,2,0,0,0,0,12,11.3,-1,0.0,0.0,,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
40,40,34,2023-01-08,34-014,HOU,,MIN,L (-8),1,29.133333333333333,4.0,7.0,.571,1.0,3.0,.333,2,2,1.000,1,0,1,4,0,1,0,0,11,11.9,+1,4.0,3.0,0.75,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
41,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
42,41,35,2023-01-11,34-017,HOU,@,SAC,L (-20),1,27.983333333333334,6.0,12.0,.500,3.0,7.0,.429,4,5,.800,0,1,1,2,0,0,0,0,19,14.3,-12,5.0,3.0,0.6,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
43,42,36,2023-01-13,34-019,HOU,@,SAC,L (-25),1,27.366666666666667,3.0,7.0,.429,1.0,4.0,.250,2,5,.400,0,1,1,6,0,0,2,2,9,5.8,-3,3.0,2.0,0.6666666666666666,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
44,43,37,2023-01-15,34-021,HOU,@,LAC,L (-21),1,29.566666666666666,8.0,16.0,.500,1.0,5.0,.200,7,8,.875,1,2,3,2,0,1,1,1,24,17.6,-8,11.0,7.0,0.6363636363636364,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
45,44,38,2023-01-16,34-022,HOU,@,LAL,L (-8),1,31.966666666666665,5.0,11.0,.455,0.0,2.0,.000,9,11,.818,0,2,2,8,0,0,0,1,19,18.3,-9,9.0,5.0,0.5555555555555556,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
46,45,39,2023-01-18,34-024,HOU,,CHO,L (-5),1,30.983333333333334,4.0,10.0,.400,1.0,5.0,.200,2,3,.667,0,2,2,2,1,1,4,3,11,3.7,-21,5.0,3.0,0.6,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
47,46,40,2023-01-21,34-027,HOU,@,MIN,L (-9),1,33.516666666666666,7.0,13.0,.538,2.0,6.0,.333,0,0,,0,4,4,3,1,0,0,2,16,13.2,-1,7.0,5.0,0.7142857142857143,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
48,47,41,2023-01-23,34-029,HOU,,MIN,W (+5),1,30.45,5.0,13.0,.385,2.0,5.0,.400,2,2,1.000,1,3,4,4,1,1,2,1,14,10.6,-3,8.0,3.0,0.375,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
49,48,42,2023-01-25,34-031,HOU,,WAS,L (-5),1,31.2,4.0,14.0,.286,1.0,6.0,.167,0,0,,1,5,6,1,1,0,3,1,9,1.3,-21,8.0,3.0,0.375,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
50,49,,2023-01-26,34-032,HOU,,CLE,L (-18),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
51,50,43,2023-01-28,34-034,HOU,@,DET,W (+3),1,33.55,8.0,17.0,.471,1.0,8.0,.125,7,7,1.000,0,0,0,7,2,0,4,0,24,18.2,0,9.0,7.0,0.7777777777777778,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
52,51,44,2023-02-01,34-038,HOU,,OKC,W (+6),1,34.53333333333333,8.0,17.0,.471,3.0,6.0,.500,6,9,.667,0,3,3,3,2,0,3,0,25,17.1,+1,11.0,5.0,0.4545454545454545,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
53,52,45,2023-02-03,34-040,HOU,,TOR,L (-6),1,33.9,10.0,15.0,.667,2.0,5.0,.400,6,7,.857,0,3,3,5,1,0,1,4,28,23.9,+11,10.0,8.0,0.8,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
54,53,,2023-02-04,34-041,HOU,@,OKC,L (-32),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
55,54,46,2023-02-06,34-043,HOU,,SAC,L (-20),1,31.233333333333334,5.0,7.0,.714,3.0,5.0,.600,3,4,.750,0,0,0,8,2,1,3,1,16,17.6,-15,2.0,2.0,1.0,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
56,55,47,2023-02-08,34-045,HOU,,SAC,L (-2),1,31.45,3.0,7.0,.429,1.0,3.0,.333,2,2,1.000,0,1,1,4,1,1,5,2,9,4.3,-2,4.0,2.0,0.5,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
57,56,,2023-02-10,34-047,LAC,,MIL,L (-13),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
58,57,48,2023-02-14,34-051,LAC,,GSW,W (+10),0,21.583333333333332,2.0,7.0,.286,1.0,3.0,.333,2,3,.667,0,3,3,3,0,2,0,0,7,6.9,+2,4.0,1.0,0.25,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
59,58,49,2023-02-16,34-053,LAC,@,PHO,W (+9),0,26.333333333333332,3.0,8.0,.375,2.0,5.0,.400,5,5,1.000,0,1,1,7,2,0,0,1,13,15.4,+5,3.0,1.0,0.3333333333333333,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
60,59,50,2023-02-24,34-061,LAC,,SAC,L (-1),0,19.716666666666665,2.0,3.0,.667,2.0,3.0,.667,2,2,1.000,0,1,1,2,0,0,1,4,8,5.8,-16,0.0,0.0,,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
61,60,51,2023-02-26,34-063,LAC,@,DEN,L (-10),0,25.15,0.0,4.0,.000,0.0,1.0,.000,0,0,,1,2,3,2,1,1,1,1,0,0.2,-4,3.0,0.0,0.0,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
62,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
63,61,52,2023-02-28,34-065,LAC,,MIN,L (-7),0,7.433333333333334,0.0,2.0,.000,0.0,0.0,,0,0,,0,1,1,0,0,0,0,0,0,-1.1,-13,2.0,0.0,0.0,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
64,62,53,2023-03-02,34-067,LAC,@,GSW,L (-24),1,33.6,6.0,16.0,.375,2.0,10.0,.200,2,3,.667,0,0,0,0,1,1,2,3,16,5.3,-11,6.0,4.0,0.6666666666666666,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
65,63,54,2023-03-03,34-068,LAC,@,SAC,L (-1),1,30.066666666666666,8.0,13.0,.615,3.0,7.0,.429,2,3,.667,0,3,3,3,1,0,0,2,21,17.9,+16,6.0,5.0,0.8333333333333334,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
66,64,55,2023-03-05,34-070,LAC,,MEM,W (+6),0,33.0,6.0,7.0,.857,3.0,4.0,.750,2,2,1.000,0,2,2,2,0,0,1,2,17,14.7,+20,3.0,3.0,1.0,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
67,65,56,2023-03-08,34-073,LAC,,TOR,W (+8),0,27.35,3.0,7.0,.429,2.0,6.0,.333,1,2,.500,0,3,3,2,1,1,2,1,9,6.5,-1,1.0,1.0,1.0,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
68,66,57,2023-03-11,34-076,LAC,,NYK,W (+11),0,25.816666666666666,4.0,9.0,.444,2.0,5.0,.400,0,1,.000,0,2,2,3,0,0,0,3,10,6.4,+8,4.0,2.0,0.5,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
69,67,58,2023-03-15,34-080,LAC,,GSW,W (+8),0,27.95,5.0,11.0,.455,4.0,8.0,.500,2,2,1.000,0,0,0,1,2,0,1,1,16,11.6,+6,3.0,1.0,0.3333333333333333,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
70,68,59,2023-03-18,34-083,LAC,,ORL,L (-5),1,31.183333333333334,3.0,8.0,.375,1.0,3.0,.333,0,0,,1,1,2,4,0,1,1,3,7,4.9,-5,5.0,2.0,0.4,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
71,69,60,2023-03-19,34-084,LAC,@,POR,W (+15),0,28.4,7.0,9.0,.778,4.0,5.0,.800,2,2,1.000,1,1,2,1,1,1,0,3,20,18.7,+12,4.0,3.0,0.75,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
72,70,61,2023-03-21,34-086,LAC,,OKC,L (-1),0,28.083333333333332,2.0,7.0,.286,1.0,5.0,.200,0,0,,0,0,0,2,0,0,1,1,5,0.9,-14,2.0,1.0,0.5,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
73,71,62,2023-03-23,34-088,LAC,,OKC,W (+22),1,22.2,3.0,9.0,.333,2.0,5.0,.400,0,1,.000,1,2,3,2,0,0,2,2,8,2.4,-10,4.0,1.0,0.25,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
74,72,63,2023-03-25,34-090,LAC,,NOP,L (-21),1,24.15,5.0,5.0,1.000,3.0,3.0,1.000,2,2,1.000,0,3,3,1,1,0,2,0,15,14.1,-9,2.0,2.0,1.0,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
