Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Len,Shared Games with Chima Moneke,Shared Games with Chimezie Metu,Shared Games with Davion Mitchell,Shared Games with Domantas Sabonis,Shared Games with Harrison Barnes,Shared Games with Keegan Murray,Shared Games with Keon Ellis,Shared Games with Kevin Huerter,Shared Games with KZ Okpala,Shared Games with Malik Monk,Shared Games with Matthew Dellavedova,Shared Games with Neemias Queta,Shared Games with PJ Dozier,Shared Games with Richaun Holmes,Shared Games with Terence Davis,Shared Games with Trey Lyles,Alex Len,Chima Moneke,Chimezie Metu,Davion Mitchell,Deonte Burton,Domantas Sabonis,Harrison Barnes,Keegan Murray,Keon Ellis,Kevin Huerter,KZ Okpala,Malik Monk,Matthew Dellavedova,Neemias Queta,PJ Dozier,Richaun Holmes,Terence Davis,Trey Lyles,co_inf with Alex Len,co_inf with Chima Moneke,co_inf with Chimezie Metu,co_inf with Davion Mitchell,co_inf with Deonte Burton,co_inf with Domantas Sabonis,co_inf with Harrison Barnes,co_inf with Keegan Murray,co_inf with Keon Ellis,co_inf with Kevin Huerter,co_inf with KZ Okpala,co_inf with Malik Monk,co_inf with Matthew Dellavedova,co_inf with Neemias Queta,co_inf with PJ Dozier,co_inf with Richaun Holmes,co_inf with Terence Davis,co_inf with Trey Lyles,Shared Games with Kessler Edwards,JD Davison,Kessler Edwards,co_inf with Kessler Edwards,co_inf with JD Davison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,,0.0,0.0,0.0,0.0,0.0
63,61,,2023-02-28,25-070,SAC,@,OKC,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,,85.0,4.722222222222222,0.0,92.2,5.122222222222223
64,62,56,2023-03-03,25-073,SAC,,LAC,W (+1),1,34:00,12.0,22.0,.545,1.0,5.0,.200,8,8.0,1.000,3.0,4.0,7.0,7.0,1.0,0.0,2.0,3.0,33.0,28.4,-13,17.0,11.0,0.6470588235294118,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,16.0,64.0,3.555555555555556,25.200000000000003,69.79999999999998,3.877777777777777
65,63,57,2023-03-04,25-074,SAC,,MIN,L (-4),1,36:39,10.0,22.0,.455,0.0,2.0,.000,5,7.0,.714,0.0,2.0,2.0,7.0,1.0,0.0,3.0,3.0,25.0,15.1,+3,20.0,10.0,0.5,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,3.0,71.0,3.9444444444444446,13.1,88.4,4.911111111111111
66,64,,2023-03-06,25-076,SAC,,NOP,W (+15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,,98.0,5.444444444444445,0.0,113.8,6.322222222222222
67,65,58,2023-03-09,25-079,SAC,,NYK,W (+5),1,30:46,9.0,16.0,.563,1.0,4.0,.250,4,7.0,.571,0.0,3.0,3.0,7.0,4.0,0.0,3.0,4.0,23.0,19.4,+7,12.0,8.0,0.6666666666666666,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,11.0,66.0,3.6666666666666665,17.799999999999997,76.49999999999999,4.249999999999999
68,66,59,2023-03-11,25-081,SAC,@,PHO,W (+9),1,33:34,8.0,22.0,.364,2.0,6.0,.333,0,2.0,.000,0.0,4.0,4.0,6.0,2.0,0.0,1.0,3.0,18.0,10.2,+2,16.0,6.0,0.375,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,5.0,45.0,2.5,10.2,68.1,3.783333333333333
69,67,60,2023-03-13,25-083,SAC,,MIL,L (-9),1,36:34,13.0,23.0,.565,5.0,12.0,.417,4,6.0,.667,2.0,6.0,8.0,3.0,2.0,1.0,3.0,1.0,35.0,27.9,+4,11.0,8.0,0.7272727272727273,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,17.0,79.0,4.388888888888889,26.30000000000001,77.5,4.305555555555555
70,68,61,2023-03-15,25-085,SAC,@,CHI,W (+3),1,32:57,12.0,17.0,.706,4.0,6.0,.667,4,5.0,.800,0.0,3.0,3.0,1.0,2.0,0.0,5.0,3.0,32.0,21.9,+5,11.0,8.0,0.7272727272727273,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,11.0,58.0,3.2222222222222223,20.3,58.09999999999998,3.2277777777777765
71,69,62,2023-03-16,25-086,SAC,@,BRK,W (+5),1,35:03,5.0,16.0,.313,2.0,8.0,.250,6,10.0,.600,1.0,5.0,6.0,5.0,0.0,0.0,0.0,0.0,18.0,12.9,+2,8.0,3.0,0.375,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,3.0,52.0,2.888888888888889,10.5,51.89999999999999,2.883333333333333
72,70,63,2023-03-18,25-088,SAC,@,WAS,W (+14),1,26:21,6.0,12.0,.500,0.0,2.0,.000,0,3.0,.000,1.0,1.0,2.0,7.0,1.0,1.0,2.0,2.0,12.0,9.6,-11,10.0,6.0,0.6,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,6.0,99.0,5.5,9.599999999999998,105.3,5.85
73,71,64,2023-03-20,25-090,SAC,@,UTA,L (-8),1,35:37,14.0,21.0,.667,6.0,9.0,.667,3,4.0,.750,0.0,4.0,4.0,7.0,1.0,0.0,1.0,4.0,37.0,32.0,-3,12.0,8.0,0.6666666666666666,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,23.0,52.0,2.888888888888889,30.8,60.1,3.338888888888889
74,72,65,2023-03-21,25-091,SAC,,BOS,L (-23),1,28:34,6.0,11.0,.545,2.0,5.0,.400,4,5.0,.800,0.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,18.0,12.9,-34,6.0,4.0,0.6666666666666666,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,5.0,58.0,3.2222222222222223,11.299999999999995,64.1,3.561111111111111
75,73,66,2023-03-24,25-094,SAC,,PHO,W (+8),1,20:45,7.0,15.0,.467,1.0,6.0,.167,4,4.0,1.000,1.0,0.0,1.0,2.0,0.0,1.0,2.0,3.0,19.0,10.9,+3,9.0,6.0,0.6666666666666666,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,2.0,84.0,4.666666666666667,9.299999999999995,102.3,5.683333333333334
76,74,,2023-03-25,25-095,SAC,,UTA,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,,79.0,4.388888888888889,0.0,98.8,5.488888888888889
77,75,67,2023-03-27,25-097,SAC,,MIN,L (-4),1,35:09,10.0,20.0,.500,1.0,6.0,.167,8,10.0,.800,0.0,4.0,4.0,6.0,0.0,1.0,1.0,1.0,29.0,22.9,-1,14.0,9.0,0.6428571428571429,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,9.0,48.0,2.6666666666666665,19.70000000000001,55.4,3.0777777777777775
78,76,68,2023-03-29,25-099,SAC,@,POR,W (+40),1,27:24,7.0,14.0,.500,2.0,7.0,.286,2,2.0,1.000,0.0,3.0,3.0,6.0,2.0,0.0,2.0,1.0,18.0,15.7,+28,7.0,5.0,0.7142857142857143,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,11.0,84.0,4.666666666666667,14.900000000000002,88.10000000000001,4.894444444444445
79,77,69,2023-03-31,25-101,SAC,@,POR,W (+24),1,27:08,8.0,11.0,.727,1.0,3.0,.333,3,4.0,.750,1.0,7.0,8.0,11.0,2.0,0.0,2.0,3.0,20.0,24.4,,8.0,7.0,0.875,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,24.0,92.0,5.111111111111111,23.200000000000003,99.0,5.5
80,78,70,2023-04-02,25-103,SAC,,SAS,L (-8),1,37:49,10.0,23.0,.435,0.0,8.0,.000,8,8.0,1.000,0.0,4.0,4.0,4.0,0.0,0.0,1.0,2.0,28.0,18.1,-3,15.0,10.0,0.6666666666666666,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,4.0,61.0,3.388888888888889,14.900000000000002,81.6,4.533333333333333
81,79,71,2023-04-04,25-105,SAC,@,NOP,W (+18),1,29:39,10.0,23.0,.435,2.0,6.0,.333,1,2.0,.500,2.0,3.0,5.0,9.0,1.0,0.0,3.0,0.0,23.0,17.1,+18,17.0,8.0,0.4705882352941176,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,10.0,86.0,4.777777777777778,16.699999999999996,89.59999999999998,4.977777777777777
82,80,72,2023-04-05,25-106,SAC,@,DAL,L (-4),1,32:29,10.0,26.0,.385,1.0,6.0,.167,7,7.0,1.000,2.0,3.0,5.0,8.0,1.0,1.0,1.0,2.0,28.0,21.6,+4,20.0,9.0,0.45,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,9.0,73.0,4.055555555555555,18.8,72.79999999999997,4.0444444444444425
83,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,,0.0,0.0,0.0,0.0,0.0
84,81,,2023-04-07,25-108,SAC,,GSW,L (-22),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,,42.0,2.333333333333333,0.0,57.80000000000001,3.2111111111111117
85,82,73,2023-04-09,25-110,SAC,@,DEN,L (-14),1,17:34,6.0,10.0,.600,1.0,3.0,.333,0,0.0,,1.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,13.0,10.5,+17,7.0,5.0,0.7142857142857143,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,7.0,51.0,2.833333333333333,10.5,59.19999999999999,3.2888888888888883
