Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Gill,Shared Games with Bradley Beal,Shared Games with Corey Kispert,Shared Games with Daniel Gafford,Shared Games with Delon Wright,Shared Games with Deni Avdija,Shared Games with Devon Dotson,Shared Games with Isaiah Todd,Shared Games with Jay Huff,Shared Games with Johnny Davis,Shared Games with Jordan Goodwin,Shared Games with Kristaps Porziņģis,Shared Games with Monte Morris,Shared Games with Quenton Jackson,Shared Games with Rui Hachimura,Shared Games with Taj Gibson,Shared Games with Vernon Carey Jr.,Shared Games with Will Barton,Anthony Gill,Bradley Beal,Corey Kispert,Daniel Gafford,Delon Wright,Deni Avdija,Devon Dotson,Isaiah Todd,Jay Huff,Johnny Davis,Jordan Goodwin,Jordan Schakel,Kristaps Porziņģis,Monte Morris,Quenton Jackson,Rui Hachimura,Taj Gibson,Vernon Carey Jr.,Will Barton,Xavier Cooks,co_inf with Anthony Gill,co_inf with Bradley Beal,co_inf with Corey Kispert,co_inf with Daniel Gafford,co_inf with Delon Wright,co_inf with Deni Avdija,co_inf with Devon Dotson,co_inf with Isaiah Todd,co_inf with Jay Huff,co_inf with Johnny Davis,co_inf with Jordan Goodwin,co_inf with Jordan Schakel,co_inf with Kristaps Porziņģis,co_inf with Monte Morris,co_inf with Quenton Jackson,co_inf with Rui Hachimura,co_inf with Taj Gibson,co_inf with Vernon Carey Jr.,co_inf with Will Barton,co_inf with Xavier Cooks,A.J. Green,A.J. Lawson,Aaron Gordon,Aaron Holiday,Aaron Nesmith,Aaron Wiggins,Admiral Schofield,AJ Griffin,Al Horford,Alec Burks,Aleksej Pokusevski,Alex Caruso,Alex Len,Alize Johnson,Alondes Williams,Alperen Şengün,Amir Coffey,Andre Drummond,Andre Iguodala,Andrew Nembhard,Andrew Wiggins,Anfernee Simons,Marcus Smart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
Rk,G,Date,Age,Tm,Opp,GS,0.0,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,,0.0,0.0,0.0,0.0,0.0,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,,
21,20,2022-11-28,27-127,WAS,MIN,1,30.916666666666668,9.0,16.0,.563,4.0,7.0,.571,1,2.0,.500,1.0,7.0,8.0,9.0,0.0,0.0,0.0,4.0,23.0,22.5,+28,9.0,5.0,0.5555555555555556,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,22.0,78.0,4.333333333333333,22.1,100.1,5.561111111111111,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,W (+15),W (+15)
22,21,2022-11-30,27-129,WAS,BRK,1,39.75,10.0,25.0,.400,2.0,8.0,.250,3,4.0,.750,1.0,3.0,4.0,3.0,0.0,1.0,1.0,4.0,25.0,12.9,0,17.0,8.0,0.4705882352941176,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,3.0,48.0,2.6666666666666665,11.7,56.3,3.1277777777777778,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,L (-6),L (-6)
23,22,2022-12-02,27-131,WAS,CHO,1,32.9,6.0,14.0,.429,2.0,5.0,.400,0,0.0,,0.0,4.0,4.0,3.0,0.0,1.0,1.0,2.0,14.0,8.8,-5,9.0,4.0,0.4444444444444444,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,7.0,65.0,3.611111111111111,8.799999999999995,74.8,4.155555555555555,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,L (-1),L (-1)
24,23,2022-12-04,27-133,WAS,LAL,1,32.233333333333334,10.0,21.0,.476,1.0,7.0,.143,5,6.0,.833,3.0,4.0,7.0,4.0,2.0,1.0,6.0,6.0,26.0,15.3,-10,14.0,9.0,0.6428571428571429,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,7.0,69.0,3.8333333333333335,13.300000000000004,78.30000000000001,4.3500000000000005,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,L (-11),L (-11)
25,24,2022-12-07,27-136,WAS,CHI,1,37.91666666666666,8.0,18.0,.444,2.0,5.0,.400,3,4.0,.750,0.0,5.0,5.0,1.0,2.0,0.0,3.0,1.0,21.0,12.0,-12,13.0,6.0,0.4615384615384615,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,4.0,59.0,3.2777777777777777,10.8,76.19999999999999,4.2333333333333325,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,L (-4),L (-4)
26,25,2022-12-09,27-138,WAS,IND,1,35.61666666666667,9.0,20.0,.450,4.0,9.0,.444,5,6.0,.833,2.0,5.0,7.0,7.0,0.0,0.0,3.0,2.0,27.0,20.2,-13,11.0,5.0,0.4545454545454545,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,12.0,55.0,3.055555555555556,18.2,69.19999999999999,3.844444444444444,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,L (-10),L (-10)
27,26,2022-12-10,27-139,WAS,LAC,1,38.21666666666667,14.0,27.0,.519,7.0,11.0,.636,0,0.0,,2.0,10.0,12.0,3.0,1.0,0.0,6.0,2.0,35.0,22.4,-5,16.0,7.0,0.4375,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,18.0,43.0,2.388888888888889,22.4,52.39999999999999,2.9111111111111105,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,L (-7),L (-7)
28,27,2022-12-12,27-141,WAS,BRK,1,39.016666666666666,8.0,21.0,.381,4.0,10.0,.400,0,4.0,.000,2.0,5.0,7.0,3.0,0.0,1.0,4.0,2.0,20.0,7.8,-3,11.0,4.0,0.3636363636363636,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,2.0,64.0,3.555555555555556,7.799999999999995,74.0,4.111111111111111,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,L (-12),L (-12)
29,28,2022-12-14,27-143,WAS,DEN,1,35.78333333333333,9.0,16.0,.563,4.0,8.0,.500,2,6.0,.333,0.0,2.0,2.0,4.0,0.0,0.0,3.0,4.0,24.0,13.6,-24,8.0,5.0,0.625,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,5.0,74.0,4.111111111111111,12.800000000000006,86.60000000000001,4.811111111111112,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,L (-13),L (-13)
30,29,2022-12-17,27-146,WAS,LAC,1,39.0,8.0,18.0,.444,1.0,6.0,.167,0,0.0,,0.0,6.0,6.0,2.0,1.0,1.0,3.0,4.0,17.0,7.9,-9,12.0,7.0,0.5833333333333334,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,6.0,50.0,2.7777777777777777,7.899999999999999,53.89999999999999,2.994444444444444,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,L (-9),L (-9)
31,30,2022-12-18,27-147,WAS,LAL,1,39.88333333333333,9.0,18.0,.500,3.0,9.0,.333,1,2.0,.500,2.0,14.0,16.0,2.0,1.0,1.0,3.0,3.0,22.0,17.1,-4,9.0,6.0,0.6666666666666666,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,19.0,52.0,2.888888888888889,16.700000000000003,68.2,3.788888888888889,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,L (-2),L (-2)
32,31,2022-12-20,27-149,WAS,PHO,1,36.8,10.0,19.0,.526,5.0,10.0,.500,4,6.0,.667,0.0,6.0,6.0,6.0,2.0,0.0,2.0,0.0,29.0,24.9,+7,9.0,5.0,0.5555555555555556,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,16.0,47.0,2.611111111111111,23.300000000000004,62.6,3.477777777777778,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,W (+3),W (+3)
33,32,2022-12-22,27-151,WAS,UTA,1,33.81666666666667,8.0,18.0,.444,2.0,5.0,.400,3,4.0,.750,1.0,4.0,5.0,2.0,1.0,0.0,2.0,1.0,21.0,13.1,-21,13.0,6.0,0.4615384615384615,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,5.0,60.0,3.333333333333333,11.899999999999997,69.30000000000001,3.850000000000001,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,L (-8),L (-8)
34,33,2022-12-23,27-152,WAS,SAC,1,37.4,14.0,23.0,.609,2.0,8.0,.250,2,3.0,.667,1.0,8.0,9.0,5.0,2.0,0.0,1.0,1.0,32.0,28.3,+11,15.0,12.0,0.8,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,21.0,66.0,3.6666666666666665,27.500000000000007,74.50000000000001,4.138888888888889,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,W (+14),W (+14)
35,34,2022-12-27,27-156,WAS,PHI,1,37.63333333333333,4.0,13.0,.308,2.0,9.0,.222,4,5.0,.800,0.0,8.0,8.0,1.0,0.0,0.0,4.0,1.0,14.0,4.8,+11,4.0,2.0,0.5,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,1.0,56.0,3.111111111111111,3.2,74.8,4.155555555555555,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,W (+5),W (+5)
36,35,2022-12-28,27-157,WAS,PHO,1,35.666666666666664,8.0,17.0,.471,2.0,4.0,.500,4,4.0,1.000,0.0,5.0,5.0,7.0,1.0,0.0,1.0,2.0,22.0,18.9,+34,13.0,6.0,0.4615384615384615,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,13.0,78.0,4.333333333333333,17.3,90.59999999999998,5.033333333333332,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,W (+25),W (+25)
37,36,2022-12-30,27-159,WAS,ORL,1,31.2,9.0,16.0,.563,4.0,8.0,.500,1,2.0,.500,0.0,5.0,5.0,6.0,0.0,1.0,8.0,1.0,23.0,13.0,+14,8.0,5.0,0.625,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,9.0,84.0,4.666666666666667,12.6,79.1,4.394444444444444,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,W (+19),W (+19)
38,37,2023-01-01,27-161,WAS,MIL,1,33.38333333333333,5.0,16.0,.313,0.0,2.0,.000,0,1.0,.000,1.0,12.0,13.0,11.0,0.0,0.0,5.0,3.0,10.0,6.2,+17,14.0,5.0,0.3571428571428571,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,12.0,77.0,4.277777777777778,6.199999999999996,93.1,5.172222222222222,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,W (+23),W (+23)
39,38,2023-01-03,27-163,WAS,MIL,1,34.3,10.0,28.0,.357,0.0,6.0,.000,0,0.0,,1.0,3.0,4.0,2.0,0.0,2.0,2.0,1.0,20.0,6.4,-16,22.0,10.0,0.4545454545454545,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,-2.0,71.0,3.9444444444444446,6.399999999999997,80.00000000000001,4.4444444444444455,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,L (-10),L (-10)
40,39,2023-01-06,27-166,WAS,OKC,1,37.333333333333336,7.0,14.0,.500,2.0,5.0,.400,7,8.0,.875,1.0,4.0,5.0,7.0,1.0,0.0,6.0,3.0,23.0,16.2,-15,9.0,5.0,0.5555555555555556,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,8.0,42.0,2.333333333333333,13.400000000000006,55.19999999999999,3.066666666666666,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,L (-17),L (-17)
Rk,G,Date,Age,Tm,Opp,GS,0.0,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,,0.0,0.0,0.0,0.0,0.0,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,,
