Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Holiday,Shared Games with AJ Griffin,Shared Games with Bogdan Bogdanović,Shared Games with Clint Capela,Shared Games with De'Andre Hunter,Shared Games with Dejounte Murray,Shared Games with Derrick Favors,Shared Games with Donovan Williams,Shared Games with Jalen Johnson,Shared Games with Jarrett Culver,Shared Games with John Collins,Shared Games with Justin Holiday,Shared Games with Onyeka Okongwu,Shared Games with Trae Young,Shared Games with Trent Forrest,Shared Games with Tyrese Martin,Shared Games with Vit Krejci,Aaron Holiday,AJ Griffin,Bogdan Bogdanović,Clint Capela,De'Andre Hunter,Dejounte Murray,Derrick Favors,Donovan Williams,Jalen Johnson,Jarrett Culver,John Collins,Justin Holiday,Onyeka Okongwu,Trae Young,Trent Forrest,Tyrese Martin,Vit Krejci,co_inf with Aaron Holiday,co_inf with AJ Griffin,co_inf with Bogdan Bogdanović,co_inf with Clint Capela,co_inf with De'Andre Hunter,co_inf with Dejounte Murray,co_inf with Derrick Favors,co_inf with Donovan Williams,co_inf with Jalen Johnson,co_inf with Jarrett Culver,co_inf with John Collins,co_inf with Justin Holiday,co_inf with Onyeka Okongwu,co_inf with Trae Young,co_inf with Trent Forrest,co_inf with Tyrese Martin,co_inf with Vit Krejci
35,35,,2022-12-28,29-268,ATL,,BRK,L (-1),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
36,36,17,2022-12-30,29-270,ATL,,LAL,L (-9),0,3.783333333333333,0.0,0.0,,0.0,0.0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1,0.0,0.0,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
37,37,,2023-01-02,29-273,ATL,@,GSW,L (-2),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
38,38,18,2023-01-04,29-275,ATL,@,SAC,W (+3),0,2.4,0.0,0.0,,0.0,0.0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-2,0.0,0.0,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
39,39,19,2023-01-06,29-277,ATL,@,LAL,L (-16),0,2.15,0.0,0.0,,0.0,0.0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,0,0.0,0.0,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
40,40,20,2023-01-08,29-279,ATL,@,LAC,W (+4),0,11.233333333333333,1.0,2.0,.500,0.0,0.0,,2,4,.500,2,3,5,1,0,0,0,2,4,4.4,+4,2.0,1.0,0.5,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
41,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
42,41,21,2023-01-11,29-282,ATL,,MIL,L (-9),0,14.416666666666666,5.0,7.0,.714,3.0,4.0,.750,0,0,,0,2,2,2,1,0,1,2,13,11.3,+13,3.0,2.0,0.6666666666666666,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
43,42,,2023-01-13,29-284,ATL,@,IND,W (+2),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
44,43,22,2023-01-14,29-285,ATL,@,TOR,W (+11),0,3.0,0.0,1.0,.000,0.0,0.0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+1,1.0,0.0,0.0,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
45,44,,2023-01-16,29-287,ATL,,MIA,W (+8),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
46,45,,2023-01-18,29-289,ATL,@,DAL,W (+8),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
47,46,23,2023-01-20,29-291,ATL,,NYK,W (+15),0,1.3166666666666667,0.0,0.0,,0.0,0.0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+1,0.0,0.0,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
48,47,,2023-01-21,29-292,ATL,,CHO,L (-4),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
49,48,24,2023-01-23,29-294,ATL,@,CHI,L (-11),0,4.5,1.0,2.0,.500,0.0,1.0,.000,0,0,,0,1,1,0,1,1,1,0,2,2.0,-1,1.0,1.0,1.0,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
50,49,,2023-01-25,29-296,ATL,@,OKC,W (+5),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
51,50,,2023-01-28,29-299,ATL,,LAC,L (-7),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
52,51,,2023-01-30,29-301,ATL,@,POR,L (-4),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
53,52,25,2023-02-01,29-303,ATL,@,PHO,W (+32),0,5.683333333333334,1.0,2.0,.500,0.0,0.0,,0,0,,0,0,0,1,0,0,0,2,2,0.9,-9,2.0,1.0,0.5,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
54,53,,2023-02-03,29-305,ATL,@,UTA,W (+7),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
55,54,26,2023-02-04,29-306,ATL,@,DEN,L (-20),0,2.6166666666666667,0.0,0.0,,0.0,0.0,,0,0,,0,0,0,0,1,0,1,0,0,0.0,-1,0.0,0.0,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
56,55,,2023-02-07,29-309,ATL,@,NOP,L (-9),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
57,56,,2023-02-09,29-311,ATL,,PHO,W (+9),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
58,57,,2023-02-10,29-312,HOU,@,MIA,L (-2),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
59,58,27,2023-02-13,29-315,HOU,@,PHI,L (-19),0,6.083333333333333,0.0,2.0,.000,0.0,1.0,.000,0,0,,0,1,1,1,0,1,0,0,0,0.3,-1,1.0,0.0,0.0,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
60,59,28,2023-02-15,29-317,HOU,@,OKC,L (-37),0,13.433333333333334,1.0,4.0,.250,0.0,2.0,.000,2,2,1.000,1,2,3,5,0,1,0,1,4,6.7,-3,2.0,1.0,0.5,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
61,60,29,2023-02-24,29-326,HOU,@,GSW,L (-15),0,4.133333333333334,0.0,1.0,.000,0.0,0.0,,2,2,1.000,0,0,0,0,1,0,0,0,2,2.3,-10,1.0,0.0,0.0,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
62,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
63,61,,2023-02-26,29-328,HOU,@,POR,L (-17),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
64,62,30,2023-02-28,29-330,HOU,,DEN,L (-21),0,5.116666666666666,0.0,1.0,.000,0.0,1.0,.000,0,0,,0,2,2,1,0,0,0,0,0,0.6,+2,0.0,0.0,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
65,63,31,2023-03-01,29-331,HOU,,MEM,L (-14),0,3.6166666666666667,0.0,1.0,.000,0.0,1.0,.000,0,0,,0,2,2,0,0,0,0,0,0,-0.1,+5,0.0,0.0,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
66,64,,2023-03-04,29-334,HOU,@,SAS,W (+12),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
67,65,,2023-03-05,29-335,HOU,,SAS,W (+32),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
68,66,32,2023-03-07,29-337,HOU,,BRK,L (-22),0,3.2,1.0,2.0,.500,1.0,2.0,.500,0,0,,0,1,1,0,0,0,0,0,3,2.3,0,0.0,0.0,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
69,67,,2023-03-09,29-339,HOU,@,IND,L (-9),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
70,68,,2023-03-11,29-341,HOU,,CHI,L (-8),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
71,69,33,2023-03-13,29-343,HOU,,BOS,W (+2),0,0.0,0.0,0.0,,0.0,0.0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1,0.0,0.0,,25,26,14,14,21,24,0,2,25,5,23,13,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.3611111111111111,0.2592592592592592,0.2153846153846154,0.3134328358208955,0.3243243243243243,,1.0,0.3571428571428571,0.5,0.323943661971831,0.2826086956521739,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345
