Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Lawson,Shared Games with Anthony Edwards,Shared Games with Austin Rivers,Shared Games with Bryn Forbes,Shared Games with D'Angelo Russell,Shared Games with Jaylen Nowell,Shared Games with Jordan McLaughlin,Shared Games with Josh Minott,Shared Games with Karl-Anthony Towns,Shared Games with Kyle Anderson,Shared Games with Luka Garza,Shared Games with Nathan Knight,Shared Games with Naz Reid,Shared Games with Rudy Gobert,Shared Games with Taurean Prince,Shared Games with Wendell Moore Jr.,A.J. Lawson,Anthony Edwards,Austin Rivers,Bryn Forbes,D'Angelo Russell,Jaylen Nowell,Jordan McLaughlin,Josh Minott,Karl-Anthony Towns,Kyle Anderson,Luka Garza,Nathan Knight,Naz Reid,Rudy Gobert,Taurean Prince,Wendell Moore Jr.,co_inf with A.J. Lawson,co_inf with Anthony Edwards,co_inf with Austin Rivers,co_inf with Bryn Forbes,co_inf with D'Angelo Russell,co_inf with Jaylen Nowell,co_inf with Jordan McLaughlin,co_inf with Josh Minott,co_inf with Karl-Anthony Towns,co_inf with Kyle Anderson,co_inf with Luka Garza,co_inf with Nathan Knight,co_inf with Naz Reid,co_inf with Rudy Gobert,co_inf with Taurean Prince,co_inf with Wendell Moore Jr.,Shared Games with Matt Ryan,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Matt Ryan,Mike Conley,Nickeil Alexander-Walker,Vit Krejci,co_inf with Matt Ryan,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Vit Krejci,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
28,28,25,2022-12-14,22-076,MIN,@,LAC,L (-11),1,35:46,3.0,11.0,.273,0.0,3.0,.000,0,0.0,,0.0,4.0,4.0,2.0,3.0,0.0,0.0,4.0,6.0,3.5,-11,8.0,3.0,0.375,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,4.0,55.0,2.894736842105264,3.5000000000000013,67.7,3.5631578947368423
29,29,26,2022-12-16,22-078,MIN,@,OKC,W (+2),1,29:54,5.0,11.0,.455,2.0,6.0,.333,2,4.0,.500,2.0,3.0,5.0,1.0,2.0,1.0,3.0,5.0,14.0,8.2,+9,5.0,3.0,0.6,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,5.0,75.0,3.947368421052632,7.399999999999997,95.9,5.0473684210526315
30,30,27,2022-12-18,22-080,MIN,,CHI,W (+24),1,33:59,6.0,8.0,.750,2.0,3.0,.667,1,1.0,1.000,0.0,8.0,8.0,5.0,0.0,3.0,3.0,2.0,15.0,16.0,+31,5.0,4.0,0.8,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,19.0,103.0,5.421052631578948,15.599999999999998,117.90000000000002,6.205263157894738
31,31,28,2022-12-19,22-081,MIN,,DAL,W (+10),1,37:05,5.0,11.0,.455,1.0,4.0,.250,2,2.0,1.000,3.0,2.0,5.0,2.0,0.0,0.0,1.0,3.0,13.0,9.2,+13,7.0,4.0,0.5714285714285714,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,6.0,61.0,3.210526315789474,8.400000000000002,73.89999999999999,3.8894736842105258
32,32,29,2022-12-21,22-083,MIN,,DAL,L (-5),1,32:24,4.0,8.0,.500,2.0,4.0,.500,0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,1.0,4.0,10.0,5.7,+1,4.0,2.0,0.5,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,6.0,62.0,3.263157894736842,5.700000000000001,77.5,4.078947368421052
33,33,30,2022-12-23,22-085,MIN,@,BOS,L (-12),1,38:37,7.0,15.0,.467,1.0,3.0,.333,2,3.0,.667,1.0,5.0,6.0,4.0,2.0,3.0,2.0,3.0,17.0,14.8,-4,12.0,6.0,0.5,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,12.0,48.0,2.526315789473684,14.0,52.7,2.7736842105263158
34,34,31,2022-12-26,22-088,MIN,@,MIA,L (-3),1,29:49,6.0,9.0,.667,2.0,3.0,.667,2,2.0,1.000,2.0,2.0,4.0,3.0,1.0,1.0,2.0,2.0,16.0,15.1,0,6.0,4.0,0.6666666666666666,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,12.0,64.0,3.3684210526315788,14.299999999999995,67.89999999999999,3.573684210526315
35,35,32,2022-12-28,22-090,MIN,@,NOP,L (-1),1,34:10,8.0,12.0,.667,1.0,2.0,.500,2,3.0,.667,3.0,4.0,7.0,3.0,2.0,1.0,0.0,5.0,19.0,19.5,+2,10.0,7.0,0.7,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,17.0,46.0,2.421052631578948,18.7,56.1,2.9526315789473685
36,36,33,2022-12-30,22-092,MIN,@,MIL,L (-9),1,27:07,2.0,5.0,.400,0.0,0.0,,0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,2.0,4.0,4.0,0.0,-4,5.0,2.0,0.4,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,1.0,62.0,3.263157894736842,-4.440892098500626e-16,84.80000000000001,4.463157894736843
37,37,34,2022-12-31,22-093,MIN,,DET,L (-12),1,33:00,3.0,11.0,.273,0.0,3.0,.000,2,2.0,1.000,3.0,3.0,6.0,3.0,0.0,0.0,0.0,4.0,8.0,5.0,+2,8.0,3.0,0.375,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,4.0,47.0,2.473684210526316,4.199999999999999,49.400000000000006,2.6
38,38,35,2023-01-02,22-095,MIN,,DEN,W (+13),1,24:36,9.0,10.0,.900,2.0,2.0,1.000,1,2.0,.500,2.0,2.0,4.0,4.0,1.0,1.0,2.0,4.0,21.0,20.1,+13,8.0,7.0,0.875,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,17.0,75.0,3.947368421052632,19.7,92.5,4.868421052631579
39,39,36,2023-01-04,22-097,MIN,,POR,W (+7),1,27:37,2.0,7.0,.286,0.0,1.0,.000,4,5.0,.800,2.0,0.0,2.0,1.0,0.0,2.0,2.0,5.0,8.0,3.0,-9,6.0,2.0,0.3333333333333333,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,-1.0,61.0,3.210526315789474,1.4000000000000012,73.1,3.8473684210526313
40,40,37,2023-01-06,22-099,MIN,,LAC,W (+13),1,33:15,6.0,10.0,.600,3.0,6.0,.500,3,4.0,.750,1.0,3.0,4.0,3.0,0.0,1.0,1.0,1.0,18.0,16.0,+18,4.0,3.0,0.75,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,11.0,67.0,3.526315789473684,14.799999999999992,77.5,4.078947368421052
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,,0.0,0.0,0.0,0.0,0.0
42,41,38,2023-01-08,22-101,MIN,@,HOU,W (+8),1,31:16,5.0,9.0,.556,1.0,4.0,.250,1,3.0,.333,2.0,7.0,9.0,3.0,2.0,0.0,2.0,2.0,12.0,11.7,+5,5.0,4.0,0.8,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,12.0,56.0,2.9473684210526314,11.3,60.7,3.194736842105263
43,42,39,2023-01-11,22-104,MIN,@,DET,L (-17),1,29:29,4.0,7.0,.571,1.0,2.0,.500,2,2.0,1.000,2.0,1.0,3.0,4.0,0.0,0.0,3.0,2.0,11.0,8.4,-17,5.0,3.0,0.6,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,6.0,46.0,2.421052631578948,7.600000000000001,60.4,3.1789473684210527
44,43,40,2023-01-13,22-106,MIN,,PHO,W (+5),1,36:06,5.0,10.0,.500,2.0,2.0,1.000,2,2.0,1.000,0.0,5.0,5.0,6.0,1.0,1.0,0.0,2.0,14.0,15.6,+13,8.0,3.0,0.375,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,15.0,72.0,3.789473684210526,14.799999999999995,83.99999999999999,4.421052631578947
45,44,41,2023-01-14,22-107,MIN,,CLE,W (+8),1,27:31,4.0,7.0,.571,1.0,3.0,.333,0,0.0,,0.0,0.0,0.0,2.0,4.0,1.0,2.0,5.0,9.0,7.8,+5,4.0,3.0,0.75,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,7.0,69.0,3.631578947368421,7.800000000000001,86.99999999999999,4.578947368421052
46,45,42,2023-01-16,22-109,MIN,,UTA,L (-1),1,20:40,2.0,8.0,.250,1.0,3.0,.333,0,0.0,,3.0,2.0,5.0,2.0,2.0,0.0,1.0,5.0,5.0,3.3,+11,5.0,1.0,0.2,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,5.0,69.0,3.631578947368421,3.3000000000000007,82.30000000000001,4.331578947368421
47,46,43,2023-01-18,22-111,MIN,@,DEN,L (-4),1,33:55,7.0,10.0,.700,2.0,3.0,.667,2,2.0,1.000,1.0,2.0,3.0,2.0,0.0,3.0,3.0,3.0,18.0,14.4,-1,7.0,5.0,0.7142857142857143,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,11.0,74.0,3.8947368421052633,13.6,85.8,4.515789473684211
48,47,44,2023-01-19,22-112,MIN,,TOR,W (+2),1,37:17,7.0,14.0,.500,4.0,7.0,.571,0,0.0,,3.0,4.0,7.0,1.0,1.0,1.0,0.0,4.0,18.0,15.1,+5,7.0,3.0,0.4285714285714285,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,14.0,77.0,4.052631578947368,15.099999999999996,84.7,4.457894736842105
49,48,45,2023-01-21,22-114,MIN,,HOU,W (+9),1,31:22,2.0,5.0,.400,0.0,2.0,.000,1,3.0,.333,0.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,5.0,2.7,0,3.0,2.0,0.6666666666666666,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,1.0,79.0,4.157894736842105,2.299999999999999,86.09999999999998,4.53157894736842
50,49,46,2023-01-23,22-116,MIN,@,HOU,L (-5),1,34:37,4.0,11.0,.364,1.0,6.0,.167,1,2.0,.500,1.0,3.0,4.0,1.0,0.0,0.0,2.0,6.0,10.0,1.4,-10,5.0,3.0,0.6,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,0.0,54.0,2.8421052631578947,0.9999999999999992,59.100000000000016,3.1105263157894747
51,50,47,2023-01-25,22-118,MIN,@,NOP,W (+9),1,34:01,4.0,7.0,.571,2.0,4.0,.500,0,0.0,,0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,10.0,6.7,+4,3.0,2.0,0.6666666666666666,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,6.0,59.0,3.1052631578947367,6.700000000000001,74.2,3.905263157894737
52,51,48,2023-01-27,22-120,MIN,,MEM,W (+11),1,30:39,4.0,10.0,.400,0.0,4.0,.000,0,0.0,,1.0,5.0,6.0,3.0,0.0,0.0,1.0,1.0,8.0,5.5,0,6.0,4.0,0.6666666666666666,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,6.0,88.0,4.631578947368421,5.499999999999998,90.2,4.747368421052632
53,52,49,2023-01-28,22-121,MIN,,SAC,W (+7),1,35:19,6.0,12.0,.500,3.0,7.0,.429,0,0.0,,2.0,6.0,8.0,2.0,0.0,0.0,4.0,5.0,15.0,7.6,+14,5.0,3.0,0.6,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,9.0,66.0,3.473684210526316,7.599999999999998,68.19999999999999,3.589473684210526
54,53,50,2023-01-30,22-123,MIN,,SAC,L (-7),1,33:21,4.0,8.0,.500,1.0,4.0,.250,2,3.0,.667,1.0,2.0,3.0,4.0,0.0,0.0,0.0,3.0,11.0,9.5,-1,4.0,3.0,0.75,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,7.0,74.0,3.8947368421052633,8.7,87.89999999999998,4.626315789473683
55,54,51,2023-02-01,22-125,MIN,,GSW,W (+5),1,38:21,3.0,8.0,.375,0.0,2.0,.000,3,4.0,.750,2.0,5.0,7.0,3.0,1.0,2.0,0.0,5.0,9.0,9.6,+7,6.0,3.0,0.5,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,10.0,61.0,3.210526315789474,8.399999999999999,71.39999999999999,3.757894736842105
56,55,52,2023-02-03,22-127,MIN,,ORL,L (-7),1,22:52,3.0,6.0,.500,1.0,1.0,1.000,1,1.0,1.000,1.0,2.0,3.0,1.0,0.0,2.0,2.0,1.0,8.0,6.0,0,5.0,2.0,0.4,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,5.0,47.0,2.473684210526316,5.599999999999998,57.1,3.005263157894737
57,56,53,2023-02-05,22-129,MIN,,DEN,W (+30),1,31:45,5.0,10.0,.500,0.0,0.0,,4,4.0,1.000,0.0,4.0,4.0,6.0,1.0,0.0,0.0,4.0,14.0,13.8,+10,10.0,5.0,0.5,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,11.0,49.0,2.5789473684210527,12.2,63.00000000000001,3.315789473684211
