Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Chris Boucher,Shared Games with Christian Koloko,Shared Games with Dalano Banton,Shared Games with Fred VanVleet,Shared Games with Gary Trent Jr.,Shared Games with Jeff Dowtin,Shared Games with Joe Wieskamp,Shared Games with Juancho Hernangómez,Shared Games with Justin Champagnie,Shared Games with Khem Birch,Shared Games with Malachi Flynn,Shared Games with OG Anunoby,Shared Games with Otto Porter Jr.,Shared Games with Pascal Siakam,Shared Games with Precious Achiuwa,Shared Games with Ron Harper Jr.,Shared Games with Thaddeus Young,Chris Boucher,Christian Koloko,Dalano Banton,Fred VanVleet,Gary Trent Jr.,Jeff Dowtin,Joe Wieskamp,Juancho Hernangómez,Justin Champagnie,Khem Birch,Malachi Flynn,OG Anunoby,Otto Porter Jr.,Pascal Siakam,Precious Achiuwa,Ron Harper Jr.,Thaddeus Young,co_inf with Chris Boucher,co_inf with Christian Koloko,co_inf with Dalano Banton,co_inf with Fred VanVleet,co_inf with Gary Trent Jr.,co_inf with Jeff Dowtin,co_inf with Joe Wieskamp,co_inf with Juancho Hernangómez,co_inf with Justin Champagnie,co_inf with Khem Birch,co_inf with Malachi Flynn,co_inf with OG Anunoby,co_inf with Otto Porter Jr.,co_inf with Pascal Siakam,co_inf with Precious Achiuwa,co_inf with Ron Harper Jr.,co_inf with Thaddeus Young,Shared Games with Jakob Poeltl,Jakob Poeltl,Luke Kornet,co_inf with Jakob Poeltl,co_inf with Luke Kornet,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
29,29,26,2022-12-16,21-137,TOR,,BRK,L (-3),1,40:08,8.0,18.0,.444,0.0,2.0,.000,10,11.0,.909,0.0,3.0,3.0,3.0,1.0,0.0,1.0,4.0,26.0,17.6,-7,16.0,8.0,0.5,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,3.0,58.0,3.2222222222222223,13.599999999999996,68.7,3.816666666666667
30,30,27,2022-12-18,21-139,TOR,,GSW,L (-16),1,31:35,7.0,16.0,.438,1.0,3.0,.333,2,2.0,1.000,2.0,3.0,5.0,4.0,1.0,0.0,3.0,1.0,17.0,11.3,-12,13.0,6.0,0.4615384615384615,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,6.0,59.0,3.2777777777777777,10.499999999999998,67.6,3.755555555555555
31,31,28,2022-12-19,21-140,TOR,@,PHI,L (-3),1,29:46,3.0,9.0,.333,0.0,3.0,.000,0,0.0,,1.0,2.0,3.0,3.0,0.0,0.0,2.0,3.0,6.0,1.1,-2,6.0,3.0,0.5,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,1.0,64.0,3.555555555555556,1.0999999999999996,71.80000000000001,3.9888888888888894
32,32,29,2022-12-21,21-142,TOR,@,NYK,W (+7),1,26:48,1.0,10.0,.100,0.0,2.0,.000,0,0.0,,4.0,2.0,6.0,3.0,0.0,0.0,0.0,1.0,2.0,0.5,-16,8.0,1.0,0.125,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,1.0,67.0,3.7222222222222223,0.4999999999999985,88.30000000000001,4.905555555555556
33,33,30,2022-12-23,21-144,TOR,@,CLE,W (+11),1,40:15,10.0,16.0,.625,0.0,1.0,.000,5,5.0,1.000,4.0,6.0,10.0,4.0,2.0,0.0,2.0,4.0,25.0,23.6,+12,15.0,10.0,0.6666666666666666,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,18.0,89.0,4.944444444444445,21.6,88.1,4.894444444444444
34,34,31,2022-12-27,21-148,TOR,,LAC,L (-11),1,36:33,8.0,15.0,.533,0.0,2.0,.000,1,1.0,1.000,3.0,9.0,12.0,8.0,1.0,1.0,2.0,1.0,17.0,19.4,-6,13.0,8.0,0.6153846153846154,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,21.0,53.0,2.9444444444444446,19.0,71.9,3.994444444444445
35,35,32,2022-12-29,21-150,TOR,,MEM,L (-13),1,34:59,7.0,18.0,.389,0.0,1.0,.000,0,1.0,.000,7.0,3.0,10.0,4.0,3.0,1.0,2.0,3.0,14.0,12.9,-6,17.0,7.0,0.4117647058823529,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,11.0,66.0,3.6666666666666665,12.900000000000002,76.50000000000001,4.250000000000001
36,36,33,2022-12-30,21-151,TOR,,PHO,W (+9),1,38:13,4.0,12.0,.333,1.0,4.0,.250,2,2.0,1.000,3.0,2.0,5.0,3.0,3.0,1.0,1.0,0.0,11.0,11.7,+14,8.0,3.0,0.375,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,8.0,76.0,4.222222222222222,10.9,94.09999999999998,5.227777777777777
37,37,34,2023-01-02,21-154,TOR,@,IND,L (-8),1,39:41,8.0,14.0,.571,1.0,2.0,.500,6,8.0,.750,2.0,6.0,8.0,8.0,0.0,2.0,3.0,4.0,23.0,21.2,+16,12.0,7.0,0.5833333333333334,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,16.0,63.0,3.5,18.8,71.4,3.966666666666667
38,38,35,2023-01-04,21-156,TOR,,MIL,L (-3),1,34:57,9.0,19.0,.474,0.0,4.0,.000,1,3.0,.333,1.0,3.0,4.0,3.0,0.0,1.0,1.0,5.0,19.0,9.9,-1,15.0,9.0,0.6,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,4.0,47.0,2.611111111111111,9.499999999999996,55.29999999999998,3.072222222222221
39,39,36,2023-01-06,21-158,TOR,,NYK,L (-4),1,35:35,2.0,10.0,.200,0.0,0.0,,3,4.0,.750,2.0,4.0,6.0,5.0,1.0,1.0,1.0,3.0,7.0,6.0,-8,10.0,2.0,0.2,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,5.0,86.0,4.777777777777778,4.799999999999998,91.1,5.061111111111111
40,40,37,2023-01-08,21-160,TOR,,POR,W (+12),1,29:05,7.0,12.0,.583,1.0,3.0,.333,7,8.0,.875,3.0,6.0,9.0,4.0,3.0,2.0,1.0,3.0,22.0,24.9,+9,9.0,6.0,0.6666666666666666,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,19.0,55.0,3.055555555555556,22.1,67.7,3.761111111111111
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,,0.0,0.0,0.0,0.0,0.0
42,41,38,2023-01-10,21-162,TOR,,CHO,W (+12),1,30:36,2.0,5.0,.400,0.0,1.0,.000,3,4.0,.750,2.0,3.0,5.0,7.0,1.0,0.0,0.0,0.0,7.0,12.1,+3,4.0,2.0,0.5,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,11.0,92.0,5.111111111111111,10.9,108.2,6.011111111111111
43,42,39,2023-01-12,21-164,TOR,,CHO,W (+10),1,34:17,8.0,14.0,.571,0.0,0.0,,5,6.0,.833,2.0,5.0,7.0,9.0,0.0,2.0,0.0,4.0,21.0,23.0,+15,14.0,8.0,0.5714285714285714,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,19.0,80.0,4.444444444444445,21.0,98.5,5.472222222222222
44,43,40,2023-01-14,21-166,TOR,,ATL,L (-11),1,36:38,9.0,16.0,.563,0.0,1.0,.000,9,10.0,.900,3.0,9.0,12.0,2.0,3.0,1.0,3.0,1.0,27.0,25.5,-10,15.0,9.0,0.6,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,16.0,51.0,2.833333333333333,21.90000000000001,50.2,2.788888888888889
45,44,41,2023-01-16,21-168,TOR,@,NYK,W (+2),1,44:49,8.0,16.0,.500,1.0,2.0,.500,9,13.0,.692,6.0,1.0,7.0,4.0,1.0,2.0,3.0,3.0,26.0,21.9,+8,14.0,7.0,0.5,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,8.0,82.0,4.555555555555555,18.3,93.1,5.172222222222222
46,45,42,2023-01-17,21-169,TOR,@,MIL,L (-8),1,36:43,6.0,15.0,.400,0.0,3.0,.000,2,5.0,.400,6.0,7.0,13.0,5.0,3.0,1.0,3.0,1.0,14.0,14.8,-7,12.0,6.0,0.5,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,13.0,72.0,4.0,14.0,89.1,4.949999999999999
47,46,43,2023-01-19,21-171,TOR,@,MIN,L (-2),1,38:58,11.0,15.0,.733,1.0,1.0,1.000,6,7.0,.857,2.0,6.0,8.0,5.0,2.0,0.0,2.0,4.0,29.0,27.6,+3,14.0,10.0,0.7142857142857143,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,20.0,60.0,3.333333333333333,25.199999999999992,71.60000000000001,3.9777777777777783
48,47,44,2023-01-21,21-173,TOR,,BOS,L (-2),1,42:17,4.0,9.0,.444,2.0,2.0,1.000,0,0.0,,0.0,3.0,3.0,5.0,0.0,3.0,2.0,1.0,10.0,9.4,+1,7.0,2.0,0.2857142857142857,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,10.0,87.0,4.833333333333333,9.4,88.7,4.927777777777778
49,48,45,2023-01-22,21-174,TOR,,NYK,W (+9),1,36:41,7.0,15.0,.467,1.0,4.0,.250,4,5.0,.800,3.0,4.0,7.0,6.0,1.0,2.0,0.0,2.0,19.0,20.0,+11,11.0,6.0,0.5454545454545454,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,15.0,72.0,4.0,18.399999999999995,88.10000000000001,4.894444444444445
50,49,46,2023-01-25,21-177,TOR,@,SAC,W (+18),1,38:11,3.0,8.0,.375,0.0,2.0,.000,1,2.0,.500,2.0,4.0,6.0,10.0,2.0,0.0,1.0,4.0,7.0,11.2,+22,6.0,3.0,0.5,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,14.0,81.0,4.5,10.799999999999995,94.6,5.2555555555555555
51,50,47,2023-01-27,21-179,TOR,@,GSW,L (-12),1,36:33,9.0,15.0,.600,2.0,3.0,.667,4,5.0,.800,0.0,6.0,6.0,5.0,0.0,2.0,2.0,4.0,24.0,19.8,-2,12.0,7.0,0.5833333333333334,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,15.0,67.0,3.7222222222222223,18.200000000000003,75.89999999999999,4.216666666666666
52,51,48,2023-01-28,21-180,TOR,@,POR,W (+18),1,37:44,7.0,12.0,.583,0.0,1.0,.000,4,4.0,1.000,4.0,6.0,10.0,7.0,0.0,0.0,0.0,1.0,18.0,21.5,+26,11.0,7.0,0.6363636363636364,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,19.0,77.0,4.277777777777778,19.9,86.20000000000002,4.78888888888889
53,52,49,2023-01-30,21-182,TOR,@,PHO,L (-8),1,35:43,6.0,14.0,.429,0.0,4.0,.000,4,4.0,1.000,4.0,3.0,7.0,5.0,2.0,1.0,4.0,2.0,16.0,13.7,-8,10.0,6.0,0.6,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,9.0,80.0,4.444444444444445,12.099999999999998,79.4,4.411111111111111
54,53,50,2023-02-01,21-184,TOR,@,UTA,L (-3),1,41:21,7.0,23.0,.304,2.0,6.0,.333,2,2.0,1.000,9.0,5.0,14.0,3.0,1.0,0.0,1.0,4.0,18.0,13.0,-2,17.0,5.0,0.2941176470588235,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,10.0,85.0,4.722222222222222,12.200000000000005,104.5,5.805555555555555
55,54,51,2023-02-03,21-186,TOR,@,HOU,W (+6),1,37:12,4.0,11.0,.364,3.0,7.0,.429,2,2.0,1.000,4.0,2.0,6.0,4.0,0.0,1.0,1.0,3.0,13.0,11.6,+2,4.0,1.0,0.25,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,10.0,73.0,4.055555555555555,10.8,88.7,4.927777777777778
56,55,52,2023-02-05,21-188,TOR,@,MEM,W (+3),1,35:07,7.0,15.0,.467,2.0,6.0,.333,0,0.0,,2.0,5.0,7.0,2.0,2.0,2.0,4.0,3.0,16.0,10.8,+7,9.0,5.0,0.5555555555555556,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,10.0,69.0,3.8333333333333335,10.799999999999995,75.29999999999998,4.183333333333333
57,56,53,2023-02-08,21-191,TOR,,SAS,W (+14),1,38:40,4.0,10.0,.400,1.0,4.0,.250,1,2.0,.500,1.0,8.0,9.0,4.0,1.0,0.0,2.0,2.0,10.0,8.3,-1,6.0,3.0,0.5,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,10.0,71.0,3.9444444444444446,7.899999999999999,77.79999999999998,4.322222222222221
58,57,54,2023-02-10,21-193,TOR,,UTA,L (-6),1,39:19,5.0,14.0,.357,0.0,3.0,.000,2,2.0,1.000,3.0,4.0,7.0,9.0,0.0,0.0,1.0,3.0,12.0,11.6,-2,11.0,5.0,0.4545454545454545,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,11.0,70.0,3.888888888888889,10.8,77.0,4.277777777777778
59,58,55,2023-02-12,21-195,TOR,,DET,W (+1),1,37:20,5.0,6.0,.833,3.0,4.0,.750,7,10.0,.700,0.0,4.0,4.0,2.0,1.0,0.0,4.0,5.0,20.0,14.2,+5,2.0,2.0,1.0,71,53,30,65,63,21,9,40,3,17,48,62,8,68,54,8,52,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,54.0,0.9342105263157896,0.913793103448276,0.967741935483871,0.9420289855072465,0.9545454545454546,0.84,1.0,0.9523809523809524,0.6,0.85,0.9056603773584906,0.9253731343283582,1.0,0.9577464788732394,0.9818181818181818,0.8888888888888888,0.9629629629629628,24,72.0,69.0,0.3333333333333333,0.0,18,7.0,72.0,4.0,11.4,96.2,5.344444444444445
