Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Chris Boucher,Shared Games with Christian Koloko,Shared Games with Dalano Banton,Shared Games with Gary Trent Jr.,Shared Games with Jeff Dowtin,Shared Games with Joe Wieskamp,Shared Games with Juancho Hernangómez,Shared Games with Justin Champagnie,Shared Games with Khem Birch,Shared Games with Malachi Flynn,Shared Games with OG Anunoby,Shared Games with Otto Porter Jr.,Shared Games with Pascal Siakam,Shared Games with Precious Achiuwa,Shared Games with Ron Harper Jr.,Shared Games with Scottie Barnes,Shared Games with Thaddeus Young,Chris Boucher,Christian Koloko,Dalano Banton,Gary Trent Jr.,Jeff Dowtin,Joe Wieskamp,Juancho Hernangómez,Justin Champagnie,Khem Birch,Malachi Flynn,OG Anunoby,Otto Porter Jr.,Pascal Siakam,Precious Achiuwa,Ron Harper Jr.,Scottie Barnes,Thaddeus Young,co_inf with Chris Boucher,co_inf with Christian Koloko,co_inf with Dalano Banton,co_inf with Gary Trent Jr.,co_inf with Jeff Dowtin,co_inf with Joe Wieskamp,co_inf with Juancho Hernangómez,co_inf with Justin Champagnie,co_inf with Khem Birch,co_inf with Malachi Flynn,co_inf with OG Anunoby,co_inf with Otto Porter Jr.,co_inf with Pascal Siakam,co_inf with Precious Achiuwa,co_inf with Ron Harper Jr.,co_inf with Scottie Barnes,co_inf with Thaddeus Young,Shared Games with Jakob Poeltl,Jakob Poeltl,Luke Kornet,co_inf with Jakob Poeltl,co_inf with Luke Kornet,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
29,29,23,2022-12-16,28-294,TOR,,BRK,L (-3),1,43:09,14.0,24.0,.583,4.0,9.0,.444,7,8.0,.875,0.0,5.0,5.0,4.0,1.0,1.0,2.0,4.0,39.0,29.8,-1,15.0,10.0,0.6666666666666666,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,16.0,45.0,2.5,27.000000000000004,55.29999999999999,3.0722222222222215
30,30,24,2022-12-18,28-296,TOR,,GSW,L (-16),1,34:40,7.0,18.0,.389,4.0,10.0,.400,4,4.0,1.000,0.0,4.0,4.0,8.0,1.0,0.0,2.0,4.0,22.0,16.4,-27,8.0,3.0,0.375,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,11.0,54.0,3.0,14.799999999999995,63.3,3.5166666666666666
31,31,25,2022-12-19,28-297,TOR,@,PHI,L (-3),1,41:03,3.0,15.0,.200,2.0,11.0,.182,1,1.0,1.000,1.0,5.0,6.0,3.0,0.0,1.0,2.0,2.0,9.0,1.9,+6,4.0,1.0,0.25,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,1.0,64.0,3.555555555555556,1.4999999999999971,71.4,3.966666666666667
32,32,26,2022-12-21,28-299,TOR,@,NYK,W (+7),1,40:14,10.0,24.0,.417,4.0,10.0,.400,4,4.0,1.000,0.0,1.0,1.0,4.0,3.0,1.0,2.0,3.0,28.0,18.8,-5,14.0,6.0,0.4285714285714285,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,7.0,61.0,3.388888888888889,17.2,71.6,3.9777777777777774
33,33,27,2022-12-23,28-301,TOR,@,CLE,W (+11),1,38:41,5.0,12.0,.417,5.0,10.0,.500,3,3.0,1.000,1.0,7.0,8.0,4.0,1.0,1.0,2.0,2.0,18.0,16.1,+15,2.0,0.0,0.0,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,15.0,92.0,5.111111111111111,14.900000000000002,94.8,5.266666666666667
34,34,28,2022-12-27,28-305,TOR,,LAC,L (-11),1,22:44,2.0,6.0,.333,0.0,3.0,.000,0,0.0,,0.0,2.0,2.0,7.0,1.0,0.0,1.0,1.0,4.0,5.7,-11,3.0,2.0,0.6666666666666666,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,7.0,67.0,3.7222222222222223,5.699999999999999,85.2,4.733333333333333
35,35,,2022-12-29,28-307,TOR,,MEM,L (-13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,,77.0,4.277777777777778,0.0,89.40000000000002,4.966666666666668
36,36,,2022-12-30,28-308,TOR,,PHO,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,,84.0,4.666666666666667,0.0,105.0,5.833333333333333
37,37,29,2023-01-02,28-311,TOR,@,IND,L (-8),1,36:27,3.0,15.0,.200,3.0,12.0,.250,0,0.0,,0.0,2.0,2.0,3.0,0.0,2.0,1.0,4.0,9.0,1.2,+1,3.0,0.0,0.0,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,0.0,79.0,4.388888888888889,1.1999999999999988,89.00000000000001,4.9444444444444455
38,38,30,2023-01-04,28-313,TOR,,MIL,L (-3),1,46:50,8.0,23.0,.348,4.0,14.0,.286,8,8.0,1.000,2.0,6.0,8.0,12.0,3.0,0.0,1.0,4.0,28.0,27.1,+6,9.0,4.0,0.4444444444444444,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,19.0,32.0,1.7777777777777777,23.9,40.89999999999999,2.2722222222222217
39,39,31,2023-01-06,28-315,TOR,,NYK,L (-4),1,40:45,9.0,21.0,.429,3.0,9.0,.333,7,9.0,.778,0.0,8.0,8.0,7.0,2.0,1.0,1.0,3.0,28.0,23.9,+10,12.0,6.0,0.5,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,15.0,76.0,4.222222222222222,21.1,74.80000000000001,4.155555555555556
40,40,32,2023-01-08,28-317,TOR,,POR,W (+12),1,34:55,5.0,12.0,.417,4.0,9.0,.444,0,0.0,,0.0,6.0,6.0,7.0,0.0,0.0,0.0,4.0,14.0,12.7,+12,3.0,1.0,0.3333333333333333,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,15.0,59.0,3.2777777777777777,12.7,77.1,4.283333333333333
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,,0.0,0.0,0.0,0.0,0.0
42,41,33,2023-01-10,28-319,TOR,,CHO,W (+12),1,32:43,3.0,10.0,.300,2.0,7.0,.286,3,3.0,1.000,1.0,6.0,7.0,8.0,0.0,0.0,3.0,2.0,11.0,9.5,+6,3.0,1.0,0.3333333333333333,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,10.0,93.0,5.166666666666667,8.299999999999997,110.8,6.155555555555555
43,42,34,2023-01-12,28-321,TOR,,CHO,W (+10),1,34:30,4.0,8.0,.500,1.0,2.0,.500,2,2.0,1.000,0.0,5.0,5.0,8.0,2.0,0.0,1.0,4.0,11.0,13.5,+5,6.0,3.0,0.5,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,15.0,84.0,4.666666666666667,12.7,106.8,5.933333333333334
44,43,35,2023-01-14,28-323,TOR,,ATL,L (-11),1,26:13,1.0,9.0,.111,1.0,6.0,.167,0,0.0,,0.0,6.0,6.0,4.0,0.0,0.0,1.0,2.0,3.0,-0.1,-16,3.0,0.0,0.0,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,3.0,64.0,3.555555555555556,-0.1000000000000007,72.2,4.011111111111111
45,44,36,2023-01-16,28-325,TOR,@,NYK,W (+2),1,44:53,10.0,23.0,.435,5.0,13.0,.385,8,8.0,1.000,1.0,4.0,5.0,8.0,2.0,2.0,1.0,5.0,33.0,28.8,+3,10.0,5.0,0.5,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,18.0,72.0,4.0,25.60000000000001,85.80000000000001,4.7666666666666675
46,45,37,2023-01-17,28-326,TOR,@,MIL,L (-8),1,37:07,15.0,28.0,.536,6.0,12.0,.500,3,3.0,1.000,1.0,8.0,9.0,7.0,0.0,0.0,1.0,4.0,39.0,30.8,-23,16.0,9.0,0.5625,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,23.0,62.0,3.4444444444444446,29.6,73.5,4.083333333333333
47,46,38,2023-01-19,28-328,TOR,@,MIN,L (-2),1,36:26,7.0,13.0,.538,4.0,6.0,.667,7,7.0,1.000,0.0,1.0,1.0,10.0,2.0,1.0,2.0,3.0,25.0,25.5,-12,7.0,3.0,0.4285714285714285,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,17.0,63.0,3.5,22.700000000000003,74.1,4.116666666666666
48,47,,2023-01-21,28-330,TOR,,BOS,L (-2),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,,97.0,5.388888888888889,0.0,98.1,5.449999999999999
49,48,39,2023-01-22,28-331,TOR,,NYK,W (+9),1,33:37,8.0,19.0,.421,4.0,8.0,.500,8,8.0,1.000,0.0,2.0,2.0,3.0,2.0,0.0,1.0,1.0,28.0,21.2,+6,11.0,4.0,0.3636363636363636,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,7.0,80.0,4.444444444444445,18.000000000000004,88.5,4.916666666666667
50,49,40,2023-01-25,28-334,TOR,@,SAC,W (+18),1,37:38,7.0,16.0,.438,2.0,9.0,.222,1,1.0,1.000,0.0,4.0,4.0,5.0,4.0,2.0,2.0,2.0,17.0,15.9,+20,7.0,5.0,0.7142857142857143,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,13.0,82.0,4.555555555555555,15.5,89.89999999999999,4.994444444444444
51,50,41,2023-01-27,28-336,TOR,@,GSW,L (-12),1,40:18,11.0,20.0,.550,5.0,10.0,.500,1,1.0,1.000,0.0,4.0,4.0,10.0,1.0,1.0,5.0,4.0,28.0,21.7,-10,10.0,6.0,0.6,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,18.0,64.0,3.555555555555556,21.300000000000004,72.8,4.044444444444444
52,51,42,2023-01-28,28-337,TOR,@,POR,W (+18),1,41:07,4.0,13.0,.308,2.0,8.0,.250,1,1.0,1.000,3.0,3.0,6.0,9.0,4.0,1.0,2.0,4.0,11.0,13.9,+19,5.0,2.0,0.4,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,15.0,81.0,4.5,13.500000000000002,92.6,5.144444444444444
53,52,43,2023-01-30,28-339,TOR,@,PHO,L (-8),1,39:01,9.0,19.0,.474,2.0,8.0,.250,4,5.0,.800,0.0,4.0,4.0,9.0,1.0,1.0,3.0,6.0,24.0,17.7,0,11.0,7.0,0.6363636363636364,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,12.0,77.0,4.277777777777778,16.10000000000001,75.39999999999999,4.188888888888888
54,53,44,2023-02-01,28-341,TOR,@,UTA,L (-3),1,37:47,12.0,25.0,.480,4.0,9.0,.444,6,6.0,1.000,2.0,10.0,12.0,10.0,1.0,1.0,3.0,1.0,34.0,31.0,+2,16.0,8.0,0.5,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,24.0,71.0,3.9444444444444446,28.6,88.1,4.894444444444444
55,54,45,2023-02-03,28-343,TOR,@,HOU,W (+6),1,37:28,10.0,22.0,.455,5.0,11.0,.455,7,9.0,.778,0.0,5.0,5.0,4.0,1.0,0.0,0.0,1.0,32.0,24.7,+9,11.0,5.0,0.4545454545454545,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,11.0,72.0,4.0,21.9,77.60000000000001,4.311111111111112
56,55,46,2023-02-05,28-345,TOR,@,MEM,W (+3),1,38:32,6.0,19.0,.316,2.0,9.0,.222,1,1.0,1.000,1.0,4.0,5.0,7.0,0.0,1.0,2.0,1.0,15.0,9.2,+4,10.0,4.0,0.4,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,6.0,73.0,4.055555555555555,8.799999999999995,77.3,4.294444444444444
57,56,47,2023-02-08,28-348,TOR,,SAS,W (+14),1,36:31,5.0,16.0,.313,1.0,7.0,.143,5,5.0,1.000,0.0,2.0,2.0,4.0,3.0,1.0,4.0,2.0,16.0,9.1,+20,9.0,4.0,0.4444444444444444,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,1.0,80.0,4.444444444444445,7.100000000000001,78.6,4.366666666666666
58,57,48,2023-02-10,28-350,TOR,,UTA,L (-6),1,34:30,4.0,13.0,.308,3.0,9.0,.333,6,7.0,.857,1.0,3.0,4.0,4.0,2.0,0.0,3.0,5.0,17.0,10.5,-18,4.0,1.0,0.25,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,4.0,77.0,4.277777777777778,8.1,79.69999999999999,4.427777777777777
59,58,49,2023-02-12,28-352,TOR,,DET,W (+1),1,37:07,12.0,26.0,.462,6.0,13.0,.462,5,7.0,.714,0.0,3.0,3.0,8.0,0.0,1.0,1.0,3.0,35.0,25.8,-4,13.0,6.0,0.4615384615384615,63,48,24,54,16,5,33,2,15,43,55,4,62,47,5,65,45,76.0,58.0,31.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.8289473684210527,0.8275862068965517,0.7741935483870968,0.8181818181818182,0.64,0.5555555555555556,0.7857142857142857,0.4,0.75,0.8113207547169812,0.8208955223880597,0.5,0.8732394366197183,0.8545454545454545,0.5555555555555556,0.8441558441558441,0.8333333333333334,23,72.0,69.0,0.3194444444444444,0.0,18,13.0,66.0,3.6666666666666665,23.8,83.8,4.655555555555555
