Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Dario Šarić,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Duane Washington Jr.,Shared Games with Ish Wainright,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Landry Shamet,Shared Games with Mikal Bridges,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Johnson,Cameron Payne,Chris Paul,Damion Lee,Dario Šarić,Deandre Ayton,Devin Booker,Duane Washington Jr.,Ish Wainright,Jock Landale,Josh Okogie,Landry Shamet,Mikal Bridges,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Johnson,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Dario Šarić,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Duane Washington Jr.,co_inf with Ish Wainright,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Landry Shamet,co_inf with Mikal Bridges,co_inf with Torrey Craig
45,44,,2023-01-13,32-191,PHO,@,MIN,L (-5),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,45,,2023-01-16,32-194,PHO,@,MEM,L (-30),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,46,,2023-01-19,32-197,PHO,,BRK,W (+5),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,47,,2023-01-21,32-199,PHO,,IND,W (+5),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,48,,2023-01-22,32-200,PHO,,MEM,W (+2),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,49,,2023-01-24,32-202,PHO,,CHO,W (+31),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,50,,2023-01-26,32-204,PHO,,DAL,L (-4),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,51,,2023-01-28,32-206,PHO,@,SAS,W (+10),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,52,,2023-01-30,32-208,PHO,,TOR,W (+8),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,53,,2023-02-01,32-210,PHO,,ATL,L (-32),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,54,,2023-02-03,32-212,PHO,@,BOS,W (+12),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,55,,2023-02-04,32-213,PHO,@,DET,W (+16),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,56,,2023-02-07,32-216,PHO,@,BRK,W (+4),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,57,,2023-02-09,32-218,MIL,@,LAL,W (+9),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,58,,2023-02-10,32-219,MIL,@,LAC,W (+13),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,59,,2023-02-14,32-223,MIL,,BOS,W (+6),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,60,,2023-02-16,32-225,MIL,@,CHI,W (+12),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,61,1,2023-02-24,32-233,MIL,,MIA,W (+29),0,16.033333333333335,3.0,5.0,.600,2.0,2.0,1.000,1,2,.500,0,3,3,0,1,0,1,1,9,6.8,+9,3.0,1.0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,62,2,2023-02-26,32-235,MIL,,PHO,W (+3),0,24.616666666666667,2.0,3.0,.667,2.0,3.0,.667,1,2,.500,1,2,3,2,1,0,1,4,7,6.4,+6,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,63,3,2023-02-28,32-237,MIL,@,BRK,W (+14),0,15.566666666666666,1.0,2.0,.500,0.0,1.0,.000,0,0,,0,2,2,2,1,0,0,1,2,3.6,+13,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,64,4,2023-03-01,32-238,MIL,,ORL,W (+22),0,20.416666666666668,2.0,6.0,.333,2.0,6.0,.333,0,0,,1,3,4,2,0,0,0,4,6,4.0,+4,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,65,5,2023-03-04,32-241,MIL,,PHI,L (-3),0,12.916666666666666,1.0,3.0,.333,0.0,2.0,.000,0,0,,1,0,1,0,0,1,1,2,2,-0.1,-5,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,66,6,2023-03-05,32-242,MIL,@,WAS,W (+6),0,14.35,1.0,3.0,.333,0.0,2.0,.000,0,0,,1,4,5,1,0,0,0,0,2,2.9,-10,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,67,7,2023-03-07,32-244,MIL,@,ORL,W (+11),0,23.433333333333334,5.0,9.0,.556,2.0,5.0,.400,3,3,1.000,1,4,5,2,2,1,0,2,15,15.9,+3,4.0,3.0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,68,8,2023-03-09,32-246,MIL,,BRK,W (+5),0,19.516666666666666,2.0,5.0,.400,2.0,5.0,.400,0,0,,3,8,11,2,0,2,0,0,6,10.6,+8,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,69,9,2023-03-11,32-248,MIL,@,GSW,L (-9),0,14.766666666666667,0.0,1.0,.000,0.0,1.0,.000,2,2,1.000,1,2,3,1,0,0,1,0,2,2.3,+3,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,70,10,2023-03-13,32-250,MIL,@,SAC,W (+9),0,19.35,2.0,5.0,.400,0.0,2.0,.000,0,0,,1,3,4,2,0,0,0,2,4,3.5,-2,3.0,2.0,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,71,11,2023-03-14,32-251,MIL,@,PHO,W (+12),0,24.583333333333332,3.0,4.0,.750,3.0,4.0,.750,2,2,1.000,1,4,5,1,0,0,0,0,11,12.0,+4,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,72,,2023-03-16,32-253,MIL,,IND,L (-16),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,73,,2023-03-19,32-256,MIL,,TOR,W (+7),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,74,,2023-03-22,32-259,MIL,,SAS,W (+36),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,75,,2023-03-24,32-261,MIL,@,UTA,W (+28),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,76,,2023-03-25,32-262,MIL,@,DEN,L (-23),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,77,12,2023-03-27,32-264,MIL,@,DET,W (+9),0,12.083333333333334,1.0,2.0,.500,0.0,1.0,.000,0,0,,1,2,3,1,0,0,1,1,2,1.6,-1,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,78,,2023-03-29,32-266,MIL,@,IND,W (+13),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,79,13,2023-03-30,32-267,MIL,,BOS,L (-41),0,15.95,0.0,1.0,.000,0.0,0.0,,0,0,,0,1,1,2,0,0,0,2,0,0.2,-17,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,80,14,2023-04-02,32-270,MIL,,PHI,W (+13),0,17.066666666666666,0.0,5.0,.000,0.0,2.0,.000,0,0,,0,0,0,1,1,1,0,1,0,-1.5,-3,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,81,15,2023-04-04,32-272,MIL,@,WAS,W (+12),1,23.533333333333335,7.0,11.0,.636,4.0,5.0,.800,1,1,1.000,3,6,9,0,1,0,1,3,19,16.8,+16,6.0,3.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,82,16,2023-04-05,32-273,MIL,,CHI,W (+13),0,16.7,0.0,5.0,.000,0.0,3.0,.000,0,0,,1,4,5,2,1,1,0,1,0,1.1,-5,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,83,17,2023-04-07,32-275,MIL,,MEM,L (-23),1,24.066666666666666,10.0,12.0,.833,4.0,5.0,.800,0,0,,1,0,1,0,2,0,1,2,24,20.5,-15,7.0,6.0,0.8571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,84,18,2023-04-09,32-277,MIL,@,TOR,L (-16),1,24.733333333333334,5.0,12.0,.417,3.0,6.0,.500,0,0,,0,4,4,6,2,0,0,1,13,13.6,-8,6.0,2.0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,69.0,72.0,40.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
