Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Dario ?ari?,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Duane Washington Jr.,Shared Games with Ish Wainright,Shared Games with Josh Okogie,Shared Games with Landry Shamet,Shared Games with Mikal Bridges,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Johnson,Cameron Payne,Chris Paul,Damion Lee,Dario ?ari?,Deandre Ayton,Devin Booker,Duane Washington Jr.,Ish Wainright,Jae Crowder,Josh Okogie,Landry Shamet,Mikal Bridges,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Johnson,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Dario ?ari?,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Duane Washington Jr.,co_inf with Ish Wainright,co_inf with Jae Crowder,co_inf with Josh Okogie,co_inf with Landry Shamet,co_inf with Mikal Bridges,co_inf with Torrey Craig,Shared Games with Kevin Durant,Shared Games with T.J. Warren,Shared Games with Darius Bazley,Shared Games with Saben Lee,Shared Games with Terrence Ross,Darius Bazley,Jaylen Brown,Kevin Durant,Saben Lee,T.J. Warren,Terrence Ross,co_inf with Kevin Durant,co_inf with T.J. Warren,co_inf with Darius Bazley,co_inf with Jaylen Brown,co_inf with Saben Lee,co_inf with Terrence Ross,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
33,28.0,2022/12/23,27-059,PHO,MEM,0,10.6,0,6,0,0.0,2.0,0,4,6,0.667,4,0,4.0,2,1,0,0,1,4,3.8,0,4.0,0.0,0.0,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,-1.0,75,3.947368421,2.2,82.6,4.347368421,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-3),L (-3)
34,,2022/12/25,27-061,PHO,DEN,Did Not Play,0.0,0,0,Did Not Play,,,Did Not Play,Did Not Play,0,Did Not Play,0,0,,0,0,0,0,0,0,Did Not Play,Did Not Play,,,,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,,120,6.315789474,0.0,131.8,6.936842105,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-25),L (-25)
35,29.0,2022/12/27,27-063,PHO,MEM,1,23.73333333333333,4,5,0.8,2.0,2.0,1,6,6,1,3,0,3.0,0,0,0,1,2,16,14.4,-4,3.0,2.0,0.666666667,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,7.0,94,4.947368421,12.0,84.9,4.468421053,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-3),L (-3)
36,30.0,2022/12/28,27-064,PHO,WAS,1,15.716666666666669,1,2,0.5,1.0,2.0,0.5,2,2,1,0,2,2.0,2,0,0,1,3,5,3.8,-18,0.0,0.0,,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,4.0,57,3.0,3.0,69.5,3.657894737,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+17),W (+17)
37,31.0,2022/12/30,27-066,PHO,TOR,0,17.033333333333335,2,2,1,0.0,0.0,,2,2,1,3,8,11.0,1,0,0,0,0,6,10.6,9,2.0,2.0,1.0,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,14.0,86,4.526315789,9.8,81.7,4.3,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-25),L (-25)
38,32.0,2023/1/2,27-069,PHO,NYK,0,18.6,1,3,0.333,0.0,2.0,0,0,0,,0,3,3.0,1,0,0,1,1,2,0.5,5,1.0,1.0,1.0,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,2.0,74,3.894736842,0.5,87.5,4.605263158,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-9),L (-9)
39,,2023/1/4,27-071,PHO,CLE,Did Not Play,0.0,0,0,Did Not Play,,,Did Not Play,Did Not Play,0,Did Not Play,0,0,,0,0,0,0,0,0,Did Not Play,Did Not Play,,,,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,,80,4.210526316,0.0,86.8,4.568421053,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-19),L (-19)
40,33.0,2023/1/6,27-073,PHO,MIA,0,12.266666666666667,1,3,0.333,0.0,0.0,,2,2,1,0,4,4.0,0,0,0,0,1,4,3.1,-5,3.0,1.0,0.333333333,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,3.0,58,3.052631579,2.3,62.6,3.294736842,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-2),L (-2)
41,34.0,2023/1/8,27-075,PHO,CLE,0,18.133333333333333,6,10,0.6,2.0,3.0,0.667,0,0,,1,4,5.0,2,1,1,2,1,14,12,-9,7.0,4.0,0.571428571,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,11.0,26,1.368421053,12.0,36.9,1.942105263,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-8),L (-8)
42,35.0,2023/1/10,27-077,PHO,GSW,0,22.666666666666668,3,6,0.5,0.0,1.0,0,0,0,,2,2,4.0,1,1,0,3,5,6,1.7,-13,5.0,3.0,0.6,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,3.0,66,3.473684211,1.7,46.5,2.447368421,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,,
43,36.0,2023/1/11,27-078,PHO,DEN,0,23.65,5,8,0.625,1.0,3.0,0.333,0,0,,4,4,8.0,2,0,0,1,2,11,11,-3,5.0,4.0,0.8,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,12.0,44,2.315789474,11.0,61.9,3.257894737,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-14),L (-14)
44,37.0,2023/1/13,27-080,PHO,MIN,0,10.466666666666669,1,3,0.333,1.0,2.0,0.5,0,0,,2,0,2.0,3,0,1,1,1,3,4.1,0,1.0,0.0,0.0,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,5.0,52,2.736842105,4.1,55.9,2.942105263,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+12),W (+12)
45,38.0,2023/1/16,27-083,PHO,MEM,0,13.683333333333334,1,2,0.5,0.0,1.0,0,3,3,1,2,1,3.0,0,0,0,0,2,5,4.9,0,1.0,1.0,1.0,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,3.0,47,2.473684211,3.7,51.6,2.715789474,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-29),L (-29)
46,,2023/1/19,27-086,PHO,BRK,Did Not Play,0.0,0,0,Did Not Play,,,Did Not Play,Did Not Play,0,Did Not Play,0,0,,0,0,0,0,0,0,Did Not Play,Did Not Play,,,,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,,35,1.842105263,0.0,34.3,1.805263158,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-5),L (-5)
47,39.0,2023/1/21,27-088,PHO,IND,0,17.1,4,7,0.571,0.0,0.0,,2,2,1,4,6,10.0,1,0,1,2,0,10,10.7,8,7.0,4.0,0.571428571,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,11.0,66,3.473684211,9.9,51.4,2.705263158,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-30),L (-30)
48,40.0,2023/1/22,27-089,PHO,MEM,0,23.08333333333333,5,9,0.556,1.0,2.0,0.5,1,1,1,1,4,5.0,1,1,0,1,6,12,7.9,4,7.0,4.0,0.571428571,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,8.0,33,1.736842105,7.5,35.2,1.852631579,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+5),W (+5)
49,41.0,2023/1/24,27-091,PHO,CHO,0,14.533333333333331,6,13,0.462,3.0,7.0,0.429,0,0,,3,0,3.0,3,0,0,4,5,15,6.5,15,6.0,3.0,0.5,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,4.0,55,2.894736842,6.5,48.1,2.531578947,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+5),W (+5)
50,42.0,2023/1/26,27-093,PHO,DAL,0,4.5,1,1,1,0.0,0.0,,0,0,,0,0,0.0,0,0,0,0,0,2,1.7,2,1.0,1.0,1.0,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,1.0,52,2.736842105,1.7,42.1,2.215789474,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+2),W (+2)
51,,2023/1/28,27-095,PHO,SAS,Did Not Play,0.0,0,0,Did Not Play,,,Did Not Play,Did Not Play,0,Did Not Play,0,0,,0,0,0,0,0,0,Did Not Play,Did Not Play,,,,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,,77,4.052631579,0.0,71.8,3.778947368,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+31),W (+31)
52,43.0,2023/1/30,27-097,PHO,TOR,0,8.916666666666666,2,3,0.667,0.0,1.0,0,0,0,,0,0,0.0,0,1,0,1,0,4,2.7,4,2.0,2.0,1.0,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,1.0,70,3.684210526,2.7,63.8,3.357894737,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-4),L (-4)
53,44.0,2023/2/1,27-099,PHO,ATL,0,10.516666666666667,3,6,0.5,0.0,2.0,0,0,0,,2,3,5.0,0,0,0,1,1,6,3.9,6,4.0,3.0,0.75,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,4.0,39,2.052631579,3.9,39.5,2.078947368,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+10),W (+10)
54,45.0,2023/2/3,27-101,PHO,BOS,0,12.233333333333333,4,8,0.5,0.0,3.0,0,1,1,1,2,5,7.0,3,0,1,0,1,9,10.3,18,5.0,4.0,0.8,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,11.0,57,3.0,9.9,58.7,3.089473684,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+8),W (+8)
55,46.0,2023/2/4,27-102,PHO,DET,0,13.966666666666669,2,4,0.5,0.0,0.0,,3,8,0.375,2,4,6.0,0,0,0,1,2,7,3.8,-8,4.0,2.0,0.5,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,0.0,65,3.421052632,2.6,70.7,3.721052632,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-32),L (-32)
56,47.0,2023/2/7,27-105,PHO,BRK,0,12.583333333333334,3,4,0.75,0.0,0.0,,1,2,0.5,2,2,4.0,1,0,0,2,2,7,4.9,2,4.0,3.0,0.75,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,4.0,52,2.736842105,4.5,60.1,3.163157895,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+12),W (+12)
57,48.0,2023/2/9,27-107,PHO,ATL,1,19.33333333333333,2,6,0.333,0.0,3.0,0,0,1,0,1,3,4.0,0,1,0,1,1,4,1.4,-3,3.0,2.0,0.666666667,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,1.0,64,3.368421053,1.4,81.8,4.305263158,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+16),W (+16)
58,49.0,2023/2/10,27-108,PHO,IND,0,13.5,3,5,0.6,0.0,1.0,0,0,0,,3,4,7.0,1,1,0,1,3,6,6.5,0,4.0,3.0,0.75,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,9.0,77,4.052631579,6.5,95.3,5.015789474,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+4),W (+4)
59,50.0,2023/2/14,27-112,PHO,SAC,0,11.316666666666666,0,1,0,0.0,1.0,0,0,0,,1,1,2.0,1,0,0,0,1,0,0.6,-10,0.0,0.0,,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,2.0,91,4.789473684,0.6,101.8,5.357894737,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-9),L (-9)
60,51.0,2023/2/16,27-114,PHO,LAC,0,4.0,0,1,0,0.0,0.0,,2,2,1,1,0,1.0,1,0,0,0,1,2,2.3,-1,1.0,0.0,0.0,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,1.0,73,3.842105263,1.5,68.6,3.610526316,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+13),W (+13)
61,52.0,2023/2/24,27-122,PHO,OKC,0,16.683333333333334,1,5,0.2,0.0,1.0,0,3,3,1,5,2,7.0,1,1,0,0,0,5,7.7,11,4.0,1.0,0.25,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,6.0,88,4.631578947,6.5,98.8,5.2,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+11),W (+11)
62,53.0,2023/2/26,27-124,PHO,MIL,0,12.0,2,5,0.4,1.0,2.0,0.5,2,4,0.5,4,4,8.0,1,0,1,0,1,7,8.5,-4,3.0,1.0,0.333333333,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,8.0,66,3.473684211,7.7,76.1,4.005263158,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-9),L (-9)
63,54.0,2023/3/1,27-127,PHO,CHO,0,14.666666666666666,2,7,0.286,1.0,1.0,1,1,2,0.5,0,3,3.0,2,0,2,0,3,6,4,5,6.0,1.0,0.166666667,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,4.0,88,4.631578947,3.6,88.8,4.673684211,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,,
64,55.0,2023/3/3,27-129,PHO,CHI,0,20.566666666666663,3,3,1,0.0,0.0,,3,4,0.75,4,2,6.0,1,0,2,0,1,9,12.8,10,3.0,3.0,1.0,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,11.0,84,4.421052632,11.6,91.4,4.810526316,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+9),W (+9)
65,56.0,2023/3/5,27-131,PHO,DAL,0,7.7,1,1,1,0.0,0.0,,0,0,,2,0,2.0,0,0,0,0,3,2,1.9,1,1.0,1.0,1.0,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,3.0,80,4.210526316,1.9,80.7,4.247368421,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-3),L (-3)
66,57.0,2023/3/8,27-134,PHO,OKC,0,17.683333333333334,2,4,0.5,0.0,0.0,,0,0,,1,3,4.0,0,0,1,2,3,4,1.1,8,4.0,2.0,0.5,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,3.0,108,5.684210526,1.1,95.6,5.031578947,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+14),W (+14)
