Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Duane Washington Jr.,Shared Games with Ish Wainright,Shared Games with Jae Crowder,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Landry Shamet,Shared Games with Mikal Bridges,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Johnson,Cameron Payne,Chris Paul,Damion Lee,Deandre Ayton,Devin Booker,Duane Washington Jr.,Ish Wainright,Jae Crowder,Jock Landale,Josh Okogie,Landry Shamet,Mikal Bridges,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Johnson,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Duane Washington Jr.,co_inf with Ish Wainright,co_inf with Jae Crowder,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Landry Shamet,co_inf with Mikal Bridges,co_inf with Torrey Craig
37,37,19,2022/12/30,28-266,PHO,@,TOR,L (-9),0,20.0,2.0,7.0,0.286,1.0,3.0,0.333,4,4,1,0,2,2,3,0,0,2,0,9,5.6,10,4.0,1.0,0.25,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
38,38,20,2023/1/2,28-269,PHO,@,NYK,L (-19),0,8.766666666666667,0.0,2.0,0,0.0,2.0,0,0,0,,0,0,0,1,0,0,0,1,0,-1.1,-12,0.0,0.0,,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
39,39,21,2023/1/4,28-271,PHO,@,CLE,L (-2),1,18.566666666666666,4.0,7.0,0.571,2.0,3.0,0.667,0,0,,0,4,4,1,0,0,1,2,10,6.8,-2,4.0,2.0,0.5,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
40,40,,2023/1/6,28-273,PHO,,MIA,L (-8),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
41,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
42,41,22,2023/1/8,28-275,PHO,,CLE,L (-14),1,26.083333333333332,1.0,3.0,0.333,1.0,2.0,0.5,0,0,,0,4,4,2,2,0,2,2,3,3.1,-5,1.0,0.0,0.0,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
43,42,23,2023/1/10,28-277,PHO,@,GSW,W (+12),1,30.35,7.0,11.0,0.636,3.0,5.0,0.6,2,2,1,3,6,9,7,1,0,6,5,19,15.9,8,6.0,4.0,0.666666667,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
44,43,24,2023/1/11,28-278,PHO,@,DEN,L (-29),1,25.75,5.0,10.0,0.5,1.0,4.0,0.25,0,0,,1,2,3,2,2,0,0,2,11,9.9,-31,6.0,4.0,0.666666667,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
45,44,25,2023/1/13,28-280,PHO,@,MIN,L (-5),1,18.05,2.0,4.0,0.5,0.0,0.0,,1,1,1,0,3,3,1,1,0,1,0,5,4.6,-18,4.0,2.0,0.5,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
46,45,26,2023/1/16,28-283,PHO,@,MEM,L (-30),1,23.4,4.0,9.0,0.444,2.0,5.0,0.4,2,2,1,2,5,7,5,0,0,3,3,12,9.5,-17,4.0,2.0,0.5,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
47,46,27,2023/1/19,28-286,PHO,,BRK,W (+5),1,8.3,2.0,3.0,0.667,1.0,1.0,1,2,4,0.5,1,3,4,0,0,0,0,3,7,5.3,9,2.0,1.0,0.5,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
48,47,28,2023/1/21,28-288,PHO,,IND,W (+5),1,8.166666666666666,0.0,1.0,0,0.0,1.0,0,1,2,0.5,0,2,2,3,0,0,0,0,1,2.6,-7,0.0,0.0,,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
49,48,29,2023/1/22,28-289,PHO,,MEM,W (+2),0,20.8,4.0,5.0,0.8,0.0,1.0,0,6,7,0.857,1,7,8,4,3,0,3,5,14,15.3,2,4.0,4.0,1.0,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
50,49,30,2023/1/24,28-291,PHO,,CHO,W (+31),0,24.4,6.0,9.0,0.667,3.0,4.0,0.75,4,4,1,4,4,8,3,0,1,3,4,19,17.3,20,5.0,3.0,0.6,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
51,50,31,2023/1/26,28-293,PHO,,DAL,L (-4),0,2.7666666666666666,0.0,1.0,0,0.0,0.0,,0,0,,0,0,0,0,0,0,0,2,0,-1.5,-5,1.0,0.0,0.0,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
52,51,32,2023/1/28,28-295,PHO,@,SAS,W (+10),0,23.05,1.0,8.0,0.125,0.0,0.0,,0,0,,6,7,13,1,0,1,1,4,2,1.9,2,8.0,1.0,0.125,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
53,52,33,2023/1/30,28-297,PHO,,TOR,W (+8),0,14.433333333333334,4.0,6.0,0.667,0.0,1.0,0,3,4,0.75,1,2,3,0,0,0,0,2,11,8.5,0,5.0,4.0,0.8,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
54,53,34,2023/2/1,28-299,PHO,,ATL,L (-32),0,21.533333333333335,4.0,7.0,0.571,0.0,2.0,0,3,4,0.75,0,5,5,3,1,1,2,0,11,10.6,4,5.0,4.0,0.8,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
55,54,35,2023/2/3,28-301,PHO,@,BOS,W (+12),1,29.716666666666665,5.0,13.0,0.385,4.0,7.0,0.571,0,0,,3,10,13,3,0,0,1,3,14,11.9,8,6.0,1.0,0.166666667,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
56,55,36,2023/2/4,28-302,PHO,@,DET,W (+16),0,22.666666666666668,3.0,8.0,0.375,0.0,1.0,0,0,0,,0,2,2,3,0,0,1,5,6,1.3,-2,7.0,3.0,0.428571429,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
57,56,37,2023/2/7,28-305,PHO,@,BRK,W (+4),0,3.6833333333333336,0.0,2.0,0,0.0,0.0,,0,0,,1,0,1,0,0,0,0,1,0,-1.1,-2,2.0,0.0,0.0,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
58,57,,2023/2/9,28-307,PHO,@,ATL,L (-9),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
59,58,,2023/2/10,28-308,OKC,@,POR,W (+9),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
60,59,,2023/2/13,28-311,OKC,,NOP,L (-3),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
61,60,38,2023/2/15,28-313,OKC,,HOU,W (+37),0,14.166666666666666,4.0,6.0,0.667,1.0,3.0,0.333,3,3,1,1,4,5,0,1,0,2,3,12,9.1,10,3.0,3.0,1.0,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
62,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
63,61,39,2023/2/23,28-321,OKC,@,UTA,L (-1),0,11.733333333333333,1.0,3.0,0.333,0.0,2.0,0,0,0,,0,1,1,2,0,0,1,2,2,0.2,-1,1.0,1.0,1.0,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
64,62,40,2023/2/24,28-322,OKC,@,PHO,L (-9),0,11.6,2.0,4.0,0.5,2.0,2.0,1,2,2,1,2,2,4,1,0,0,1,1,8,7.3,-5,2.0,0.0,0.0,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
65,63,41,2023/2/26,28-324,OKC,,SAC,L (-9),0,8.566666666666666,0.0,1.0,0,0.0,1.0,0,2,2,1,0,1,1,0,0,0,2,1,2,-0.8,-1,0.0,0.0,,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
66,64,42,2023/2/28,28-326,OKC,,SAC,L (-6),0,27.066666666666666,7.0,11.0,0.636,2.0,6.0,0.333,5,5,1,1,7,8,2,0,0,2,1,21,17.9,14,5.0,5.0,1.0,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
67,65,43,2023/3/1,28-327,OKC,,LAL,L (-6),0,15.333333333333334,5.0,6.0,0.833,1.0,2.0,0.5,2,3,0.667,0,2,2,0,0,0,1,3,13,8.8,-4,4.0,4.0,1.0,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
68,66,44,2023/3/3,28-329,OKC,,UTA,W (+27),0,16.666666666666668,4.0,7.0,0.571,3.0,5.0,0.6,0,0,,1,3,4,1,0,0,2,4,11,6.4,17,2.0,1.0,0.5,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
69,67,45,2023/3/5,28-331,OKC,,UTA,W (+10),0,14.283333333333333,3.0,5.0,0.6,1.0,2.0,0.5,1,2,0.5,0,3,3,0,0,0,0,1,8,5.8,8,3.0,2.0,0.666666667,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
70,68,46,2023/3/7,28-333,OKC,,GSW,W (+9),0,15.05,6.0,8.0,0.75,1.0,1.0,1,1,1,1,1,4,5,1,1,0,0,1,14,14,17,7.0,5.0,0.714285714,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
71,69,47,2023/3/8,28-334,OKC,@,PHO,L (-31),0,5.533333333333333,1.0,2.0,0.5,1.0,1.0,1,0,0,,0,1,1,0,0,0,0,0,3,2.3,-1,1.0,0.0,0.0,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
72,70,48,2023/3/11,28-337,OKC,@,NOP,W (+14),0,19.716666666666665,1.0,6.0,0.167,0.0,3.0,0,2,2,1,0,6,6,2,1,0,1,2,4,2.6,11,3.0,1.0,0.333333333,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
73,71,49,2023/3/12,28-338,OKC,@,SAS,W (+12),0,17.516666666666666,4.0,9.0,0.444,1.0,5.0,0.2,1,2,0.5,3,4,7,3,1,0,2,2,10,8.5,17,4.0,3.0,0.75,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
74,72,50,2023/3/14,28-340,OKC,,BRK,W (+14),0,10.3,2.0,4.0,0.5,0.0,1.0,0,0,0,,0,0,0,0,0,0,2,4,4,-1.6,1,3.0,2.0,0.666666667,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
75,73,51,2023/3/16,28-342,OKC,@,TOR,L (-17),0,12.333333333333334,2.0,8.0,0.25,0.0,2.0,0,0,0,,0,1,1,2,0,0,1,0,4,-0.1,-11,6.0,2.0,0.333333333,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
76,74,52,2023/3/19,28-345,OKC,,PHO,W (+4),0,10.083333333333334,1.0,2.0,0.5,0.0,1.0,0,2,2,1,0,1,1,0,1,0,1,1,4,2.9,-9,1.0,1.0,1.0,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
77,75,,2023/3/21,28-347,OKC,@,LAC,W (+1),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
