Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Dario Šarić,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Ish Wainright,Shared Games with Jae Crowder,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Landry Shamet,Shared Games with Mikal Bridges,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Johnson,Cameron Payne,Chris Paul,Damion Lee,Dario Šarić,Deandre Ayton,Devin Booker,Ish Wainright,Jae Crowder,Jock Landale,Josh Okogie,Landry Shamet,Mikal Bridges,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Johnson,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Dario Šarić,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Ish Wainright,co_inf with Jae Crowder,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Landry Shamet,co_inf with Mikal Bridges,co_inf with Torrey Craig
37,37,20,2022-12-30,22-281,PHO,@,TOR,L (-9),0,13.05,5.0,10.0,.500,1.0,5.0,.200,0,0,,0,2,2,2,0,0,4,1,11,3.6,0,5.0,4.0,0.8,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
38,38,21,2023-01-02,22-284,PHO,@,NYK,L (-19),0,12.0,4.0,9.0,.444,1.0,4.0,.250,1,1,1.000,0,2,2,1,1,0,0,0,10,7.6,+2,5.0,3.0,0.6,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
39,39,22,2023-01-04,22-286,PHO,@,CLE,L (-2),0,2.3,0.0,2.0,.000,0.0,1.0,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-4,1.0,0.0,0.0,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
40,40,23,2023-01-06,22-288,PHO,,MIA,L (-8),0,24.533333333333335,5.0,18.0,.278,1.0,6.0,.167,2,2,1.000,0,2,2,7,1,0,3,0,13,5.9,0,12.0,4.0,0.3333333333333333,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
41,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
42,41,24,2023-01-08,22-290,PHO,,CLE,L (-14),0,25.066666666666666,9.0,18.0,.500,5.0,6.0,.833,2,3,.667,0,1,1,3,0,0,4,1,25,13.6,-4,12.0,4.0,0.3333333333333333,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
43,42,25,2023-01-10,22-292,PHO,@,GSW,W (+12),1,26.966666666666665,6.0,17.0,.353,5.0,9.0,.556,4,4,1.000,0,1,1,5,1,0,4,2,21,11.5,+10,8.0,1.0,0.125,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
44,43,26,2023-01-11,22-293,PHO,@,DEN,L (-29),1,24.233333333333334,3.0,14.0,.214,1.0,6.0,.167,1,3,.333,0,1,1,5,0,2,4,2,8,-1.0,-33,8.0,2.0,0.25,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
45,44,27,2023-01-13,22-295,PHO,@,MIN,L (-5),1,23.55,3.0,11.0,.273,0.0,2.0,.000,2,2,1.000,0,2,2,2,0,1,1,2,8,2.4,-3,9.0,3.0,0.3333333333333333,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
46,45,,2023-01-16,22-298,PHO,@,MEM,L (-30),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
47,46,28,2023-01-19,22-301,PHO,,BRK,W (+5),0,6.366666666666666,0.0,4.0,.000,0.0,2.0,.000,0,0,,0,1,1,3,0,0,1,1,0,-1.8,+7,2.0,0.0,0.0,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
48,47,29,2023-01-21,22-303,PHO,,IND,W (+5),0,17.15,3.0,13.0,.231,3.0,6.0,.500,0,0,,0,1,1,4,0,0,1,2,9,2.4,+15,7.0,0.0,0.0,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
49,48,,2023-01-22,22-304,PHO,,MEM,W (+2),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
50,49,30,2023-01-24,22-306,PHO,,CHO,W (+31),0,5.816666666666666,3.0,4.0,.750,2.0,3.0,.667,0,0,,1,2,3,2,0,0,0,1,8,8.7,+7,1.0,1.0,1.0,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
51,50,31,2023-01-26,22-308,PHO,,DAL,L (-4),0,5.233333333333333,1.0,3.0,.333,0.0,0.0,,0,0,,0,0,0,0,0,0,0,0,2,0.3,0,3.0,1.0,0.3333333333333333,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
52,51,,2023-01-28,22-310,PHO,@,SAS,W (+10),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
53,52,,2023-01-30,22-312,PHO,,TOR,W (+8),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
54,53,,2023-03-01,22-342,NYK,,BRK,W (+24),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
55,54,,2023-03-03,22-344,NYK,@,MIA,W (+2),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
56,55,,2023-03-05,22-346,NYK,@,BOS,W (+2),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
57,56,,2023-03-07,22-348,NYK,,CHO,L (-7),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
58,57,,2023-03-09,22-350,NYK,@,SAC,L (-5),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
59,58,,2023-03-11,22-352,NYK,@,LAC,L (-11),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
60,59,,2023-03-12,22-353,NYK,@,LAL,W (+4),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
61,60,,2023-03-14,22-355,NYK,@,POR,W (+16),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
62,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
63,61,,2023-03-18,22-359,NYK,,DEN,W (+6),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
64,62,,2023-03-20,22-361,NYK,,MIN,L (-6),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
65,63,,2023-03-22,22-363,NYK,@,MIA,L (-7),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
66,64,,2023-03-23,22-364,NYK,@,ORL,L (-5),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
67,65,,2023-03-27,23-003,NYK,,HOU,W (+22),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
68,66,,2023-03-29,23-005,NYK,,MIA,W (+9),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
69,67,,2023-03-31,23-007,NYK,@,CLE,W (+14),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
70,68,,2023-04-02,23-009,NYK,,WAS,W (+9),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
71,69,,2023-04-05,23-012,NYK,@,IND,W (+9),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
72,70,,2023-04-07,23-014,NYK,@,NOP,L (-8),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
73,71,,2023-04-09,23-016,NYK,,IND,L (-5),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,24,6,16,14,31,18,26,15,23,0,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038
