Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Dario ?ari?,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Duane Washington Jr.,Shared Games with Ish Wainright,Shared Games with Jae Crowder,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Landry Shamet,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Johnson,Cameron Payne,Chris Paul,Damion Lee,Dario ?ari?,Deandre Ayton,Devin Booker,Duane Washington Jr.,Ish Wainright,Jae Crowder,Jock Landale,Josh Okogie,Landry Shamet,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Johnson,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Duane Washington Jr.,co_inf with Ish Wainright,co_inf with Jae Crowder,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Landry Shamet,co_inf with Torrey Craig
46,45,45,2023/1/16,26-139,PHO,@,MEM,L (-30),1,29.95,8.0,16.0,0.5,1.0,3.0,0.333,4,4,1,0,4,4,7,2,1,3,1,21,18.4,-14,13.0,7.0,0.538461538,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
47,46,46,2023/1/19,26-142,PHO,,BRK,W (+5),1,41.55,9.0,19.0,0.474,2.0,5.0,0.4,8,10,0.8,0,2,2,9,0,0,3,0,28,21.4,1,14.0,7.0,0.5,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
48,47,47,2023/1/21,26-144,PHO,,IND,W (+5),1,37.45,9.0,19.0,0.474,2.0,5.0,0.4,2,2,1,2,2,4,4,4,0,3,2,22,17.3,-2,14.0,7.0,0.5,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
49,48,48,2023/1/22,26-145,PHO,,MEM,W (+2),1,40.766666666666666,8.0,21.0,0.381,4.0,10.0,0.4,4,4,1,0,5,5,4,1,1,0,2,24,17.7,-4,11.0,4.0,0.363636364,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
50,49,49,2023/1/24,26-147,PHO,,CHO,W (+31),1,30.15,7.0,16.0,0.438,2.0,5.0,0.4,2,2,1,0,2,2,3,1,1,2,2,18,11.2,11,11.0,5.0,0.454545455,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
51,50,50,2023/1/26,26-149,PHO,,DAL,L (-4),1,42.333333333333336,5.0,12.0,0.417,2.0,5.0,0.4,4,4,1,1,3,4,4,0,0,0,0,16,14,6,7.0,3.0,0.428571429,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
52,51,51,2023/1/28,26-151,PHO,@,SAS,W (+10),1,40.93333333333333,10.0,18.0,0.556,1.0,4.0,0.25,4,5,0.8,1,0,1,4,1,1,0,3,25,20,6,14.0,9.0,0.642857143,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
53,52,52,2023/1/30,26-153,PHO,,TOR,W (+8),1,38.93333333333333,12.0,19.0,0.632,3.0,4.0,0.75,2,2,1,0,3,3,6,3,1,2,1,29,26.9,4,15.0,9.0,0.6,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
54,53,53,2023/2/1,26-155,PHO,,ATL,L (-32),1,29.983333333333334,6.0,18.0,0.333,1.0,7.0,0.143,10,10,1,1,4,5,7,0,0,2,1,23,17.2,-18,11.0,5.0,0.454545455,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
55,54,54,2023/2/3,26-157,PHO,@,BOS,W (+12),1,38.233333333333334,9.0,20.0,0.45,0.0,3.0,0,7,7,1,0,2,2,3,0,0,0,4,25,15.7,-10,17.0,9.0,0.529411765,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
56,55,55,2023/2/4,26-158,PHO,@,DET,W (+16),1,34.8,9.0,15.0,0.6,3.0,7.0,0.429,3,5,0.6,1,1,2,3,2,1,4,2,24,17.3,20,8.0,6.0,0.75,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
57,56,56,2023/2/7,26-161,PHO,@,BRK,W (+4),1,37.166666666666664,8.0,18.0,0.444,2.0,6.0,0.333,3,3,1,3,5,8,2,1,0,1,2,21,15.8,0,12.0,6.0,0.5,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
58,57,,2023/2/9,26-163,BRK,,CHI,W (+11),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
59,58,57,2023/2/11,26-165,BRK,,PHI,L (-3),1,34.18333333333333,8.0,18.0,0.444,3.0,5.0,0.6,4,4,1,3,3,6,1,2,0,1,2,23,17.5,-8,13.0,5.0,0.384615385,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
60,59,58,2023/2/13,26-167,BRK,@,NYK,L (-18),1,28.65,2.0,8.0,0.25,1.0,3.0,0.333,2,4,0.5,1,4,5,3,0,1,3,2,7,2.3,-9,5.0,1.0,0.2,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
61,60,59,2023/2/15,26-169,BRK,,MIA,W (+11),1,36.016666666666666,17.0,24.0,0.708,4.0,6.0,0.667,7,7,1,3,5,8,5,2,2,3,1,45,42.1,15,18.0,13.0,0.722222222,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
62,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
63,61,60,2023/2/24,26-178,BRK,@,CHI,L (-44),1,26.7,4.0,10.0,0.4,2.0,5.0,0.4,3,3,1,0,6,6,2,0,0,2,3,13,7.6,-33,5.0,2.0,0.4,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
64,62,61,2023/2/26,26-180,BRK,@,ATL,L (-2),1,37.9,8.0,16.0,0.5,2.0,6.0,0.333,6,6,1,0,5,5,3,2,2,0,2,24,22.2,7,10.0,6.0,0.6,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
65,63,62,2023/2/28,26-182,BRK,,MIL,L (-14),1,36.63333333333333,11.0,19.0,0.579,3.0,7.0,0.429,6,7,0.857,1,1,2,5,2,0,2,1,31,25.8,-4,12.0,8.0,0.666666667,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
66,64,63,2023/3/1,26-183,BRK,@,NYK,L (-24),1,29.616666666666667,6.0,13.0,0.462,1.0,2.0,0.5,8,8,1,2,1,3,3,1,0,1,2,21,17.3,-22,11.0,5.0,0.454545455,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
67,65,64,2023/3/3,26-185,BRK,@,BOS,W (+10),1,42.75,13.0,22.0,0.591,4.0,6.0,0.667,8,9,0.889,3,7,10,4,1,0,2,3,38,32.2,8,16.0,9.0,0.5625,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
68,66,65,2023/3/5,26-187,BRK,,CHO,W (+16),1,40.96666666666667,12.0,21.0,0.571,2.0,4.0,0.5,7,8,0.875,1,7,8,2,0,1,0,1,33,27.2,14,17.0,10.0,0.588235294,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
69,67,66,2023/3/7,26-189,BRK,@,HOU,W (+22),1,36.016666666666666,9.0,20.0,0.45,4.0,10.0,0.4,8,8,1,0,0,0,5,1,2,1,2,30,23.7,11,10.0,5.0,0.5,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
70,68,67,2023/3/9,26-191,BRK,@,MIL,L (-5),1,12.0,4.0,13.0,0.308,2.0,3.0,0.667,0,0,,0,1,1,0,2,0,0,0,10,4.8,-17,10.0,2.0,0.2,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
71,69,68,2023/3/10,26-192,BRK,@,MIN,W (+1),1,46.5,13.0,24.0,0.542,4.0,8.0,0.5,4,6,0.667,0,6,6,1,0,0,4,2,34,19.3,-6,16.0,9.0,0.5625,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
72,70,69,2023/3/12,26-194,BRK,@,DEN,W (+2),1,38.06666666666667,7.0,16.0,0.438,3.0,8.0,0.375,8,9,0.889,0,3,3,2,1,0,1,0,25,18.5,2,8.0,4.0,0.5,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
73,71,70,2023/3/14,26-196,BRK,@,OKC,L (-14),1,37.766666666666666,11.0,23.0,0.478,3.0,10.0,0.3,9,11,0.818,0,4,4,2,0,4,3,3,34,22.7,-12,13.0,8.0,0.615384615,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
74,72,71,2023/3/16,26-198,BRK,,SAC,L (-5),1,35.166666666666664,7.0,17.0,0.412,2.0,7.0,0.286,7,8,0.875,0,4,4,2,1,0,1,3,23,14.9,-9,10.0,5.0,0.5,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
75,73,72,2023/3/19,26-201,BRK,,DEN,L (-6),1,31.016666666666666,8.0,18.0,0.444,3.0,8.0,0.375,4,4,1,0,1,1,1,0,0,4,2,23,9.8,-16,10.0,5.0,0.5,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
76,74,73,2023/3/21,26-203,BRK,,CLE,L (-6),1,37.05,9.0,21.0,0.429,0.0,8.0,0,0,0,,1,3,4,1,0,0,2,0,18,7.2,-16,13.0,9.0,0.692307692,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
77,75,74,2023/3/23,26-205,BRK,,CLE,L (-2),1,34.05,11.0,19.0,0.579,2.0,7.0,0.286,8,8,1,1,5,6,1,0,0,1,3,32,23.8,-14,12.0,9.0,0.75,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
78,76,75,2023/3/25,26-207,BRK,@,MIA,W (+29),1,38.1,7.0,19.0,0.368,3.0,9.0,0.333,10,11,0.909,0,3,3,7,2,0,2,1,27,21.5,31,10.0,4.0,0.4,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
79,77,76,2023/3/26,26-208,BRK,@,ORL,L (-13),1,34.416666666666664,13.0,22.0,0.591,6.0,9.0,0.667,12,12,1,1,5,6,1,1,1,2,1,44,36,-11,13.0,7.0,0.538461538,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
80,78,77,2023/3/29,26-211,BRK,,HOU,W (+9),1,40.36666666666667,8.0,17.0,0.471,4.0,6.0,0.667,7,8,0.875,2,4,6,6,0,1,3,3,27,21.2,14,11.0,4.0,0.363636364,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
81,79,78,2023/3/31,26-213,BRK,,ATL,W (+17),1,35.666666666666664,16.0,24.0,0.667,5.0,8.0,0.625,5,5,1,3,1,4,3,1,0,3,1,42,33.7,30,16.0,11.0,0.6875,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
82,80,79,2023/4/2,26-215,BRK,,UTA,W (+1),1,38.93333333333333,9.0,25.0,0.36,1.0,8.0,0.125,11,13,0.846,0,7,7,2,3,0,1,2,30,20,8,17.0,8.0,0.470588235,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
83,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
84,81,80,2023/4/4,26-217,BRK,,MIN,L (-5),1,39.96666666666667,9.0,24.0,0.375,1.0,5.0,0.2,5,6,0.833,0,5,5,2,2,1,3,2,24,12.2,-9,19.0,8.0,0.421052632,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
85,82,81,2023/4/5,26-218,BRK,@,DET,W (+15),1,37.55,10.0,26.0,0.385,2.0,11.0,0.182,4,5,0.8,1,2,3,6,0,1,1,0,26,16.6,25,15.0,8.0,0.533333333,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
86,83,82,2023/4/7,26-220,BRK,,ORL,W (+17),1,36.833333333333336,7.0,24.0,0.292,1.0,12.0,0.083,7,9,0.778,0,5,5,2,2,0,3,1,22,8.7,14,12.0,6.0,0.5,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
87,84,83,2023/4/9,26-222,BRK,,PHI,L (-29),1,0.06666666666666667,0.0,0.0,,0.0,0.0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,0,0.0,0.0,,43,42,28,35,56,37,47,30,31,38,0,47,46,30,53,61,42,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671
