Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Gordon,Shared Games with Bones Hyland,Shared Games with Bruce Brown,Shared Games with Christian Braun,Shared Games with Davon Reed,Shared Games with DeAndre Jordan,Shared Games with Ish Smith,Shared Games with Jack White,Shared Games with Jeff Green,Shared Games with Kentavious Caldwell-Pope,Shared Games with Michael Porter Jr.,Shared Games with Nikola Jokić,Shared Games with Peyton Watson,Shared Games with Vlatko Čančar,Shared Games with Zeke Nnaji,Aaron Gordon,Bones Hyland,Bruce Brown,Christian Braun,Collin Gillespie,Davon Reed,DeAndre Jordan,Ish Smith,Jack White,Jeff Green,Kentavious Caldwell-Pope,Michael Porter Jr.,Nikola Jokić,Peyton Watson,Vlatko Čančar,Zeke Nnaji,co_inf with Aaron Gordon,co_inf with Bones Hyland,co_inf with Bruce Brown,co_inf with Christian Braun,co_inf with Collin Gillespie,co_inf with Davon Reed,co_inf with DeAndre Jordan,co_inf with Ish Smith,co_inf with Jack White,co_inf with Jeff Green,co_inf with Kentavious Caldwell-Pope,co_inf with Michael Porter Jr.,co_inf with Nikola Jokić,co_inf with Peyton Watson,co_inf with Vlatko Čančar,co_inf with Zeke Nnaji,Shared Games with Reggie Jackson,Shared Games with Thomas Bryant,Donovan Williams,Reggie Jackson,Thomas Bryant,co_inf with Reggie Jackson,co_inf with Donovan Williams,co_inf with Thomas Bryant,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
29,29,25,2022-12-18,25-298,DEN,,CHO,W (+4),1,34:49,2.0,11.0,.182,0.0,6.0,.000,2,4.0,.500,0.0,1.0,1.0,11.0,0.0,0.0,3.0,0.0,6.0,3.3,+12,5.0,2.0,0.4,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,0.0,90.0,5.294117647058823,2.5,100.2,5.894117647058824
30,30,,2022-12-20,25-300,DEN,,MEM,W (+14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,,77.0,4.529411764705882,0.0,88.9,5.229411764705882
31,31,26,2022-12-23,25-303,DEN,,POR,W (+13),1,39:19,9.0,17.0,.529,3.0,5.0,.600,4,6.0,.667,0.0,8.0,8.0,12.0,2.0,0.0,3.0,2.0,25.0,24.9,+20,12.0,6.0,0.5,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,21.0,76.0,4.470588235294118,23.3,87.29999999999998,5.1352941176470575
32,32,27,2022-12-25,25-305,DEN,,PHO,W (+3),1,43:11,7.0,19.0,.368,5.0,11.0,.455,7,8.0,.875,0.0,5.0,5.0,5.0,2.0,1.0,3.0,0.0,26.0,19.8,+2,8.0,2.0,0.25,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,9.0,83.0,4.882352941176471,17.000000000000004,87.2,5.129411764705883
33,33,28,2022-12-27,25-307,DEN,@,SAC,W (+7),1,37:49,7.0,15.0,.467,3.0,7.0,.429,8,8.0,1.000,1.0,4.0,5.0,7.0,2.0,0.0,1.0,1.0,25.0,24.7,+5,8.0,4.0,0.5,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,15.0,77.0,4.529411764705882,21.500000000000004,83.6,4.917647058823529
34,34,,2022-12-28,25-308,DEN,@,SAC,L (-1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,,83.0,4.882352941176471,0.0,98.9,5.81764705882353
35,35,29,2022-12-30,25-310,DEN,,MIA,W (+5),1,33:33,4.0,9.0,.444,1.0,3.0,.333,5,5.0,1.000,0.0,2.0,2.0,6.0,0.0,0.0,3.0,2.0,14.0,10.3,-9,6.0,3.0,0.5,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,5.0,89.0,5.235294117647059,8.299999999999997,95.4,5.611764705882353
36,36,,2023-01-01,25-312,DEN,,BOS,W (+12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,,113.0,6.647058823529412,0.0,122.39999999999998,7.199999999999998
37,37,30,2023-01-02,25-313,DEN,@,MIN,L (-13),1,35:53,6.0,12.0,.500,1.0,3.0,.333,1,1.0,1.000,1.0,2.0,3.0,4.0,1.0,0.0,2.0,0.0,14.0,11.1,-5,9.0,5.0,0.5555555555555556,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,7.0,68.0,4.0,10.7,75.89999999999999,4.46470588235294
38,38,31,2023-01-05,25-316,DEN,,LAC,W (+31),1,21:21,7.0,10.0,.700,4.0,5.0,.800,0,0.0,,0.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,18.0,14.9,+21,5.0,3.0,0.6,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,13.0,100.0,5.882352941176471,14.9,101.8,5.988235294117647
39,39,32,2023-01-06,25-317,DEN,,CLE,W (+13),1,32:23,7.0,13.0,.538,2.0,5.0,.400,2,2.0,1.000,2.0,2.0,4.0,2.0,1.0,2.0,1.0,3.0,18.0,15.3,+7,8.0,5.0,0.625,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,11.0,99.0,5.823529411764706,14.5,102.09999999999998,6.005882352941176
40,40,33,2023-01-09,25-320,DEN,,LAL,W (+13),1,35:33,13.0,29.0,.448,5.0,9.0,.556,3,4.0,.750,4.0,3.0,7.0,4.0,2.0,0.0,3.0,2.0,34.0,23.2,+3,20.0,8.0,0.4,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,11.0,98.0,5.764705882352941,22.0,92.49999999999996,5.441176470588233
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,,0.0,0.0,0.0,0.0,0.0
42,41,34,2023-01-11,25-322,DEN,,PHO,W (+29),1,25:29,6.0,13.0,.462,2.0,5.0,.400,2,3.0,.667,0.0,2.0,2.0,6.0,0.0,0.0,2.0,1.0,16.0,11.3,+20,8.0,4.0,0.5,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,6.0,76.0,4.470588235294118,10.499999999999998,89.59999999999998,5.270588235294117
43,42,35,2023-01-13,25-324,DEN,@,LAC,W (+12),1,39:06,8.0,17.0,.471,4.0,7.0,.571,4,4.0,1.000,3.0,5.0,8.0,4.0,0.0,0.0,3.0,0.0,24.0,18.7,+3,10.0,4.0,0.4,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,12.0,65.0,3.823529411764706,17.099999999999994,77.19999999999997,4.541176470588233
44,43,36,2023-01-15,25-326,DEN,,ORL,W (+3),1,38:23,6.0,17.0,.353,3.0,10.0,.300,3,3.0,1.000,2.0,2.0,4.0,7.0,0.0,0.0,4.0,4.0,18.0,9.8,-9,7.0,3.0,0.4285714285714285,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,5.0,80.0,4.705882352941177,8.6,92.6,5.447058823529411
45,44,37,2023-01-17,25-328,DEN,,POR,W (+9),1,30:16,6.0,15.0,.400,3.0,7.0,.429,2,2.0,1.000,0.0,5.0,5.0,7.0,2.0,1.0,0.0,1.0,17.0,17.6,+13,8.0,3.0,0.375,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,15.0,73.0,4.294117647058823,16.799999999999997,86.10000000000001,5.064705882352942
46,45,38,2023-01-18,25-329,DEN,,MIN,W (+4),1,33:18,10.0,18.0,.556,2.0,5.0,.400,6,6.0,1.000,0.0,2.0,2.0,4.0,2.0,0.0,1.0,0.0,28.0,23.8,-13,13.0,8.0,0.6153846153846154,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,11.0,61.0,3.588235294117647,21.4,72.7,4.276470588235294
47,46,39,2023-01-20,25-331,DEN,,IND,W (+23),1,29:28,4.0,8.0,.500,2.0,2.0,1.000,7,7.0,1.000,5.0,5.0,10.0,14.0,2.0,0.0,3.0,1.0,17.0,26.4,+15,6.0,2.0,0.3333333333333333,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,25.0,90.0,5.294117647058823,23.6,103.6,6.094117647058823
48,47,40,2023-01-22,25-333,DEN,,OKC,L (-2),1,38:17,11.0,23.0,.478,1.0,6.0,.167,3,4.0,.750,0.0,5.0,5.0,9.0,0.0,0.0,1.0,1.0,26.0,20.3,-4,17.0,10.0,0.5882352941176471,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,12.0,71.0,4.176470588235294,19.1,87.2,5.129411764705883
49,48,41,2023-01-24,25-335,DEN,@,NOP,W (+1),1,40:13,11.0,21.0,.524,3.0,8.0,.375,0,0.0,,0.0,1.0,1.0,7.0,3.0,0.0,2.0,0.0,25.0,20.9,+6,13.0,8.0,0.6153846153846154,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,13.0,61.0,3.588235294117647,20.9,68.89999999999999,4.052941176470588
50,49,,2023-01-25,25-336,DEN,@,MIL,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,,65.0,3.823529411764706,0.0,71.19999999999999,4.188235294117646
51,50,42,2023-01-28,25-339,DEN,@,PHI,L (-7),1,38:48,7.0,16.0,.438,2.0,7.0,.286,6,7.0,.857,1.0,3.0,4.0,6.0,1.0,0.0,4.0,3.0,22.0,14.8,-14,9.0,5.0,0.5555555555555556,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,6.0,86.0,5.0588235294117645,12.4,92.4,5.435294117647059
52,51,43,2023-01-31,25-342,DEN,,NOP,W (+9),1,35:44,10.0,21.0,.476,7.0,12.0,.583,5,5.0,1.000,1.0,4.0,5.0,6.0,0.0,0.0,5.0,1.0,32.0,22.0,+18,9.0,3.0,0.3333333333333333,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,12.0,87.0,5.117647058823529,20.00000000000001,97.3,5.723529411764706
53,52,44,2023-02-02,25-344,DEN,,GSW,W (+17),1,30:17,12.0,23.0,.522,3.0,11.0,.273,6,8.0,.750,0.0,5.0,5.0,8.0,1.0,0.0,1.0,3.0,33.0,26.8,+14,12.0,9.0,0.75,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,15.0,96.0,5.647058823529412,24.4,111.1,6.535294117647059
54,53,45,2023-02-04,25-346,DEN,,ATL,W (+20),1,36:02,15.0,24.0,.625,7.0,12.0,.583,4,4.0,1.000,1.0,4.0,5.0,7.0,1.0,0.0,1.0,0.0,41.0,37.0,+25,12.0,8.0,0.6666666666666666,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,25.0,87.0,5.117647058823529,35.400000000000006,89.30000000000003,5.25294117647059
55,54,,2023-02-05,25-347,DEN,@,MIN,L (-30),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,,46.0,2.7058823529411766,0.0,60.3,3.5470588235294116
56,55,,2023-02-07,25-349,DEN,,MIN,W (+34),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,,130.0,7.647058823529412,0.0,142.8,8.4
57,56,,2023-02-09,25-351,DEN,@,ORL,L (-11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,,55.0,3.235294117647059,0.0,71.2,4.188235294117647
58,57,,2023-02-11,25-353,DEN,@,CHO,W (+14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,,102.0,6.0,0.0,116.2,6.835294117647059
59,58,,2023-02-13,25-355,DEN,@,MIA,W (+4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,,92.0,5.411764705882353,0.0,97.2,5.7176470588235295
