Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Gordon,Shared Games with Bones Hyland,Shared Games with Bruce Brown,Shared Games with Christian Braun,Shared Games with Davon Reed,Shared Games with Ish Smith,Shared Games with Jack White,Shared Games with Jamal Murray,Shared Games with Jeff Green,Shared Games with Kentavious Caldwell-Pope,Shared Games with Michael Porter Jr.,Shared Games with Nikola Jokić,Shared Games with Peyton Watson,Shared Games with Vlatko Čančar,Shared Games with Zeke Nnaji,Aaron Gordon,Bones Hyland,Bruce Brown,Christian Braun,Collin Gillespie,Davon Reed,Ish Smith,Jack White,Jamal Murray,Jeff Green,Kentavious Caldwell-Pope,Michael Porter Jr.,Nikola Jokić,Peyton Watson,Vlatko Čančar,Zeke Nnaji,co_inf with Aaron Gordon,co_inf with Bones Hyland,co_inf with Bruce Brown,co_inf with Christian Braun,co_inf with Collin Gillespie,co_inf with Davon Reed,co_inf with Ish Smith,co_inf with Jack White,co_inf with Jamal Murray,co_inf with Jeff Green,co_inf with Kentavious Caldwell-Pope,co_inf with Michael Porter Jr.,co_inf with Nikola Jokić,co_inf with Peyton Watson,co_inf with Vlatko Čančar,co_inf with Zeke Nnaji,Shared Games with Reggie Jackson,Shared Games with Thomas Bryant,Donovan Williams,Reggie Jackson,Thomas Bryant,co_inf with Reggie Jackson,co_inf with Donovan Williams,co_inf with Thomas Bryant,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
29,29,24,2022-12-18,34-150,DEN,,CHO,W (+4),0,8:19,0.0,0.0,,0.0,0.0,,1,2.0,.500,1.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,1.8,-16,0.0,0.0,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,3.0,87.0,5.117647058823529,1.4,101.29999999999998,5.958823529411764
30,30,,2022-12-20,34-152,DEN,,MEM,W (+14),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,77.0,4.529411764705882,0.0,88.9,5.229411764705882
31,31,,2022-12-23,34-155,DEN,,POR,W (+13),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,97.0,5.705882352941177,0.0,110.59999999999998,6.505882352941176
32,32,,2022-12-25,34-157,DEN,,PHO,W (+3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,92.0,5.411764705882353,0.0,104.2,6.129411764705883
33,33,25,2022-12-27,34-159,DEN,@,SAC,W (+7),0,6:42,2.0,2.0,1.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,5.7,-8,2.0,2.0,1.0,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,5.0,87.0,5.117647058823529,5.699999999999999,99.4,5.847058823529412
34,34,26,2022-12-28,34-160,DEN,@,SAC,L (-1),0,15:31,0.0,2.0,.000,0.0,0.0,,1,2.0,.500,1.0,6.0,7.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0,2.0,0.0,0.0,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,3.0,80.0,4.705882352941177,-0.3999999999999999,99.3,5.841176470588235
35,35,27,2022-12-30,34-162,DEN,,MIA,W (+5),0,11:43,3.0,4.0,.750,0.0,0.0,,0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,6.0,4.5,-9,4.0,3.0,0.75,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,5.0,89.0,5.235294117647059,4.5,99.2,5.835294117647059
36,36,,2023-01-01,34-164,DEN,,BOS,W (+12),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,113.0,6.647058823529412,0.0,122.39999999999998,7.199999999999998
37,37,,2023-01-02,34-165,DEN,@,MIN,L (-13),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,75.0,4.411764705882353,0.0,86.59999999999998,5.094117647058822
38,38,,2023-01-05,34-168,DEN,,LAC,W (+31),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,113.0,6.647058823529412,0.0,116.7,6.864705882352942
39,39,28,2023-01-06,34-169,DEN,,CLE,W (+13),0,5:56,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,2.0,2.0,1.0,0.0,2.0,0.0,3.0,2.0,3.2,-1,1.0,1.0,1.0,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,6.0,104.0,6.117647058823529,3.2,113.4,6.670588235294118
40,40,,2023-01-09,34-172,DEN,,LAL,W (+13),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,109.0,6.411764705882353,0.0,114.49999999999996,6.735294117647056
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,0.0,0.0,0.0,0.0,0.0
42,41,,2023-01-11,34-174,DEN,,PHO,W (+29),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,82.0,4.823529411764706,0.0,100.09999999999998,5.888235294117646
43,42,29,2023-01-13,34-176,DEN,@,LAC,W (+12),1,26:29,4.0,4.0,1.000,0.0,0.0,,0,0.0,,0.0,6.0,6.0,3.0,0.0,0.0,3.0,1.0,8.0,7.3,+8,4.0,4.0,1.0,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,10.0,67.0,3.941176470588236,7.299999999999999,86.99999999999999,5.117647058823529
44,43,30,2023-01-15,34-178,DEN,,ORL,W (+3),0,13:13,1.0,1.0,1.000,0.0,0.0,,0,2.0,.000,1.0,2.0,3.0,0.0,0.0,0.0,2.0,4.0,2.0,-1.4,-13,1.0,1.0,1.0,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,0.0,85.0,5.0,-1.4,102.6,6.035294117647059
45,44,,2023-01-17,34-180,DEN,,POR,W (+9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,88.0,5.176470588235294,0.0,102.9,6.052941176470589
46,45,,2023-01-18,34-181,DEN,,MIN,W (+4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,72.0,4.235294117647059,0.0,94.1,5.535294117647059
47,46,31,2023-01-20,34-183,DEN,,IND,W (+23),0,17:49,5.0,7.0,.714,0.0,0.0,,0,0.0,,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,10.0,9.5,+6,7.0,5.0,0.7142857142857143,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,8.0,107.0,6.294117647058823,9.500000000000002,117.7,6.923529411764706
48,47,,2023-01-22,34-185,DEN,,OKC,L (-2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,83.0,4.882352941176471,0.0,106.3,6.252941176470588
49,48,,2023-01-24,34-187,DEN,@,NOP,W (+1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,74.0,4.352941176470588,0.0,89.79999999999998,5.28235294117647
50,49,32,2023-01-25,34-188,DEN,@,MIL,L (-8),0,10:49,1.0,1.0,1.000,0.0,0.0,,0,0.0,,1.0,2.0,3.0,2.0,1.0,0.0,1.0,6.0,2.0,2.0,-13,1.0,1.0,1.0,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,6.0,59.0,3.4705882352941178,1.9999999999999991,69.19999999999999,4.070588235294117
51,50,,2023-01-28,34-191,DEN,@,PHI,L (-7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,92.0,5.411764705882353,0.0,104.8,6.164705882352941
52,51,,2023-01-31,34-194,DEN,,NOP,W (+9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,99.0,5.823529411764706,0.0,117.30000000000004,6.900000000000002
53,52,,2023-02-02,34-196,DEN,,GSW,W (+17),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,111.0,6.529411764705882,0.0,135.5,7.970588235294118
54,53,,2023-02-04,34-198,DEN,,ATL,W (+20),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,112.0,6.588235294117647,0.0,124.70000000000005,7.335294117647061
55,54,33,2023-02-05,34-199,DEN,@,MIN,L (-30),1,24:45,3.0,5.0,.600,0.0,0.0,,0,1.0,.000,1.0,5.0,6.0,0.0,1.0,1.0,2.0,1.0,6.0,4.8,-11,5.0,3.0,0.6,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,6.0,40.0,2.3529411764705883,4.799999999999999,55.49999999999999,3.2647058823529407
56,55,,2023-02-07,34-201,DEN,,MIN,W (+34),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,130.0,7.647058823529412,0.0,142.8,8.4
57,56,,2023-02-09,34-203,DEN,@,ORL,L (-11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,55.0,3.235294117647059,0.0,71.2,4.188235294117647
58,57,34,2023-02-11,34-205,DEN,@,CHO,W (+14),0,11:56,4.0,4.0,1.000,0.0,0.0,,1,2.0,.500,1.0,3.0,4.0,1.0,0.0,1.0,3.0,5.0,9.0,5.4,-6,4.0,4.0,1.0,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,6.0,96.0,5.647058823529412,4.9999999999999964,111.2,6.541176470588235
59,58,,2023-02-13,34-207,DEN,@,MIA,W (+4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,92.0,5.411764705882353,0.0,97.2,5.7176470588235295
