Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Danuel House Jr.,Shared Games with De'Anthony Melton,Shared Games with Furkan Korkmaz,Shared Games with Georges Niang,Shared Games with Jaden Springer,Shared Games with James Harden,Shared Games with Joel Embiid,Shared Games with Julian Champagnie,Shared Games with Louis King,Shared Games with Mac McClung,Shared Games with Matisse Thybulle,Shared Games with Michael Foster Jr.,Shared Games with Montrezl Harrell,Shared Games with P.J. Tucker,Shared Games with Paul Reed,Shared Games with Shake Milton,Shared Games with Tobias Harris,Shared Games with Tyrese Maxey,Danuel House Jr.,De'Anthony Melton,Furkan Korkmaz,Georges Niang,Jaden Springer,James Harden,Joel Embiid,Julian Champagnie,Louis King,Mac McClung,Matisse Thybulle,Michael Foster Jr.,Montrezl Harrell,P.J. Tucker,Paul Reed,Shake Milton,Tobias Harris,Tyrese Maxey,co_inf with Danuel House Jr.,co_inf with De'Anthony Melton,co_inf with Furkan Korkmaz,co_inf with Georges Niang,co_inf with Jaden Springer,co_inf with James Harden,co_inf with Joel Embiid,co_inf with Julian Champagnie,co_inf with Louis King,co_inf with Mac McClung,co_inf with Matisse Thybulle,co_inf with Michael Foster Jr.,co_inf with Montrezl Harrell,co_inf with P.J. Tucker,co_inf with Paul Reed,co_inf with Shake Milton,co_inf with Tobias Harris,co_inf with Tyrese Maxey
35,35,,2023-02-26,23-248,PHO,@,MIL,L (-3),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
36,36,,2023-03-01,23-251,PHO,@,CHO,W (+14),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
37,37,21,2023-03-03,23-253,PHO,@,CHI,W (+21),0,1.5166666666666666,0.0,0.0,,0.0,0.0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,0,0.0,0.0,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
38,38,,2023-03-05,23-255,PHO,@,DAL,W (+4),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
39,39,22,2023-03-08,23-258,PHO,,OKC,W (+31),0,6.233333333333333,0.0,4.0,.000,0.0,1.0,.000,2,2,1.000,1,0,1,0,0,0,0,0,2,-0.1,-4,3.0,0.0,0.0,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
40,40,,2023-03-11,23-261,PHO,,SAC,L (-9),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
41,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
42,41,,2023-03-13,23-263,PHO,@,GSW,L (-11),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
43,42,,2023-03-14,23-264,PHO,,MIL,L (-12),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
44,43,,2023-03-16,23-266,PHO,,ORL,W (+3),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
45,44,,2023-03-19,23-269,PHO,@,OKC,L (-4),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
46,45,,2023-03-22,23-272,PHO,@,LAL,L (-11),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
47,46,,2023-03-24,23-274,PHO,@,SAC,L (-8),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
48,47,,2023-03-25,23-275,PHO,,PHI,W (+20),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
49,48,,2023-03-27,23-277,PHO,@,UTA,W (+14),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
50,49,,2023-03-29,23-279,PHO,,MIN,W (+7),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
51,50,,2023-03-31,23-281,PHO,,DEN,W (+7),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
52,51,,2023-04-02,23-283,PHO,@,OKC,W (+10),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
53,52,23,2023-04-04,23-285,PHO,,SAS,W (+21),0,2.9333333333333336,0.0,0.0,,0.0,0.0,,0,2,.000,0,1,1,0,1,0,0,0,0,0.5,+2,0.0,0.0,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
54,53,,2023-04-06,23-287,PHO,,DEN,W (+4),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
55,54,24,2023-04-07,23-288,PHO,@,LAL,L (-14),0,24.4,4.0,12.0,.333,1.0,2.0,.500,0,0,,1,3,4,2,1,0,0,2,9,5.4,-19,10.0,3.0,0.3,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
56,55,25,2023-04-09,23-290,PHO,,LAC,L (-5),1,44.21666666666667,8.0,21.0,.381,3.0,8.0,.375,6,8,.750,1,2,3,10,2,0,1,3,25,20.8,-9,13.0,5.0,0.3846153846153846,2,2,0,2,0,2,2,0,0,0,1,0,2,2,1,0,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.0,0.0256410256410256,0.0,0.0344827586206896,0.0303030303030303,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0144927536231884,0.0,0.027027027027027,0.0333333333333333
