Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Danuel House Jr.,Shared Games with De'Anthony Melton,Shared Games with Furkan Korkmaz,Shared Games with Georges Niang,Shared Games with Jaden Springer,Shared Games with James Harden,Shared Games with Joel Embiid,Shared Games with Julian Champagnie,Shared Games with Louis King,Shared Games with Mac McClung,Shared Games with Matisse Thybulle,Shared Games with Montrezl Harrell,Shared Games with P.J. Tucker,Shared Games with Paul Reed,Shared Games with Tobias Harris,Shared Games with Tyrese Maxey,Danuel House Jr.,De'Anthony Melton,Furkan Korkmaz,Georges Niang,Jaden Springer,James Harden,Joel Embiid,Julian Champagnie,Louis King,Mac McClung,Matisse Thybulle,Michael Foster Jr.,Montrezl Harrell,P.J. Tucker,Paul Reed,Saben Lee,Tobias Harris,Tyrese Maxey,co_inf with Danuel House Jr.,co_inf with De'Anthony Melton,co_inf with Furkan Korkmaz,co_inf with Georges Niang,co_inf with Jaden Springer,co_inf with James Harden,co_inf with Joel Embiid,co_inf with Julian Champagnie,co_inf with Louis King,co_inf with Mac McClung,co_inf with Matisse Thybulle,co_inf with Michael Foster Jr.,co_inf with Montrezl Harrell,co_inf with P.J. Tucker,co_inf with Paul Reed,co_inf with Saben Lee,co_inf with Tobias Harris,co_inf with Tyrese Maxey,Shared Games with Jalen McDaniels,Shared Games with Dewayne Dedmon,Dewayne Dedmon,Grant Williams,Jalen McDaniels,co_inf with Jalen McDaniels,co_inf with Dewayne Dedmon,co_inf with Grant Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
29,29,25,2022-12-19,26-084,PHI,,TOR,W (+3),0,18:35,2.0,7.0,.286,0.0,2.0,.000,0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,4.0,1.9,-16,5.0,2.0,0.4,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,1.0,66.0,3.6666666666666665,1.9,65.49999999999999,3.638888888888888
30,30,26,2022-12-21,26-086,PHI,,DET,W (+20),0,32:12,3.0,8.0,.375,1.0,3.0,.333,2,2.0,1.000,0.0,5.0,5.0,5.0,0.0,0.0,1.0,1.0,9.0,8.2,+14,5.0,2.0,0.4,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,8.0,81.0,4.5,7.399999999999999,84.2,4.677777777777778
31,31,27,2022-12-23,26-088,PHI,,LAC,W (+5),0,22:47,6.0,10.0,.600,0.0,1.0,.000,1,1.0,1.000,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,13.0,9.2,-10,9.0,6.0,0.6666666666666666,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,5.0,87.0,4.833333333333333,8.799999999999999,93.5,5.194444444444445
32,32,28,2022-12-25,26-090,PHI,@,NYK,W (+7),0,23:23,3.0,5.0,.600,2.0,2.0,1.000,0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,8.0,7.3,+9,3.0,1.0,0.3333333333333333,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,7.0,75.0,4.166666666666667,7.299999999999997,91.7,5.094444444444445
33,33,29,2022-12-27,26-092,PHI,@,WAS,L (-5),0,17:04,0.0,2.0,.000,0.0,1.0,.000,1,2.0,.500,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,-2.6,-4,1.0,0.0,0.0,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,-3.0,69.0,3.8333333333333335,-3.0,86.3,4.794444444444444
34,34,30,2022-12-30,26-095,PHI,@,NOP,L (-11),0,13:11,2.0,2.0,1.000,1.0,1.0,1.000,1,2.0,.500,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,6.0,6.7,-7,1.0,1.0,1.0,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,5.0,77.0,4.277777777777778,6.299999999999998,79.80000000000001,4.433333333333334
35,35,31,2022-12-31,26-096,PHI,@,OKC,W (+19),1,38:14,7.0,14.0,.500,2.0,7.0,.286,2,2.0,1.000,1.0,3.0,4.0,7.0,1.0,0.0,4.0,1.0,18.0,14.1,+19,7.0,5.0,0.7142857142857143,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,10.0,85.0,4.722222222222222,13.3,80.39999999999999,4.466666666666666
36,36,32,2023-01-02,26-098,PHI,,NOP,W (+9),0,12:11,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.3,+4,1.0,0.0,0.0,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,1.0,91.0,5.055555555555555,0.3,97.70000000000002,5.427777777777779
37,37,33,2023-01-04,26-100,PHI,,IND,W (+3),0,18:29,5.0,6.0,.833,1.0,2.0,.500,2,2.0,1.000,0.0,3.0,3.0,4.0,0.0,0.0,0.0,2.0,13.0,13.7,0,4.0,4.0,1.0,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,12.0,82.0,4.555555555555555,12.9,91.5,5.083333333333333
38,38,34,2023-01-06,26-102,PHI,,CHI,L (-14),0,23:05,3.0,7.0,.429,1.0,3.0,.333,0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,2.0,2.0,7.0,2.9,-14,4.0,2.0,0.5,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,2.0,79.0,4.388888888888889,2.9000000000000004,93.4,5.188888888888889
39,39,35,2023-01-08,26-104,PHI,@,DET,W (+12),0,25:12,3.0,7.0,.429,1.0,3.0,.333,1,2.0,.500,1.0,4.0,5.0,6.0,0.0,0.0,2.0,2.0,8.0,7.2,-1,4.0,2.0,0.5,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,8.0,86.0,4.777777777777778,6.799999999999997,95.3,5.294444444444444
40,40,36,2023-01-10,26-106,PHI,,DET,W (+31),0,23:48,4.0,6.0,.667,0.0,1.0,.000,3,3.0,1.000,0.0,1.0,1.0,7.0,0.0,2.0,1.0,4.0,11.0,12.4,+1,5.0,4.0,0.8,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,11.0,116.0,6.444444444444445,11.2,119.29999999999998,6.627777777777776
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,,0.0,0.0,0.0,0.0,0.0
42,41,37,2023-01-12,26-108,PHI,,OKC,L (-19),0,15:06,2.0,7.0,.286,0.0,1.0,.000,0,0.0,,0.0,3.0,3.0,3.0,0.0,0.0,1.0,2.0,4.0,1.1,-4,6.0,2.0,0.3333333333333333,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,2.0,74.0,4.111111111111111,1.0999999999999996,78.4,4.355555555555556
43,42,38,2023-01-14,26-110,PHI,@,UTA,W (+1),0,28:49,7.0,12.0,.583,3.0,5.0,.600,0,0.0,,0.0,4.0,4.0,2.0,0.0,0.0,1.0,3.0,17.0,11.8,+3,7.0,4.0,0.5714285714285714,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,10.0,66.0,3.6666666666666665,11.8,80.79999999999998,4.488888888888888
44,43,39,2023-01-15,26-111,PHI,@,LAL,W (+1),0,13:51,3.0,8.0,.375,2.0,2.0,1.000,0,0.0,,2.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,8.0,4.8,0,6.0,1.0,0.1666666666666666,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,4.0,77.0,4.277777777777778,4.8,82.29999999999998,4.572222222222221
45,44,40,2023-01-17,26-113,PHI,@,LAC,W (+10),0,16:07,1.0,3.0,.333,0.0,1.0,.000,2,2.0,1.000,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,4.0,2.3,+12,2.0,1.0,0.5,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,0.0,80.0,4.444444444444445,1.500000000000001,99.6,5.533333333333333
46,45,41,2023-01-19,26-115,PHI,@,POR,W (+10),0,14:11,4.0,7.0,.571,0.0,0.0,,2,2.0,1.000,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,10.0,8.4,+7,7.0,4.0,0.5714285714285714,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,4.0,92.0,5.111111111111111,7.600000000000002,92.4,5.133333333333334
47,46,42,2023-01-21,26-117,PHI,@,SAC,W (+2),0,29:34,5.0,12.0,.417,1.0,2.0,.500,4,5.0,.800,2.0,4.0,6.0,7.0,1.0,0.0,1.0,2.0,15.0,14.9,0,10.0,4.0,0.4,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,11.0,76.0,4.222222222222222,13.299999999999995,93.0,5.166666666666667
48,47,43,2023-01-25,26-121,PHI,,BRK,W (+4),0,15:06,2.0,4.0,.500,0.0,1.0,.000,0,0.0,,1.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,4.0,5.0,+8,3.0,2.0,0.6666666666666666,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,6.0,81.0,4.5,4.999999999999999,98.4,5.466666666666667
49,48,44,2023-01-28,26-124,PHI,,DEN,W (+7),0,15:26,1.0,3.0,.333,0.0,0.0,,0,0.0,,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.7,+5,3.0,1.0,0.3333333333333333,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,3.0,88.0,4.888888888888889,2.7,102.8,5.711111111111111
50,49,45,2023-01-30,26-126,PHI,,ORL,L (-10),0,16:48,2.0,5.0,.400,1.0,2.0,.500,0,0.0,,1.0,1.0,2.0,3.0,0.0,0.0,3.0,2.0,5.0,1.6,+3,3.0,1.0,0.3333333333333333,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,2.0,70.0,3.888888888888889,1.5999999999999988,71.3,3.961111111111111
51,50,46,2023-02-01,26-128,PHI,,ORL,W (+11),0,14:00,3.0,7.0,.429,2.0,3.0,.667,0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,2.0,2.0,8.0,3.8,+2,4.0,1.0,0.25,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,4.0,72.0,4.0,3.8000000000000007,83.3,4.627777777777777
52,51,47,2023-02-03,26-130,PHI,@,SAS,W (+12),0,22:15,4.0,7.0,.571,0.0,2.0,.000,6,7.0,.857,0.0,2.0,2.0,3.0,2.0,0.0,2.0,2.0,14.0,12.2,+9,5.0,4.0,0.8,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,5.0,82.0,4.555555555555555,9.799999999999995,94.9,5.272222222222222
53,52,48,2023-02-05,26-132,PHI,@,NYK,L (-11),0,9:48,1.0,5.0,.200,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-1.5,-26,4.0,1.0,0.25,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,-3.0,59.0,3.2777777777777777,-1.5,68.9,3.827777777777778
54,53,49,2023-02-08,26-135,PHI,@,BOS,L (-7),0,11:40,1.0,1.0,1.000,0.0,0.0,,0,0.0,,1.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,3.3,-6,1.0,1.0,1.0,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,5.0,52.0,2.888888888888889,3.299999999999999,66.60000000000001,3.7000000000000006
55,54,50,2023-02-10,26-137,PHI,,NYK,W (+11),0,10:11,0.0,2.0,.000,0.0,1.0,.000,2,2.0,1.000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.9,-5,1.0,0.0,0.0,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,-1.0,100.0,5.555555555555555,0.1000000000000002,113.7,6.316666666666666
56,55,51,2023-02-11,26-138,PHI,@,BRK,W (+3),0,14:17,1.0,2.0,.500,0.0,1.0,.000,4,4.0,1.000,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,6.0,7.0,+6,1.0,1.0,1.0,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,4.0,65.0,3.611111111111111,5.399999999999999,63.5,3.5277777777777777
57,56,52,2023-02-13,26-140,PHI,,HOU,W (+19),0,18:37,3.0,4.0,.750,1.0,1.0,1.000,1,1.0,1.000,0.0,3.0,3.0,1.0,0.0,0.0,3.0,1.0,8.0,4.6,+6,3.0,2.0,0.6666666666666666,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,4.0,88.0,4.888888888888889,4.199999999999998,92.3,5.127777777777777
58,57,53,2023-02-15,26-142,PHI,,CLE,W (+6),0,9:41,1.0,3.0,.333,1.0,1.0,1.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.2,+1,2.0,0.0,0.0,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,0.0,79.0,4.388888888888889,0.2000000000000001,86.6,4.811111111111111
59,58,54,2023-02-23,26-150,PHI,,MEM,W (+5),0,8:15,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,+2,0.0,0.0,,50,71,37,72,16,52,60,2,1,2,46,53,69,65,68,54,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,74.0,60.0,0.8928571428571429,0.922077922077922,1.0,0.9230769230769232,1.0,0.896551724137931,0.9090909090909092,0.1176470588235294,1.0,1.0,0.647887323943662,0.0,0.9298245614035088,0.92,0.9420289855072465,0.0,0.918918918918919,0.9,20,8,38.0,79.0,80.0,0.25,0.2105263157894736,0.0,18,0.0,73.0,4.055555555555555,0.0,76.1,4.227777777777778
