Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Ben Simmons,Shared Games with Cam Thomas,Shared Games with David Duke Jr.,Shared Games with Day'Ron Sharpe,Shared Games with Edmond Sumner,Shared Games with Joe Harris,Shared Games with Kessler Edwards,Shared Games with Kevin Durant,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with Nic Claxton,Shared Games with Patty Mills,Shared Games with RaiQuan Gray,Shared Games with Seth Curry,Shared Games with T.J. Warren,Shared Games with Yuta Watanabe,Alondes Williams,Ben Simmons,Cam Thomas,David Duke Jr.,Day'Ron Sharpe,Edmond Sumner,Joe Harris,Kessler Edwards,Kevin Durant,Kyrie Irving,Markieff Morris,Nic Claxton,Patty Mills,RaiQuan Gray,Seth Curry,T.J. Warren,Yuta Watanabe,co_inf with Alondes Williams,co_inf with Ben Simmons,co_inf with Cam Thomas,co_inf with David Duke Jr.,co_inf with Day'Ron Sharpe,co_inf with Edmond Sumner,co_inf with Joe Harris,co_inf with Kessler Edwards,co_inf with Kevin Durant,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with Nic Claxton,co_inf with Patty Mills,co_inf with RaiQuan Gray,co_inf with Seth Curry,co_inf with T.J. Warren,co_inf with Yuta Watanabe,Shared Games with Dorian Finney-Smith,Shared Games with Spencer Dinwiddie,Shared Games with Nerlens Noel,Shared Games with Moses Brown,Shared Games with Cameron Johnson,Shared Games with Dru Smith,Shared Games with Mikal Bridges,Bogdan Bogdanović,Cameron Johnson,Dorian Finney-Smith,Dru Smith,Mikal Bridges,Moses Brown,Nerlens Noel,Payton Pritchard,Spencer Dinwiddie,co_inf with Dorian Finney-Smith,co_inf with Spencer Dinwiddie,co_inf with Nerlens Noel,co_inf with Moses Brown,co_inf with Bogdan Bogdanović,co_inf with Cameron Johnson,co_inf with Dru Smith,co_inf with Mikal Bridges,co_inf with Payton Pritchard,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
23,23,23,2022-11-30,29-178,BRK,,WAS,W (+6),1,39:16,2.0,9.0,.222,1.0,5.0,.200,3,3.0,1.000,2.0,6.0,8.0,7.0,1.0,1.0,1.0,3.0,8.0,10.1,+8,4.0,1.0,0.25,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,12.0,53.0,2.3043478260869565,8.899999999999999,56.1,2.4391304347826086
24,24,24,2022-12-02,29-180,BRK,,TOR,W (+9),1,32:18,4.0,9.0,.444,3.0,6.0,.500,0,2.0,.000,0.0,8.0,8.0,4.0,1.0,0.0,3.0,5.0,11.0,6.7,+9,3.0,1.0,0.3333333333333333,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,10.0,64.0,2.782608695652174,6.699999999999999,81.09999999999998,3.526086956521738
25,25,25,2022-12-04,29-182,BRK,,BOS,L (-11),1,41:22,2.0,12.0,.167,2.0,8.0,.250,0,0.0,,0.0,4.0,4.0,4.0,1.0,1.0,2.0,5.0,6.0,0.1,-11,4.0,0.0,0.0,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,2.0,43.0,1.8695652173913044,0.1000000000000014,50.0,2.1739130434782608
26,26,26,2022-12-07,29-185,BRK,,CHO,W (+6),1,37:22,1.0,6.0,.167,1.0,4.0,.250,0,0.0,,2.0,2.0,4.0,4.0,1.0,0.0,1.0,4.0,3.0,2.4,+3,2.0,0.0,0.0,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,5.0,89.0,3.869565217391304,2.4,109.09999999999998,4.743478260869565
27,27,27,2022-12-09,29-187,BRK,,ATL,W (+4),1,37:19,2.0,5.0,.400,2.0,4.0,.500,0,2.0,.000,3.0,6.0,9.0,5.0,0.0,1.0,3.0,1.0,6.0,7.2,+7,1.0,0.0,0.0,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,11.0,85.0,3.695652173913044,7.1999999999999975,96.2,4.182608695652174
28,28,,2022-12-10,29-188,BRK,@,IND,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,,62.0,2.6956521739130435,0.0,98.89999999999998,4.299999999999999
29,29,,2022-12-12,29-190,BRK,@,WAS,W (+12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,,67.0,2.9130434782608696,0.0,78.09999999999997,3.395652173913042
30,30,28,2022-12-16,29-194,BRK,@,TOR,W (+3),1,32:28,0.0,4.0,.000,0.0,4.0,.000,0,0.0,,0.0,7.0,7.0,3.0,0.0,0.0,3.0,5.0,0.0,-3.6,-4,0.0,0.0,,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,3.0,78.0,3.391304347826087,-3.6000000000000005,85.39999999999999,3.713043478260869
31,31,29,2022-12-18,29-196,BRK,@,DET,W (+3),1,31:37,4.0,6.0,.667,3.0,4.0,.750,0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,1.0,3.0,11.0,8.2,-2,2.0,1.0,0.5,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,8.0,77.0,3.347826086956522,8.2,76.39999999999999,3.321739130434782
32,32,30,2022-12-21,29-199,BRK,,GSW,W (+30),1,26:50,5.0,7.0,.714,4.0,6.0,.667,0,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,3.0,2.0,14.0,10.1,+28,1.0,1.0,1.0,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,8.0,95.0,4.130434782608695,10.099999999999998,106.2,4.6173913043478265
33,33,31,2022-12-23,29-201,BRK,,MIL,W (+18),1,27:48,6.0,9.0,.667,5.0,8.0,.625,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,17.0,11.6,+24,1.0,1.0,1.0,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,8.0,62.0,2.6956521739130435,11.599999999999998,69.2,3.008695652173913
34,34,32,2022-12-26,29-204,BRK,@,CLE,W (+8),1,36:13,4.0,6.0,.667,2.0,3.0,.667,0,0.0,,0.0,3.0,3.0,4.0,0.0,1.0,1.0,4.0,10.0,9.2,+15,3.0,2.0,0.6666666666666666,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,11.0,59.0,2.565217391304348,9.2,61.4,2.6695652173913045
35,35,33,2022-12-28,29-206,BRK,@,ATL,W (+1),1,34:59,3.0,6.0,.500,1.0,4.0,.250,0,0.0,,0.0,4.0,4.0,1.0,0.0,3.0,1.0,3.0,7.0,5.8,+10,2.0,2.0,1.0,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,8.0,63.0,2.739130434782609,5.799999999999998,74.39999999999998,3.2347826086956513
36,36,34,2022-12-31,29-209,BRK,@,CHO,W (+17),1,32:07,5.0,7.0,.714,4.0,6.0,.667,0,0.0,,0.0,3.0,3.0,6.0,0.0,0.0,0.0,1.0,14.0,15.8,+20,1.0,1.0,1.0,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,16.0,79.0,3.4347826086956523,15.8,86.09999999999998,3.7434782608695643
37,37,,2023-01-02,29-211,BRK,,SAS,W (+36),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,,86.0,3.739130434782609,0.0,101.6,4.4173913043478255
38,38,35,2023-01-04,29-213,BRK,@,CHI,L (-9),1,34:44,0.0,9.0,.000,0.0,8.0,.000,0,0.0,,0.0,4.0,4.0,3.0,1.0,0.0,0.0,3.0,0.0,-3.2,-5,1.0,0.0,0.0,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,-1.0,60.0,2.608695652173913,-3.2,71.89999999999999,3.1260869565217386
39,39,36,2023-01-06,29-215,BRK,@,NOP,W (+6),1,36:12,5.0,8.0,.625,4.0,7.0,.571,0,0.0,,0.0,7.0,7.0,1.0,2.0,2.0,2.0,3.0,14.0,13.4,+2,1.0,1.0,1.0,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,16.0,58.0,2.5217391304347827,13.400000000000002,57.7,2.508695652173913
40,40,37,2023-01-08,29-217,BRK,@,MIA,W (+1),1,34:53,3.0,11.0,.273,1.0,7.0,.143,1,1.0,1.000,1.0,5.0,6.0,6.0,1.0,2.0,2.0,3.0,8.0,7.1,+5,4.0,2.0,0.5,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,9.0,60.0,2.608695652173913,6.699999999999996,61.39999999999999,2.669565217391304
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,,0.0,0.0,0.0,0.0,0.0
42,41,38,2023-01-12,29-221,BRK,,BOS,L (-11),1,38:11,3.0,7.0,.429,2.0,5.0,.400,3,3.0,1.000,1.0,4.0,5.0,2.0,2.0,2.0,0.0,2.0,11.0,13.2,-3,2.0,1.0,0.5,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,12.0,77.0,3.347826086956522,11.999999999999996,93.09999999999998,4.047826086956521
43,42,39,2023-01-15,29-224,BRK,,OKC,L (-10),1,33:25,4.0,10.0,.400,2.0,6.0,.333,1,2.0,.500,2.0,8.0,10.0,8.0,1.0,0.0,3.0,2.0,11.0,11.8,-6,4.0,2.0,0.5,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,15.0,81.0,3.5217391304347827,11.4,85.60000000000001,3.721739130434783
44,43,40,2023-01-17,29-226,BRK,@,SAS,L (-8),1,21:08,2.0,8.0,.250,1.0,4.0,.250,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,5.0,-2.4,-18,4.0,1.0,0.25,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,-3.0,80.0,3.4782608695652173,-2.4000000000000004,81.6,3.5478260869565217
45,44,41,2023-01-19,29-228,BRK,@,PHO,L (-5),1,34:00,1.0,7.0,.143,1.0,5.0,.200,1,2.0,.500,0.0,3.0,3.0,4.0,1.0,0.0,1.0,3.0,4.0,1.6,-2,2.0,0.0,0.0,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,2.0,103.0,4.478260869565218,1.200000000000002,117.3,5.1
46,45,42,2023-01-20,29-229,BRK,@,UTA,W (+11),1,34:18,4.0,9.0,.444,3.0,8.0,.375,2,2.0,1.000,0.0,5.0,5.0,6.0,0.0,1.0,2.0,4.0,13.0,11.1,+10,1.0,1.0,1.0,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,12.0,79.0,3.4347826086956523,10.3,94.2,4.095652173913043
47,46,43,2023-01-22,29-231,BRK,@,GSW,W (+4),1,39:11,6.0,10.0,.600,4.0,7.0,.571,0,0.0,,2.0,4.0,6.0,1.0,0.0,2.0,3.0,3.0,16.0,11.9,+9,3.0,2.0,0.6666666666666666,40,51,19,43,49,70,13,37,38,25,73,35,1,58,24,52,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,61.0,42.0,58.0,0.0,0.9523809523809524,0.8947368421052632,0.8260869565217391,0.8958333333333334,0.9245283018867924,0.945945945945946,0.3611111111111111,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.9605263157894736,0.875,1.0,0.9508196721311476,0.5714285714285714,0.896551724137931,23,22,2,2,21,9,22,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3484848484848485,0.2784810126582278,0.1176470588235294,0.0555555555555555,0.0,0.5,0.6,0.2650602409638554,0.0,23,12.0,105.0,4.565217391304348,11.899999999999997,135.39999999999998,5.88695652173913
