Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alondes Williams,Shared Games with Ben Simmons,Shared Games with Cam Thomas,Shared Games with David Duke Jr.,Shared Games with Day'Ron Sharpe,Shared Games with Edmond Sumner,Shared Games with Joe Harris,Shared Games with Kessler Edwards,Shared Games with Kevin Durant,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with Nic Claxton,Shared Games with Patty Mills,Shared Games with RaiQuan Gray,Shared Games with Royce O'Neale,Shared Games with Seth Curry,Shared Games with T.J. Warren,Alondes Williams,Ben Simmons,Cam Thomas,David Duke Jr.,Day'Ron Sharpe,Edmond Sumner,Joe Harris,Kessler Edwards,Kevin Durant,Kyrie Irving,Markieff Morris,Nic Claxton,Patty Mills,RaiQuan Gray,Royce O'Neale,Seth Curry,T.J. Warren,co_inf with Alondes Williams,co_inf with Ben Simmons,co_inf with Cam Thomas,co_inf with David Duke Jr.,co_inf with Day'Ron Sharpe,co_inf with Edmond Sumner,co_inf with Joe Harris,co_inf with Kessler Edwards,co_inf with Kevin Durant,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with Nic Claxton,co_inf with Patty Mills,co_inf with RaiQuan Gray,co_inf with Royce O'Neale,co_inf with Seth Curry,co_inf with T.J. Warren,Shared Games with Dorian Finney-Smith,Shared Games with Spencer Dinwiddie,Shared Games with Nerlens Noel,Shared Games with Moses Brown,Shared Games with Cameron Johnson,Shared Games with Dru Smith,Shared Games with Mikal Bridges,Bogdan Bogdanović,Cameron Johnson,Dorian Finney-Smith,Dru Smith,Mikal Bridges,Moses Brown,Nerlens Noel,Payton Pritchard,Spencer Dinwiddie,co_inf with Dorian Finney-Smith,co_inf with Spencer Dinwiddie,co_inf with Nerlens Noel,co_inf with Moses Brown,co_inf with Bogdan Bogdanović,co_inf with Cameron Johnson,co_inf with Dru Smith,co_inf with Mikal Bridges,co_inf with Payton Pritchard,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
23,23,,2022-11-30,28-048,BRK,,WAS,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,,65.0,2.708333333333333,0.0,65.0,2.7083333333333335
24,24,,2022-12-02,28-050,BRK,,TOR,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,,74.0,3.083333333333333,0.0,87.79999999999998,3.6583333333333328
25,25,,2022-12-04,28-052,BRK,,BOS,L (-11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,,45.0,1.875,0.0,50.1,2.0875
26,26,,2022-12-07,28-055,BRK,,CHO,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,,94.0,3.9166666666666665,0.0,111.5,4.645833333333333
27,27,,2022-12-09,28-057,BRK,,ATL,W (+4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,,96.0,4.0,0.0,103.40000000000002,4.3083333333333345
28,28,15,2022-12-10,28-058,BRK,@,IND,W (+3),0,21:08,4.0,10.0,.400,1.0,5.0,.200,1,2.0,.500,5.0,2.0,7.0,2.0,1.0,0.0,1.0,3.0,10.0,8.5,+4,5.0,3.0,0.6,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,7.0,55.0,2.2916666666666665,8.099999999999998,90.79999999999998,3.7833333333333328
29,29,16,2022-12-12,28-060,BRK,@,WAS,W (+12),0,21:22,1.0,6.0,.167,0.0,1.0,.000,0,0.0,,0.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,-1.0,+13,5.0,1.0,0.2,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,0.0,67.0,2.7916666666666665,-0.9999999999999992,79.09999999999997,3.295833333333332
30,30,17,2022-12-16,28-064,BRK,@,TOR,W (+3),0,20:52,6.0,7.0,.857,3.0,4.0,.750,2,2.0,1.000,0.0,3.0,3.0,1.0,1.0,0.0,0.0,3.0,17.0,15.9,+12,3.0,3.0,1.0,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,13.0,68.0,2.833333333333333,15.099999999999998,66.7,2.779166666666667
31,31,18,2022-12-18,28-066,BRK,@,DET,W (+3),0,25:39,1.0,4.0,.250,1.0,3.0,.333,0,0.0,,0.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,3.8,+2,1.0,0.0,0.0,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,7.0,78.0,3.25,3.799999999999999,80.8,3.3666666666666667
32,32,19,2022-12-21,28-069,BRK,,GSW,W (+30),0,19:35,3.0,5.0,.600,2.0,3.0,.667,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,8.0,5.5,-3,2.0,1.0,0.5,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,5.0,98.0,4.083333333333333,5.499999999999999,110.79999999999998,4.616666666666666
33,33,20,2022-12-23,28-071,BRK,,MIL,W (+18),0,23:01,1.0,3.0,.333,1.0,2.0,.500,2,2.0,1.000,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,5.0,4.1,-7,1.0,0.0,0.0,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,3.0,67.0,2.7916666666666665,3.3000000000000007,77.5,3.2291666666666665
34,34,21,2022-12-26,28-074,BRK,@,CLE,W (+8),0,19:36,4.0,5.0,.800,2.0,3.0,.667,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,10.0,8.0,-5,2.0,2.0,1.0,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,6.0,64.0,2.6666666666666665,7.999999999999999,62.6,2.6083333333333334
35,35,22,2022-12-28,28-076,BRK,@,ATL,W (+1),0,23:14,2.0,6.0,.333,0.0,2.0,.000,0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,0.7,-3,4.0,2.0,0.5,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,1.0,70.0,2.9166666666666665,0.7,79.49999999999997,3.3124999999999987
36,36,23,2022-12-31,28-079,BRK,@,CHO,W (+17),0,18:58,4.0,7.0,.571,2.0,5.0,.400,1,2.0,.500,0.0,5.0,5.0,1.0,5.0,0.0,1.0,0.0,11.0,13.5,+11,2.0,2.0,1.0,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,12.0,83.0,3.458333333333333,13.1,88.79999999999998,3.6999999999999993
37,37,24,2023-01-02,28-081,BRK,,SAS,W (+36),0,12:13,2.0,3.0,.667,1.0,1.0,1.000,2,2.0,1.000,1.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,7.0,6.6,+12,2.0,1.0,0.5,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,6.0,80.0,3.333333333333333,5.8,95.8,3.9916666666666667
38,38,25,2023-01-04,28-083,BRK,@,CHI,L (-9),0,6:03,0.0,2.0,.000,0.0,1.0,.000,1,2.0,.500,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,-1.0,-1,1.0,0.0,0.0,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,-1.0,60.0,2.5,-1.4,70.1,2.920833333333333
39,39,26,2023-01-06,28-085,BRK,@,NOP,W (+6),0,8:50,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.3,+5,0.0,0.0,,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,2.0,72.0,3.0,2.3000000000000003,68.8,2.8666666666666667
40,40,27,2023-01-08,28-087,BRK,@,MIA,W (+1),0,18:33,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,3.0,2.9,+4,0.0,0.0,,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,4.0,65.0,2.708333333333333,2.8999999999999995,65.19999999999999,2.7166666666666663
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,,0.0,0.0,0.0,0.0,0.0
42,41,28,2023-01-12,28-091,BRK,,BOS,L (-11),0,21:08,2.0,5.0,.400,1.0,3.0,.333,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,1.6,-16,2.0,1.0,0.5,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,0.0,89.0,3.7083333333333335,1.6,103.5,4.3125
43,42,29,2023-01-15,28-094,BRK,,OKC,L (-10),0,21:23,2.0,6.0,.333,0.0,2.0,.000,1,2.0,.500,2.0,3.0,5.0,2.0,0.0,0.0,0.0,1.0,5.0,4.5,+10,4.0,2.0,0.5,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,4.0,92.0,3.8333333333333335,4.1000000000000005,92.9,3.8708333333333336
44,43,30,2023-01-17,28-096,BRK,@,SAS,L (-8),0,12:18,0.0,2.0,.000,0.0,0.0,,0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-5,2.0,0.0,0.0,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,-1.0,78.0,3.25,-0.7,79.9,3.329166666666667
45,44,31,2023-01-19,28-098,BRK,@,PHO,L (-5),0,15:36,0.0,1.0,.000,0.0,0.0,,1,2.0,.500,1.0,2.0,3.0,0.0,2.0,0.0,0.0,2.0,1.0,2.4,-9,1.0,0.0,0.0,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,3.0,102.0,4.25,2.0,116.5,4.854166666666667
46,45,32,2023-01-20,28-099,BRK,@,UTA,W (+11),0,13:09,1.0,3.0,.333,1.0,3.0,.333,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.5,-10,0.0,0.0,,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,0.0,91.0,3.7916666666666665,0.5000000000000002,103.99999999999996,4.333333333333331
47,46,33,2023-01-22,28-101,BRK,@,GSW,W (+4),0,10:18,1.0,4.0,.250,0.0,2.0,.000,0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,0.8,-12,2.0,1.0,0.5,1,31,38,16,37,42,50,8,26,29,19,53,32,1,52,40,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,1.0,0.7380952380952381,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.7924528301886793,0.6756756756756757,0.2222222222222222,0.5531914893617021,0.4833333333333333,0.5428571428571428,0.6973684210526315,0.8,1.0,0.6842105263157895,0.6557377049180327,0.5,15,16,2,1,15,6,15,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2272727272727272,0.2025316455696202,0.1176470588235294,0.0277777777777777,0.0,0.3571428571428571,0.4,0.180722891566265,0.0,24,2.0,115.0,4.791666666666667,0.7999999999999996,146.5,6.104166666666667
