,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
49,48,,2022-01-25,29-100,WAS,,LAC,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
50,49,19,2022-01-29,29-104,WAS,@,MEM,L (-20),0,1:35,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,2.0,-2
51,50,,2022-02-01,29-107,WAS,@,MIL,L (-14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
52,51,,2022-02-02,29-108,WAS,@,PHI,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
53,52,20,2022-02-05,29-111,WAS,,PHO,L (-15),0,4:09,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7,+7
54,53,21,2022-02-07,29-113,WAS,,MIA,L (-21),0,2:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
55,54,22,2022-02-10,29-116,WAS,,BRK,W (+1),0,26:11,6,7,.857,0,1,.000,3,5,.600,2,0,2,0,1,0,0,5,15,12.1,+6
56,55,23,2022-02-12,29-118,WAS,,SAC,L (-13),0,18:34,1,3,.333,0,0,,0,2,.000,2,1,3,1,0,0,1,5,2,-1.1,-5
57,56,24,2022-02-14,29-120,WAS,,DET,W (+9),0,25:33,3,4,.750,0,0,,0,0,,4,2,6,2,0,1,2,2,6,7.1,+13
58,57,25,2022-02-16,29-122,WAS,@,IND,L (-5),0,16:08,1,5,.200,0,1,.000,3,4,.750,1,1,2,0,1,0,1,3,5,1.3,-8
