,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
68,66,1,2022-03-07,29-307,MIA,,HOU,W (+17),0,14:38,4,7,.571,2,3,.667,1,2,.500,0,1,1,4,0,0,1,0,11,9.4,+3
69,67,2,2022-03-09,29-309,MIA,,PHO,L (-21),0,16:39,2,5,.400,0,2,.000,0,0,,0,2,2,3,0,0,0,0,4,4.0,-3
70,68,3,2022-03-11,29-311,MIA,,CLE,W (+12),0,17:35,2,6,.333,0,3,.000,1,1,1.000,0,2,2,2,0,1,0,3,5,3.1,+8
71,69,,2022-03-12,29-312,MIA,,MIN,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
72,70,4,2022-03-15,29-315,MIA,,DET,W (+7),0,16:18,1,2,.500,0,1,.000,0,0,,0,0,0,2,0,0,0,3,2,1.2,-7
73,71,,2022-03-18,29-318,MIA,,OKC,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
74,72,,2022-03-21,29-321,MIA,@,PHI,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
75,73,5,2022-03-23,29-323,MIA,,GSW,L (-14),0,19:55,3,11,.273,1,5,.200,0,0,,1,1,2,0,1,0,1,2,7,0.7,-15
76,74,,2022-03-25,29-325,MIA,,NYK,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
77,75,6,2022-03-26,29-326,MIA,,BRK,L (-15),0,25:04,3,9,.333,1,2,.500,2,3,.667,0,3,3,6,0,0,5,1,9,3.2,+8
78,76,,2022-03-28,29-328,MIA,,SAC,W (+23),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
79,77,,2022-03-30,29-330,MIA,@,BOS,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
80,78,,2022-04-02,29-333,MIA,@,CHI,W (+18),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
81,79,7,2022-04-03,29-334,MIA,@,TOR,W (+5),0,27:27,7,11,.636,6,9,.667,1,2,.500,1,2,3,4,2,0,5,2,21,16.0,+5
82,80,,2022-04-05,29-336,MIA,,CHO,W (+29),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
83,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
84,81,,2022-04-08,29-339,MIA,,ATL,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
85,82,8,2022-04-10,29-341,MIA,@,ORL,L (-14),1,35:31,13,22,.591,5,11,.455,9,11,.818,1,9,10,7,2,0,4,2,40,34.5,-4
