Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bam Adebayo,Shared Games with Caleb Martin,Shared Games with Cody Zeller,Shared Games with Dru Smith,Shared Games with Duncan Robinson,Shared Games with Gabe Vincent,Shared Games with Haywood Highsmith,Shared Games with Jamal Cain,Shared Games with Jamaree Bouyea,Shared Games with Jimmy Butler,Shared Games with Kyle Lowry,Shared Games with Max Strus,Shared Games with Nikola Jović,Shared Games with Omer Yurtseven,Shared Games with Orlando Robinson,Shared Games with Tyler Herro,Shared Games with Udonis Haslem,Shared Games with Victor Oladipo,Bam Adebayo,Caleb Martin,Cody Zeller,Dru Smith,Duncan Robinson,Gabe Vincent,Haywood Highsmith,Jamal Cain,Jamaree Bouyea,Jimmy Butler,Kyle Lowry,Max Strus,Nikola Jović,Omer Yurtseven,Orlando Robinson,Tyler Herro,Udonis Haslem,Victor Oladipo,co_inf with Bam Adebayo,co_inf with Caleb Martin,co_inf with Cody Zeller,co_inf with Dru Smith,co_inf with Duncan Robinson,co_inf with Gabe Vincent,co_inf with Haywood Highsmith,co_inf with Jamal Cain,co_inf with Jamaree Bouyea,co_inf with Jimmy Butler,co_inf with Kyle Lowry,co_inf with Max Strus,co_inf with Nikola Jović,co_inf with Omer Yurtseven,co_inf with Orlando Robinson,co_inf with Tyler Herro,co_inf with Udonis Haslem,co_inf with Victor Oladipo
35,35,,2022-12-28,33-138,MIA,,LAL,W (+14),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
36,36,,2022-12-30,33-140,MIA,@,DEN,L (-5),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
37,37,,2022-12-31,33-141,MIA,@,UTA,W (+3),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
38,38,,2023-01-02,33-143,MIA,@,LAC,W (+10),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
39,39,27,2023-01-04,33-145,MIA,@,LAL,L (-3),0,6.6,1.0,1.0,1.000,0.0,0.0,,0,0,,0,3,3,0,0,1,1,3,2,1.1,-3,1.0,1.0,1.0,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
40,40,28,2023-01-06,33-147,MIA,@,PHO,W (+8),0,9.75,1.0,2.0,.500,0.0,0.0,,0,0,,2,2,4,0,0,0,1,2,2,1.2,-9,2.0,1.0,0.5,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
41,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
42,41,,2023-01-08,33-149,MIA,,BRK,L (-1),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
43,42,29,2023-01-10,33-151,MIA,,OKC,W (+1),0,4.95,0.0,0.0,,0.0,0.0,,2,2,1.000,0,3,3,0,0,0,0,0,2,2.9,-3,0.0,0.0,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
44,43,,2023-01-12,33-153,MIA,,MIL,W (+6),Not With Team,0.0,,,Not With Team,,,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
45,44,,2023-01-14,33-155,MIA,,MIL,W (+16),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
46,45,,2023-01-16,33-157,MIA,@,ATL,L (-8),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
47,46,,2023-01-18,33-159,MIA,@,NOP,W (+26),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
48,47,,2023-01-20,33-161,MIA,@,DAL,L (-25),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
49,48,,2023-01-22,33-163,MIA,,NOP,W (+4),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
50,49,,2023-01-24,33-165,MIA,,BOS,W (+3),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
51,50,,2023-01-27,33-168,MIA,,ORL,W (+5),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
52,51,,2023-01-29,33-170,MIA,@,CHO,L (-5),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
53,52,,2023-01-31,33-172,MIA,@,CLE,W (+3),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
54,53,,2023-02-02,33-174,MIA,@,NYK,L (-2),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
55,54,30,2023-02-04,33-176,MIA,@,MIL,L (-8),0,12.266666666666667,0.0,4.0,.000,0.0,1.0,.000,0,0,,0,2,2,1,1,1,0,3,0,-1.0,-8,3.0,0.0,0.0,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
56,55,,2023-02-08,33-180,SAS,@,TOR,L (-14),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
57,56,,2023-02-15,33-187,PHI,,CLE,W (+6),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
58,57,,2023-02-23,33-195,PHI,,MEM,W (+5),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
59,58,,2023-02-25,33-197,PHI,,BOS,L (-3),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
60,59,,2023-02-27,33-199,PHI,,MIA,L (-2),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
61,60,,2023-03-01,33-201,PHI,@,MIA,W (+23),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
62,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
63,61,,2023-03-02,33-202,PHI,@,DAL,L (-7),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
64,62,,2023-03-04,33-204,PHI,@,MIL,W (+3),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
65,63,,2023-03-06,33-206,PHI,@,IND,W (+4),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
66,64,,2023-03-07,33-207,PHI,@,MIN,W (+23),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
67,65,,2023-03-10,33-210,PHI,,POR,W (+1),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
68,66,31,2023-03-12,33-212,PHI,,WAS,W (+19),0,4.8,2.0,2.0,1.000,0.0,0.0,,0,0,,0,1,1,1,0,0,0,1,4,4.0,-3,2.0,2.0,1.0,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
69,67,,2023-03-15,33-215,PHI,@,CLE,W (+9),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,25,12,5,18,20,20,9,0,21,25,28,9,0,21,21,2,9,75.0,71.0,15.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.3733333333333333,0.352112676056338,0.8,0.3333333333333333,0.4285714285714285,0.2941176470588235,0.3703703703703703,0.5,0.0,0.328125,0.4545454545454545,0.35,0.6,0.0,0.6774193548387096,0.3134328358208955,0.2857142857142857,0.2142857142857142
