Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Dario ?ari?,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Duane Washington Jr.,Shared Games with Ish Wainright,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Mikal Bridges,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Johnson,Cameron Payne,Chris Paul,Damion Lee,Dario Šarić,Deandre Ayton,Devin Booker,Duane Washington Jr.,Ish Wainright,Jae Crowder,Jock Landale,Josh Okogie,Mikal Bridges,Torrey Craig,Shared Games with Dario Šarić,co_inf with Bismack Biyombo,co_inf with Cameron Johnson,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Duane Washington Jr.,co_inf with Ish Wainright,co_inf with Jae Crowder,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Mikal Bridges,co_inf with Torrey Craig,co_inf with Dario Šarić,Shared Games with Darius Bazley,Shared Games with Kevin Durant,Shared Games with Saben Lee,Shared Games with T.J. Warren,Shared Games with Terrence Ross,Darius Bazley,Jaylen Brown,Kevin Durant,Saben Lee,T.J. Warren,Terrence Ross,co_inf with Darius Bazley,co_inf with Jaylen Brown,co_inf with Kevin Durant,co_inf with Saben Lee,co_inf with T.J. Warren,co_inf with Terrence Ross,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
27,27,18,2022/12/11,25-273,PHO,@,NOP,L (-5),0,12:43,2.0,3.0,0.667,1.0,2.0,0.5,0,1.0,0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,5.0,8.7,13,1.0,1.0,1.0,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,8.0,102.0,5.1,8.7,107.0,5.35
28,28,19,2022/12/13,25-275,PHO,@,HOU,L (-14),1,31:52:00,5.0,13.0,0.385,3.0,11.0,0.273,0,0.0,,2.0,2.0,4.0,3.0,2.0,0.0,0.0,3.0,13.0,10.8,-7,2.0,2.0,1.0,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,9.0,72.0,3.6,10.8,72.49999999999999,3.624999999999999
29,29,20,2022/12/15,25-277,PHO,@,LAC,W (+16),0,19:43,1.0,7.0,0.143,0.0,3.0,0,4,4.0,1,0.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,6.0,3.8,12,4.0,1.0,0.25,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,0.0,130.0,6.5,2.2,114.9,5.745
30,30,21,2022/12/17,25-279,PHO,,NOP,W (+4),0,14:40,1.0,6.0,0.167,0.0,2.0,0,2,2.0,1,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,4.0,3.6,-5,4.0,1.0,0.25,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,1.0,77.0,3.85,2.8000000000000003,107.70000000000002,5.385000000000001
31,31,22,2022/12/19,25-281,PHO,,LAL,W (+26),0,29:26:00,4.0,12.0,0.333,3.0,7.0,0.429,2,2.0,1,0.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,13.0,10.2,15,5.0,1.0,0.2,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,6.0,109.0,5.45,9.4,116.5,5.825
32,32,23,2022/12/20,25-282,PHO,,WAS,L (-3),0,35:23:00,10.0,21.0,0.476,9.0,16.0,0.563,2,2.0,1,0.0,2.0,2.0,5.0,0.0,0.0,1.0,2.0,31.0,22.6,4,5.0,1.0,0.2,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,14.0,78.0,3.9,21.8,86.9,4.345000000000001
33,33,24,2022/12/23,25-285,PHO,,MEM,L (-25),1,31:22:00,6.0,16.0,0.375,3.0,10.0,0.3,0,0.0,,1.0,4.0,5.0,3.0,1.0,0.0,2.0,0.0,15.0,9.2,-17,6.0,3.0,0.5,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,6.0,68.0,3.4,9.2,75.6,3.78
34,34,25,2022/12/25,25-287,PHO,@,DEN,L (-3),0,38:40:00,10.0,20.0,0.5,7.0,17.0,0.412,4,4.0,1,0.0,2.0,2.0,6.0,0.0,1.0,2.0,5.0,31.0,22.5,3,3.0,3.0,1.0,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,14.0,106.0,5.3,20.9,110.90000000000002,5.545000000000001
35,35,,2022/12/27,25-289,PHO,@,MEM,W (+17),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,,101.0,5.05,0.0,96.9,4.845000000000001
36,36,,2022/12/28,25-290,PHO,@,WAS,L (-25),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,,61.0,3.05,0.0,72.5,3.625
37,37,,2022/12/30,25-292,PHO,@,TOR,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,,100.0,5.0,0.0,91.5,4.575
38,38,26,2023/1/2,25-295,PHO,@,NYK,L (-19),1,25:27:00,2.0,9.0,0.222,2.0,6.0,0.333,0,0.0,,0.0,6.0,6.0,2.0,0.0,0.0,3.0,0.0,6.0,0.7,-7,3.0,0.0,0.0,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,2.0,74.0,3.7,0.7000000000000002,87.3,4.365
39,39,27,2023/1/4,25-297,PHO,@,CLE,L (-2),1,36:15:00,4.0,12.0,0.333,2.0,6.0,0.333,4,4.0,1,0.0,4.0,4.0,3.0,1.0,0.0,0.0,5.0,14.0,9.5,0,6.0,2.0,0.333333333,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,6.0,74.0,3.7,7.9,78.9,3.9450000000000003
40,40,28,2023/1/6,25-299,PHO,,MIA,L (-8),1,33:20:00,4.0,9.0,0.444,1.0,3.0,0.333,2,3.0,0.667,0.0,2.0,2.0,3.0,0.0,0.0,3.0,1.0,11.0,5.2,-14,6.0,3.0,0.5,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,1.0,60.0,3.0,4.4,60.49999999999999,3.0249999999999995
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,,0.0,0.0,0.0,0.0,0.0
42,41,29,2023/1/8,25-301,PHO,,CLE,L (-14),1,33:06:00,4.0,14.0,0.286,3.0,7.0,0.429,0,0.0,,0.0,2.0,2.0,3.0,1.0,0.0,0.0,2.0,11.0,5.7,-18,7.0,1.0,0.142857143,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,3.0,34.0,1.7,5.699999999999998,43.2,2.16
43,42,,2023/1/10,25-303,PHO,@,GSW,W (+12),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,,69.0,3.45,0.0,48.2,2.41
44,43,,2023/1/11,25-304,PHO,@,DEN,L (-29),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,,56.0,2.8,0.0,72.9,3.6450000000000005
45,44,,2023/1/13,25-306,PHO,@,MIN,L (-5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,,57.0,2.85,0.0,60.0,3.0
46,45,30,2023/1/16,25-309,PHO,@,MEM,L (-30),1,25:54:00,2.0,9.0,0.222,1.0,6.0,0.167,4,4.0,1,0.0,4.0,4.0,6.0,0.0,0.0,1.0,2.0,9.0,7.1,-28,3.0,1.0,0.333333333,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,5.0,45.0,2.25,5.499999999999999,49.8,2.4899999999999998
47,46,,2023/1/19,25-312,PHO,,BRK,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,,35.0,1.75,0.0,34.29999999999999,1.7149999999999994
48,47,,2023/1/21,25-314,PHO,,IND,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,,77.0,3.85,0.0,61.3,3.065
49,48,,2023/1/22,25-315,PHO,,MEM,W (+2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,,41.0,2.05,0.0,42.7,2.1350000000000002
50,49,,2023/1/24,25-317,PHO,,CHO,W (+31),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,,59.0,2.95,0.0,54.60000000000001,2.7300000000000004
51,50,,2023/1/26,25-319,PHO,,DAL,L (-4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,,53.0,2.65,0.0,43.8,2.19
52,51,,2023/1/28,25-321,PHO,@,SAS,W (+10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,,77.0,3.85,0.0,71.79999999999998,3.589999999999999
53,52,,2023/1/30,25-323,PHO,,TOR,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,,71.0,3.55,0.0,66.5,3.325
54,53,,2023/2/1,25-325,PHO,,ATL,L (-32),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,,43.0,2.15,0.0,43.400000000000006,2.1700000000000004
55,54,,2023/2/3,25-327,PHO,@,BOS,W (+12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,32,6,27,29,35,23,30,28,14,27,34,34,30,37,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,83.0,79.0,17,0.5245901639344263,0.1428571428571428,0.5625,0.4915254237288136,0.4729729729729729,0.4477611940298507,0.5283018867924528,0.4516129032258064,0.45,0.0,0.4927536231884058,0.4722222222222222,0.3614457831325301,0.4683544303797468,0.2982456140350877,3,3,16,5,8,43.0,67.0,47.0,25.0,42.0,63.0,0.0697674418604651,0.0,0.0638297872340425,0.64,0.119047619047619,0.1269841269841269,20,,68.0,3.4,0.0,68.6,3.4299999999999997
