Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Cameron Payne,Shared Games with Damion Lee,Shared Games with Dario ?ari?,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Duane Washington Jr.,Shared Games with Ish Wainright,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Landry Shamet,Shared Games with Mikal Bridges,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Johnson,Cameron Payne,Damion Lee,Dario ?ari?,Deandre Ayton,Devin Booker,Duane Washington Jr.,Ish Wainright,Jae Crowder,Jock Landale,Josh Okogie,Landry Shamet,Mikal Bridges,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Johnson,co_inf with Cameron Payne,co_inf with Damion Lee,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Duane Washington Jr.,co_inf with Ish Wainright,co_inf with Jae Crowder,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Landry Shamet,co_inf with Mikal Bridges,co_inf with Torrey Craig,Shared Games with Darius Bazley,Shared Games with Kevin Durant,Shared Games with Saben Lee,Shared Games with T.J. Warren,Shared Games with Terrence Ross,Darius Bazley,Jaylen Brown,Kevin Durant,Saben Lee,T.J. Warren,Terrence Ross,co_inf with Darius Bazley,co_inf with Jaylen Brown,co_inf with Kevin Durant,co_inf with Saben Lee,co_inf with T.J. Warren,co_inf with Terrence Ross,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
35,35,21,2022/12/27,37-235,PHO,@,MEM,W (+17),1,23:34,5.0,9.0,0.556,4.0,5.0,0.8,0,0.0,,0.0,1.0,1.0,6.0,1.0,0.0,4.0,2.0,14.0,10.4,4,4.0,1.0,0.25,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,9.0,92,4.842105263157895,10.4,86.49999999999999,4.552631578947367
36,36,22,2022/12/28,37-236,PHO,@,WAS,L (-25),1,31:38:00,8.0,15.0,0.533,3.0,6.0,0.5,1,2.0,0.5,0.0,2.0,2.0,6.0,2.0,2.0,4.0,3.0,20.0,15.3,-14,9.0,5.0,0.555555556,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,11.0,50,2.631578947368421,14.9,57.6,3.031578947368421
37,37,23,2022/12/30,37-238,PHO,@,TOR,L (-9),1,35:09:00,6.0,12.0,0.5,3.0,6.0,0.5,5,6.0,0.833,0.0,5.0,5.0,12.0,1.0,0.0,6.0,0.0,20.0,18.5,-9,6.0,3.0,0.5,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,14.0,86,4.526315789473684,16.5,74.99999999999999,3.947368421052631
38,38,24,2023/1/2,37-241,PHO,@,NYK,L (-19),1,30:12:00,4.0,11.0,0.364,1.0,3.0,0.333,2,2.0,1,1.0,3.0,4.0,2.0,1.0,0.0,0.0,2.0,11.0,8.1,-38,8.0,3.0,0.375,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,5.0,71,3.736842105263158,7.299999999999998,80.69999999999999,4.247368421052631
39,39,25,2023/1/4,37-243,PHO,@,CLE,L (-2),1,40:08:00,9.0,17.0,0.529,3.0,5.0,0.6,4,4.0,1,0.0,4.0,4.0,8.0,2.0,0.0,1.0,3.0,25.0,23.3,7,12.0,6.0,0.5,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,17.0,63,3.3157894736842106,21.7,65.10000000000001,3.426315789473685
40,40,26,2023/1/6,37-245,PHO,,MIA,L (-8),1,12:01,2.0,3.0,0.667,1.0,1.0,1,0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,5.0,3.6,-6,2.0,1.0,0.5,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,3.0,58,3.0526315789473686,3.6000000000000005,61.3,3.2263157894736842
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,0,0.0,0.0,0.0,0.0
42,41,,2023/1/8,37-247,PHO,,CLE,L (-14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,37,1.947368421052632,0.0,48.9,2.5736842105263156
43,42,,2023/1/10,37-249,PHO,@,GSW,W (+12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,69,3.631578947368421,0.0,48.2,2.5368421052631582
44,43,,2023/1/11,37-250,PHO,@,DEN,L (-29),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,56,2.9473684210526314,0.0,72.9,3.836842105263158
45,44,,2023/1/13,37-252,PHO,@,MIN,L (-5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,57,3.0,0.0,60.0,3.1578947368421053
46,45,,2023/1/16,37-255,PHO,@,MEM,L (-30),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,50,2.631578947368421,0.0,55.3,2.9105263157894736
47,46,,2023/1/19,37-258,PHO,,BRK,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,35,1.8421052631578947,0.0,34.29999999999999,1.8052631578947362
48,47,,2023/1/21,37-260,PHO,,IND,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,77,4.052631578947368,0.0,61.3,3.2263157894736842
49,48,27,2023/1/22,37-261,PHO,,MEM,W (+2),1,38:16:00,8.0,18.0,0.444,3.0,9.0,0.333,3,3.0,1,0.0,6.0,6.0,11.0,3.0,1.0,5.0,1.0,22.0,20.4,5,9.0,5.0,0.555555556,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,17.0,24,1.263157894736842,19.200000000000006,23.5,1.236842105263158
50,49,28,2023/1/24,37-263,PHO,,CHO,W (+31),1,27:04:00,6.0,9.0,0.667,2.0,3.0,0.667,0,0.0,,1.0,4.0,5.0,11.0,0.0,0.0,0.0,1.0,14.0,19.3,6,6.0,4.0,0.666666667,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,21.0,38,2.0,19.3,35.300000000000004,1.8578947368421055
51,50,29,2023/1/26,37-265,PHO,,DAL,L (-4),1,38:22:00,9.0,16.0,0.563,4.0,7.0,0.571,0,0.0,,0.0,6.0,6.0,10.0,1.0,0.0,2.0,4.0,22.0,20.6,7,9.0,5.0,0.555555556,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,21.0,32,1.6842105263157894,20.600000000000005,23.2,1.2210526315789474
52,51,30,2023/1/28,37-267,PHO,@,SAS,W (+10),1,39:14:00,12.0,20.0,0.6,1.0,4.0,0.25,6,6.0,1,0.0,7.0,7.0,11.0,1.0,2.0,1.0,1.0,31.0,32.6,14,16.0,11.0,0.6875,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,25.0,52,2.736842105263158,30.2,41.59999999999998,2.189473684210525
53,52,31,2023/1/30,37-269,PHO,,TOR,W (+8),1,34:40:00,5.0,11.0,0.455,4.0,7.0,0.571,5,5.0,1,0.0,4.0,4.0,9.0,0.0,2.0,3.0,3.0,19.0,18,3,4.0,1.0,0.25,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,15.0,56,2.9473684210526314,16.0,50.49999999999999,2.657894736842105
54,53,32,2023/2/1,37-271,PHO,,ATL,L (-32),1,26:31:00,1.0,6.0,0.167,0.0,3.0,0,1,2.0,0.5,0.0,2.0,2.0,3.0,0.0,1.0,2.0,2.0,3.0,-0.6,-26,3.0,1.0,0.333333333,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,-1.0,44,2.3157894736842106,-0.9999999999999996,44.400000000000006,2.336842105263158
55,54,33,2023/2/3,37-273,PHO,@,BOS,W (+12),1,35:02:00,6.0,15.0,0.4,1.0,5.0,0.2,2,3.0,0.667,0.0,6.0,6.0,8.0,1.0,1.0,0.0,3.0,15.0,14.4,-4,10.0,5.0,0.5,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,13.0,55,2.894736842105264,13.599999999999998,55.0,2.8947368421052633
56,55,34,2023/2/4,37-274,PHO,@,DET,W (+16),1,32:33:00,0.0,7.0,0,0.0,3.0,0,2,2.0,1,0.0,4.0,4.0,14.0,2.0,0.0,4.0,2.0,2.0,5.3,24,4.0,0.0,0.0,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,9.0,56,2.9473684210526314,4.5,68.80000000000001,3.621052631578948
57,56,35,2023/2/7,37-277,PHO,@,BRK,W (+4),1,33:39:00,3.0,10.0,0.3,1.0,3.0,0.333,2,2.0,1,0.0,2.0,2.0,12.0,5.0,2.0,2.0,4.0,9.0,15,4,7.0,2.0,0.285714286,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,16.0,40,2.1052631578947367,14.199999999999992,50.4,2.6526315789473682
58,57,36,2023/2/9,37-279,PHO,@,ATL,L (-9),1,32:46:00,5.0,13.0,0.385,0.0,2.0,0,5,5.0,1,0.0,5.0,5.0,8.0,3.0,2.0,1.0,0.0,15.0,18.4,-17,11.0,5.0,0.454545455,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,14.0,51,2.6842105263157894,16.4,66.8,3.5157894736842104
59,58,37,2023/2/10,37-280,PHO,@,IND,W (+13),1,29:56:00,7.0,18.0,0.389,1.0,3.0,0.333,4,4.0,1,1.0,1.0,2.0,9.0,2.0,0.0,3.0,0.0,19.0,15.5,22,15.0,6.0,0.4,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,7.0,79,4.157894736842105,13.9,87.9,4.626315789473685
60,59,38,2023/2/14,37-284,PHO,,SAC,W (+11),1,37:11:00,7.0,15.0,0.467,1.0,5.0,0.2,2,2.0,1,0.0,5.0,5.0,19.0,2.0,0.0,4.0,0.0,17.0,22.1,14,10.0,6.0,0.6,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,22.0,71,3.736842105263158,21.3,81.10000000000001,4.268421052631579
61,60,39,2023/2/16,37-286,PHO,,LAC,L (-9),1,33:24:00,2.0,8.0,0.25,0.0,1.0,0,1,3.0,0.333,1.0,2.0,3.0,11.0,4.0,0.0,2.0,0.0,5.0,10.4,-7,7.0,2.0,0.285714286,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,10.0,64,3.3684210526315788,9.999999999999996,60.1,3.1631578947368424
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,0,0.0,0.0,0.0,0.0
63,61,40,2023/2/24,37-294,PHO,,OKC,W (+9),1,31:57:00,6.0,10.0,0.6,1.0,2.0,0.5,3,5.0,0.6,0.0,2.0,2.0,6.0,0.0,0.0,0.0,3.0,16.0,14.2,8,8.0,5.0,0.625,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,9.0,85,4.473684210526316,13.0,92.29999999999998,4.857894736842105
64,62,41,2023/2/26,37-296,PHO,@,MIL,L (-3),1,39:48:00,7.0,18.0,0.389,2.0,5.0,0.4,2,3.0,0.667,0.0,5.0,5.0,7.0,1.0,0.0,4.0,3.0,18.0,10,3,13.0,5.0,0.384615385,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,6.0,68,3.5789473684210527,9.2,74.6,3.926315789473684
65,63,42,2023/3/1,37-299,PHO,@,CHO,W (+14),1,32:51:00,1.0,8.0,0.125,0.0,4.0,0,0,0.0,,0.0,2.0,2.0,11.0,2.0,0.0,3.0,2.0,2.0,3.3,9,4.0,1.0,0.25,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,6.0,86,4.526315789473684,3.3,89.10000000000002,4.689473684210528
66,64,43,2023/3/3,37-301,PHO,@,CHI,W (+21),1,29:25:00,4.0,8.0,0.5,3.0,7.0,0.429,0,0.0,,1.0,5.0,6.0,10.0,2.0,0.0,2.0,1.0,11.0,15.8,13,1.0,1.0,1.0,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,19.0,76,4.0,15.799999999999995,87.20000000000002,4.589473684210527
67,65,44,2023/3/5,37-303,PHO,@,DAL,W (+4),1,33:00:00,4.0,9.0,0.444,2.0,6.0,0.333,1,2.0,0.5,0.0,6.0,6.0,7.0,1.0,0.0,0.0,2.0,11.0,12.8,9,3.0,2.0,0.666666667,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,14.0,69,3.631578947368421,12.399999999999997,70.19999999999999,3.6947368421052627
68,66,45,2023/3/8,37-306,PHO,,OKC,W (+31),1,24:05:00,6.0,8.0,0.75,4.0,5.0,0.8,2,2.0,1,0.0,4.0,4.0,9.0,4.0,0.0,1.0,2.0,18.0,24.5,27,3.0,2.0,0.666666667,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,24.0,87,4.578947368421052,23.7,73.0,3.8421052631578947
69,67,46,2023/3/11,37-309,PHO,,SAC,L (-9),1,38:44:00,6.0,13.0,0.462,2.0,9.0,0.222,2,2.0,1,0.0,6.0,6.0,16.0,1.0,0.0,3.0,2.0,16.0,19.5,2,4.0,4.0,1.0,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,21.0,53,2.789473684210526,18.7,58.90000000000002,3.100000000000001
70,68,47,2023/3/13,37-311,PHO,@,GSW,L (-11),1,30:28:00,5.0,13.0,0.385,0.0,4.0,0,1,2.0,0.5,1.0,4.0,5.0,11.0,1.0,0.0,2.0,2.0,11.0,11.3,0,9.0,5.0,0.555555556,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,11.0,69,3.631578947368421,10.899999999999997,73.9,3.8894736842105266
71,69,48,2023/3/14,37-312,PHO,,MIL,L (-12),1,33:02:00,5.0,11.0,0.455,0.0,2.0,0,1,1.0,1,0.0,4.0,4.0,8.0,2.0,0.0,1.0,4.0,11.0,11.5,-11,9.0,5.0,0.555555556,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,12.0,67,3.526315789473684,11.099999999999998,65.30000000000001,3.4368421052631586
72,70,49,2023/3/16,37-314,PHO,,ORL,W (+3),1,30:54:00,7.0,11.0,0.636,0.0,3.0,0,2,2.0,1,1.0,1.0,2.0,7.0,2.0,0.0,2.0,0.0,16.0,17,-1,8.0,7.0,0.875,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,12.0,72,3.789473684210526,16.2,68.9,3.6263157894736846
