Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Collin Sexton,Shared Games with Frank Jackson,Shared Games with Jarrell Brantley,Shared Games with Johnny Juzang,Shared Games with Jordan Clarkson,Shared Games with Kelly Olynyk,Shared Games with Kris Dunn,Shared Games with Lauri Markkanen,Shared Games with Leandro Bolmaro,Shared Games with Luka Šamanić,Shared Games with Malik Beasley,Shared Games with Micah Potter,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Shared Games with Ochai Agbaji,Shared Games with Rudy Gay,Shared Games with Simone Fontecchio,Shared Games with Talen Horton-Tucker,Shared Games with Udoka Azubuike,Shared Games with Walker Kessler,Collin Sexton,Frank Jackson,Jarrell Brantley,Johnny Juzang,Jordan Clarkson,Kelly Olynyk,Kris Dunn,Lauri Markkanen,Leandro Bolmaro,Luka Šamanić,Malik Beasley,Micah Potter,Mike Conley,Nickeil Alexander-Walker,Ochai Agbaji,Rudy Gay,Simone Fontecchio,Talen Horton-Tucker,Udoka Azubuike,Walker Kessler,co_inf with Collin Sexton,co_inf with Frank Jackson,co_inf with Jarrell Brantley,co_inf with Johnny Juzang,co_inf with Jordan Clarkson,co_inf with Kelly Olynyk,co_inf with Kris Dunn,co_inf with Lauri Markkanen,co_inf with Leandro Bolmaro,co_inf with Luka Šamanić,co_inf with Malik Beasley,co_inf with Micah Potter,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Ochai Agbaji,co_inf with Rudy Gay,co_inf with Simone Fontecchio,co_inf with Talen Horton-Tucker,co_inf with Udoka Azubuike,co_inf with Walker Kessler
32,32,30,2022-12-17,23-258,UTA,@,MIL,L (-26),1,20.5,0.0,4.0,.000,0.0,1.0,.000,0,0,,1,5,6,3,1,1,1,2,0,1.4,-5,3.0,0.0,0.0,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
33,33,31,2022-12-19,23-260,UTA,@,CLE,L (-23),1,23.85,3.0,7.0,.429,0.0,1.0,.000,1,1,1.000,3,3,6,0,0,0,3,2,7,2.5,-12,6.0,3.0,0.5,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
34,34,32,2022-12-20,23-261,UTA,@,DET,W (+15),1,32.38333333333333,7.0,13.0,.538,2.0,4.0,.500,2,3,.667,4,9,13,6,2,0,2,3,18,19.8,+17,9.0,5.0,0.5555555555555556,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
35,35,33,2022-12-22,23-263,UTA,,WAS,W (+8),1,28.366666666666667,1.0,1.0,1.000,1.0,1.0,1.000,0,0,,0,5,5,1,0,0,1,1,3,3.5,-7,0.0,0.0,,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
36,36,34,2022-12-26,23-267,UTA,@,SAS,L (-4),1,25.85,3.0,6.0,.500,0.0,2.0,.000,1,2,.500,4,1,5,3,1,0,3,4,7,5.2,-4,4.0,3.0,0.75,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
37,37,35,2022-12-28,23-269,UTA,@,GSW,L (-5),1,27.533333333333335,4.0,8.0,.500,0.0,1.0,.000,2,2,1.000,2,7,9,2,1,1,0,1,10,12.2,0,7.0,4.0,0.5714285714285714,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
38,38,36,2022-12-30,23-271,UTA,@,SAC,L (-1),1,23.883333333333333,3.0,4.0,.750,0.0,0.0,,0,1,.000,2,6,8,6,2,0,1,1,6,12.0,-16,4.0,3.0,0.75,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
39,39,37,2022-12-31,23-272,UTA,,MIA,L (-3),1,17.3,1.0,3.0,.333,0.0,1.0,.000,2,2,1.000,3,2,5,1,0,0,0,3,4,4.5,-12,2.0,1.0,0.5,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
40,40,38,2023-01-03,23-275,UTA,,SAC,L (-2),1,25.35,7.0,12.0,.583,0.0,1.0,.000,0,0,,5,4,9,2,1,1,2,1,14,13.8,+2,11.0,7.0,0.6363636363636364,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
41,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
42,41,39,2023-01-05,23-277,UTA,@,HOU,W (+17),1,30.733333333333334,1.0,1.0,1.000,0.0,0.0,,3,4,.750,1,8,9,5,2,0,3,3,5,8.7,+11,1.0,1.0,1.0,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
43,42,40,2023-01-07,23-279,UTA,@,CHI,L (-8),1,25.683333333333334,6.0,13.0,.462,0.0,2.0,.000,3,3,1.000,2,12,14,3,1,0,1,0,15,15.4,-2,11.0,6.0,0.5454545454545454,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
44,43,41,2023-01-08,23-280,UTA,@,MEM,L (-5),1,24.45,3.0,6.0,.500,0.0,1.0,.000,6,10,.600,1,7,8,4,0,0,3,4,12,8.4,+1,5.0,3.0,0.6,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
45,44,42,2023-01-10,23-282,UTA,,CLE,W (+2),0,17.1,2.0,3.0,.667,0.0,0.0,,1,2,.500,3,2,5,1,0,0,0,1,5,6.3,-2,3.0,2.0,0.6666666666666666,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
46,45,43,2023-01-13,23-285,UTA,,ORL,W (+4),0,21.083333333333332,3.0,3.0,1.000,0.0,0.0,,1,2,.500,2,7,9,2,0,0,2,3,7,7.4,+5,3.0,3.0,1.0,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
47,46,44,2023-01-14,23-286,UTA,,PHI,L (-1),1,24.916666666666668,4.0,9.0,.444,0.0,1.0,.000,0,0,,3,6,9,1,0,1,0,4,8,7.0,-5,8.0,4.0,0.5,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
48,47,45,2023-01-16,23-288,UTA,@,MIN,W (+1),1,26.033333333333335,4.0,5.0,.800,0.0,0.0,,7,8,.875,2,6,8,4,0,1,3,4,15,14.8,-2,5.0,4.0,0.8,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
49,48,46,2023-01-18,23-290,UTA,,LAC,W (+23),0,16.683333333333334,4.0,9.0,.444,1.0,2.0,.500,0,0,,1,2,3,3,0,0,0,2,9,6.9,+4,7.0,3.0,0.4285714285714285,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
50,49,47,2023-01-20,23-292,UTA,,BRK,L (-11),0,17.783333333333335,3.0,9.0,.333,1.0,2.0,.500,2,4,.500,4,5,9,2,1,0,1,2,9,8.0,+5,7.0,2.0,0.2857142857142857,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
51,50,48,2023-01-23,23-295,UTA,,CHO,W (+18),0,21.25,0.0,3.0,.000,0.0,1.0,.000,4,4,1.000,1,5,6,4,2,0,0,2,4,8.1,+10,2.0,0.0,0.0,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
52,51,49,2023-01-25,23-297,UTA,@,POR,L (-10),0,27.25,5.0,9.0,.556,2.0,4.0,.500,0,2,.000,1,4,5,1,2,2,0,1,12,12.5,+1,5.0,3.0,0.6,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
53,52,50,2023-01-28,23-300,UTA,,DAL,W (+8),0,22.45,3.0,3.0,1.000,0.0,0.0,,1,4,.250,1,5,6,3,0,0,0,2,7,8.4,-1,3.0,3.0,1.0,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
54,53,51,2023-02-01,23-304,UTA,,TOR,W (+3),0,18.0,3.0,4.0,.750,0.0,1.0,.000,0,2,.000,0,4,4,1,0,0,0,3,6,4.3,-1,3.0,3.0,1.0,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
55,54,52,2023-02-03,23-306,UTA,,ATL,L (-7),0,18.066666666666666,0.0,2.0,.000,0.0,1.0,.000,0,0,,2,9,11,2,1,1,0,2,0,5.0,-8,1.0,0.0,0.0,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
56,55,,2023-02-06,23-309,UTA,,DAL,L (-13),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
57,56,,2023-02-08,23-311,UTA,,MIN,L (-25),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
58,57,,2023-02-09,23-312,LAL,,MIL,L (-9),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
59,58,53,2023-02-11,23-314,LAL,@,GSW,W (+6),0,16.9,5.0,7.0,.714,0.0,0.0,,2,2,1.000,2,6,8,4,1,0,0,1,12,15.7,-6,7.0,5.0,0.7142857142857143,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
60,59,54,2023-02-13,23-316,LAL,@,POR,L (-12),0,22.083333333333332,2.0,4.0,.500,0.0,0.0,,2,2,1.000,1,5,6,3,2,0,1,4,6,7.7,-29,4.0,2.0,0.5,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
61,60,55,2023-02-15,23-318,LAL,,NOP,W (+18),1,27.6,3.0,3.0,1.000,0.0,0.0,,0,0,,1,3,4,2,1,1,1,1,6,8.4,+10,3.0,3.0,1.0,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
62,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
63,61,56,2023-02-23,23-326,LAL,,GSW,W (+13),1,18.233333333333334,2.0,4.0,.500,0.0,1.0,.000,0,0,,3,6,9,2,0,0,2,0,4,5.3,+16,3.0,2.0,0.6666666666666666,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
64,62,57,2023-02-26,23-329,LAL,@,DAL,W (+3),1,26.833333333333332,6.0,8.0,.750,1.0,1.0,1.000,2,2,1.000,8,9,17,1,4,0,1,3,15,22.6,+14,7.0,5.0,0.7142857142857143,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
65,63,58,2023-02-28,23-331,LAL,@,MEM,L (-12),1,28.65,1.0,6.0,.167,0.0,1.0,.000,2,2,1.000,3,5,8,1,1,1,3,3,4,2.0,-7,5.0,1.0,0.2,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
