Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Collin Sexton,Shared Games with Frank Jackson,Shared Games with Jarred Vanderbilt,Shared Games with Jarrell Brantley,Shared Games with Johnny Juzang,Shared Games with Jordan Clarkson,Shared Games with Kelly Olynyk,Shared Games with Kris Dunn,Shared Games with Lauri Markkanen,Shared Games with Leandro Bolmaro,Shared Games with Luka Šamanić,Shared Games with Malik Beasley,Shared Games with Micah Potter,Shared Games with Mike Conley,Shared Games with Ochai Agbaji,Shared Games with Rudy Gay,Shared Games with Simone Fontecchio,Shared Games with Talen Horton-Tucker,Shared Games with Udoka Azubuike,Shared Games with Walker Kessler,Collin Sexton,Frank Jackson,Jarred Vanderbilt,Jarrell Brantley,Johnny Juzang,Jordan Clarkson,Kelly Olynyk,Kris Dunn,Lauri Markkanen,Leandro Bolmaro,Luka Šamanić,Malik Beasley,Micah Potter,Mike Conley,Ochai Agbaji,Rudy Gay,Simone Fontecchio,Talen Horton-Tucker,Udoka Azubuike,Walker Kessler,co_inf with Collin Sexton,co_inf with Frank Jackson,co_inf with Jarred Vanderbilt,co_inf with Jarrell Brantley,co_inf with Johnny Juzang,co_inf with Jordan Clarkson,co_inf with Kelly Olynyk,co_inf with Kris Dunn,co_inf with Lauri Markkanen,co_inf with Leandro Bolmaro,co_inf with Luka Šamanić,co_inf with Malik Beasley,co_inf with Micah Potter,co_inf with Mike Conley,co_inf with Ochai Agbaji,co_inf with Rudy Gay,co_inf with Simone Fontecchio,co_inf with Talen Horton-Tucker,co_inf with Udoka Azubuike,co_inf with Walker Kessler
29,29,18,2022-12-10,24-099,UTA,@,DEN,L (-5),1,39.833333333333336,9.0,16.0,.563,5.0,10.0,.500,4,5,.800,1,2,3,2,0,1,6,4,27,14.8,-6,6.0,4.0,0.6666666666666666,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
30,30,19,2022-12-13,24-102,UTA,,NOP,W (+21),0,25.0,7.0,10.0,.700,4.0,6.0,.667,1,2,.500,0,3,3,6,0,2,4,0,19,16.9,+12,4.0,3.0,0.75,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
31,31,20,2022-12-15,24-104,UTA,,NOP,W (+3),0,20.916666666666668,2.0,4.0,.500,1.0,3.0,.333,2,2,1.000,0,1,1,3,1,1,1,3,7,6.9,-5,1.0,1.0,1.0,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
32,32,21,2022-12-17,24-106,UTA,@,MIL,L (-26),0,18.666666666666668,6.0,8.0,.750,2.0,4.0,.500,0,1,.000,0,1,1,5,0,0,3,1,14,10.8,-14,4.0,4.0,1.0,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
33,33,22,2022-12-19,24-108,UTA,@,CLE,L (-23),0,19.116666666666667,2.0,7.0,.286,0.0,1.0,.000,0,0,,1,1,2,3,0,0,0,3,4,1.8,-13,6.0,2.0,0.3333333333333333,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
34,34,23,2022-12-20,24-109,UTA,@,DET,W (+15),0,19.116666666666667,1.0,4.0,.250,0.0,3.0,.000,0,0,,0,0,0,3,0,2,1,3,2,0.9,+12,1.0,1.0,1.0,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
35,35,24,2022-12-22,24-111,UTA,,WAS,W (+8),0,21.616666666666667,3.0,6.0,.500,2.0,2.0,1.000,0,0,,1,2,3,4,0,0,2,0,8,7.1,+24,4.0,1.0,0.25,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
36,36,25,2022-12-26,24-115,UTA,@,SAS,L (-4),0,15.116666666666667,3.0,5.0,.600,0.0,1.0,.000,2,2,1.000,1,0,1,0,4,0,0,1,8,10.0,-4,4.0,3.0,0.75,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
37,37,26,2022-12-28,24-117,UTA,@,GSW,L (-5),0,10.133333333333333,2.0,4.0,.500,1.0,3.0,.333,1,2,.500,0,2,2,3,0,0,1,3,6,4.1,-9,1.0,1.0,1.0,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
38,38,,2022-12-30,24-119,UTA,@,SAC,L (-1),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
39,39,,2022-12-31,24-120,UTA,,MIA,L (-3),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
40,40,27,2023-01-03,24-123,UTA,,SAC,L (-2),0,14.683333333333334,1.0,5.0,.200,1.0,4.0,.250,1,3,.333,0,1,1,1,0,0,1,0,4,0.1,-13,1.0,0.0,0.0,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
41,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
42,41,,2023-01-05,24-125,UTA,@,HOU,W (+17),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
43,42,,2023-01-07,24-127,UTA,@,CHI,L (-8),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
44,43,28,2023-01-08,24-128,UTA,@,MEM,L (-5),0,16.666666666666668,4.0,5.0,.800,1.0,1.0,1.000,2,2,1.000,0,2,2,4,2,1,2,4,11,11.6,+6,4.0,3.0,0.75,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
45,44,29,2023-01-10,24-130,UTA,,CLE,W (+2),0,22.466666666666665,5.0,10.0,.500,1.0,4.0,.250,2,4,.500,0,4,4,3,0,1,1,1,13,9.8,-10,6.0,4.0,0.6666666666666666,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
46,45,30,2023-01-13,24-133,UTA,,ORL,W (+4),1,15.283333333333333,1.0,4.0,.250,0.0,2.0,.000,0,0,,0,2,2,0,2,0,2,4,2,-1.4,-13,2.0,1.0,0.5,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
47,46,31,2023-01-14,24-134,UTA,,PHI,L (-1),0,28.983333333333334,3.0,6.0,.500,1.0,4.0,.250,0,0,,0,7,7,2,2,1,1,4,7,7.6,+14,2.0,2.0,1.0,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
48,47,32,2023-01-16,24-136,UTA,@,MIN,W (+1),0,10.183333333333334,2.0,3.0,.667,1.0,2.0,.500,0,0,,0,1,1,2,0,0,3,0,5,2.4,+3,1.0,1.0,1.0,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
49,48,33,2023-01-18,24-138,UTA,,LAC,W (+23),0,7.683333333333334,1.0,1.0,1.000,1.0,1.0,1.000,1,2,.500,0,1,1,2,1,0,1,0,4,5.0,+9,0.0,0.0,,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
50,49,,2023-01-20,24-140,UTA,,BRK,L (-11),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
51,50,34,2023-01-23,24-143,UTA,,CHO,W (+18),0,4.283333333333333,1.0,1.0,1.000,0.0,0.0,,2,2,1.000,0,0,0,1,0,1,0,0,4,5.1,-7,1.0,1.0,1.0,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
52,51,35,2023-01-25,24-145,UTA,@,POR,L (-10),0,0.8833333333333333,0.0,0.0,,0.0,0.0,,0,0,,0,0,0,2,0,0,0,0,0,1.4,+2,0.0,0.0,,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
53,52,,2023-01-28,24-148,UTA,,DAL,W (+8),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
54,53,,2023-02-01,24-152,UTA,,TOR,W (+3),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
55,54,36,2023-02-03,24-154,UTA,,ATL,L (-7),0,4.883333333333333,0.0,2.0,.000,0.0,0.0,,0,0,,0,0,0,0,0,0,1,1,0,-2.8,+4,2.0,0.0,0.0,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
56,55,,2023-02-06,24-157,UTA,,DAL,L (-13),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
57,56,,2023-02-08,24-159,UTA,,MIN,L (-25),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
58,57,37,2023-02-10,24-161,MIN,@,MEM,L (-21),0,1.65,0.0,1.0,.000,0.0,0.0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,0,1.0,0.0,0.0,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
59,58,,2023-02-13,24-164,MIN,@,DAL,W (+3),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
60,59,38,2023-02-16,24-167,MIN,,WAS,L (-8),0,4.55,1.0,1.0,1.000,0.0,0.0,,0,0,,0,0,0,0,0,0,1,0,2,0.7,+7,1.0,1.0,1.0,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
