Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Green,Shared Games with Bobby Portis,Shared Games with Brook Lopez,Shared Games with George Hill,Shared Games with Giannis Antetokounmpo,Shared Games with Grayson Allen,Shared Games with Jevon Carter,Shared Games with Joe Ingles,Shared Games with Jordan Nwora,Shared Games with Jrue Holiday,Shared Games with Khris Middleton,Shared Games with Lindell Wigginton,Shared Games with MarJon Beauchamp,Shared Games with Meyers Leonard,Shared Games with Pat Connaughton,Shared Games with Sandro Mamukelashvili,Shared Games with Thanasis Antetokounmpo,Shared Games with Wesley Matthews,A.J. Green,Bobby Portis,Brook Lopez,George Hill,Giannis Antetokounmpo,Grayson Allen,Jevon Carter,Joe Ingles,Jordan Nwora,Jrue Holiday,Khris Middleton,Lindell Wigginton,MarJon Beauchamp,Meyers Leonard,Pat Connaughton,Sandro Mamukelashvili,Thanasis Antetokounmpo,Wesley Matthews,co_inf with A.J. Green,co_inf with Bobby Portis,co_inf with Brook Lopez,co_inf with George Hill,co_inf with Giannis Antetokounmpo,co_inf with Grayson Allen,co_inf with Jevon Carter,co_inf with Joe Ingles,co_inf with Jordan Nwora,co_inf with Jrue Holiday,co_inf with Khris Middleton,co_inf with Lindell Wigginton,co_inf with MarJon Beauchamp,co_inf with Meyers Leonard,co_inf with Pat Connaughton,co_inf with Sandro Mamukelashvili,co_inf with Thanasis Antetokounmpo,co_inf with Wesley Matthews
32,32,,2022-12-23,33-096,MIL,@,BRK,L (-18),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
33,33,,2022-12-25,33-098,MIL,@,BOS,L (-21),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
34,34,,2022-12-28,33-101,MIL,@,CHI,L (-6),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
35,35,,2022-12-30,33-103,MIL,,MIN,W (+9),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
36,36,16,2023-01-01,33-105,MIL,,WAS,L (-23),0,15.616666666666667,2.0,7.0,.286,0.0,3.0,.000,0,0,,2,0,2,0,2,1,3,3,4,-0.2,-8,4.0,2.0,0.5,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
37,37,,2023-01-03,33-107,MIL,,WAS,W (+10),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
38,38,,2023-01-04,33-108,MIL,@,TOR,W (+3),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
39,39,,2023-01-06,33-110,MIL,,CHO,L (-29),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
40,40,,2023-01-09,33-113,MIL,@,NYK,W (+4),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
41,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
42,41,,2023-01-11,33-115,MIL,@,ATL,W (+9),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
43,42,,2023-01-12,33-116,MIL,@,MIA,L (-6),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
44,43,,2023-01-14,33-118,MIL,@,MIA,L (-16),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
45,44,,2023-01-16,33-120,MIL,,IND,W (+13),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
46,45,,2023-01-17,33-121,MIL,,TOR,W (+8),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
47,46,,2023-01-21,33-125,MIL,@,CLE,L (-12),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
48,47,,2023-01-23,33-127,MIL,@,DET,W (+20),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
49,48,,2023-01-25,33-129,MIL,,DEN,W (+8),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
50,49,,2023-01-27,33-131,MIL,@,IND,W (+10),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
51,50,,2023-01-29,33-133,MIL,,NOP,W (+25),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
52,51,,2023-01-31,33-135,MIL,,CHO,W (+9),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
53,52,,2023-02-02,33-137,MIL,,LAC,W (+1),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
54,53,,2023-02-04,33-139,MIL,,MIA,W (+8),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
55,54,,2023-02-06,33-141,MIL,@,POR,W (+19),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
56,55,,2023-02-10,33-145,IND,,PHO,L (-13),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
57,56,,2023-02-11,33-146,IND,@,WAS,L (-14),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
