Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Andre Iguodala,Shared Games with Andrew Wiggins,Shared Games with Anthony Lamb,Shared Games with Donte DiVincenzo,Shared Games with Draymond Green,Shared Games with James Wiseman,Shared Games with JaMychal Green,Shared Games with Jonathan Kuminga,Shared Games with Jordan Poole,Shared Games with Kevon Looney,Shared Games with Klay Thompson,Shared Games with Moses Moody,Shared Games with Patrick Baldwin Jr.,Shared Games with Stephen Curry,Shared Games with Ty Jerome,Andre Iguodala,Andrew Wiggins,Anthony Lamb,Donte DiVincenzo,Draymond Green,James Wiseman,JaMychal Green,Jonathan Kuminga,Jordan Poole,Kevon Looney,Klay Thompson,Lester Quinones,Moses Moody,Patrick Baldwin Jr.,Stephen Curry,Ty Jerome,co_inf with Andre Iguodala,co_inf with Andrew Wiggins,co_inf with Anthony Lamb,co_inf with Donte DiVincenzo,co_inf with Draymond Green,co_inf with James Wiseman,co_inf with JaMychal Green,co_inf with Jonathan Kuminga,co_inf with Jordan Poole,co_inf with Kevon Looney,co_inf with Klay Thompson,co_inf with Lester Quinones,co_inf with Moses Moody,co_inf with Patrick Baldwin Jr.,co_inf with Stephen Curry,co_inf with Ty Jerome,Gary Payton II,Jalen Johnson,co_inf with Gary Payton II,co_inf with Jalen Johnson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
31,31,9,2022-12-18,20-168,GSW,@,TOR,W (+16),0,2:21,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,0.0,85.0,5.666666666666667,0.0,96.2,6.413333333333333
32,32,10,2022-12-20,20-170,GSW,@,NYK,L (-38),0,7:40,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,-3.8,-13,1.0,0.0,0.0,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,-4.0,46.0,3.066666666666667,-3.8,57.7,3.8466666666666667
33,33,11,2022-12-21,20-171,GSW,@,BRK,L (-30),0,5:59,1.0,1.0,1.000,0.0,0.0,,2,2.0,1.000,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,4.0,6.1,+2,1.0,1.0,1.0,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,5.0,39.0,2.6,5.3,48.2,3.2133333333333334
34,34,,2022-12-25,20-175,GSW,,MEM,W (+14),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,95.0,6.333333333333333,0.0,97.89999999999998,6.5266666666666655
35,35,,2022-12-27,20-177,GSW,,CHO,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,66.0,4.4,0.0,66.5,4.433333333333334
36,36,,2022-12-28,20-178,GSW,,UTA,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,83.0,5.533333333333333,0.0,71.9,4.793333333333334
37,37,,2022-12-30,20-180,GSW,,POR,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,80.0,5.333333333333333,0.0,93.20000000000002,6.213333333333335
38,38,,2023-01-02,20-183,GSW,,ATL,W (+2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,100.0,6.666666666666667,0.0,109.0,7.266666666666667
39,39,,2023-01-04,20-185,GSW,,DET,L (-3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,86.0,5.733333333333333,0.0,91.2,6.08
40,40,12,2023-01-07,20-188,GSW,,ORL,L (-14),0,2:11,1.0,1.0,1.000,0.0,0.0,,0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.7,+2,1.0,1.0,1.0,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,3.0,70.0,4.666666666666667,2.7,63.7,4.246666666666667
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,0.0,0.0,0.0,0.0,0.0
42,41,,2023-01-10,20-191,GSW,,PHO,L (-12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,69.0,4.6,0.0,75.5,5.033333333333333
43,42,,2023-01-13,20-194,GSW,@,SAS,W (+31),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,135.0,9.0,0.0,122.5,8.166666666666666
44,43,,2023-01-15,20-196,GSW,@,CHI,L (-14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,87.0,5.8,0.0,83.8,5.586666666666667
45,44,,2023-01-16,20-197,GSW,@,WAS,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,87.0,5.8,0.0,96.5,6.433333333333334
46,45,,2023-01-19,20-200,GSW,@,BOS,L (-3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,76.0,5.066666666666666,0.0,80.19999999999999,5.346666666666666
47,46,,2023-01-20,20-201,GSW,@,CLE,W (+6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,85.0,5.666666666666667,0.0,92.8,6.1866666666666665
48,47,,2023-01-22,20-203,GSW,,BRK,L (-4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,84.0,5.6,0.0,86.6,5.7733333333333325
49,48,,2023-01-25,20-206,GSW,,MEM,W (+2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,85.0,5.666666666666667,0.0,89.10000000000001,5.94
50,49,,2023-01-27,20-208,GSW,,TOR,W (+12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,116.0,7.733333333333333,0.0,109.4,7.293333333333334
51,50,,2023-01-30,20-211,GSW,@,OKC,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,102.0,6.8,0.0,106.5,7.1
52,51,,2023-02-01,20-213,GSW,@,MIN,L (-5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,67.0,4.466666666666667,0.0,70.8,4.72
53,52,,2023-02-02,20-214,GSW,@,DEN,L (-17),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,79.0,5.266666666666667,0.0,74.79999999999998,4.9866666666666655
54,53,,2023-02-04,20-216,GSW,,DAL,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,92.0,6.133333333333334,0.0,94.4,6.293333333333334
55,54,,2023-02-06,20-218,GSW,,OKC,W (+27),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,124.0,8.266666666666667,0.0,120.3,8.02
56,55,,2023-02-08,20-220,GSW,@,POR,L (-3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,90.0,6.0,0.0,95.60000000000002,6.373333333333335
57,56,,2023-02-11,20-223,GSW,,LAL,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,79.0,5.266666666666667,0.0,76.19999999999999,5.079999999999999
58,57,,2023-02-13,20-225,GSW,,WAS,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,106.0,7.066666666666666,0.0,117.49999999999996,7.83333333333333
59,58,,2023-02-14,20-226,GSW,@,LAC,L (-10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,72.0,4.8,0.0,89.59999999999998,5.973333333333332
60,59,,2023-02-23,20-235,GSW,@,LAL,L (-13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,62.0,4.133333333333334,0.0,76.0,5.066666666666666
61,60,,2023-02-24,20-236,GSW,,HOU,W (+15),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,90.0,6.0,0.0,83.9,5.593333333333334
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,0.0,0.0,0.0,0.0,0.0
63,61,,2023-02-26,20-238,GSW,,MIN,W (+5),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,78.0,5.2,0.0,82.29999999999998,5.4866666666666655
