Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Andre Iguodala,Shared Games with Andrew Wiggins,Shared Games with Anthony Lamb,Shared Games with Draymond Green,Shared Games with James Wiseman,Shared Games with JaMychal Green,Shared Games with Jonathan Kuminga,Shared Games with Jordan Poole,Shared Games with Kevon Looney,Shared Games with Klay Thompson,Shared Games with Moses Moody,Shared Games with Patrick Baldwin Jr.,Shared Games with Ryan Rollins,Shared Games with Stephen Curry,Shared Games with Ty Jerome,Andre Iguodala,Andrew Wiggins,Anthony Lamb,Draymond Green,James Wiseman,JaMychal Green,Jonathan Kuminga,Jordan Poole,Kevon Looney,Klay Thompson,Lester Quinones,Moses Moody,Patrick Baldwin Jr.,Ryan Rollins,Stephen Curry,Ty Jerome,co_inf with Andre Iguodala,co_inf with Andrew Wiggins,co_inf with Anthony Lamb,co_inf with Draymond Green,co_inf with James Wiseman,co_inf with JaMychal Green,co_inf with Jonathan Kuminga,co_inf with Jordan Poole,co_inf with Kevon Looney,co_inf with Klay Thompson,co_inf with Lester Quinones,co_inf with Moses Moody,co_inf with Patrick Baldwin Jr.,co_inf with Ryan Rollins,co_inf with Stephen Curry,co_inf with Ty Jerome,Shared Games with Gary Payton II,Gary Payton II,Jalen Johnson,co_inf with Gary Payton II,co_inf with Jalen Johnson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
31,31,23,2022-12-18,25-321,GSW,@,TOR,W (+16),1,32:34,2.0,5.0,.400,1.0,3.0,.333,0,0.0,,0.0,1.0,1.0,6.0,2.0,0.0,3.0,4.0,5.0,4.2,+12,2.0,1.0,0.5,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,6.0,79.0,4.9375,4.199999999999999,92.0,5.75
32,32,,2022-12-20,25-323,GSW,@,NYK,L (-38),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,,42.0,2.625,0.0,53.9,3.36875
33,33,,2022-12-21,25-324,GSW,@,BRK,L (-30),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,,44.0,2.75,0.0,53.5,3.34375
34,34,24,2022-12-25,25-328,GSW,,MEM,W (+14),1,31:29,7.0,12.0,.583,5.0,9.0,.556,0,0.0,,0.0,3.0,3.0,3.0,1.0,0.0,0.0,2.0,19.0,16.6,-9,3.0,2.0,0.6666666666666666,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,14.0,81.0,5.0625,16.599999999999998,81.29999999999998,5.081249999999999
35,35,25,2022-12-27,25-330,GSW,,CHO,W (+5),1,29:58,0.0,4.0,.000,0.0,4.0,.000,0,0.0,,0.0,9.0,9.0,7.0,1.0,0.0,1.0,1.0,0.0,4.4,+4,0.0,0.0,,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,12.0,54.0,3.375,4.4,62.10000000000001,3.8812500000000005
36,36,26,2022-12-28,25-331,GSW,,UTA,W (+5),1,38:59,5.0,11.0,.455,5.0,9.0,.556,4,4.0,1.000,1.0,3.0,4.0,2.0,2.0,0.0,1.0,3.0,19.0,16.1,+5,2.0,0.0,0.0,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,11.0,72.0,4.5,14.499999999999996,65.4,4.0875
37,37,27,2022-12-30,25-333,GSW,,POR,W (+6),1,34:22,4.0,11.0,.364,1.0,5.0,.200,0,0.0,,3.0,6.0,9.0,4.0,4.0,0.0,1.0,2.0,9.0,11.8,+16,6.0,3.0,0.5,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,14.0,66.0,4.125,11.8,81.40000000000002,5.087500000000001
38,38,28,2023-01-02,25-336,GSW,,ATL,W (+2),1,44:22,3.0,9.0,.333,2.0,8.0,.250,0,0.0,,4.0,5.0,9.0,5.0,2.0,0.0,2.0,1.0,8.0,10.3,+7,1.0,1.0,1.0,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,13.0,87.0,5.4375,10.3,98.7,6.16875
39,39,29,2023-01-04,25-338,GSW,,DET,L (-3),1,34:00,2.0,4.0,.500,1.0,3.0,.333,0,0.0,,0.0,3.0,3.0,3.0,0.0,0.0,3.0,2.0,5.0,2.2,-14,1.0,1.0,1.0,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,4.0,82.0,5.125,2.2,89.00000000000001,5.562500000000001
40,40,30,2023-01-07,25-341,GSW,,ORL,L (-14),1,35:22,5.0,12.0,.417,5.0,11.0,.455,0,0.0,,1.0,7.0,8.0,3.0,2.0,0.0,1.0,0.0,15.0,14.5,-4,1.0,0.0,0.0,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,15.0,58.0,3.625,14.5,53.1,3.31875
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,,0.0,0.0,0.0,0.0,0.0
42,41,31,2023-01-10,25-344,GSW,,PHO,L (-12),0,17:59,1.0,4.0,.250,1.0,3.0,.333,0,0.0,,1.0,4.0,5.0,2.0,1.0,0.0,1.0,1.0,3.0,3.5,0,1.0,0.0,0.0,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,6.0,63.0,3.9375,3.499999999999999,72.8,4.55
43,42,32,2023-01-13,25-347,GSW,@,SAS,W (+31),0,25:17,7.0,17.0,.412,4.0,12.0,.333,4,4.0,1.000,3.0,4.0,7.0,5.0,2.0,0.0,1.0,2.0,22.0,19.9,+20,5.0,3.0,0.6,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,14.0,121.0,7.5625,18.3,116.29999999999998,7.268749999999999
44,43,33,2023-01-15,25-349,GSW,@,CHI,L (-14),0,25:52,3.0,7.0,.429,3.0,6.0,.500,0,0.0,,1.0,3.0,4.0,5.0,1.0,1.0,1.0,0.0,9.0,11.1,-5,1.0,0.0,0.0,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,12.0,75.0,4.6875,11.099999999999998,77.3,4.83125
45,44,34,2023-01-16,25-350,GSW,@,WAS,W (+9),0,27:00,5.0,9.0,.556,0.0,4.0,.000,1,1.0,1.000,0.0,5.0,5.0,3.0,0.0,0.0,0.0,3.0,11.0,9.1,+15,5.0,5.0,1.0,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,9.0,78.0,4.875,8.7,87.89999999999999,5.4937499999999995
46,45,35,2023-01-19,25-353,GSW,@,BOS,L (-3),0,27:36,2.0,6.0,.333,2.0,4.0,.500,0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,6.0,2.7,-4,2.0,0.0,0.0,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,3.0,73.0,4.5625,2.7,77.5,4.84375
47,46,36,2023-01-20,25-354,GSW,@,CLE,W (+6),1,35:24,5.0,13.0,.385,3.0,7.0,.429,4,6.0,.667,2.0,4.0,6.0,4.0,4.0,0.0,4.0,3.0,17.0,13.3,+12,6.0,2.0,0.3333333333333333,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,8.0,77.0,4.8125,11.7,82.69999999999999,5.168749999999999
48,47,37,2023-01-22,25-356,GSW,,BRK,L (-4),0,26:56,4.0,6.0,.667,4.0,4.0,1.000,1,2.0,.500,0.0,2.0,2.0,8.0,0.0,0.0,0.0,1.0,13.0,15.8,+9,2.0,0.0,0.0,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,15.0,69.0,4.3125,15.399999999999997,79.0,4.9375
49,48,38,2023-01-25,25-359,GSW,,MEM,W (+2),0,34:20,3.0,7.0,.429,2.0,4.0,.500,0,0.0,,2.0,2.0,4.0,2.0,0.0,1.0,3.0,2.0,8.0,4.6,+7,3.0,1.0,0.3333333333333333,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,5.0,80.0,5.0,4.599999999999999,90.5,5.65625
50,49,39,2023-01-27,25-361,GSW,,TOR,W (+12),0,33:10,5.0,10.0,.500,2.0,5.0,.400,0,0.0,,1.0,2.0,3.0,11.0,2.0,0.0,1.0,1.0,12.0,16.6,+24,5.0,3.0,0.6,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,17.0,99.0,6.1875,16.599999999999998,97.20000000000002,6.075000000000001
51,50,40,2023-01-30,25-364,GSW,@,OKC,W (+8),0,26:10,3.0,8.0,.375,2.0,5.0,.400,0,0.0,,0.0,4.0,4.0,3.0,3.0,0.0,2.0,2.0,8.0,7.1,-10,3.0,1.0,0.3333333333333333,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,8.0,94.0,5.875,7.099999999999998,102.9,6.43125
52,51,41,2023-02-01,26-001,GSW,@,MIN,L (-5),0,24:51,3.0,7.0,.429,1.0,4.0,.250,0,0.0,,1.0,3.0,4.0,5.0,1.0,0.0,1.0,1.0,7.0,8.0,-7,3.0,2.0,0.6666666666666666,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,9.0,58.0,3.625,7.999999999999998,67.39999999999999,4.2124999999999995
53,52,42,2023-02-02,26-002,GSW,@,DEN,L (-17),0,21:53,5.0,7.0,.714,4.0,5.0,.800,0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,3.0,1.0,14.0,10.0,-14,2.0,1.0,0.5,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,8.0,71.0,4.4375,10.000000000000002,64.79999999999998,4.049999999999999
54,53,43,2023-02-04,26-004,GSW,,DAL,W (+6),0,23:56,5.0,7.0,.714,3.0,5.0,.600,0,0.0,,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,13.0,11.3,-5,2.0,2.0,1.0,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,10.0,82.0,5.125,11.3,84.6,5.2875
55,54,44,2023-02-06,26-006,GSW,,OKC,W (+27),0,27:45,5.0,10.0,.500,4.0,8.0,.500,0,0.0,,2.0,2.0,4.0,7.0,0.0,0.0,0.0,3.0,14.0,14.7,+7,2.0,1.0,0.5,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,15.0,109.0,6.8125,14.7,108.20000000000002,6.762500000000001
56,55,45,2023-02-08,26-008,GSW,@,POR,L (-3),0,30:20,6.0,12.0,.500,5.0,10.0,.500,1,1.0,1.000,0.0,2.0,2.0,2.0,3.0,0.0,2.0,0.0,18.0,15.0,-4,2.0,1.0,0.5,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,10.0,80.0,5.0,14.6,86.70000000000002,5.418750000000001
57,56,46,2023-02-11,26-011,GSW,,LAL,L (-6),0,25:41,2.0,8.0,.250,1.0,5.0,.200,0,0.0,,0.0,0.0,0.0,3.0,1.0,1.0,3.0,3.0,5.0,-0.2,-2,3.0,1.0,0.3333333333333333,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,-1.0,80.0,5.0,-0.2000000000000019,76.39999999999999,4.7749999999999995
58,57,47,2023-02-13,26-013,GSW,,WAS,W (+9),0,25:20,6.0,9.0,.667,5.0,8.0,.625,0,0.0,,0.0,1.0,1.0,3.0,2.0,0.0,3.0,1.0,17.0,14.1,-7,1.0,1.0,1.0,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,11.0,95.0,5.9375,14.099999999999998,103.4,6.4625
59,58,48,2023-02-14,26-014,GSW,@,LAC,L (-10),1,29:15,3.0,6.0,.500,2.0,4.0,.500,2,2.0,1.000,1.0,0.0,1.0,4.0,1.0,0.0,1.0,3.0,10.0,9.3,-18,2.0,1.0,0.5,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,7.0,65.0,4.0625,8.5,81.09999999999998,5.068749999999999
60,59,49,2023-02-23,26-023,GSW,@,LAL,L (-13),1,24:01,2.0,7.0,.286,1.0,6.0,.167,0,0.0,,0.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,5.0,4.0,-9,1.0,1.0,1.0,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,5.0,57.0,3.5625,3.9999999999999982,72.0,4.5
61,60,50,2023-02-24,26-024,GSW,,HOU,W (+15),1,35:14,5.0,9.0,.556,5.0,9.0,.556,0,0.0,,0.0,3.0,3.0,4.0,0.0,0.0,2.0,0.0,15.0,12.4,+14,0.0,0.0,,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,11.0,79.0,4.9375,12.4,71.50000000000001,4.468750000000001
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,,0.0,0.0,0.0,0.0,0.0
