Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Andre Iguodala,Shared Games with Andrew Wiggins,Shared Games with Anthony Lamb,Shared Games with Donte DiVincenzo,Shared Games with Draymond Green,Shared Games with James Wiseman,Shared Games with Jonathan Kuminga,Shared Games with Jordan Poole,Shared Games with Kevon Looney,Shared Games with Klay Thompson,Shared Games with Moses Moody,Shared Games with Patrick Baldwin Jr.,Shared Games with Ryan Rollins,Shared Games with Stephen Curry,Shared Games with Ty Jerome,Andre Iguodala,Andrew Wiggins,Anthony Lamb,Donte DiVincenzo,Draymond Green,James Wiseman,Jonathan Kuminga,Jordan Poole,Kevon Looney,Klay Thompson,Lester Quinones,Moses Moody,Patrick Baldwin Jr.,Ryan Rollins,Stephen Curry,Ty Jerome,co_inf with Andre Iguodala,co_inf with Andrew Wiggins,co_inf with Anthony Lamb,co_inf with Donte DiVincenzo,co_inf with Draymond Green,co_inf with James Wiseman,co_inf with Jonathan Kuminga,co_inf with Jordan Poole,co_inf with Kevon Looney,co_inf with Klay Thompson,co_inf with Lester Quinones,co_inf with Moses Moody,co_inf with Patrick Baldwin Jr.,co_inf with Ryan Rollins,co_inf with Stephen Curry,co_inf with Ty Jerome,Shared Games with Gary Payton II,Gary Payton II,Jalen Johnson,co_inf with Gary Payton II,co_inf with Jalen Johnson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
30,30,27,2022-12-16,32-178,GSW,@,PHI,L (-12),0,10:33,0.0,2.0,.000,0.0,2.0,.000,1,2.0,.500,3.0,5.0,8.0,2.0,0.0,0.0,3.0,1.0,1.0,0.8,-1,0.0,0.0,,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,4.0,74.0,4.625,0.3999999999999999,76.2,4.7625
31,31,28,2022-12-18,32-180,GSW,@,TOR,W (+16),0,17:22,5.0,7.0,.714,2.0,3.0,.667,3,4.0,.750,2.0,5.0,7.0,1.0,0.0,1.0,2.0,1.0,15.0,13.6,+4,4.0,3.0,0.75,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,11.0,74.0,4.625,12.4,83.80000000000001,5.237500000000001
32,32,,2022-12-20,32-182,GSW,@,NYK,L (-38),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,,42.0,2.625,0.0,53.9,3.36875
33,33,,2022-12-21,32-183,GSW,@,BRK,L (-30),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,,44.0,2.75,0.0,53.5,3.34375
34,34,,2022-12-25,32-187,GSW,,MEM,W (+14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,,95.0,5.9375,0.0,97.89999999999998,6.118749999999999
35,35,,2022-12-27,32-189,GSW,,CHO,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,,66.0,4.125,0.0,66.5,4.15625
36,36,,2022-12-28,32-190,GSW,,UTA,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,,83.0,5.1875,0.0,79.9,4.99375
37,37,,2022-12-30,32-192,GSW,,POR,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,,80.0,5.0,0.0,93.20000000000002,5.825000000000001
38,38,,2023-01-02,32-195,GSW,,ATL,W (+2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,,100.0,6.25,0.0,109.0,6.8125
39,39,,2023-01-04,32-197,GSW,,DET,L (-3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,,86.0,5.375,0.0,91.2,5.7
40,40,,2023-01-07,32-200,GSW,,ORL,L (-14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,,73.0,4.5625,0.0,67.6,4.225
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,,0.0,0.0,0.0,0.0,0.0
42,41,,2023-01-10,32-203,GSW,,PHO,L (-12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,,69.0,4.3125,0.0,76.3,4.76875
43,42,,2023-01-13,32-206,GSW,@,SAS,W (+31),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,,135.0,8.4375,0.0,134.6,8.4125
44,43,,2023-01-15,32-208,GSW,@,CHI,L (-14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,,87.0,5.4375,0.0,88.39999999999999,5.5249999999999995
45,44,,2023-01-16,32-209,GSW,@,WAS,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,,87.0,5.4375,0.0,96.6,6.0375
46,45,,2023-01-19,32-212,GSW,@,BOS,L (-3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,,76.0,4.75,0.0,80.19999999999999,5.012499999999999
47,46,29,2023-01-20,32-213,GSW,@,CLE,W (+6),0,16:15,5.0,10.0,.500,3.0,5.0,.600,0,0.0,,4.0,4.0,8.0,0.0,0.0,0.0,3.0,3.0,13.0,7.8,-4,5.0,2.0,0.4,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,8.0,77.0,4.8125,7.800000000000001,86.6,5.4125
48,47,,2023-01-22,32-215,GSW,,BRK,L (-4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,,84.0,5.25,0.0,94.4,5.9
49,48,30,2023-01-25,32-218,GSW,,MEM,W (+2),0,10:27,1.0,3.0,.333,0.0,0.0,,3,3.0,1.000,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,5.0,4.6,-2,3.0,1.0,0.3333333333333333,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,2.0,83.0,5.1875,3.3999999999999995,91.7,5.73125
50,49,31,2023-01-27,32-220,GSW,,TOR,W (+12),0,15:32,3.0,5.0,.600,1.0,3.0,.333,3,3.0,1.000,2.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,10.0,9.9,-1,2.0,2.0,1.0,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,8.0,108.0,6.75,8.699999999999998,105.1,6.56875
51,50,,2023-01-30,32-223,GSW,@,OKC,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,,102.0,6.375,0.0,110.0,6.875
52,51,,2023-02-01,32-225,GSW,@,MIN,L (-5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,,67.0,4.1875,0.0,75.39999999999999,4.7124999999999995
53,52,32,2023-02-02,32-226,GSW,@,DEN,L (-17),0,15:31,2.0,4.0,.500,1.0,2.0,.500,1,2.0,.500,1.0,3.0,4.0,4.0,0.0,1.0,1.0,1.0,6.0,7.3,-9,2.0,1.0,0.5,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,8.0,71.0,4.4375,6.899999999999997,67.89999999999999,4.2437499999999995
54,53,33,2023-02-04,32-228,GSW,,DAL,W (+6),0,15:37,6.0,7.0,.857,1.0,2.0,.500,1,2.0,.500,2.0,3.0,5.0,3.0,1.0,2.0,0.0,1.0,14.0,17.5,+9,5.0,5.0,1.0,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,16.0,76.0,4.75,17.099999999999998,78.8,4.925
55,54,34,2023-02-06,32-230,GSW,,OKC,W (+27),0,11:31,5.0,7.0,.714,2.0,3.0,.667,0,1.0,.000,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,12.0,9.3,+5,4.0,3.0,0.75,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,7.0,117.0,7.3125,9.299999999999995,113.60000000000002,7.100000000000001
56,55,35,2023-02-08,32-232,GSW,@,POR,L (-3),0,10:50,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,1.5,+3,1.0,1.0,1.0,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,2.0,88.0,5.5,1.4999999999999998,99.80000000000004,6.2375000000000025
57,56,36,2023-02-11,32-235,GSW,,LAL,L (-6),0,19:04,3.0,8.0,.375,1.0,4.0,.250,4,4.0,1.000,1.0,4.0,5.0,0.0,0.0,0.0,1.0,4.0,11.0,5.9,-7,4.0,2.0,0.5,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,3.0,76.0,4.75,4.299999999999999,71.9,4.49375
58,57,37,2023-02-13,32-237,GSW,,WAS,W (+9),0,15:54,5.0,5.0,1.000,4.0,4.0,1.000,0,0.0,,0.0,1.0,1.0,5.0,2.0,0.0,1.0,3.0,14.0,16.1,-7,1.0,1.0,1.0,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,16.0,90.0,5.625,16.1,101.39999999999998,6.337499999999999
59,58,38,2023-02-14,32-238,GSW,@,LAC,L (-10),0,9:28,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,2.0,3.0,0.0,-1.9,-12,0.0,0.0,,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,1.0,71.0,4.4375,-1.9000000000000004,91.5,5.71875
60,59,39,2023-02-23,32-247,GSW,@,LAL,L (-13),0,16:16,1.0,5.0,.200,1.0,4.0,.250,0,2.0,.000,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,-0.3,-21,1.0,0.0,0.0,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,-2.0,64.0,4.0,-0.3,76.3,4.76875
61,60,40,2023-02-24,32-248,GSW,,HOU,W (+15),0,15:42,1.0,5.0,.200,1.0,3.0,.333,0,0.0,,1.0,6.0,7.0,2.0,2.0,0.0,3.0,5.0,3.0,0.8,+4,2.0,0.0,0.0,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,6.0,84.0,5.25,0.7999999999999989,83.10000000000001,5.1937500000000005
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,,0.0,0.0,0.0,0.0,0.0
