Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bryce McGowens,Shared Games with Cody Martin,Shared Games with Dennis Smith Jr.,Shared Games with Gordon Hayward,Shared Games with Jalen McDaniels,Shared Games with JT Thor,Shared Games with Kai Jones,Shared Games with Kelly Oubre Jr.,Shared Games with Kobi Simmons,Shared Games with LaMelo Ball,Shared Games with Mark Williams,Shared Games with Mason Plumlee,Shared Games with Nick Richards,Shared Games with P.J. Washington,Shared Games with Terry Rozier,Shared Games with Théo Maledon,Bryce McGowens,Cody Martin,Dennis Smith Jr.,Gordon Hayward,Jalen McDaniels,JT Thor,Kai Jones,Kelly Oubre Jr.,Kobi Simmons,LaMelo Ball,Mark Williams,Mason Plumlee,Nick Richards,P.J. Washington,Terry Rozier,Théo Maledon,Xavier Sneed,co_inf with Bryce McGowens,co_inf with Cody Martin,co_inf with Dennis Smith Jr.,co_inf with Gordon Hayward,co_inf with Jalen McDaniels,co_inf with JT Thor,co_inf with Kai Jones,co_inf with Kelly Oubre Jr.,co_inf with Kobi Simmons,co_inf with LaMelo Ball,co_inf with Mark Williams,co_inf with Mason Plumlee,co_inf with Nick Richards,co_inf with P.J. Washington,co_inf with Terry Rozier,co_inf with Théo Maledon,co_inf with Xavier Sneed,Shared Games with Reggie Jackson,Shared Games with Svi Mykhailiuk,De'Andre Hunter,Svi Mykhailiuk,co_inf with De'Andre Hunter,co_inf with Svi Mykhailiuk,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
29,29,22,2022-12-16,22-089,CHO,,ATL,L (-19),0,3:47,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.4,+4,1.0,0.0,0.0,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,0.0,53.0,2.9444444444444446,-0.3999999999999999,74.5,4.138888888888889
30,30,,2022-12-18,22-091,CHO,@,DEN,L (-4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,50.0,2.7777777777777777,0.0,65.49999999999999,3.638888888888888
31,31,,2022-12-19,22-092,CHO,@,SAC,W (+6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,81.0,4.5,0.0,91.6,5.088888888888889
32,32,23,2022-12-21,22-094,CHO,@,LAC,L (-21),0,3:21,1.0,2.0,.500,1.0,1.0,1.000,0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,3.3,+3,1.0,0.0,0.0,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,3.0,47.0,2.611111111111111,3.2999999999999994,57.4,3.1888888888888887
33,33,,2022-12-23,22-096,CHO,@,LAL,W (+4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,77.0,4.277777777777778,0.0,93.5,5.194444444444445
34,34,,2022-12-26,22-099,CHO,@,POR,L (-11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,39.0,2.1666666666666665,0.0,56.1,3.1166666666666667
35,35,,2022-12-27,22-100,CHO,@,GSW,L (-5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,26.0,1.4444444444444444,0.0,46.5,2.5833333333333335
36,36,,2022-12-29,22-102,CHO,,OKC,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,74.0,4.111111111111111,0.0,81.19999999999999,4.51111111111111
37,37,24,2022-12-31,22-104,CHO,,BRK,L (-17),0,3:25,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,+3,0.0,0.0,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,1.0,40.0,2.2222222222222223,0.3,56.89999999999999,3.1611111111111105
38,38,,2023-01-02,22-106,CHO,,LAL,L (-6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,47.0,2.611111111111111,0.0,65.2,3.6222222222222222
39,39,25,2023-01-04,22-108,CHO,,MEM,L (-24),0,4:41,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,+2,0.0,0.0,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,1.0,45.0,2.5,1.0,62.49999999999999,3.472222222222222
40,40,,2023-01-06,22-110,CHO,@,MIL,W (+29),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,82.0,4.555555555555555,0.0,109.1,6.061111111111111
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,0.0,0.0,0.0,0.0,0.0
42,41,,2023-01-08,22-112,CHO,@,IND,L (-5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,45.0,2.5,0.0,55.6,3.088888888888889
43,42,,2023-01-10,22-114,CHO,@,TOR,L (-12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,72.0,4.0,0.0,88.80000000000001,4.933333333333334
44,43,,2023-01-12,22-116,CHO,@,TOR,L (-10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,52.0,2.888888888888889,0.0,61.400000000000006,3.4111111111111114
45,44,,2023-01-14,22-118,CHO,,BOS,L (-16),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,55.0,3.055555555555556,0.0,72.7,4.038888888888889
46,45,,2023-01-16,22-120,CHO,,BOS,L (-12),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,36.0,2.0,0.0,52.399999999999984,2.91111111111111
47,46,,2023-01-18,22-122,CHO,@,HOU,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,63.0,3.5,0.0,86.9,4.827777777777778
48,47,,2023-01-21,22-125,CHO,@,ATL,W (+4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,62.0,3.4444444444444446,0.0,82.20000000000002,4.566666666666667
49,48,,2023-01-23,22-127,CHO,@,UTA,L (-18),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,26.0,1.4444444444444444,0.0,42.8,2.3777777777777778
50,49,26,2023-01-24,22-128,CHO,@,PHO,L (-31),0,5:49,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.8,-7,1.0,0.0,0.0,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,-1.0,25.0,1.3888888888888888,-1.7999999999999998,38.99999999999999,2.166666666666666
51,50,,2023-01-26,22-130,CHO,,CHI,W (+15),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,51.0,2.833333333333333,0.0,63.9,3.55
52,51,,2023-01-29,22-133,CHO,,MIA,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,68.0,3.7777777777777777,0.0,88.0,4.888888888888889
53,52,,2023-01-31,22-135,CHO,@,MIL,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,56.0,3.111111111111111,0.0,68.9,3.827777777777778
54,53,,2023-02-02,22-137,CHO,@,CHI,L (-16),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,46.0,2.555555555555556,0.0,71.0,3.9444444444444446
55,54,,2023-02-03,22-138,CHO,@,DET,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,48.0,2.6666666666666665,0.0,68.10000000000001,3.7833333333333337
56,55,,2023-02-05,22-140,CHO,,ORL,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,48.0,2.6666666666666665,0.0,64.0,3.5555555555555554
57,56,,2023-02-08,22-143,CHO,@,WAS,L (-14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,54.0,3.0,0.0,70.4,3.9111111111111114
58,57,,2023-02-10,22-145,CHO,@,BOS,L (-11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,82.0,4.555555555555555,0.0,106.5,5.916666666666667
59,58,,2023-02-11,22-146,CHO,,DEN,L (-14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,64.0,3.555555555555556,0.0,86.99999999999999,4.833333333333332
60,59,,2023-02-13,22-148,CHO,,ATL,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,114.0,6.333333333333333,0.0,134.2,7.455555555555555
