Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Green,Shared Games with Bobby Portis,Shared Games with Brook Lopez,Shared Games with George Hill,Shared Games with Giannis Antetokounmpo,Shared Games with Jevon Carter,Shared Games with Joe Ingles,Shared Games with Jordan Nwora,Shared Games with Jrue Holiday,Shared Games with Khris Middleton,Shared Games with MarJon Beauchamp,Shared Games with Meyers Leonard,Shared Games with Pat Connaughton,Shared Games with Sandro Mamukelashvili,Shared Games with Serge Ibaka,Shared Games with Thanasis Antetokounmpo,Shared Games with Wesley Matthews,A.J. Green,Bobby Portis,Brook Lopez,George Hill,Giannis Antetokounmpo,Jevon Carter,Joe Ingles,Jordan Nwora,Jrue Holiday,Khris Middleton,Lindell Wigginton,MarJon Beauchamp,Meyers Leonard,Pat Connaughton,Sandro Mamukelashvili,Serge Ibaka,Thanasis Antetokounmpo,Wesley Matthews,co_inf with A.J. Green,co_inf with Bobby Portis,co_inf with Brook Lopez,co_inf with George Hill,co_inf with Giannis Antetokounmpo,co_inf with Jevon Carter,co_inf with Joe Ingles,co_inf with Jordan Nwora,co_inf with Jrue Holiday,co_inf with Khris Middleton,co_inf with Lindell Wigginton,co_inf with MarJon Beauchamp,co_inf with Meyers Leonard,co_inf with Pat Connaughton,co_inf with Sandro Mamukelashvili,co_inf with Serge Ibaka,co_inf with Thanasis Antetokounmpo,co_inf with Wesley Matthews,Shared Games with Goran Dragić,Shared Games with Jae Crowder,Goran Dragić,Jae Crowder,Tyrese Martin,co_inf with Goran Dragić,co_inf with Jae Crowder,co_inf with Tyrese Martin,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
26,26,23,2022-12-11,27-064,MIL,@,HOU,L (-5),1,28:47,2.0,12.0,.167,2.0,9.0,.222,5,5.0,1.000,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,11.0,1.7,-13,3.0,0.0,0.0,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,-6.0,54.0,2.8421052631578947,-0.2999999999999985,57.3,3.0157894736842104
27,27,24,2022-12-13,27-066,MIL,,GSW,W (+17),1,27:00,6.0,6.0,1.000,2.0,2.0,1.000,2,2.0,1.000,1.0,3.0,4.0,2.0,0.0,0.0,1.0,1.0,16.0,15.8,+16,4.0,4.0,1.0,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,13.0,63.0,3.3157894736842106,14.999999999999996,80.00000000000001,4.210526315789474
28,28,25,2022-12-15,27-068,MIL,@,MEM,L (-41),1,22:19,2.0,7.0,.286,0.0,2.0,.000,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,1.2,-17,5.0,2.0,0.4,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,0.0,28.0,1.4736842105263157,1.2000000000000002,52.7,2.7736842105263158
29,29,26,2022-12-17,27-070,MIL,,UTA,W (+26),1,27:46,6.0,9.0,.667,1.0,2.0,.500,0,0.0,,0.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,13.0,12.7,+18,7.0,5.0,0.7142857142857143,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,12.0,69.0,3.631578947368421,12.7,80.89999999999998,4.257894736842104
30,30,27,2022-12-19,27-072,MIL,@,NOP,W (+9),1,25:05,3.0,6.0,.500,0.0,3.0,.000,0,0.0,,1.0,4.0,5.0,2.0,1.0,1.0,1.0,1.0,6.0,6.6,-4,3.0,3.0,1.0,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,8.0,79.0,4.157894736842105,6.6,94.0,4.947368421052632
31,31,28,2022-12-21,27-074,MIL,@,CLE,L (-8),1,34:01,2.0,7.0,.286,2.0,3.0,.667,0,0.0,,1.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,6.0,6.3,+2,4.0,0.0,0.0,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,6.0,54.0,2.8421052631578947,6.3,63.69999999999999,3.352631578947368
32,32,29,2022-12-23,27-076,MIL,@,BRK,L (-18),1,24:50,1.0,3.0,.333,1.0,2.0,.500,0,0.0,,3.0,2.0,5.0,1.0,0.0,0.0,0.0,1.0,3.0,4.3,-30,1.0,0.0,0.0,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,6.0,41.0,2.1578947368421053,4.3,61.6,3.2421052631578946
33,33,30,2022-12-25,27-078,MIL,@,BOS,L (-21),1,29:07,3.0,7.0,.429,0.0,3.0,.000,2,2.0,1.000,1.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,8.0,4.9,-17,4.0,3.0,0.75,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,2.0,63.0,3.3157894736842106,4.099999999999998,84.89999999999999,4.468421052631578
34,34,31,2022-12-28,27-081,MIL,@,CHI,L (-6),1,30:52,4.0,16.0,.250,3.0,14.0,.214,2,2.0,1.000,3.0,0.0,3.0,2.0,1.0,0.0,1.0,3.0,13.0,5.7,-6,2.0,1.0,0.5,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,0.0,48.0,2.526315789473684,4.899999999999999,63.10000000000001,3.3210526315789477
35,35,32,2022-12-30,27-083,MIL,,MIN,W (+9),1,25:27,2.0,6.0,.333,2.0,4.0,.500,1,2.0,.500,1.0,3.0,4.0,1.0,0.0,0.0,2.0,1.0,7.0,3.1,+1,2.0,0.0,0.0,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,2.0,80.0,4.2105263157894735,2.7,85.10000000000001,4.4789473684210535
36,36,33,2023-01-01,27-085,MIL,,WAS,L (-23),1,26:12,4.0,11.0,.364,3.0,9.0,.333,2,2.0,1.000,0.0,5.0,5.0,8.0,1.0,0.0,2.0,1.0,13.0,12.6,-10,2.0,1.0,0.5,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,12.0,32.0,1.6842105263157894,11.800000000000002,44.19999999999999,2.3263157894736834
37,37,34,2023-01-03,27-087,MIL,,WAS,W (+10),1,29:23,1.0,9.0,.111,1.0,7.0,.143,0,0.0,,2.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,3.0,0.8,+18,2.0,0.0,0.0,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,0.0,84.0,4.421052631578948,0.8000000000000002,99.8,5.252631578947368
38,38,35,2023-01-04,27-088,MIL,@,TOR,W (+3),1,32:08,4.0,9.0,.444,2.0,5.0,.400,6,8.0,.750,1.0,3.0,4.0,5.0,1.0,0.0,1.0,2.0,16.0,14.8,+8,4.0,2.0,0.5,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,8.0,63.0,3.3157894736842106,12.4,52.8,2.7789473684210524
39,39,36,2023-01-06,27-090,MIL,,CHO,L (-29),1,21:29,4.0,7.0,.571,3.0,4.0,.750,1,1.0,1.000,0.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,12.0,9.6,-22,3.0,1.0,0.3333333333333333,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,8.0,44.0,2.3157894736842106,9.2,59.79999999999999,3.147368421052631
40,40,37,2023-01-09,27-093,MIL,@,NYK,W (+4),1,28:34,3.0,6.0,.500,2.0,3.0,.667,3,3.0,1.000,0.0,3.0,3.0,0.0,2.0,0.0,2.0,2.0,11.0,8.1,-11,3.0,1.0,0.3333333333333333,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,5.0,73.0,3.842105263157895,6.899999999999999,79.0,4.157894736842105
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,,0.0,0.0,0.0,0.0,0.0
42,41,38,2023-01-11,27-095,MIL,@,ATL,W (+9),1,13:22,3.0,4.0,.750,0.0,0.0,,0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,6.0,5.6,+11,4.0,3.0,0.75,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,6.0,84.0,4.421052631578948,5.6,88.0,4.631578947368421
43,42,,2023-01-12,27-096,MIL,@,MIA,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,,46.0,2.421052631578948,0.0,62.1,3.268421052631579
44,43,39,2023-01-14,27-098,MIL,@,MIA,L (-16),1,26:54,4.0,9.0,.444,3.0,6.0,.500,1,2.0,.500,1.0,2.0,3.0,5.0,0.0,0.0,0.0,3.0,12.0,10.5,-16,3.0,1.0,0.3333333333333333,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,9.0,51.0,2.6842105263157894,10.099999999999998,61.69999999999999,3.247368421052631
45,44,40,2023-01-16,27-100,MIL,,IND,W (+13),1,31:50,6.0,13.0,.462,3.0,7.0,.429,2,2.0,1.000,1.0,4.0,5.0,4.0,2.0,0.0,2.0,1.0,17.0,14.6,+17,6.0,3.0,0.5,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,11.0,62.0,3.263157894736842,13.8,73.5,3.8684210526315788
46,45,41,2023-01-17,27-101,MIL,,TOR,W (+8),1,32:56,8.0,13.0,.615,4.0,5.0,.800,5,5.0,1.000,0.0,5.0,5.0,1.0,1.0,0.0,1.0,2.0,25.0,20.5,+9,8.0,4.0,0.5,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,13.0,74.0,3.8947368421052633,18.5,79.89999999999999,4.205263157894737
47,46,42,2023-01-21,27-105,MIL,@,CLE,L (-12),1,27:56,2.0,4.0,.500,1.0,3.0,.333,3,3.0,1.000,1.0,2.0,3.0,1.0,0.0,1.0,3.0,4.0,8.0,4.1,-13,1.0,1.0,1.0,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,3.0,48.0,2.526315789473684,2.8999999999999986,57.80000000000001,3.0421052631578953
48,47,43,2023-01-23,27-107,MIL,@,DET,W (+20),1,23:28,3.0,6.0,.500,1.0,4.0,.250,2,2.0,1.000,1.0,2.0,3.0,5.0,3.0,1.0,1.0,1.0,9.0,13.1,+26,2.0,2.0,1.0,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,12.0,97.0,5.105263157894737,12.3,110.79999999999998,5.8315789473684205
49,48,44,2023-01-25,27-109,MIL,,DEN,W (+8),1,28:02,2.0,6.0,.333,2.0,6.0,.333,1,2.0,.500,0.0,5.0,5.0,1.0,3.0,0.0,0.0,1.0,7.0,8.0,-5,0.0,0.0,,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,8.0,51.0,2.6842105263157894,7.6,60.69999999999999,3.1947368421052627
50,49,45,2023-01-27,27-111,MIL,@,IND,W (+10),1,32:18,4.0,8.0,.500,3.0,5.0,.600,2,2.0,1.000,1.0,1.0,2.0,4.0,0.0,1.0,0.0,3.0,13.0,12.3,-2,3.0,1.0,0.3333333333333333,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,10.0,88.0,4.631578947368421,11.499999999999996,106.5,5.605263157894737
51,50,46,2023-01-29,27-113,MIL,,NOP,W (+25),1,25:35,3.0,8.0,.375,2.0,6.0,.333,0,0.0,,0.0,1.0,1.0,4.0,2.0,0.0,2.0,1.0,8.0,6.3,0,2.0,1.0,0.5,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,5.0,87.0,4.578947368421052,6.300000000000001,97.29999999999998,5.121052631578946
52,51,47,2023-01-31,27-115,MIL,,CHO,W (+9),1,30:38,4.0,9.0,.444,4.0,9.0,.444,0,0.0,,2.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0,12.0,8.2,-3,0.0,0.0,,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,6.0,78.0,4.105263157894737,8.2,82.19999999999999,4.326315789473684
53,52,48,2023-02-02,27-117,MIL,,LAC,W (+1),1,24:01,1.0,3.0,.333,1.0,3.0,.333,1,2.0,.500,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.9,-4,0.0,0.0,,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,1.0,59.0,3.1052631578947367,0.5000000000000004,72.10000000000001,3.7947368421052636
