Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alec Burks,Shared Games with Braxton Key,Shared Games with Buddy Boeheim,Shared Games with Cade Cunningham,Shared Games with Cory Joseph,Shared Games with Hamidou Diallo,Shared Games with Isaiah Livers,Shared Games with Isaiah Stewart,Shared Games with Jaden Ivey,Shared Games with Jalen Duren,Shared Games with Jared Rhoden,Shared Games with Kevin Knox,Shared Games with Killian Hayes,Shared Games with Marvin Bagley III,Shared Games with Nerlens Noel,Shared Games with Rodney McGruder,Shared Games with Saddiq Bey,Alec Burks,Braxton Key,Buddy Boeheim,Cade Cunningham,Cory Joseph,Hamidou Diallo,Isaiah Livers,Isaiah Stewart,Jaden Ivey,Jalen Duren,Jared Rhoden,Kevin Knox,Killian Hayes,Marvin Bagley III,Nerlens Noel,Rodney McGruder,Saddiq Bey,Stanley Umude,co_inf with Alec Burks,co_inf with Braxton Key,co_inf with Buddy Boeheim,co_inf with Cade Cunningham,co_inf with Cory Joseph,co_inf with Hamidou Diallo,co_inf with Isaiah Livers,co_inf with Isaiah Stewart,co_inf with Jaden Ivey,co_inf with Jalen Duren,co_inf with Jared Rhoden,co_inf with Kevin Knox,co_inf with Killian Hayes,co_inf with Marvin Bagley III,co_inf with Nerlens Noel,co_inf with Rodney McGruder,co_inf with Saddiq Bey,co_inf with Stanley Umude,Shared Games with James Wiseman,Shared Games with Eugene Omoruyi,Shared Games with R.J. Hampton,Eugene Omoruyi,Frank Kaminsky,James Wiseman,R.J. Hampton,co_inf with James Wiseman,co_inf with Eugene Omoruyi,co_inf with Frank Kaminsky,co_inf with R.J. Hampton,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
27,27,26,2022-12-07,33-233,DET,@,NOP,L (-6),1,20:10,1.0,8.0,.125,1.0,4.0,.250,2,2.0,1.000,1.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,5.0,-0.9,-13,4.0,0.0,0.0,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,-4.0,40.0,2.0,-1.6999999999999995,41.49999999999999,2.0749999999999997
28,28,27,2022-12-09,33-235,DET,@,MEM,L (-11),1,22:12,6.0,15.0,.400,2.0,6.0,.333,5,5.0,1.000,3.0,1.0,4.0,0.0,0.0,0.0,2.0,1.0,19.0,10.9,-19,9.0,4.0,0.4444444444444444,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,1.0,45.0,2.25,8.9,44.1,2.205
29,29,28,2022-12-11,33-237,DET,,LAL,L (-7),1,34:46,12.0,22.0,.545,6.0,12.0,.500,8,8.0,1.000,1.0,3.0,4.0,2.0,1.0,1.0,4.0,3.0,38.0,26.9,+8,10.0,6.0,0.6,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,12.0,70.0,3.5,23.700000000000003,69.59999999999998,3.479999999999999
30,30,29,2022-12-14,33-240,DET,@,CHO,W (+7),1,37:01,8.0,19.0,.421,3.0,9.0,.333,5,6.0,.833,0.0,4.0,4.0,4.0,0.0,0.0,1.0,3.0,24.0,15.3,+8,10.0,5.0,0.5,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,6.0,96.0,4.8,13.299999999999995,94.69999999999996,4.734999999999998
31,31,30,2022-12-16,33-242,DET,,SAC,L (-9),1,30:17,6.0,16.0,.375,1.0,5.0,.200,9,9.0,1.000,0.0,2.0,2.0,2.0,1.0,0.0,3.0,1.0,22.0,12.8,-17,11.0,5.0,0.4545454545454545,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,-1.0,51.0,2.55,9.2,49.899999999999984,2.494999999999999
32,32,31,2022-12-18,33-244,DET,,BRK,L (-3),1,30:46,7.0,16.0,.438,3.0,8.0,.375,9,9.0,1.000,0.0,1.0,1.0,4.0,0.0,0.0,2.0,1.0,26.0,18.3,+9,8.0,4.0,0.5,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,4.0,57.0,2.85,14.700000000000005,62.7,3.1350000000000002
33,33,32,2022-12-20,33-246,DET,,UTA,L (-15),1,30:57,5.0,13.0,.385,2.0,6.0,.333,3,3.0,1.000,0.0,3.0,3.0,3.0,1.0,0.0,2.0,4.0,15.0,8.3,-21,7.0,3.0,0.4285714285714285,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,4.0,62.0,3.1,7.1,83.10000000000002,4.155000000000001
34,34,33,2022-12-21,33-247,DET,@,PHI,L (-20),1,23:31,1.0,3.0,.333,0.0,0.0,,8,9.0,.889,1.0,7.0,8.0,0.0,0.0,0.0,2.0,1.0,10.0,8.3,-2,3.0,1.0,0.3333333333333333,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,4.0,38.0,1.9,5.1,48.2,2.41
35,35,34,2022-12-23,33-249,DET,@,ATL,L (-25),1,30:20,8.0,20.0,.400,2.0,7.0,.286,5,5.0,1.000,1.0,2.0,3.0,1.0,1.0,0.0,3.0,2.0,23.0,11.4,-12,13.0,6.0,0.4615384615384615,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,0.0,48.0,2.4,9.4,58.50000000000001,2.9250000000000003
36,36,35,2022-12-26,33-252,DET,,LAC,L (-11),1,39:27,7.0,20.0,.350,1.0,6.0,.167,8,9.0,.889,0.0,3.0,3.0,3.0,2.0,1.0,5.0,3.0,23.0,10.9,-15,14.0,6.0,0.4285714285714285,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,-2.0,69.0,3.45,7.699999999999996,80.3,4.015
37,37,36,2022-12-28,33-254,DET,,ORL,W (+20),1,35:44,4.0,14.0,.286,1.0,5.0,.200,5,6.0,.833,0.0,3.0,3.0,5.0,0.0,0.0,1.0,3.0,14.0,7.6,+25,9.0,3.0,0.3333333333333333,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,1.0,56.0,2.8,5.6000000000000005,58.900000000000006,2.9450000000000003
38,38,37,2022-12-30,33-256,DET,@,CHI,L (-14),1,31:09,8.0,19.0,.421,2.0,6.0,.333,2,4.0,.500,1.0,3.0,4.0,6.0,1.0,0.0,3.0,1.0,20.0,12.5,-16,13.0,6.0,0.4615384615384615,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,5.0,59.0,2.95,11.699999999999996,69.1,3.4549999999999996
39,39,38,2022-12-31,33-257,DET,@,MIN,W (+12),1,31:29,10.0,14.0,.714,3.0,4.0,.750,5,5.0,1.000,2.0,4.0,6.0,5.0,1.0,0.0,2.0,1.0,28.0,26.9,+1,10.0,7.0,0.7,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,19.0,46.0,2.3,24.90000000000001,50.69999999999999,2.5349999999999993
40,40,39,2023-01-02,33-259,DET,@,POR,L (-29),1,25:24,8.0,15.0,.533,2.0,3.0,.667,3,3.0,1.000,0.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,21.0,15.0,-12,12.0,6.0,0.5,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,7.0,32.0,1.6,13.8,42.20000000000001,2.1100000000000003
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,,0.0,0.0,0.0,0.0,0.0
42,41,40,2023-01-04,33-261,DET,@,GSW,W (+3),1,33:14,10.0,15.0,.667,5.0,6.0,.833,4,5.0,.800,0.0,4.0,4.0,5.0,2.0,0.0,0.0,1.0,29.0,28.4,+5,9.0,5.0,0.5555555555555556,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,20.0,69.0,3.45,26.800000000000004,78.8,3.94
43,42,41,2023-01-06,33-263,DET,@,SAS,L (-12),1,31:30,9.0,20.0,.450,2.0,7.0,.286,1,2.0,.500,1.0,2.0,3.0,3.0,0.0,0.0,4.0,1.0,21.0,9.2,-16,13.0,7.0,0.5384615384615384,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,1.0,54.0,2.7,8.799999999999999,64.39999999999999,3.2199999999999998
44,43,42,2023-01-08,33-265,DET,,PHI,L (-12),1,35:49,7.0,17.0,.412,1.0,4.0,.250,5,5.0,1.000,0.0,2.0,2.0,5.0,1.0,0.0,2.0,2.0,20.0,13.2,-8,13.0,6.0,0.4615384615384615,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,4.0,51.0,2.55,11.200000000000005,59.1,2.955
45,44,,2023-01-10,33-267,DET,@,PHI,L (-31),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,,28.0,1.4,0.0,50.7,2.535
46,45,43,2023-01-11,33-268,DET,,MIN,W (+17),1,32:03,9.0,15.0,.600,5.0,8.0,.625,4,5.0,.800,1.0,5.0,6.0,4.0,1.0,1.0,2.0,3.0,27.0,23.2,+11,7.0,4.0,0.5714285714285714,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,17.0,53.0,2.65,21.6,58.80000000000001,2.9400000000000004
47,46,44,2023-01-13,33-270,DET,,NOP,L (-6),1,36:00,9.0,19.0,.474,1.0,7.0,.143,3,5.0,.600,0.0,3.0,3.0,2.0,0.0,1.0,0.0,2.0,22.0,13.7,-10,12.0,8.0,0.6666666666666666,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,4.0,40.0,2.0,12.499999999999998,44.0,2.2
48,47,,2023-01-15,33-272,DET,,NYK,L (-13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,,53.0,2.65,0.0,52.4,2.62
49,48,45,2023-01-19,33-276,DET,,CHI,L (-18),1,34:53,9.0,20.0,.450,3.0,9.0,.333,4,6.0,.667,2.0,3.0,5.0,3.0,0.0,0.0,2.0,0.0,25.0,16.2,-13,11.0,6.0,0.5454545454545454,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,5.0,39.0,1.95,14.6,45.69999999999999,2.2849999999999993
50,49,46,2023-01-23,33-280,DET,,MIL,L (-20),1,27:34,11.0,15.0,.733,6.0,7.0,.857,5,5.0,1.000,0.0,3.0,3.0,0.0,1.0,0.0,2.0,2.0,33.0,26.0,-23,8.0,5.0,0.625,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,15.0,42.0,2.1,24.0,51.4,2.57
51,50,47,2023-01-26,33-283,DET,@,BRK,W (+8),1,31:42,4.0,15.0,.267,0.0,4.0,.000,3,4.0,.750,0.0,6.0,6.0,1.0,1.0,1.0,2.0,2.0,11.0,3.1,+11,11.0,4.0,0.3636363636363636,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,-1.0,73.0,3.65,1.8999999999999977,82.49999999999999,4.124999999999999
52,51,48,2023-01-28,33-285,DET,,HOU,L (-3),1,37:07,6.0,17.0,.353,1.0,6.0,.167,5,6.0,.833,1.0,1.0,2.0,3.0,1.0,0.0,1.0,2.0,18.0,10.4,-5,11.0,5.0,0.4545454545454545,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,0.0,45.0,2.25,8.4,57.1,2.855
53,52,49,2023-01-30,33-287,DET,@,DAL,L (-6),1,36:23,10.0,15.0,.667,4.0,7.0,.571,5,5.0,1.000,1.0,4.0,5.0,2.0,0.0,0.0,4.0,3.0,29.0,20.6,-1,8.0,6.0,0.75,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,12.0,39.0,1.95,18.600000000000005,44.2,2.21
54,53,50,2023-02-03,33-291,DET,,CHO,W (+6),1,35:15,8.0,14.0,.571,4.0,7.0,.571,1,2.0,.500,0.0,1.0,1.0,2.0,1.0,0.0,4.0,4.0,21.0,11.1,+6,7.0,4.0,0.5714285714285714,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,5.0,58.0,2.9,10.7,58.1,2.9050000000000002
55,54,51,2023-02-04,33-292,DET,,PHO,L (-16),1,35:15,8.0,17.0,.471,4.0,10.0,.400,3,4.0,.750,1.0,2.0,3.0,2.0,1.0,0.0,2.0,2.0,23.0,14.8,-15,7.0,4.0,0.5714285714285714,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,6.0,25.0,1.25,13.599999999999998,29.8,1.49
