Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Blake Wesley,Shared Games with Charles Bassey,Shared Games with Devin Vassell,Shared Games with Dominick Barlow,Shared Games with Doug McDermott,Shared Games with Isaiah Roby,Shared Games with Jakob Poeltl,Shared Games with Jeremy Sochan,Shared Games with Josh Richardson,Shared Games with Keita Bates-Diop,Shared Games with Keldon Johnson,Shared Games with Malaki Branham,Shared Games with Romeo Langford,Shared Games with Stanley Johnson,Shared Games with Tre Jones,Shared Games with Zach Collins,Alize Johnson,Blake Wesley,Charles Bassey,Devin Vassell,Dominick Barlow,Doug McDermott,Isaiah Roby,Jakob Poeltl,Jeremy Sochan,Jordan Hall,Josh Richardson,Joshua Primo,Keita Bates-Diop,Keldon Johnson,Malaki Branham,Romeo Langford,Stanley Johnson,Tre Jones,Zach Collins,co_inf with Alize Johnson,co_inf with Blake Wesley,co_inf with Charles Bassey,co_inf with Devin Vassell,co_inf with Dominick Barlow,co_inf with Doug McDermott,co_inf with Isaiah Roby,co_inf with Jakob Poeltl,co_inf with Jeremy Sochan,co_inf with Jordan Hall,co_inf with Josh Richardson,co_inf with Joshua Primo,co_inf with Keita Bates-Diop,co_inf with Keldon Johnson,co_inf with Malaki Branham,co_inf with Romeo Langford,co_inf with Stanley Johnson,co_inf with Tre Jones,co_inf with Zach Collins,Shared Games with Devonte' Graham,Shared Games with Julian Champagnie,Shared Games with Sandro Mamukelashvili,Devonte' Graham,Julian Champagnie,Justin Jackson,Khem Birch,Sandro Mamukelashvili,co_inf with Devonte' Graham,co_inf with Julian Champagnie,co_inf with Justin Jackson,co_inf with Khem Birch,co_inf with Sandro Mamukelashvili,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
25,25,,2022-12-08,32-324,SAS,,HOU,W (+9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,,71.0,3.736842105263158,0.0,86.00000000000001,4.526315789473685
26,26,,2022-12-10,32-326,SAS,@,MIA,W (+4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,,63.0,3.3157894736842106,0.0,81.19999999999999,4.273684210526315
27,27,,2022-12-12,32-328,SAS,,CLE,W (+1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,,51.0,2.6842105263157894,0.0,58.69999999999999,3.089473684210526
28,28,12,2022-12-14,32-330,SAS,,POR,L (-16),0,24:14,2.0,7.0,.286,1.0,4.0,.250,0,0.0,,3.0,5.0,8.0,3.0,0.0,0.0,1.0,3.0,5.0,4.4,+4,3.0,1.0,0.3333333333333333,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,8.0,47.0,2.473684210526316,4.399999999999999,64.8,3.4105263157894736
29,29,,2022-12-17,32-333,SAS,,MIA,L (-10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,,72.0,3.789473684210526,0.0,79.8,4.2
30,30,,2022-12-19,32-335,SAS,@,HOU,W (+19),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,,79.0,4.157894736842105,0.0,88.49999999999999,4.657894736842104
31,31,,2022-12-22,32-338,SAS,@,NOP,L (-9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,,48.0,2.526315789473684,0.0,58.2,3.0631578947368423
32,32,,2022-12-23,32-339,SAS,@,ORL,L (-20),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,,58.0,3.0526315789473686,0.0,76.69999999999999,4.036842105263157
33,33,,2022-12-26,32-342,SAS,,UTA,W (+4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,,59.0,3.1052631578947367,0.0,83.49999999999997,4.394736842105262
34,34,,2022-12-27,32-343,SAS,@,OKC,L (-16),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,,47.0,2.473684210526316,0.0,59.89999999999999,3.152631578947368
35,35,,2022-12-29,32-345,SAS,,NYK,W (+7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,,48.0,2.526315789473684,0.0,66.7,3.5105263157894737
36,36,,2022-12-31,32-347,SAS,,DAL,L (-1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,,48.0,2.526315789473684,0.0,66.3,3.4894736842105263
37,37,13,2023-01-02,32-349,SAS,@,BRK,L (-36),0,9:41,2.0,4.0,.500,1.0,2.0,.500,0,0.0,,2.0,1.0,3.0,4.0,0.0,1.0,0.0,1.0,5.0,7.8,-7,2.0,1.0,0.5,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,9.0,31.0,1.631578947368421,7.799999999999999,41.19999999999999,2.168421052631578
38,38,,2023-01-04,32-351,SAS,@,NYK,L (-3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,,35.0,1.8421052631578947,0.0,47.1,2.4789473684210526
39,39,,2023-01-09,32-356,SAS,@,MEM,L (-8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,,41.0,2.1578947368421053,0.0,59.399999999999984,3.1263157894736833
40,40,,2023-01-11,32-358,SAS,@,MEM,L (-6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,,55.0,2.894736842105264,0.0,69.0,3.6315789473684212
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,,0.0,0.0,0.0,0.0,0.0
42,41,,2023-01-13,32-360,SAS,,GSW,L (-31),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,,47.0,2.473684210526316,0.0,61.89999999999999,3.257894736842105
43,42,14,2023-01-15,32-362,SAS,,SAC,L (-13),0,1:14,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,+2,0.0,0.0,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,1.0,69.0,3.631578947368421,0.7,79.69999999999997,4.194736842105262
44,43,,2023-01-17,32-364,SAS,,BRK,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,,23.0,1.2105263157894737,0.0,49.400000000000006,2.6
45,44,,2023-01-20,33-002,SAS,,LAC,L (-5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,,31.0,1.631578947368421,0.0,44.3,2.331578947368421
46,45,15,2023-01-23,33-005,SAS,@,POR,L (-20),0,6:08,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,2.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,+2,1.0,1.0,1.0,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,2.0,43.0,2.263157894736842,0.9999999999999996,53.10000000000001,2.7947368421052636
47,46,16,2023-01-25,33-007,SAS,@,LAL,L (-9),0,0:45,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,0.0,60.0,3.1578947368421053,0.0,75.89999999999999,3.994736842105263
48,47,17,2023-01-26,33-008,SAS,@,LAC,L (-38),0,7:07,1.0,4.0,.250,0.0,2.0,.000,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,-6,2.0,1.0,0.5,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,1.0,61.0,3.210526315789474,0.5000000000000003,84.30000000000001,4.436842105263159
49,48,,2023-01-28,33-010,SAS,,PHO,L (-10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,,33.0,1.736842105263158,0.0,57.3,3.0157894736842104
50,49,18,2023-02-10,33-023,SAS,@,DET,L (-7),0,17:35,1.0,3.0,.333,1.0,2.0,.500,2,2.0,1.000,1.0,2.0,3.0,1.0,0.0,0.0,2.0,4.0,5.0,1.7,-8,1.0,0.0,0.0,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,2.0,51.0,2.6842105263157894,0.9000000000000008,58.89999999999999,3.0999999999999996
51,50,19,2023-02-11,33-024,SAS,@,ATL,L (-19),0,9:25,1.0,3.0,.333,1.0,3.0,.333,0,0.0,,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,3.3,+5,0.0,0.0,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,3.0,50.0,2.631578947368421,3.3,76.00000000000001,4.000000000000001
