Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Boston Jr.,Shared Games with Ivica Zubac,Shared Games with Jason Preston,Shared Games with John Wall,Shared Games with Kawhi Leonard,Shared Games with Luke Kennard,Shared Games with Marcus Morris,Shared Games with Moses Brown,Shared Games with Moussa Diabaté,Shared Games with Nicolas Batum,Shared Games with Norman Powell,Shared Games with Paul George,Shared Games with Reggie Jackson,Shared Games with Robert Covington,Shared Games with Terance Mann,Brandon Boston Jr.,Ivica Zubac,Jason Preston,John Wall,Kawhi Leonard,Luke Kennard,Marcus Morris,Moses Brown,Moussa Diabaté,Nicolas Batum,Norman Powell,Paul George,Reggie Jackson,Robert Covington,Terance Mann,Xavier Moon,co_inf with Brandon Boston Jr.,co_inf with Ivica Zubac,co_inf with Jason Preston,co_inf with John Wall,co_inf with Kawhi Leonard,co_inf with Luke Kennard,co_inf with Marcus Morris,co_inf with Moses Brown,co_inf with Moussa Diabaté,co_inf with Nicolas Batum,co_inf with Norman Powell,co_inf with Paul George,co_inf with Reggie Jackson,co_inf with Robert Covington,co_inf with Terance Mann,co_inf with Xavier Moon,Shared Games with Mason Plumlee,Shared Games with Bones Hyland,Shared Games with Eric Gordon,Shared Games with Russell Westbrook,Bones Hyland,Eric Gordon,Justin Holiday,Mason Plumlee,Russell Westbrook,co_inf with Mason Plumlee,co_inf with Bones Hyland,co_inf with Eric Gordon,co_inf with Justin Holiday,co_inf with Russell Westbrook,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
27,27,,2022-12-08,25-174,LAC,@,MIA,L (-5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,,95.0,5.0,0.0,99.5,5.2368421052631575
28,28,,2022-12-10,25-176,LAC,@,WAS,W (+7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,,96.0,5.052631578947368,0.0,104.1,5.478947368421053
29,29,23,2022-12-12,25-178,LAC,,BOS,W (+20),0,3:37,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,-1,1.0,0.0,0.0,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,-1.0,80.0,4.2105263157894735,-0.3999999999999999,87.00000000000001,4.578947368421053
30,30,24,2022-12-14,25-180,LAC,,MIN,W (+11),0,2:48,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-5,0.0,0.0,,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,-1.0,54.0,2.8421052631578947,-1.0,62.6,3.294736842105263
31,31,25,2022-12-15,25-181,LAC,,PHO,L (-16),1,38:01,4.0,9.0,.444,3.0,4.0,.750,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,11.0,5.1,-11,5.0,1.0,0.2,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,3.0,56.0,2.9473684210526314,5.1,65.4,3.4421052631578952
32,32,26,2022-12-17,25-183,LAC,,WAS,W (+9),0,20:17,3.0,6.0,.500,2.0,2.0,1.000,2,2.0,1.000,2.0,3.0,5.0,1.0,0.0,0.0,1.0,1.0,10.0,8.6,+3,4.0,1.0,0.25,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,7.0,52.0,2.736842105263158,7.799999999999999,65.89999999999999,3.4684210526315784
33,33,27,2022-12-21,25-187,LAC,,CHO,W (+21),0,3:21,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-3,0.0,0.0,,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,1.0,97.0,5.105263157894737,0.7,104.6,5.505263157894737
34,34,,2022-12-23,25-189,LAC,@,PHI,L (-5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,,118.0,6.2105263157894735,0.0,130.6,6.873684210526315
35,35,28,2022-12-26,25-192,LAC,@,DET,W (+11),0,3:08,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.7,+12,1.0,1.0,1.0,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,3.0,84.0,4.421052631578948,2.7,98.30000000000004,5.173684210526318
36,36,29,2022-12-27,25-193,LAC,@,TOR,W (+11),0,0:38,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,0.0,110.0,5.789473684210527,0.0,128.4,6.757894736842106
37,37,,2022-12-29,25-195,LAC,@,BOS,L (-6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,,98.0,5.157894736842105,0.0,112.70000000000002,5.931578947368422
38,38,,2022-12-31,25-197,LAC,@,IND,L (-1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,,99.0,5.2105263157894735,0.0,128.49999999999997,6.763157894736841
39,39,,2023-01-02,25-199,LAC,,MIA,L (-10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,,82.0,4.315789473684211,0.0,88.19999999999999,4.6421052631578945
40,40,30,2023-01-05,25-202,LAC,@,DEN,L (-31),0,19:36,2.0,7.0,.286,0.0,2.0,.000,2,2.0,1.000,1.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,6.0,4.6,-4,5.0,2.0,0.4,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,2.0,86.0,4.526315789473684,3.8,104.4,5.494736842105263
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,,0.0,0.0,0.0,0.0,0.0
42,41,31,2023-01-06,25-203,LAC,@,MIN,L (-13),0,19:09,1.0,5.0,.200,0.0,0.0,,0,0.0,,1.0,2.0,3.0,4.0,0.0,0.0,1.0,2.0,2.0,1.2,+15,5.0,1.0,0.2,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,3.0,72.0,3.789473684210526,1.2000000000000002,108.4,5.705263157894737
43,42,,2023-01-08,25-205,LAC,,ATL,L (-4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,,86.0,4.526315789473684,0.0,116.6,6.136842105263158
44,43,32,2023-01-10,25-207,LAC,,DAL,W (+12),0,0:56,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,0.0,123.0,6.473684210526316,0.0,140.60000000000002,7.400000000000001
45,44,,2023-01-13,25-210,LAC,,DEN,L (-12),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,,73.0,3.842105263157895,0.0,99.7,5.247368421052632
46,45,33,2023-01-15,25-212,LAC,,HOU,W (+21),1,18:26,2.0,6.0,.333,0.0,2.0,.000,1,2.0,.500,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,5.0,2.9,+1,4.0,2.0,0.5,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,0.0,103.0,5.421052631578948,2.5000000000000004,130.1,6.847368421052631
47,46,34,2023-01-17,25-214,LAC,,PHI,L (-10),0,3:16,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+7,0.0,0.0,,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,0.0,77.0,4.052631578947368,0.0,109.8,5.778947368421052
48,47,35,2023-01-18,25-215,LAC,@,UTA,L (-23),0,24:42,3.0,7.0,.429,1.0,3.0,.333,1,1.0,1.000,1.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,8.0,6.5,-17,4.0,2.0,0.5,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,6.0,79.0,4.157894736842105,6.099999999999998,90.4,4.757894736842106
49,48,,2023-01-20,25-217,LAC,@,SAS,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,,102.0,5.368421052631579,0.0,136.6,7.189473684210526
50,49,,2023-01-22,25-219,LAC,@,DAL,W (+14),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,,76.0,4.0,0.0,98.40000000000002,5.178947368421054
51,50,36,2023-01-24,25-221,LAC,@,LAL,W (+18),0,2:55,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+3,0.0,0.0,,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,0.0,128.0,6.7368421052631575,0.0,147.5,7.7631578947368425
52,51,37,2023-01-26,25-223,LAC,,SAS,W (+38),0,7:07,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,-0.8,+6,1.0,0.0,0.0,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,1.0,110.0,5.789473684210527,-0.8,138.7,7.3
53,52,,2023-01-28,25-225,LAC,@,ATL,W (+7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,,113.0,5.947368421052632,0.0,126.09999999999997,6.636842105263156
54,53,38,2023-01-29,25-226,LAC,@,CLE,L (-23),1,37:52,5.0,13.0,.385,0.0,2.0,.000,8,9.0,.889,0.0,4.0,4.0,2.0,1.0,0.0,0.0,6.0,18.0,11.7,-21,11.0,5.0,0.4545454545454545,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,3.0,33.0,1.736842105263158,8.499999999999998,53.000000000000014,2.789473684210527
55,54,,2023-01-31,25-228,LAC,@,CHI,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,,92.0,4.842105263157895,0.0,123.7,6.510526315789474
