Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Dorian Finney-Smith,Shared Games with Dwight Powell,Shared Games with Dāvis Bertāns,Shared Games with Frank Ntilikina,Shared Games with Jaden Hardy,Shared Games with JaVale McGee,Shared Games with Josh Green,Shared Games with Luka Dončić,Shared Games with Maxi Kleber,Shared Games with McKinley Wright IV,Shared Games with Reggie Bullock,Shared Games with Spencer Dinwiddie,Shared Games with Theo Pinson,Shared Games with Tim Hardaway Jr.,Shared Games with Tyler Dorsey,Chris Silva,Dorian Finney-Smith,Dwight Powell,Dāvis Bertāns,Facundo Campazzo,Frank Ntilikina,Jaden Hardy,JaVale McGee,Josh Green,Kemba Walker,Luka Dončić,Maxi Kleber,McKinley Wright IV,Reggie Bullock,Spencer Dinwiddie,Theo Pinson,Tim Hardaway Jr.,Tyler Dorsey,co_inf with Chris Silva,co_inf with Dorian Finney-Smith,co_inf with Dwight Powell,co_inf with Dāvis Bertāns,co_inf with Facundo Campazzo,co_inf with Frank Ntilikina,co_inf with Jaden Hardy,co_inf with JaVale McGee,co_inf with Josh Green,co_inf with Kemba Walker,co_inf with Luka Dončić,co_inf with Maxi Kleber,co_inf with McKinley Wright IV,co_inf with Reggie Bullock,co_inf with Spencer Dinwiddie,co_inf with Theo Pinson,co_inf with Tim Hardaway Jr.,co_inf with Tyler Dorsey,Shared Games with Justin Holiday,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with A.J. Lawson,A.J. Lawson,Derrick Favors,Justin Holiday,Kyrie Irving,Markieff Morris,co_inf with Justin Holiday,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with A.J. Lawson,co_inf with Derrick Favors,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
26,26,23,2022-12-10,27-074,DAL,@,CHI,L (-29),1,27:50,8.0,15.0,.533,3.0,7.0,.429,2,3.0,.667,1.0,8.0,9.0,2.0,0.0,1.0,2.0,0.0,21.0,16.5,-23,8.0,5.0,0.625,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,13.0,56.0,2.9473684210526314,15.699999999999996,71.6,3.7684210526315787
27,27,24,2022-12-12,27-076,DAL,,OKC,W (+7),0,20:28,3.0,9.0,.333,0.0,2.0,.000,2,3.0,.667,2.0,3.0,5.0,1.0,0.0,0.0,1.0,3.0,8.0,3.3,-11,7.0,3.0,0.4285714285714285,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,1.0,59.0,3.1052631578947367,2.499999999999999,76.19999999999999,4.010526315789473
28,28,25,2022-12-14,27-078,DAL,,CLE,L (-15),0,35:05,7.0,14.0,.500,4.0,7.0,.571,2,4.0,.500,1.0,6.0,7.0,1.0,0.0,0.0,2.0,3.0,20.0,12.2,+9,7.0,3.0,0.4285714285714285,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,8.0,29.0,1.5263157894736843,11.400000000000002,43.89999999999999,2.310526315789473
29,29,26,2022-12-16,27-080,DAL,,POR,W (+20),0,29:43,11.0,17.0,.647,2.0,7.0,.286,8,10.0,.800,0.0,12.0,12.0,0.0,0.0,2.0,2.0,2.0,32.0,25.9,+19,10.0,9.0,0.9,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,17.0,67.0,3.526315789473684,22.7,78.99999999999999,4.157894736842104
30,30,27,2022-12-17,27-081,DAL,@,CLE,L (-1),1,43:29,9.0,18.0,.500,5.0,13.0,.385,3,4.0,.750,2.0,12.0,14.0,2.0,2.0,2.0,1.0,1.0,26.0,25.0,+11,5.0,4.0,0.8,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,23.0,31.0,1.631578947368421,23.8,37.900000000000006,1.9947368421052634
31,31,28,2022-12-19,27-083,DAL,@,MIN,L (-10),1,34:29,4.0,11.0,.364,1.0,4.0,.250,6,7.0,.857,1.0,12.0,13.0,1.0,1.0,2.0,5.0,5.0,15.0,8.9,-15,7.0,3.0,0.4285714285714285,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,9.0,39.0,2.0526315789473686,6.4999999999999964,52.9,2.7842105263157895
32,32,29,2022-12-21,27-085,DAL,@,MIN,W (+5),1,27:08,5.0,12.0,.417,1.0,5.0,.200,1,1.0,1.000,2.0,3.0,5.0,1.0,0.0,2.0,2.0,1.0,12.0,7.6,+2,7.0,4.0,0.5714285714285714,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,5.0,45.0,2.3684210526315788,7.199999999999999,58.09999999999999,3.0578947368421048
33,33,30,2022-12-23,27-087,DAL,@,HOU,W (+6),1,28:07,2.0,6.0,.333,1.0,3.0,.333,3,3.0,1.000,0.0,5.0,5.0,0.0,0.0,4.0,1.0,3.0,8.0,6.7,-3,3.0,1.0,0.3333333333333333,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,7.0,66.0,3.473684210526316,5.500000000000002,82.39999999999999,4.336842105263157
34,34,31,2022-12-25,27-089,DAL,,LAL,W (+9),1,37:51,12.0,17.0,.706,2.0,6.0,.333,4,6.0,.667,2.0,6.0,8.0,7.0,4.0,2.0,2.0,3.0,30.0,32.4,+16,11.0,10.0,0.9090909090909092,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,26.0,67.0,3.526315789473684,30.79999999999999,84.4,4.442105263157895
35,35,32,2022-12-27,27-091,DAL,,NYK,W (+5),1,40:13,7.0,15.0,.467,3.0,9.0,.333,2,2.0,1.000,1.0,8.0,9.0,2.0,0.0,3.0,1.0,4.0,19.0,15.3,+6,6.0,4.0,0.6666666666666666,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,15.0,59.0,3.1052631578947367,14.499999999999998,75.1,3.952631578947368
36,36,33,2022-12-29,27-093,DAL,,HOU,W (+15),1,21:03,8.0,15.0,.533,5.0,8.0,.625,0,1.0,.000,1.0,5.0,6.0,1.0,0.0,4.0,1.0,5.0,21.0,16.0,+10,7.0,3.0,0.4285714285714285,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,15.0,84.0,4.421052631578948,16.0,100.6,5.294736842105263
37,37,34,2022-12-31,27-095,DAL,@,SAS,W (+1),1,28:33,10.0,15.0,.667,4.0,7.0,.571,1,2.0,.500,2.0,5.0,7.0,2.0,0.0,1.0,1.0,3.0,25.0,20.9,-6,8.0,6.0,0.75,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,17.0,72.0,3.789473684210526,20.5,94.6,4.978947368421053
38,38,35,2023-01-02,27-097,DAL,@,HOU,W (+5),1,29:03,8.0,14.0,.571,3.0,7.0,.429,2,2.0,1.000,3.0,4.0,7.0,4.0,1.0,5.0,1.0,4.0,21.0,22.4,+4,7.0,5.0,0.7142857142857143,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,21.0,46.0,2.421052631578948,21.6,66.1,3.478947368421052
39,39,36,2023-01-05,27-100,DAL,,BOS,L (-29),1,28:56,5.0,12.0,.417,0.0,2.0,.000,2,3.0,.667,5.0,7.0,12.0,1.0,0.0,1.0,1.0,1.0,12.0,10.8,-18,10.0,5.0,0.5,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,10.0,26.0,1.368421052631579,10.000000000000002,41.1,2.1631578947368424
40,40,37,2023-01-07,27-102,DAL,,NOP,W (+10),1,23:55,9.0,14.0,.643,4.0,7.0,.571,6,7.0,.857,2.0,4.0,6.0,1.0,0.0,2.0,1.0,3.0,28.0,23.9,+2,7.0,5.0,0.7142857142857143,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,15.0,67.0,3.526315789473684,21.500000000000007,83.10000000000001,4.373684210526316
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,,0.0,0.0,0.0,0.0,0.0
42,41,38,2023-01-08,27-103,DAL,@,OKC,L (-11),1,38:48,8.0,13.0,.615,1.0,5.0,.200,10,12.0,.833,3.0,13.0,16.0,2.0,0.0,0.0,4.0,3.0,27.0,22.5,+1,8.0,7.0,0.875,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,16.0,32.0,1.6842105263157894,18.5,50.2,2.642105263157895
43,42,39,2023-01-10,27-105,DAL,@,LAC,L (-12),1,34:47,2.0,7.0,.286,0.0,1.0,.000,8,8.0,1.000,1.0,2.0,3.0,0.0,0.0,2.0,3.0,3.0,12.0,6.4,-16,6.0,2.0,0.3333333333333333,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,-1.0,37.0,1.947368421052632,3.200000000000001,57.69999999999999,3.0368421052631573
44,43,40,2023-01-12,27-107,DAL,@,LAL,W (+4),1,47:20,10.0,17.0,.588,2.0,6.0,.333,2,4.0,.500,1.0,13.0,14.0,6.0,1.0,5.0,1.0,3.0,24.0,26.4,+19,11.0,8.0,0.7272727272727273,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,28.0,46.0,2.421052631578948,25.6,46.90000000000001,2.4684210526315797
45,44,,2023-01-14,27-109,DAL,@,POR,L (-17),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,,73.0,3.842105263157895,0.0,92.1,4.847368421052631
46,45,41,2023-01-15,27-110,DAL,@,POR,L (-17),1,35:30,8.0,22.0,.364,1.0,8.0,.125,6,7.0,.857,4.0,12.0,16.0,2.0,0.0,1.0,3.0,2.0,23.0,15.1,-24,14.0,7.0,0.5,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,10.0,79.0,4.157894736842105,12.700000000000005,93.7,4.931578947368421
47,46,42,2023-01-18,27-113,DAL,,ATL,L (-8),1,35:07,9.0,17.0,.529,3.0,7.0,.429,1,1.0,1.000,1.0,8.0,9.0,4.0,1.0,2.0,1.0,5.0,22.0,19.0,+1,10.0,6.0,0.6,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,19.0,47.0,2.473684210526316,18.6,74.19999999999999,3.905263157894736
48,47,,2023-01-20,27-115,DAL,,MIA,W (+25),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,,66.0,3.473684210526316,0.0,84.9,4.468421052631579
49,48,,2023-01-22,27-117,DAL,,LAC,L (-14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,,48.0,2.526315789473684,0.0,72.10000000000001,3.7947368421052636
50,49,,2023-01-24,27-119,DAL,,WAS,L (-1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,,67.0,3.526315789473684,0.0,90.5,4.7631578947368425
51,50,,2023-01-26,27-121,DAL,@,PHO,W (+4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,,37.0,1.947368421052632,0.0,46.59999999999999,2.4526315789473676
52,51,,2023-01-28,27-123,DAL,@,UTA,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,,37.0,1.947368421052632,0.0,44.1,2.3210526315789473
53,52,,2023-01-30,27-125,DAL,,DET,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,,51.0,2.6842105263157894,0.0,69.59999999999998,3.663157894736841
54,53,,2023-02-02,27-128,DAL,,NOP,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,,39.0,2.0526315789473686,0.0,51.6,2.7157894736842105
