Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Christian Wood,Shared Games with Dorian Finney-Smith,Shared Games with Dāvis Bertāns,Shared Games with Frank Ntilikina,Shared Games with Jaden Hardy,Shared Games with JaVale McGee,Shared Games with Josh Green,Shared Games with Luka Dončić,Shared Games with Maxi Kleber,Shared Games with McKinley Wright IV,Shared Games with Reggie Bullock,Shared Games with Spencer Dinwiddie,Shared Games with Theo Pinson,Shared Games with Tim Hardaway Jr.,Shared Games with Tyler Dorsey,Chris Silva,Christian Wood,Dorian Finney-Smith,Dāvis Bertāns,Facundo Campazzo,Frank Ntilikina,Jaden Hardy,JaVale McGee,Josh Green,Kemba Walker,Luka Dončić,Maxi Kleber,McKinley Wright IV,Reggie Bullock,Spencer Dinwiddie,Theo Pinson,Tim Hardaway Jr.,Tyler Dorsey,co_inf with Chris Silva,co_inf with Christian Wood,co_inf with Dorian Finney-Smith,co_inf with Dāvis Bertāns,co_inf with Facundo Campazzo,co_inf with Frank Ntilikina,co_inf with Jaden Hardy,co_inf with JaVale McGee,co_inf with Josh Green,co_inf with Kemba Walker,co_inf with Luka Dončić,co_inf with Maxi Kleber,co_inf with McKinley Wright IV,co_inf with Reggie Bullock,co_inf with Spencer Dinwiddie,co_inf with Theo Pinson,co_inf with Tim Hardaway Jr.,co_inf with Tyler Dorsey,Shared Games with Justin Holiday,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with A.J. Lawson,A.J. Lawson,Derrick Favors,Justin Holiday,Kyrie Irving,Markieff Morris,co_inf with Justin Holiday,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with A.J. Lawson,co_inf with Derrick Favors,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
26,26,23,2022-12-10,31-143,DAL,@,CHI,L (-29),1,17:59,3.0,4.0,.750,0.0,0.0,,0,0.0,,2.0,4.0,6.0,0.0,0.0,0.0,0.0,2.0,6.0,6.2,-10,4.0,3.0,0.75,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,8.0,61.0,3.210526315789474,6.199999999999999,81.1,4.268421052631578
27,27,24,2022-12-12,31-145,DAL,,OKC,W (+7),1,14:55,0.0,2.0,.000,0.0,0.0,,0,0.0,,3.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.1,+14,2.0,0.0,0.0,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,1.0,59.0,3.1052631578947367,-0.1000000000000003,78.8,4.147368421052631
28,28,25,2022-12-14,31-147,DAL,,CLE,L (-15),1,11:50,1.0,2.0,.500,0.0,0.0,,2,3.0,.667,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,4.3,-15,2.0,1.0,0.5,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,2.0,35.0,1.8421052631578947,3.500000000000001,51.8,2.7263157894736842
29,29,26,2022-12-16,31-149,DAL,,POR,W (+20),1,11:37,1.0,1.0,1.000,0.0,0.0,,3,4.0,.750,1.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,5.0,5.8,+6,1.0,1.0,1.0,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,4.0,80.0,4.2105263157894735,4.599999999999999,97.09999999999998,5.110526315789473
30,30,,2022-12-17,31-150,DAL,@,CLE,L (-1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,,54.0,2.8421052631578947,0.0,61.70000000000001,3.247368421052632
31,31,,2022-12-19,31-152,DAL,@,MIN,L (-10),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,,48.0,2.526315789473684,0.0,59.4,3.126315789473684
32,32,27,2022-12-21,31-154,DAL,@,MIN,W (+5),0,20:54,3.0,4.0,.750,0.0,0.0,,4,5.0,.800,2.0,4.0,6.0,0.0,2.0,0.0,1.0,2.0,10.0,10.8,+3,4.0,3.0,0.75,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,8.0,42.0,2.210526315789474,9.2,56.1,2.9526315789473685
33,33,28,2022-12-23,31-156,DAL,@,HOU,W (+6),0,17:47,1.0,1.0,1.000,0.0,0.0,,1,1.0,1.000,3.0,1.0,4.0,1.0,0.0,0.0,0.0,5.0,3.0,3.8,+9,1.0,1.0,1.0,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,6.0,67.0,3.526315789473684,3.3999999999999995,84.5,4.447368421052632
34,34,29,2022-12-25,31-158,DAL,,LAL,W (+9),0,14:40,2.0,3.0,.667,0.0,0.0,,0,0.0,,3.0,2.0,5.0,1.0,0.0,0.0,1.0,6.0,4.0,2.7,+11,3.0,2.0,0.6666666666666666,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,6.0,87.0,4.578947368421052,2.7,112.49999999999996,5.921052631578945
35,35,30,2022-12-27,31-160,DAL,,NYK,W (+5),1,30:47,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,0.2,+10,1.0,1.0,1.0,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,1.0,73.0,3.842105263157895,0.1999999999999997,89.4,4.705263157894737
36,36,31,2022-12-29,31-162,DAL,,HOU,W (+15),0,21:19,8.0,8.0,1.000,0.0,0.0,,3,5.0,.600,3.0,3.0,6.0,1.0,1.0,2.0,1.0,4.0,19.0,19.3,+13,8.0,8.0,1.0,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,15.0,84.0,4.421052631578948,18.099999999999994,98.5,5.184210526315789
37,37,32,2022-12-31,31-164,DAL,@,SAS,W (+1),0,19:26,2.0,2.0,1.000,0.0,0.0,,1,2.0,.500,3.0,1.0,4.0,3.0,0.0,1.0,1.0,6.0,5.0,5.8,+8,2.0,2.0,1.0,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,8.0,81.0,4.2631578947368425,5.399999999999997,109.7,5.773684210526316
38,38,33,2023-01-02,31-166,DAL,@,HOU,W (+5),0,15:02,0.0,0.0,,0.0,0.0,,6,6.0,1.000,2.0,3.0,5.0,0.0,0.0,0.0,1.0,5.0,6.0,5.3,-1,0.0,0.0,,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,4.0,63.0,3.3157894736842106,2.9000000000000004,84.79999999999998,4.463157894736841
39,39,34,2023-01-05,31-169,DAL,,BOS,L (-29),0,16:51,5.0,6.0,.833,0.0,0.0,,0,0.0,,5.0,3.0,8.0,0.0,1.0,0.0,0.0,1.0,10.0,12.8,-11,6.0,5.0,0.8333333333333334,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,13.0,23.0,1.2105263157894737,12.8,38.3,2.0157894736842104
40,40,35,2023-01-07,31-171,DAL,,NOP,W (+10),1,15:15,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,4.0,4.0,0.0,1.0,1.0,2.0,5.0,2.0,0.6,+13,1.0,1.0,1.0,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,5.0,77.0,4.052631578947368,0.5999999999999996,104.0,5.473684210526316
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,,0.0,0.0,0.0,0.0,0.0
42,41,36,2023-01-08,31-172,DAL,@,OKC,L (-11),1,25:27,0.0,0.0,,0.0,0.0,,6,8.0,.750,2.0,5.0,7.0,2.0,0.0,0.0,0.0,1.0,6.0,9.1,-11,0.0,0.0,,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,7.0,41.0,2.1578947368421053,6.7,62.0,3.263157894736842
43,42,37,2023-01-10,31-174,DAL,@,LAC,L (-12),1,8:00,1.0,1.0,1.000,0.0,0.0,,2,2.0,1.000,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,5.7,0,1.0,1.0,1.0,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,4.0,32.0,1.6842105263157894,4.9,55.99999999999999,2.9473684210526314
44,43,38,2023-01-12,31-176,DAL,@,LAL,W (+4),0,18:24,3.0,4.0,.750,0.0,0.0,,0,0.0,,0.0,4.0,4.0,1.0,0.0,0.0,2.0,3.0,6.0,3.1,-10,4.0,3.0,0.75,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,5.0,69.0,3.631578947368421,3.1,69.4,3.6526315789473687
45,44,39,2023-01-14,31-178,DAL,@,POR,L (-17),1,24:07,3.0,4.0,.750,0.0,0.0,,2,4.0,.500,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,8.0,4.2,-3,4.0,3.0,0.75,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,2.0,71.0,3.736842105263158,3.3999999999999986,88.69999999999999,4.668421052631579
46,45,40,2023-01-15,31-179,DAL,@,POR,L (-17),1,17:29,4.0,6.0,.667,0.0,0.0,,2,2.0,1.000,3.0,1.0,4.0,0.0,1.0,0.0,2.0,3.0,10.0,7.6,-5,6.0,4.0,0.6666666666666666,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,5.0,84.0,4.421052631578948,6.800000000000001,99.6,5.242105263157894
47,46,41,2023-01-18,31-182,DAL,,ATL,L (-8),1,21:48,2.0,2.0,1.000,0.0,0.0,,2,2.0,1.000,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,6.0,6.3,-2,2.0,2.0,1.0,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,5.0,61.0,3.210526315789474,5.5,87.30000000000001,4.594736842105264
48,47,42,2023-01-20,31-184,DAL,,MIA,W (+25),1,33:06,3.0,5.0,.600,0.0,1.0,.000,0,0.0,,3.0,3.0,6.0,1.0,2.0,0.0,2.0,2.0,6.0,6.6,+11,4.0,3.0,0.75,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,8.0,58.0,3.0526315789473686,6.6,78.30000000000001,4.121052631578948
49,48,43,2023-01-22,31-186,DAL,,LAC,L (-14),1,21:19,4.0,4.0,1.000,0.0,0.0,,1,2.0,.500,2.0,2.0,4.0,2.0,0.0,0.0,1.0,3.0,9.0,8.6,+6,4.0,4.0,1.0,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,8.0,40.0,2.1052631578947367,8.2,63.900000000000006,3.3631578947368426
50,49,44,2023-01-24,31-188,DAL,,WAS,L (-1),1,33:47,8.0,12.0,.667,0.0,0.0,,6,7.0,.857,4.0,5.0,9.0,1.0,1.0,1.0,2.0,4.0,22.0,19.5,0,12.0,8.0,0.6666666666666666,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,13.0,54.0,2.8421052631578947,17.099999999999998,73.39999999999999,3.8631578947368417
51,50,45,2023-01-26,31-190,DAL,@,PHO,W (+4),1,36:25,6.0,9.0,.667,0.0,0.0,,3,6.0,.500,1.0,3.0,4.0,1.0,0.0,3.0,0.0,1.0,15.0,13.9,-4,9.0,6.0,0.6666666666666666,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,8.0,29.0,1.5263157894736843,12.699999999999996,33.89999999999999,1.784210526315789
52,51,46,2023-01-28,31-192,DAL,@,UTA,L (-8),1,22:32,1.0,3.0,.333,0.0,0.0,,0,0.0,,2.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,4.0,-12,3.0,1.0,0.3333333333333333,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,6.0,31.0,1.631578947368421,3.999999999999999,40.1,2.110526315789474
53,52,47,2023-01-30,31-194,DAL,,DET,W (+6),1,26:40,1.0,4.0,.250,0.0,0.0,,2,2.0,1.000,6.0,2.0,8.0,1.0,1.0,0.0,1.0,4.0,4.0,5.5,+8,4.0,1.0,0.25,62,35,43,44,46,37,57,62,34,26,73,49,37,68,3,1.0,67.0,66.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.9253731343283582,0.5303030303030303,0.9555555555555556,0.0,0.9361702127659576,0.9583333333333334,0.8809523809523809,0.95,0.0,0.9393939393939394,0.918918918918919,0.9629629629629628,0.935897435897436,0.620253164556962,0.925,0.9577464788732394,1.0,18,20,8,12,15.0,,46.0,60.0,35.0,0.391304347826087,0.3333333333333333,0.2285714285714285,0.8,,19,7.0,44.0,2.3157894736842106,4.6999999999999975,64.89999999999999,3.4157894736842103
