Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Cam Reddish,Shared Games with Derrick Rose,Shared Games with Evan Fournier,Shared Games with Immanuel Quickley,Shared Games with Isaiah Hartenstein,Shared Games with Jalen Brunson,Shared Games with Jericho Sims,Shared Games with Julius Randle,Shared Games with Miles McBride,Shared Games with Mitchell Robinson,Shared Games with Obi Toppin,Shared Games with Quentin Grimes,Shared Games with Ryan Arcidiacono,Shared Games with Svi Mykhailiuk,Shared Games with Trevor Keels,Cam Reddish,DaQuan Jeffries,Derrick Rose,Evan Fournier,Feron Hunt,Immanuel Quickley,Isaiah Hartenstein,Jalen Brunson,Jericho Sims,Julius Randle,Miles McBride,Mitchell Robinson,Obi Toppin,Quentin Grimes,Ryan Arcidiacono,Svi Mykhailiuk,Trevor Keels,co_inf with Cam Reddish,co_inf with DaQuan Jeffries,co_inf with Derrick Rose,co_inf with Evan Fournier,co_inf with Feron Hunt,co_inf with Immanuel Quickley,co_inf with Isaiah Hartenstein,co_inf with Jalen Brunson,co_inf with Jericho Sims,co_inf with Julius Randle,co_inf with Miles McBride,co_inf with Mitchell Robinson,co_inf with Obi Toppin,co_inf with Quentin Grimes,co_inf with Ryan Arcidiacono,co_inf with Svi Mykhailiuk,co_inf with Trevor Keels,Shared Games with Moses Brown,Shared Games with Josh Hart,Blake Griffin,Duane Washington Jr.,Isaiah Roby,Josh Hart,co_inf with Blake Griffin,co_inf with Duane Washington Jr.,co_inf with Isaiah Roby,co_inf with Josh Hart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
29,29,29,2022-12-16,22-185,NYK,@,CHI,W (+23),1,37:53,9.0,20.0,.450,3.0,5.0,.600,6,11.0,.545,0.0,4.0,4.0,2.0,0.0,0.0,2.0,1.0,27.0,14.8,+28,15.0,6.0,0.4,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,0.0,73.0,4.294117647058823,12.400000000000002,77.4,4.552941176470589
30,30,30,2022-12-18,22-187,NYK,@,IND,W (+3),1,42:11,10.0,19.0,.526,0.0,5.0,.000,4,5.0,.800,2.0,2.0,4.0,0.0,0.0,1.0,5.0,2.0,24.0,11.2,+11,14.0,10.0,0.7142857142857143,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,0.0,75.0,4.411764705882353,9.599999999999998,78.60000000000001,4.623529411764706
31,31,31,2022-12-20,22-189,NYK,,GSW,W (+38),1,31:07,8.0,19.0,.421,1.0,6.0,.167,1,2.0,.500,2.0,1.0,3.0,5.0,0.0,0.0,0.0,2.0,18.0,11.9,+14,13.0,7.0,0.5384615384615384,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,5.0,91.0,5.352941176470588,11.499999999999998,102.5,6.029411764705882
32,32,32,2022-12-21,22-190,NYK,,TOR,L (-7),1,45:37,11.0,19.0,.579,4.0,6.0,.667,4,6.0,.667,0.0,5.0,5.0,5.0,1.0,0.0,4.0,3.0,30.0,21.1,-10,13.0,7.0,0.5384615384615384,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,12.0,66.0,3.882352941176471,19.500000000000004,62.5,3.676470588235294
33,33,33,2022-12-23,22-192,NYK,,CHI,L (-1),1,39:23,14.0,20.0,.700,6.0,6.0,1.000,10,13.0,.769,1.0,6.0,7.0,4.0,0.0,0.0,6.0,5.0,44.0,31.7,-1,14.0,8.0,0.5714285714285714,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,16.0,77.0,4.529411764705882,27.7,74.39999999999998,4.376470588235293
34,34,34,2022-12-25,22-194,NYK,,PHI,L (-7),1,42:56,6.0,21.0,.286,2.0,6.0,.333,3,4.0,.750,0.0,10.0,10.0,4.0,0.0,0.0,2.0,3.0,17.0,6.9,-4,15.0,4.0,0.2666666666666666,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,4.0,97.0,5.705882352941177,5.7,96.5,5.676470588235294
35,35,35,2022-12-27,22-196,NYK,@,DAL,L (-5),1,1:36,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,+2,1.0,0.0,0.0,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,0.0,101.0,5.941176470588236,0.0,99.09999999999998,5.829411764705881
36,36,,2022-12-29,22-198,NYK,@,SAS,L (-7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,,60.0,3.5294117647058822,0.0,79.80000000000001,4.694117647058825
37,37,,2022-12-31,22-200,NYK,@,HOU,W (+20),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,,59.0,3.4705882352941178,0.0,77.10000000000001,4.53529411764706
38,38,,2023-01-02,22-202,NYK,,PHO,W (+19),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,,102.0,6.0,0.0,96.5,5.676470588235294
39,39,,2023-01-04,22-204,NYK,,SAS,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,,70.0,4.117647058823529,0.0,92.99999999999996,5.470588235294115
40,40,,2023-01-06,22-206,NYK,@,TOR,W (+4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,,90.0,5.294117647058823,0.0,91.6,5.388235294117647
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,,0.0,0.0,0.0,0.0,0.0
42,41,,2023-01-09,22-209,NYK,,MIL,L (-4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,,60.0,3.5294117647058822,0.0,74.60000000000001,4.3882352941176475
43,42,36,2023-01-11,22-211,NYK,,IND,W (+6),1,40:51,9.0,23.0,.391,4.0,12.0,.333,5,6.0,.833,3.0,5.0,8.0,4.0,0.0,0.0,2.0,1.0,27.0,18.1,+4,11.0,5.0,0.4545454545454545,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,8.0,80.0,4.705882352941177,16.1,85.4,5.023529411764706
44,43,37,2023-01-13,22-213,NYK,@,WAS,W (+4),1,32:07,7.0,13.0,.538,1.0,3.0,.333,2,4.0,.500,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,17.0,10.1,-8,10.0,6.0,0.6,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,6.0,61.0,3.588235294117647,9.3,71.0,4.176470588235294
45,44,38,2023-01-15,22-215,NYK,@,DET,W (+13),1,26:32,4.0,10.0,.400,1.0,4.0,.250,4,8.0,.500,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,13.0,7.0,+4,6.0,3.0,0.5,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,-2.0,79.0,4.647058823529412,5.399999999999998,88.80000000000001,5.223529411764707
46,45,39,2023-01-16,22-216,NYK,,TOR,L (-2),1,49:09,10.0,23.0,.435,2.0,9.0,.222,10,11.0,.909,1.0,6.0,7.0,2.0,0.0,0.0,3.0,4.0,32.0,18.8,-5,14.0,8.0,0.5714285714285714,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,4.0,55.0,3.235294117647059,14.799999999999995,64.39999999999999,3.7882352941176465
47,46,40,2023-01-18,22-218,NYK,,WAS,L (-11),1,37:43,9.0,21.0,.429,0.0,4.0,.000,3,4.0,.750,1.0,6.0,7.0,2.0,1.0,0.0,4.0,3.0,21.0,9.2,-15,17.0,9.0,0.5294117647058824,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,2.0,64.0,3.764705882352941,8.0,77.60000000000001,4.564705882352942
48,47,41,2023-01-20,22-220,NYK,@,ATL,L (-15),1,38:36,9.0,16.0,.563,3.0,5.0,.600,2,2.0,1.000,1.0,2.0,3.0,2.0,1.0,0.0,2.0,1.0,23.0,16.7,-20,11.0,6.0,0.5454545454545454,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,9.0,88.0,5.176470588235294,15.900000000000002,95.4,5.611764705882353
49,48,42,2023-01-22,22-222,NYK,@,TOR,L (-9),1,41:22,10.0,18.0,.556,4.0,8.0,.500,6,9.0,.667,1.0,6.0,7.0,5.0,0.0,0.0,3.0,4.0,30.0,21.6,-12,10.0,6.0,0.6,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,12.0,72.0,4.235294117647059,19.2,67.5,3.9705882352941178
50,49,43,2023-01-24,22-224,NYK,,CLE,W (+2),1,32:35,5.0,12.0,.417,3.0,5.0,.600,3,4.0,.750,1.0,3.0,4.0,1.0,1.0,1.0,1.0,4.0,16.0,10.6,0,7.0,2.0,0.2857142857142857,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,6.0,83.0,4.882352941176471,9.4,67.1,3.9470588235294115
51,50,44,2023-01-26,22-226,NYK,@,BOS,W (+3),1,39:58,6.0,18.0,.333,2.0,5.0,.400,5,6.0,.833,0.0,4.0,4.0,1.0,1.0,0.0,1.0,1.0,19.0,9.9,+14,13.0,4.0,0.3076923076923077,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,0.0,88.0,5.176470588235294,7.899999999999997,89.29999999999998,5.252941176470587
52,51,45,2023-01-28,22-228,NYK,@,BRK,L (-7),1,31:05,9.0,16.0,.563,3.0,5.0,.600,3,4.0,.750,1.0,5.0,6.0,2.0,0.0,1.0,1.0,1.0,24.0,18.9,-19,11.0,6.0,0.5454545454545454,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,12.0,56.0,3.294117647058824,17.7,67.09999999999998,3.9470588235294106
53,52,46,2023-01-31,22-231,NYK,,LAL,L (-6),1,27:14,5.0,13.0,.385,0.0,3.0,.000,3,4.0,.750,0.0,3.0,3.0,2.0,0.0,0.0,1.0,3.0,13.0,5.6,-6,10.0,5.0,0.5,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,0.0,87.0,5.117647058823529,4.400000000000001,100.70000000000002,5.923529411764707
54,53,47,2023-02-02,22-233,NYK,,MIA,W (+2),1,40:58,13.0,23.0,.565,0.0,5.0,.000,4,6.0,.667,4.0,4.0,8.0,4.0,0.0,0.0,5.0,3.0,30.0,18.9,-1,18.0,13.0,0.7222222222222222,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,8.0,72.0,4.235294117647059,17.3,71.3,4.194117647058824
55,54,48,2023-02-04,22-235,NYK,,LAC,L (-6),1,43:40,6.0,21.0,.286,1.0,8.0,.125,1,2.0,.500,2.0,3.0,5.0,4.0,1.0,0.0,1.0,5.0,14.0,4.4,-20,13.0,5.0,0.3846153846153846,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,0.0,98.0,5.764705882352941,3.999999999999997,101.5,5.970588235294118
56,55,,2023-02-05,22-236,NYK,,PHI,W (+11),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,,67.0,3.941176470588236,0.0,71.19999999999999,4.188235294117646
57,56,49,2023-02-07,22-238,NYK,@,ORL,W (+4),1,34:35,5.0,16.0,.313,3.0,8.0,.375,2,4.0,.500,1.0,1.0,2.0,3.0,1.0,0.0,0.0,5.0,15.0,7.1,-9,8.0,2.0,0.25,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,1.0,69.0,4.0588235294117645,6.3000000000000025,66.8,3.929411764705882
58,57,50,2023-02-10,22-241,NYK,@,PHI,L (-11),1,29:46,7.0,16.0,.438,3.0,5.0,.600,2,3.0,.667,0.0,3.0,3.0,2.0,0.0,0.0,4.0,2.0,19.0,7.7,-4,11.0,4.0,0.3636363636363636,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,1.0,80.0,4.705882352941177,6.899999999999999,83.39999999999999,4.905882352941176
59,58,51,2023-02-11,22-242,NYK,,UTA,W (+6),1,33:45,6.0,15.0,.400,2.0,6.0,.333,6,8.0,.750,1.0,5.0,6.0,3.0,0.0,0.0,1.0,6.0,20.0,12.0,+6,9.0,4.0,0.4444444444444444,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,5.0,82.0,4.823529411764706,9.599999999999996,88.6,5.211764705882352
60,59,52,2023-02-13,22-244,NYK,,BRK,W (+18),1,24:29,2.0,8.0,.250,0.0,3.0,.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,3.0,5.0,4.0,-5.5,-7,5.0,2.0,0.4,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,-6.0,77.0,4.529411764705882,-5.5,83.89999999999999,4.935294117647058
