Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Al Horford,Shared Games with Blake Griffin,Shared Games with Derrick White,Shared Games with Jaylen Brown,Shared Games with Jayson Tatum,Shared Games with JD Davison,Shared Games with Justin Jackson,Shared Games with Luke Kornet,Shared Games with Malcolm Brogdon,Shared Games with Marcus Smart,Shared Games with Mfiondu Kabengele,Shared Games with Noah Vonleh,Shared Games with Payton Pritchard,Shared Games with Robert Williams,Shared Games with Sam Hauser,Al Horford,Blake Griffin,Danilo Gallinari,Derrick White,Jaylen Brown,Jayson Tatum,JD Davison,Justin Jackson,Luke Kornet,Malcolm Brogdon,Marcus Smart,Mfiondu Kabengele,Noah Vonleh,Payton Pritchard,Robert Williams,Sam Hauser,co_inf with Al Horford,co_inf with Blake Griffin,co_inf with Danilo Gallinari,co_inf with Derrick White,co_inf with Jaylen Brown,co_inf with Jayson Tatum,co_inf with JD Davison,co_inf with Justin Jackson,co_inf with Luke Kornet,co_inf with Malcolm Brogdon,co_inf with Marcus Smart,co_inf with Mfiondu Kabengele,co_inf with Noah Vonleh,co_inf with Payton Pritchard,co_inf with Robert Williams,co_inf with Sam Hauser,Shared Games with Justin Champagnie,Shared Games with Mike Muscala,AJ Griffin,Justin Champagnie,Mike Muscala,co_inf with AJ Griffin,co_inf with Justin Champagnie,co_inf with Mike Muscala,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
44,43,2023/1/14,24-045,BOS,CHO,0,22.76666667,1,4,0.25,1,3,0.333,0,0,,0,4,4,3,0,0,1,2,3,2.1,-1,1,0,0,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,5,105,6.176470588,2.1,118.8,6.988235294,0.066280633,W (+11),W (+11)
45,44,2023/1/16,24-047,BOS,CHO,0,21.31666667,3,12,0.25,2,4,0.5,1,1,1,5,4,9,6,0,1,2,3,9,8.2,5,8,1,0.125,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,10,88,5.176470588,7.8,102.6,6.035294118,0.066280633,W (+11),W (+11)
46,45,2023/1/19,24-050,BOS,GSW,0,12.81666667,1,4,0.25,0,2,0,0,0,,2,0,2,0,1,0,1,0,2,1,7,2,1,0.5,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,0,63,3.705882353,1,79,4.647058824,0.066280633,W (+16),W (+16)
47,46,2023/1/21,24-052,BOS,TOR,0,34.1,7,13,0.538,4,6,0.667,7,8,0.875,3,2,5,1,0,1,4,3,25,17.2,0,7,3,0.428571429,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,7,83,4.882352941,14.4,87.1,5.123529412,0.066280633,W (+12),W (+12)
48,47,2023/1/23,24-054,BOS,ORL,0,24.45,1,3,0.333,0,0,,2,2,1,0,4,4,2,0,1,3,5,4,0.6,-2,3,1,0.333333333,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,3,64,3.764705882,-0.2,75.8,4.458823529,0.066280633,W (+3),W (+3)
49,48,2023/1/24,24-055,BOS,MIA,1,36.16666667,3,6,0.5,3,3,1,1,2,0.5,1,3,4,1,0,0,4,3,10,3.7,3,3,0,0,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,3,66,3.882352941,3.3,68.8,4.047058824,0.066280633,W (+2),W (+2)
50,49,2023/1/26,24-057,BOS,NYK,0,21.68333333,2,8,0.25,2,6,0.333,0,0,,1,1,2,0,0,0,2,4,6,-1.4,-18,2,0,0,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,-2,75,4.411764706,-1.4,88.3,5.194117647,0.066280633,L (-15),L (-15)
51,50,2023/1/28,24-059,BOS,LAL,1,38.78333333,3,6,0.5,2,3,0.667,1,2,0.5,0,9,9,0,1,0,1,6,9,5.9,4,3,1,0.333333333,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,10,66,3.882352941,5.5,94.2,5.541176471,0.066280633,L (-3),L (-3)
52,51,2023/2/1,24-063,BOS,BRK,0,17.48333333,2,5,0.4,2,5,0.4,0,0,,0,2,2,0,0,1,0,2,6,3.8,6,0,0,,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,4,137,8.058823529,3.8,142.2,8.364705882,0.066280633,L (-3),L (-3)
53,52,2023/2/3,24-065,BOS,PHO,0,21.9,0,2,0,0,1,0,0,0,,0,3,3,1,1,0,1,3,0,-1,-24,1,0,0,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,2,44,2.588235294,-1,55.1,3.241176471,0.066280633,W (+4),W (+4)
54,53,2023/2/6,24-068,BOS,DET,0,20.55,1,4,0.25,0,2,0,0,0,,0,3,3,1,0,0,0,2,2,0.4,-11,2,1,0.5,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,2,97,5.705882353,0.4,108.1,6.358823529,0.066280633,W (+43),W (+43)
55,54,2023/2/8,24-070,BOS,PHI,1,39.36666667,5,10,0.5,4,6,0.667,1,2,0.5,2,6,8,5,1,0,0,4,15,15.7,3,4,1,0.25,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,17,76,4.470588235,15.3,80,4.705882353,0.066280633,L (-12),L (-12)
56,55,2023/2/10,24-072,BOS,CHO,1,32.36666667,1,7,0.143,1,5,0.2,2,2,1,0,5,5,6,2,1,1,2,5,7.1,6,2,0,0,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,9,84,4.941176471,6.3,93.5,5.5,0.066280633,W (+12),W (+12)
57,56,2023/2/12,24-074,BOS,MEM,0,26.21666667,2,6,0.333,0,3,0,6,8,0.75,4,6,10,4,0,0,1,2,10,11.4,5,3,2,0.666666667,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,9,75,4.411764706,9,87,5.117647059,0.066280633,W (+7),W (+7)
58,57,2023/2/14,24-076,BOS,MIL,1,47.51666667,4,10,0.4,2,4,0.5,2,3,0.667,2,8,10,4,1,0,5,5,12,6.8,9,6,2,0.333333333,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,9,59,3.470588235,6,74.4,4.376470588,0.066280633,W (+11),W (+11)
59,58,2023/2/15,24-077,BOS,DET,0,20.48333333,3,6,0.5,3,6,0.5,0,0,,1,3,4,2,0,0,2,1,9,6.6,8,0,0,,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,7,97,5.705882353,6.6,111,6.529411765,0.066280633,W (+10),W (+10)
60,59,2023/2/23,24-085,BOS,IND,0,6.183333333,1,2,0.5,0,1,0,0,0,,1,2,3,1,0,0,0,1,2,2.6,-5,1,1,1,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,4,98,5.764705882,2.6,121.1,7.123529412,0.066280633,L (-6),L (-6)
61,60,2023/2/25,24-087,BOS,PHI,0,28.86666667,1,6,0.167,1,5,0.2,1,2,0.5,1,4,5,2,0,1,0,4,4,2.2,9,1,0,0,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,4,72,4.235294118,1.8,80.7,4.747058824,0.066280633,W (+18),W (+18)
62,61,2023/2/27,24-089,BOS,NYK,0,16.15,0,2,0,0,2,0,2,2,1,0,2,2,2,1,0,2,4,2,0,-9,0,0,,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,1,50,2.941176471,-0.8,59.6,3.505882353,0.066280633,W (+4),W (+4)
63,,2023/3/1,24-091,BOS,CLE,Did Not Play,0,0,0,Did Not Play,,,Did Not Play,Did Not Play,0,Did Not Play,0,0,,0,0,0,0,0,0,Did Not Play,Did Not Play,,,,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,,82,4.823529412,0,93.3,5.488235294,0.066280633,,
64,62,2023/3/3,24-093,BOS,BRK,0,17.43333333,0,1,0,0,0,,1,2,0.5,0,3,3,0,0,1,2,3,1,-1.7,5,1,0,0,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,0,72,4.235294118,-2.1,79.2,4.658823529,0.066280633,W (+3),W (+3)
65,63,2023/3/5,24-095,BOS,NYK,0,44.48333333,2,7,0.286,1,5,0.2,4,4,1,3,3,6,3,0,1,2,5,9,6.7,-4,2,1,0.5,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,6,73,4.294117647,5.1,86.7,5.1,0.066280633,L (-15),L (-15)
66,64,2023/3/6,24-096,BOS,CLE,0,16.1,4,6,0.667,4,5,0.8,0,2,0,2,2,4,0,0,0,0,2,12,9.8,-4,1,0,0,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,8,51,3,9.8,63.4,3.729411765,0.066280633,W (+4),W (+4)
67,65,2023/3/8,24-098,BOS,POR,0,12,3,8,0.375,2,7,0.286,0,1,0,0,5,5,0,1,0,0,1,8,5.3,0,1,1,1,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,5,74,4.352941176,5.3,83,4.882352941,0.066280633,L (-10),L (-10)
68,,2023/3/11,24-101,BOS,ATL,Did Not Play,0,0,0,Did Not Play,,,Did Not Play,Did Not Play,0,Did Not Play,0,0,,0,0,0,0,0,0,Did Not Play,Did Not Play,,,,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,,105,6.176470588,0,115.1,6.770588235,0.066280633,L (-2),L (-2)
69,66,2023/3/13,24-103,BOS,HOU,0,8.183333333,0,0,,0,0,,0,0,,0,2,2,0,0,1,1,0,0,0.3,4,0,0,,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,2,58,3.411764706,0.3,76.6,4.505882353,0.066280633,L (-4),L (-4)
70,67,2023/3/15,24-105,BOS,MIN,0,26.25,1,5,0.2,0,3,0,0,0,,1,3,4,1,0,0,1,3,2,-1,-4,2,1,0.5,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,1,58,3.411764706,-1,76.9,4.523529412,0.066280633,W (+22),W (+22)
71,68,2023/3/17,24-107,BOS,POR,0,15.93333333,2,7,0.286,2,6,0.333,0,0,,0,3,3,0,0,0,0,2,6,2,5,1,0,0,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,2,103,6.058823529,2,119.7,7.041176471,0.066280633,W (+9),W (+9)
72,69,2023/3/18,24-108,BOS,UTA,1,30.88333333,8,16,0.5,7,12,0.583,0,0,,1,3,4,2,0,0,1,5,23,15,-5,4,1,0.25,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,12,63,3.705882353,15,74.6,4.388235294,0.066280633,L (-2),L (-2)
73,70,2023/3/21,24-111,BOS,SAC,0,21.9,3,4,0.75,0,1,0,0,0,,2,3,5,3,2,0,0,0,6,10.8,8,3,3,1,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,12,94,5.529411765,10.8,112.7,6.629411765,0.066280633,W (+2),W (+2)
74,71,2023/3/24,24-114,BOS,IND,0,29.2,5,10,0.5,2,6,0.333,0,2,0,4,2,6,1,0,0,2,2,12,7.5,16,4,3,0.75,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,5,98,5.764705882,7.5,108.7,6.394117647,0.066280633,W (+14),W (+14)
75,72,2023/3/26,24-116,BOS,SAS,0,17.95,1,2,0.5,1,2,0.5,0,0,,0,4,4,0,0,1,0,2,3,3.1,12,0,0,,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,6,100,5.882352941,3.1,105.8,6.223529412,0.066280633,L (-1),L (-1)
76,73,2023/3/28,24-118,BOS,WAS,0,25.91666667,2,6,0.333,0,4,0,4,5,0.8,2,4,6,2,0,1,1,1,8,7.5,-1,2,2,1,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,5,71,4.176470588,5.9,81,4.764705882,0.066280633,W (+23),W (+23)
77,74,2023/3/30,24-120,BOS,MIL,0,22.68333333,2,4,0.5,1,3,0.333,1,2,0.5,0,5,5,1,0,0,0,2,6,5,9,1,1,1,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,6,105,6.176470588,4.6,121.4,7.141176471,0.066280633,W (+25),W (+25)
78,75,2023/3/31,24-121,BOS,UTA,0,17.06666667,5,6,0.833,3,4,0.75,0,0,,1,4,5,2,0,1,0,1,13,14.4,10,2,2,1,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,15,67,3.941176471,14.4,83.8,4.929411765,0.066280633,W (+44),W (+44)
79,76,2023/4/4,24-125,BOS,PHI,1,28.71666667,4,7,0.571,2,4,0.5,0,0,,1,1,2,3,0,0,0,3,10,8.6,-2,3,2,0.666666667,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,8,64,3.764705882,8.6,75.4,4.435294118,0.066280633,L (-19),L (-19)
80,77,2023/4/5,24-126,BOS,TOR,0,18.78333333,1,5,0.2,0,3,0,0,2,0,1,0,1,0,0,2,1,1,2,-1.2,1,2,1,0.5,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,-3,66,3.882352941,-1.2,80,4.705882353,0.066280633,W (+41),W (+41)
81,78,2023/4/7,24-128,BOS,TOR,0,17.73333333,0,4,0,0,3,0,3,4,0.75,2,5,7,2,0,0,3,0,3,1.1,13,1,0,0,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,1,106,6.235294118,-0.1,116.4,6.847058824,0.066280633,W (+8),W (+8)
82,79,2023/4/9,24-130,BOS,ATL,0,5.9,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1,-6,2,1,0.5,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,0,78,4.588235294,1,82.8,4.870588235,0.066280633,L (-2),L (-2)
