Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Al Horford,Shared Games with Blake Griffin,Shared Games with Derrick White,Shared Games with Grant Williams,Shared Games with Jaylen Brown,Shared Games with Jayson Tatum,Shared Games with JD Davison,Shared Games with Justin Jackson,Shared Games with Luke Kornet,Shared Games with Malcolm Brogdon,Shared Games with Mfiondu Kabengele,Shared Games with Noah Vonleh,Shared Games with Payton Pritchard,Shared Games with Robert Williams,Shared Games with Sam Hauser,Al Horford,Blake Griffin,Danilo Gallinari,Derrick White,Grant Williams,Jaylen Brown,Jayson Tatum,JD Davison,Justin Jackson,Luke Kornet,Malcolm Brogdon,Mfiondu Kabengele,Noah Vonleh,Payton Pritchard,Robert Williams,Sam Hauser,co_inf with Al Horford,co_inf with Blake Griffin,co_inf with Danilo Gallinari,co_inf with Derrick White,co_inf with Grant Williams,co_inf with Jaylen Brown,co_inf with Jayson Tatum,co_inf with JD Davison,co_inf with Justin Jackson,co_inf with Luke Kornet,co_inf with Malcolm Brogdon,co_inf with Mfiondu Kabengele,co_inf with Noah Vonleh,co_inf with Payton Pritchard,co_inf with Robert Williams,co_inf with Sam Hauser,Shared Games with Justin Champagnie,Shared Games with Mike Muscala,AJ Griffin,Justin Champagnie,Mike Muscala,co_inf with AJ Griffin,co_inf with Justin Champagnie,co_inf with Mike Muscala,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
72,,2023/3/18,29-012,BOS,UTA,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,,75,4.411764706,0,89.6,5.270588235,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,L (-2),L (-2)
73,55,2023/3/21,29-015,BOS,SAC,1,32.8,6,15,0.4,3,9,0.333,2,3,0.667,2,0,2,7,2,0,1,3,17,14.6,13,6,3,0.5,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,9,97,5.705882353,13.8,109.7,6.452941176,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+2),W (+2)
74,56,2023/3/24,29-018,BOS,IND,1,26.95,2,3,0.667,0,1,0,2,2,1,0,1,1,5,3,0,0,1,6,11.1,17,2,2,1,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,10,93,5.470588235,10.3,105.9,6.229411765,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+14),W (+14)
75,57,2023/3/26,29-020,BOS,SAS,1,27.5,4,10,0.4,2,6,0.333,3,4,0.75,1,2,3,4,0,2,3,4,13,8.1,22,4,2,0.5,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,5,101,5.941176471,6.9,102,6,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,L (-1),L (-1)
76,58,2023/3/28,29-022,BOS,WAS,1,30.23333333,5,8,0.625,4,7,0.571,0,0,,0,0,0,5,2,0,1,2,14,14.1,-10,1,1,1,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,12,64,3.764705882,14.1,72.8,4.282352941,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+23),W (+23)
77,59,2023/3/30,29-024,BOS,MIL,1,26.6,4,10,0.4,2,6,0.333,0,0,,0,4,4,8,1,0,0,1,10,12,35,4,2,0.5,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,13,98,5.764705882,12,114,6.705882353,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+25),W (+25)
78,60,2023/3/31,29-025,BOS,UTA,1,28.25,5,16,0.313,4,13,0.308,0,0,,1,1,2,2,2,0,2,4,14,5.6,2,3,1,0.333333333,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,2,80,4.705882353,5.6,92.6,5.447058824,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+44),W (+44)
79,61,2023/4/4,29-029,BOS,PHI,1,30.2,7,15,0.467,2,7,0.286,1,3,0.333,2,2,4,4,1,0,3,4,17,9.7,-1,8,5,0.625,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,5,67,3.941176471,9.3,74.7,4.394117647,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,L (-19),L (-19)
80,,2023/4/5,29-030,BOS,TOR,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,,63,3.705882353,0,78.8,4.635294118,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+41),W (+41)
81,,2023/4/7,29-032,BOS,TOR,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,,107,6.294117647,0,116.3,6.841176471,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+8),W (+8)
82,,2023/4/9,29-034,BOS,ATL,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,,78,4.588235294,0,83.8,4.929411765,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,L (-2),L (-2)
