Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alize Johnson,Shared Games with Blake Wesley,Shared Games with Charles Bassey,Shared Games with Devin Vassell,Shared Games with Dominick Barlow,Shared Games with Doug McDermott,Shared Games with Gorgui Dieng,Shared Games with Jakob Poeltl,Shared Games with Jeremy Sochan,Shared Games with Jordan Hall,Shared Games with Josh Richardson,Shared Games with Joshua Primo,Shared Games with Keita Bates-Diop,Shared Games with Keldon Johnson,Shared Games with Malaki Branham,Shared Games with Romeo Langford,Shared Games with Stanley Johnson,Shared Games with Tre Jones,Shared Games with Zach Collins,Alize Johnson,Blake Wesley,Charles Bassey,Devin Vassell,Dominick Barlow,Doug McDermott,Gorgui Dieng,Jakob Poeltl,Jeremy Sochan,Jordan Hall,Josh Richardson,Joshua Primo,Keita Bates-Diop,Keldon Johnson,Malaki Branham,Romeo Langford,Stanley Johnson,Tre Jones,Zach Collins,co_inf with Alize Johnson,co_inf with Blake Wesley,co_inf with Charles Bassey,co_inf with Devin Vassell,co_inf with Dominick Barlow,co_inf with Doug McDermott,co_inf with Gorgui Dieng,co_inf with Jakob Poeltl,co_inf with Jeremy Sochan,co_inf with Jordan Hall,co_inf with Josh Richardson,co_inf with Joshua Primo,co_inf with Keita Bates-Diop,co_inf with Keldon Johnson,co_inf with Malaki Branham,co_inf with Romeo Langford,co_inf with Stanley Johnson,co_inf with Tre Jones,co_inf with Zach Collins
32,32,27,2022-12-23,24-323,SAS,@,ORL,L (-20),0,3.85,0.0,1.0,.000,0.0,1.0,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+6,0.0,0.0,,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
33,33,,2022-12-26,24-326,SAS,,UTA,W (+4),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
34,34,28,2022-12-27,24-327,SAS,@,OKC,L (-16),0,2.55,1.0,1.0,1.000,0.0,0.0,,0,0,,1,0,1,0,0,0,0,0,2,2.4,+4,1.0,1.0,1.0,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
35,35,,2022-12-29,24-329,SAS,,NYK,W (+7),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
36,36,,2022-12-31,24-331,SAS,,DAL,L (-1),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
37,37,29,2023-01-02,24-333,SAS,@,BRK,L (-36),0,14.75,2.0,5.0,.400,0.0,2.0,.000,1,4,.250,1,3,4,0,0,0,1,2,5,0.9,-6,3.0,2.0,0.6666666666666666,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
38,38,,2023-01-04,24-335,SAS,@,NYK,L (-3),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
39,39,30,2023-01-06,24-337,SAS,,DET,W (+12),0,7.283333333333333,0.0,2.0,.000,0.0,1.0,.000,2,2,1.000,0,0,0,0,0,0,0,0,2,0.6,-4,1.0,0.0,0.0,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
40,40,31,2023-01-07,24-338,SAS,,BOS,L (-5),0,0.6166666666666667,0.0,0.0,,0.0,0.0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,0,0.0,0.0,,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
41,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
42,41,,2023-01-09,24-340,SAS,@,MEM,L (-8),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
43,42,,2023-01-11,24-342,SAS,@,MEM,L (-6),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
44,43,32,2023-01-13,24-344,SAS,,GSW,L (-31),0,9.783333333333333,2.0,4.0,.500,0.0,2.0,.000,0,0,,0,3,3,0,1,0,1,0,4,2.9,-2,2.0,2.0,1.0,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
45,44,,2023-01-15,24-346,SAS,,SAC,L (-13),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
46,45,,2023-01-17,24-348,SAS,,BRK,W (+8),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
47,46,,2023-01-20,24-351,SAS,,LAC,L (-5),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
48,47,33,2023-01-23,24-354,SAS,@,POR,L (-20),0,6.133333333333334,1.0,2.0,.500,0.0,0.0,,1,4,.250,0,3,3,0,0,0,0,0,3,1.7,+2,2.0,1.0,0.5,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
49,48,,2023-01-25,24-356,SAS,@,LAL,L (-9),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
50,49,34,2023-01-26,24-357,SAS,@,LAC,L (-38),0,20.716666666666665,5.0,9.0,.556,2.0,2.0,1.000,2,3,.667,3,4,7,2,0,0,0,2,14,13.2,-7,7.0,3.0,0.4285714285714285,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
51,50,,2023-01-28,24-359,SAS,,PHO,L (-10),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
52,51,35,2023-01-30,24-361,SAS,,WAS,L (-21),0,2.183333333333333,0.0,2.0,.000,0.0,0.0,,0,0,,1,0,1,0,0,0,0,0,0,-0.7,-2,2.0,0.0,0.0,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
53,52,36,2023-02-01,24-363,SAS,,SAC,L (-10),0,8.033333333333333,2.0,2.0,1.000,1.0,1.0,1.000,0,0,,0,1,1,0,0,0,1,0,5,3.7,-3,1.0,1.0,1.0,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
54,53,37,2023-02-03,25-000,SAS,,PHI,L (-12),0,10.45,2.0,4.0,.500,0.0,1.0,.000,0,0,,1,0,1,1,1,0,1,2,4,2.6,+9,3.0,2.0,0.6666666666666666,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
55,54,38,2023-02-06,25-003,SAS,@,CHI,L (-24),0,14.866666666666667,3.0,6.0,.500,0.0,2.0,.000,2,2,1.000,0,4,4,1,0,0,2,1,8,4.5,-11,4.0,3.0,0.75,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
56,55,39,2023-02-08,25-005,SAS,@,TOR,L (-14),0,18.766666666666666,3.0,7.0,.429,1.0,3.0,.333,1,2,.500,0,3,3,1,2,0,3,4,8,2.9,-13,4.0,2.0,0.5,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
57,56,40,2023-02-10,25-007,SAS,@,DET,L (-7),1,25.066666666666666,1.0,7.0,.143,0.0,2.0,.000,1,1,1.000,1,3,4,1,1,0,2,3,3,-1.4,-12,5.0,1.0,0.2,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
58,57,41,2023-02-11,25-008,SAS,@,ATL,L (-19),0,20.183333333333334,2.0,7.0,.286,0.0,2.0,.000,0,0,,1,5,6,1,1,1,3,5,4,-0.5,-7,5.0,2.0,0.4,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
59,58,42,2023-02-13,25-010,SAS,@,CLE,L (-8),0,5.616666666666667,0.0,0.0,,0.0,0.0,,0,0,,1,0,1,0,0,0,0,0,0,0.7,-4,0.0,0.0,,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
60,59,,2023-02-15,25-012,SAS,@,CHO,L (-10),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
61,60,,2023-02-23,25-020,SAS,@,DAL,L (-26),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
62,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
63,61,,2023-02-25,25-022,SAS,@,UTA,L (-16),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
64,62,,2023-02-28,25-025,SAS,@,UTA,W (+8),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
