Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alize Johnson,Shared Games with Blake Wesley,Shared Games with Charles Bassey,Shared Games with Devin Vassell,Shared Games with Dominick Barlow,Shared Games with Doug McDermott,Shared Games with Gorgui Dieng,Shared Games with Isaiah Roby,Shared Games with Jeremy Sochan,Shared Games with Jordan Hall,Shared Games with Josh Richardson,Shared Games with Joshua Primo,Shared Games with Keita Bates-Diop,Shared Games with Keldon Johnson,Shared Games with Malaki Branham,Shared Games with Romeo Langford,Shared Games with Stanley Johnson,Shared Games with Tre Jones,Shared Games with Zach Collins,Alize Johnson,Blake Wesley,Charles Bassey,Devin Vassell,Dominick Barlow,Doug McDermott,Gorgui Dieng,Isaiah Roby,Jeremy Sochan,Jordan Hall,Josh Richardson,Joshua Primo,Keita Bates-Diop,Keldon Johnson,Malaki Branham,Romeo Langford,Stanley Johnson,Tre Jones,Zach Collins,co_inf with Alize Johnson,co_inf with Blake Wesley,co_inf with Charles Bassey,co_inf with Devin Vassell,co_inf with Dominick Barlow,co_inf with Doug McDermott,co_inf with Gorgui Dieng,co_inf with Isaiah Roby,co_inf with Jeremy Sochan,co_inf with Jordan Hall,co_inf with Josh Richardson,co_inf with Joshua Primo,co_inf with Keita Bates-Diop,co_inf with Keldon Johnson,co_inf with Malaki Branham,co_inf with Romeo Langford,co_inf with Stanley Johnson,co_inf with Tre Jones,co_inf with Zach Collins
33,33,25,2022-12-26,27-072,SAS,,UTA,W (+4),1,24.183333333333334,6.0,6.0,1.000,0.0,0.0,,4,5,.800,2,7,9,2,2,4,1,2,16,21.7,+14,6.0,6.0,1.0,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
34,34,26,2022-12-27,27-073,SAS,@,OKC,L (-16),1,26.033333333333335,4.0,4.0,1.000,0.0,0.0,,2,3,.667,1,5,6,2,0,1,3,4,10,8.1,-3,4.0,4.0,1.0,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
35,35,27,2022-12-29,27-075,SAS,,NYK,W (+7),1,28.55,3.0,6.0,.500,0.0,0.0,,3,4,.750,4,8,12,2,0,2,0,4,9,12.0,-1,6.0,3.0,0.5,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
36,36,28,2022-12-31,27-077,SAS,,DAL,L (-1),1,29.833333333333332,7.0,10.0,.700,0.0,0.0,,5,7,.714,7,8,15,6,0,0,2,3,19,22.3,0,10.0,7.0,0.7,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
37,37,29,2023-01-02,27-079,SAS,@,BRK,L (-36),1,19.7,3.0,8.0,.375,0.0,0.0,,0,1,.000,6,5,11,2,1,1,2,0,6,8.0,-16,8.0,3.0,0.375,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
38,38,30,2023-01-04,27-081,SAS,@,NYK,L (-3),1,26.016666666666666,2.0,5.0,.400,0.0,0.0,,2,2,1.000,2,6,8,1,1,1,1,0,6,7.9,+4,5.0,2.0,0.4,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
39,39,31,2023-01-06,27-083,SAS,,DET,W (+12),1,32.35,4.0,5.0,.800,0.0,0.0,,3,4,.750,4,12,16,7,2,3,3,2,11,20.3,+15,5.0,4.0,0.8,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
40,40,,2023-01-07,27-084,SAS,,BOS,L (-5),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
41,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
42,41,32,2023-01-09,27-086,SAS,@,MEM,L (-8),1,26.216666666666665,6.0,10.0,.600,0.0,0.0,,1,2,.500,2,5,7,2,2,0,2,4,13,10.7,-12,10.0,6.0,0.6,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
43,42,33,2023-01-11,27-088,SAS,@,MEM,L (-6),1,25.783333333333335,7.0,13.0,.538,0.0,0.0,,3,5,.600,6,6,12,0,0,5,0,2,17,18.6,-10,13.0,7.0,0.5384615384615384,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
44,43,34,2023-01-13,27-090,SAS,,GSW,L (-31),1,26.1,2.0,9.0,.222,0.0,0.0,,4,4,1.000,3,7,10,5,0,1,3,2,8,7.1,-19,9.0,2.0,0.2222222222222222,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
45,44,35,2023-01-15,27-092,SAS,,SAC,L (-13),1,31.216666666666665,10.0,12.0,.833,0.0,0.0,,3,6,.500,3,4,7,2,0,2,1,5,23,20.5,+1,12.0,10.0,0.8333333333333334,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
46,45,36,2023-01-17,27-094,SAS,,BRK,W (+8),1,21.716666666666665,5.0,7.0,.714,0.0,0.0,,2,4,.500,2,5,7,3,1,2,2,4,12,12.1,+6,7.0,5.0,0.7142857142857143,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
47,46,37,2023-01-20,27-097,SAS,,LAC,L (-5),1,23.75,5.0,10.0,.500,0.0,0.0,,1,2,.500,1,5,6,4,1,0,1,1,11,10.2,-4,10.0,5.0,0.5,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
48,47,38,2023-01-23,27-100,SAS,@,POR,L (-20),1,15.75,6.0,8.0,.750,0.0,0.0,,2,2,1.000,4,3,7,2,1,0,1,5,14,13.9,-7,8.0,6.0,0.75,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
49,48,39,2023-01-25,27-102,SAS,@,LAL,L (-9),1,22.883333333333333,1.0,4.0,.250,0.0,0.0,,3,4,.750,3,5,8,4,1,0,1,2,5,7.8,-6,4.0,1.0,0.25,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
50,49,40,2023-01-26,27-103,SAS,@,LAC,L (-38),1,22.166666666666668,5.0,9.0,.556,0.0,0.0,,0,2,.000,0,2,2,3,0,0,1,2,10,5.8,-23,9.0,5.0,0.5555555555555556,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
51,50,41,2023-01-28,27-105,SAS,,PHO,L (-10),1,33.45,4.0,8.0,.500,0.0,0.0,,0,0,,4,9,13,6,0,3,4,3,8,10.6,-3,8.0,4.0,0.5,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
52,51,42,2023-01-30,27-107,SAS,,WAS,L (-21),1,21.65,2.0,5.0,.400,0.0,0.0,,3,4,.750,2,3,5,2,0,1,2,2,7,5.5,-14,5.0,2.0,0.4,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
53,52,43,2023-02-01,27-109,SAS,,SAC,L (-10),1,28.95,9.0,13.0,.692,0.0,0.0,,0,0,,4,8,12,3,1,1,5,3,18,15.3,-14,13.0,9.0,0.6923076923076923,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
54,53,44,2023-02-03,27-111,SAS,,PHI,L (-12),1,24.333333333333332,8.0,11.0,.727,0.0,0.0,,0,0,,3,7,10,5,0,0,3,3,16,15.0,-5,11.0,8.0,0.7272727272727273,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
55,54,45,2023-02-06,27-114,SAS,@,CHI,L (-24),1,29.666666666666668,6.0,11.0,.545,0.0,1.0,.000,2,3,.667,4,5,9,4,0,2,3,2,14,13.0,-9,10.0,6.0,0.6,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
56,55,46,2023-02-08,27-116,SAS,@,TOR,L (-14),1,27.816666666666666,4.0,11.0,.364,0.0,0.0,,4,4,1.000,3,4,7,3,2,0,2,3,12,10.1,-11,11.0,4.0,0.3636363636363636,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
57,56,47,2023-02-10,27-118,TOR,,UTA,L (-6),0,16.683333333333334,2.0,2.0,1.000,0.0,0.0,,2,7,.286,1,3,4,2,0,0,3,5,6,1.4,0,2.0,2.0,1.0,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
58,57,48,2023-02-12,27-120,TOR,,DET,W (+1),1,25.066666666666666,3.0,5.0,.600,0.0,0.0,,0,0,,2,3,5,1,2,3,0,6,6,8.4,+11,5.0,3.0,0.6,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
59,58,49,2023-02-14,27-122,TOR,,ORL,W (+10),1,36.916666666666664,15.0,17.0,.882,0.0,0.0,,0,0,,5,4,9,2,1,6,2,5,30,31.4,+18,17.0,15.0,0.8823529411764706,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
60,59,50,2023-02-23,27-131,TOR,,NOP,W (+5),1,30.45,9.0,11.0,.818,0.0,0.0,,3,7,.429,7,11,18,2,3,1,0,5,21,26.6,+4,11.0,9.0,0.8181818181818182,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
61,60,51,2023-02-25,27-133,TOR,@,DET,W (+4),1,26.9,3.0,8.0,.375,0.0,0.0,,3,6,.500,6,8,14,4,2,1,0,1,9,15.1,+2,8.0,3.0,0.375,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
62,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
63,61,52,2023-02-26,27-134,TOR,@,CLE,L (-25),1,27.233333333333334,5.0,6.0,.833,0.0,0.0,,3,3,1.000,0,9,9,3,2,1,0,0,13,18.3,-16,6.0,5.0,0.8333333333333334,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
64,62,53,2023-02-28,27-136,TOR,,CHI,W (+6),1,26.266666666666666,6.0,9.0,.667,0.0,0.0,,2,4,.500,1,2,3,2,3,2,1,0,14,15.4,+13,9.0,6.0,0.6666666666666666,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
65,63,54,2023-03-02,27-138,TOR,@,WAS,L (-11),1,31.516666666666666,8.0,9.0,.889,0.0,0.0,,7,7,1.000,4,9,13,4,3,2,1,3,23,30.4,+9,9.0,8.0,0.8888888888888888,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
66,64,55,2023-03-04,27-140,TOR,@,WAS,W (+7),1,24.35,6.0,8.0,.750,0.0,0.0,,2,3,.667,1,4,5,0,1,0,2,4,14,9.7,0,8.0,6.0,0.75,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
67,65,56,2023-03-06,27-142,TOR,@,DEN,L (-5),1,32.03333333333333,9.0,13.0,.692,0.0,0.0,,0,2,.000,3,6,9,4,1,1,2,3,18,16.9,-4,13.0,9.0,0.6923076923076923,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
