Player,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p1,p12,p13,p14
Lazaro Borrell,(Full name Lazaro Manuel Borrell Hernandez),Position: Small Forward ? Shoots: Right,"6-8, 220lb (203cm, 99kg)","Born: September 20, 1972 (Age: 51-029d) in Santa Clara, Cuba cu","NBA Debut: November 11, 1999",Career Length: 1 year,,,,,Lazaro Manuel Borrell,,,
Ike Borsavage,Position: Center/Forward ? Shoots: Right,"6-8, 220lb (203cm, 99kg)","Born: July 25, 1924 in Plymouth, Pennsylvania","Died: January 10, 2014 (Aged 89-169d)",College: Temple,"High School: Plymouth in Plymouth, Pennsylvania","Draft: Philadelphia Warriors, 5th round (3rd pick, 51st overall), 1950 NBA Draft","NBA Debut: November 4, 1950",Career Length: 1 year,,Costic Frank Borsavage Jr.,,,
Vince Boryla,"(Moose, Bullets, Vinegar Vince)",Position: Small Forward ? Shoots: Right,"6-5, 210lb (196cm, 95kg)","Born: March 11, 1927 in East Chicago, Indiana us","Died: March 27, 2016 (Aged 89-016d)",,,,,,Vincent Joseph Boryla,,,
Chris Bosh,"(CB4, The Boshtrich, Boshasaurus, King of the Dragons)",Position: Center and Power Forward ? Shoots: Left,"6-11, 235lb (211cm, 106kg)","Born: March 24, 1984 (Age: 39-209d) in Dallas, Texas us",College: Georgia Tech,,,,,,,,,
Jim Bostic,Position: Power Forward ? Shoots: Right,"6-7, 225lb (201cm, 102kg)","Born: January 28, 1953 (Age: 70-264d) in Brooklyn, New York us",College: New Mexico State,"High School: Gorton in Yonkers, New York","Draft: Kansas City Kings, 8th round (13th pick, 139th overall), 1975 NBA Draft","NBA Debut: April 5, 1978",Career Length: 1 year,,,James Bostic,,,
Brandon Boston Jr.,Brandon Elliot Boston Jr. ? Twitter: bboston_ ? Instagram: brandonboston,Position: Small Forward and Shooting Guard ? Shoots: Right,"6-7, 185lb (201cm, 83kg)","Born: November 28, 2001 (Age: 21-325d) in Norcross, Georgia us",College: Kentucky,,,,,,,,,
Lawrence Boston,(Larry),Position: Power Forward ? Shoots: Right,"6-8, 225lb (203cm, 102kg)","Born: May 18, 1956 (Age: 67-154d) in Cleveland, Ohio us","Colleges: Vincennes University, Maryland","High School: John F. Kennedy in Cleveland, Ohio","Draft: Washington Bullets, 4th round (15th pick, 81st overall), 1978 NBA Draft","NBA Debut: March 2, 1980",Career Length: 1 year,,Lawrence D. Boston Jr.,,,
Tom Boswell,Position: Power Forward ? Shoots: Right,"6-9, 220lb (206cm, 99kg)","Born: October 2, 1953 (Age: 70-017d) in Montgomery, Alabama us","Colleges: South Carolina State, South Carolina","High School: George Washington Carver in Montgomery, Alabama","Draft: Boston Celtics, 1st round (17th pick, 17th overall), 1975 NBA Draft","NBA Debut: October 24, 1975",Career Length: 6 years,,,Tommy G. Boswell,,,
Chris Boucher,Chris Boucher ? Twitter: chrisboucher ? Instagram: slimmduck,"(Swatterboy, Slimm Duck)","Position: Power Forward, Center, and Small Forward ? Shoots: Right","6-9, 200lb (206cm, 90kg)","Born: January 11, 1993 (Age: 30-281d) in Castries, Saint Lucia lc",,,,,,,,,
James Bouknight,James David Bouknight ? Twitter: jam3s210 ? Instagram: james.bouknight,Position: Shooting Guard ? Shoots: Right,"6-5, 190lb (196cm, 86kg)","Born: September 18, 2000 (Age: 23-031d) in Brooklyn, New York us",College: UConn,,,,,,,,,
Ruben Boumtje-Boumtje,Ruben Bertrand Boumtje-Boumtje,Position: Center ? Shoots: Right,"7-0, 257lb (213cm, 116kg)","Born: May 20, 1978 (Age: 45-152d) in Edea, Cameroon cm",College: Georgetown,"High School: Archbishop Carroll in Washington, District of Columbia","Draft: Portland Trail Blazers, 2nd round (21st pick, 50th overall), 2001 NBA Draft","NBA Debut: October 30, 2001",Career Length: 3 years,,Pronunciation: \BOOM-shay BOOM-shay\,,,
Jamaree Bouyea,Jamaree Bouyea ? Twitter: bouyea_ycl ? Instagram: bouyea.ycl,Position: Point Guard ? Shoots: Right,"6-2, 180lb (188cm, 81kg)","Born: June 27, 1999 (Age: 24-114d) in Seaside, California us",College: San Francisco,"High School: Palma in Salinas, California","NBA Debut: February 10, 2023",Experience: 1 year,,,,,,
Don Boven,Position: Small Forward and Shooting Guard ? Shoots: Right,"6-4, 210lb (193cm, 95kg)","Born: March 6, 1925 in Kalamazoo, Michigan us","Died: March 10, 2011 (Aged 86-004d)",College: Western Michigan,"High School: Kalamazoo Central in Kalamazoo, Michigan","Draft: Indianapolis Olympians, 6th round, 1949 BAA Draft","NBA Debut: November 2, 1949",Career Length: 3 years,,Donald E. Boven,,,
Cal Bowdler,Position: Small Forward and Power Forward ? Shoots: Right,"6-10, 245lb (208cm, 111kg)","Born: March 31, 1977 (Age: 46-202d) in Sharps, Virginia us",College: Old Dominion,"High School: Rappahannock in Warsaw, Virginia","Draft: Atlanta Hawks, 1st round (17th pick, 17th overall), 1999 NBA Draft","NBA Debut: November 2, 1999",Career Length: 3 years,,,James Calloway Bowdler II,,,
Brian Bowen,(Tugs),Position: Small Forward ? Shoots: Right,"6-6, 190lb (198cm, 86kg)","Born: October 2, 1998 (Age: 25-017d) in Saginaw, Michigan us","High School: La Lumiere School in La Porte, Indiana",Recruiting Rank: 2017 (16),"NBA Debut: November 12, 2019",Career Length: 2 years,,,,,,
Bruce Bowen,Position: Small Forward ? Shoots: Right,"6-7, 185lb (201cm, 83kg)","Born: June 14, 1971 (Age: 52-127d) in Merced, California us",College: Cal State Fullerton,"High School: Edison in Fresno, California","NBA Debut: March 16, 1997",Career Length: 13 years,,,,,,,
Ryan Bowen,"Position: Small Forward, Power Forward, and Shooting Guard ? Shoots: Right","6-7, 215lb (201cm, 97kg)","Born: November 20, 1975 (Age: 47-333d) in Fort Madison, Iowa us",College: Iowa,"High School: Fort Madison in Fort Madison, Iowa","Draft: Denver Nuggets, 2nd round (26th pick, 55th overall), 1998 NBA Draft","NBA Debut: November 2, 1999",Career Length: 10 years,,,Ryan Cleo Bowen ? Twitter: rybo40,,,
Tommie Bowens,(Tom),Position: Power Forward ? Shoots: Right,"6-8, 220lb (203cm, 99kg)","Born: July 7, 1940 (Age: 83-104d) in Okolona, Mississippi us",College: Grambling State University,"High School: Fannie Carter in Okolona, Mississippi","ABA Debut: October 17, 1967",Career Length: 3 years,,,Tommie Lee Bowens Jr.,,,
Anthony Bowie,"(A.B., Boo)",Position: Shooting Guard ? Shoots: Right,"6-6, 190lb (198cm, 86kg)","Born: November 9, 1963 (Age: 59-344d) in Tulsa, Oklahoma us",College: Oklahoma,"High School: East Central in Tulsa, Oklahoma","Draft: Houston Rockets, 3rd round (19th pick, 66th overall), 1986 NBA Draft","NBA Debut: March 20, 1989",Career Length: 8 years,,,,,
Sam Bowie,Position: Center ? Shoots: Right,"7-1, 235lb (216cm, 106kg)","Born: March 17, 1961 (Age: 62-216d) in Lebanon, Pennsylvania us",College: Kentucky,"High School: Lebanon in Lebanon, Pennsylvania","Draft: Portland Trail Blazers, 1st round (2nd pick, 2nd overall), 1984 NBA Draft","NBA Debut: October 27, 1984",Career Length: 10 years,,,,,,
Orb Bowling,(Chief),Position: Center ? Shoots: Right,"6-10, 215lb (208cm, 97kg)","Born: March 21, 1939 (Age: 84-212d) in Kentucky us",College: Tennessee,"Draft: New York Knicks, 11th round (1st pick, 77th overall), 1963 NBA Draft","ABA Debut: October 20, 1967",Career Length: 1 year,,,Orbie Lee Bowling,,,
Ira Bowman,Position: Shooting Guard and Point Guard ? Shoots: Right,"6-5, 195lb (196cm, 88kg)","Born: June 11, 1973 (Age: 50-130d) in Newark, New Jersey us","Colleges: Providence, Penn","High School: Seton Hall Prep in West Orange, New Jersey","NBA Debut: February 25, 2000",Career Length: 3 years,,,,Ira Bowman,,,
Ky Bowman,Kyran Bowman ? Twitter: KyranBowman ? Instagram: kyranbowman,(The First 48),Position: Point Guard ? Shoots: Right,"6-1, 187lb (185cm, 84kg)","Born: June 16, 1997 (Age: 26-125d) in Havelock, North Carolina us",College: Boston College,"High School: Havelock in Havelock, North Carolina","NBA Debut: October 24, 2019",Experience: 1 year,,,,,
Nate Bowman,"(The Snake, Nate the Skate)",Position: Center ? Shoots: Right,"6-10, 230lb (208cm, 104kg)","Born: March 19, 1943 in Fort Worth, Texas us","Died: December 11, 1984 (Aged 41-267d)",,,,,,Nathaniel Bowman,,,
Donnie Boyce,(Donny),Position: Shooting Guard ? Shoots: Right,"6-5, 196lb (196cm, 88kg)","Born: September 2, 1973 (Age: 50-047d) in Chicago, Illinois us",College: Colorado,"High School: Proviso East in Maywood, Illinois","Draft: Atlanta Hawks, 2nd round (13th pick, 42nd overall), 1995 NBA Draft","NBA Debut: March 12, 1996",Career Length: 2 years,,Donald Nathaniel Boyce,,,
Dennis Boyd,Position: Point Guard ? Shoots: Right,"6-1, 175lb (185cm, 79kg)","Born: May 21, 1954 (Age: 69-151d) in Portsmouth, Virginia us",College: Detroit Mercy,"High School: Roosevelt in New York, New York","Draft: New Orleans Jazz, 4th round (6th pick, 72nd overall), 1977 NBA Draft","NBA Debut: December 12, 1978",Career Length: 1 year,,,Dennis Boyd,,,
Freddie Boyd,Position: Point Guard and Shooting Guard ? Shoots: Left,"6-2, 180lb (188cm, 81kg)","Born: June 13, 1950 (Age: 73-128d) in Bakersfield, California us",College: Oregon State,"High School: East Bakersfield in Bakersfield, California","Draft: Philadelphia 76ers, 1st round (5th pick, 5th overall), 1972 NBA Draft","NBA Debut: October 10, 1972",Career Length: 6 years,,,Fred L. Boyd,,,
Ken Boyd,Position: Small Forward ? Shoots: Right,"6-5, 195lb (196cm, 88kg)","Born: March 25, 1952 (Age: 71-208d) in Frederick, Maryland us",College: Boston University,"High School: Frederick in Frederick, Maryland","Draft: New Orleans Jazz, 9th round (10th pick, 154th overall), 1974 NBA Draft","NBA Debut: October 19, 1974",Career Length: 1 year,,,Ken Boyd,,,
Earl Boykins,Position: Point Guard and Shooting Guard ? Shoots: Right,"5-5, 135lb (165cm, 61kg)","Born: June 2, 1976 (Age: 47-139d) in Cleveland, Ohio us",College: Eastern Michigan,"High School: Central Catholic in Cleveland, Ohio","NBA Debut: February 7, 1999",Career Length: 13 years,,,,,,,
Harry Boykoff,"(Big Hesh, Heshie, Big Boy)",Position: Center ? Shoots: Right,"6-10, 225lb (208cm, 102kg)","Born: July 24, 1922 in Brooklyn, New York us","Died: February 20, 2001 (Aged 78-211d)",College: St. John's,"High School: Thomas Jefferson in Brooklyn, New York","NBA Debut: November 2, 1949",Career Length: 2 years,,Harry J. Boykoff,,,
Winford Boynes,(Winnie),Position: Shooting Guard ? Shoots: Right,"6-6, 185lb (198cm, 83kg)","Born: May 17, 1957 (Age: 66-155d) in Greenville, South Carolina us",College: San Francisco,"High School: Capitol Hill in Oklahoma City, Oklahoma","Draft: New Jersey Nets, 1st round (13th pick, 13th overall), 1978 NBA Draft","NBA Debut: October 13, 1978",Career Length: 3 years,,Winford Gladstone Boynes III,,,
Cedric Bozeman,(Ced),Position: Shooting Guard ? Shoots: Right,"6-6, 207lb (198cm, 93kg)","Born: March 7, 1983 (Age: 40-226d) in Los Angeles, California us",College: UCLA,"High School: Mater Dei in Santa Ana, California",Recruiting Rank: 2001 (19),"NBA Debut: November 1, 2006",Career Length: 1 year,,Cedric R. Bozeman,,,
Steve Bracey,Position: Point Guard and Shooting Guard ? Shoots: Right,"6-1, 175lb (185cm, 79kg)","Born: August 1, 1950 in Brooklyn, New York us","Died: February 14, 2006 (Aged 55-197d)",College: Tulsa,,,,,,Stephen Henry Bracey,,,
Craig Brackins,Position: Power Forward ? Shoots: Right,"6-10, 230lb (208cm, 104kg)","Born: October 9, 1987 (Age: 36-010d) in Los Angeles, California us",College: Iowa State,"High School: Brewster Academy in Wolfeboro, New Hampshire",Recruiting Rank: 2007 (51),"Draft: Oklahoma City Thunder, 1st round (21st pick, 21st overall), 2010 NBA Draft","NBA Debut: November 24, 2010",Career Length: 2 years,,,,,
Gary Bradds,(Tex),Position: Power Forward and Small Forward ? Shoots: Right,"6-8, 210lb (203cm, 95kg)","Born: July 26, 1942 in Jamestown, Ohio us","Died: July 15, 1983 (Aged 40-354d)",,,,,,Gary Lee Bradds,,,
Alex Bradley,Position: Small Forward ? Shoots: Right,"6-6, 215lb (198cm, 97kg)","Born: October 30, 1959 (Age: 63-354d) in Bradenton, Florida us",College: Villanova,"High School: Long Branch in Long Branch, New Jersey","Draft: New York Knicks, 4th round (17th pick, 86th overall), 1981 NBA Draft","NBA Debut: November 3, 1981",Career Length: 1 year,,,Alex Bradley III,,,
Alonzo Bradley,Position: Small Forward ? Shoots: Right,"6-6, 190lb (198cm, 86kg)","Born: October 16, 1953 (Age: 70-003d) in Utica, Mississippi us",College: Texas Southern,"High School: Hinds County Agricultural in Utica, Mississippi","Draft: Indiana Pacers, 2nd round (7th pick, 29th overall), 1977 NBA Draft","NBA Debut: December 26, 1977",Career Length: 3 years,,,Alonzo Bradley,,,
Avery Bradley,"(Spiderman, Poison)",Position: Shooting Guard and Point Guard ? Shoots: Right,"6-3, 180lb (190cm, 81kg)","Born: November 26, 1990 (Age: 32-327d) in Tacoma, Washington us",College: Texas,,,,,,,,,
Bill Bradley,"(Dollar Bill, The Secretary of State, Mr. President, The White O)",Position: Small Forward ? Shoots: Right,"6-5, 205lb (196cm, 92kg)","Born: July 28, 1943 (Age: 80-083d) in Crystal City, Missouri us",College: Princeton,,,,,,,,,
Charles Bradley,Position: Shooting Guard ? Shoots: Right,"6-5, 215lb (196cm, 97kg)","Born: May 16, 1959 (Age: 64-156d) in Havre De Grace, Maryland us",Relatives: Brother Dudley Bradley,College: Wyoming,"High School: Edgewood in Edgewood, Maryland","Draft: Boston Celtics, 1st round (23rd pick, 23rd overall), 1981 NBA Draft","NBA Debut: October 30, 1981",Career Length: 3 years,,Charles Warnell Bradley,,,
Dudley Bradley,(Secretary of Defense),Position: Shooting Guard ? Shoots: Right,"6-6, 195lb (198cm, 88kg)","Born: March 19, 1957 (Age: 66-214d) in Baltimore, Maryland us",Relatives: Brother Charles Bradley,,,,,,Dudley Leroy Bradley,,,
Jim Bradley,Position: Power Forward and Small Forward ? Shoots: Right,"6-8, 215lb (203cm, 97kg)","Born: March 16, 1952 in East Chicago, Indiana us","Died: February 20, 1982 (Aged 29-341d)",College: Northern Illinois,,,,,,James Arthur Bradley,,,
Joe Bradley,Position: Guard ? Shoots: Right,"6-3, 175lb (190cm, 79kg)","Born: September 24, 1928 in Washington, Oklahoma us","Died: June 5, 1987 (Aged 58-254d)",College: Oklahoma State,"High School: Cowden in Cowden, Oklahoma","NBA Debut: November 1, 1949",Career Length: 1 year,,,Joseph L. Bradley,,,
Michael Bradley,Position: Power Forward and Center ? Shoots: Right,"6-10, 245lb (208cm, 111kg)","Born: April 18, 1979 (Age: 44-184d) in Worcester, Massachusetts us","Colleges: Kentucky, Villanova","High School: Burncoat in Worcester, Massachusetts","Draft: Toronto Raptors, 1st round (17th pick, 17th overall), 2001 NBA Draft","NBA Debut: October 30, 2001",Career Length: 5 years,,,Michael Thomas Bradley,,,
Shawn Bradley,(The Stormin' Mormon),Position: Center ? Shoots: Right,"7-6, 235lb (229cm, 106kg)","Born: March 22, 1972 (Age: 51-211d) in Landstuhl, Germany de",College: BYU,,,,,,,,,
Tony Bradley,Position: Center ? Shoots: Right,"6-10, 248lb (208cm, 112kg)","Born: January 8, 1998 (Age: 25-284d) in Bartow, Florida us",College: UNC,"High School: Bartow in Bartow, Florida",Recruiting Rank: 2016 (19),"Draft: Los Angeles Lakers, 1st round (28th pick, 28th overall), 2017 NBA Draft","NBA Debut: November 5, 2017",Experience: 6 years,,,,,
Mark Bradtke,Mark Robert Bradtke,(Hoges),Position: Center ? Shoots: Right,"6-10, 265lb (208cm, 120kg)","Born: September 27, 1968 (Age: 55-022d) in Adelaide, Australia au","High School: Redcliffe in Redcliffe, Australia","NBA Debut: November 9, 1996",Career Length: 1 year,,,Pronunciation: \BRAD-kee\,,,
Marques Bragg,Position: Power Forward ? Shoots: Right,"6-8, 230lb (203cm, 104kg)","Born: March 24, 1970 (Age: 53-209d) in East Orange, New Jersey us",College: Providence,"High School: Clifford J. Scott in East Orange, New Jersey","NBA Debut: November 3, 1995",Career Length: 1 year,,,,Marques Bragg,,,
Torraye Braggs,Position: Power Forward ? Shoots: Right,"6-8, 245lb (203cm, 111kg)","Born: May 15, 1976 (Age: 47-157d) in Fresno, California us",College: Xavier,"High School: Edison in Fresno, California","Draft: Utah Jazz, 2nd round (28th pick, 57th overall), 1998 NBA Draft","NBA Debut: October 30, 2003",Career Length: 2 years,,,Torraye Braggs,,,
A.J. Bramlett,Position: Center ? Shoots: Right,"6-10, 227lb (208cm, 102kg)","Born: January 10, 1977 (Age: 46-282d) in Dekalb, Illinois us",College: Arizona,"High School: La Cueva in Albuquerque, New Mexico","Draft: Cleveland Cavaliers, 2nd round (10th pick, 39th overall), 1999 NBA Draft","NBA Debut: December 7, 1999",Career Length: 1 year,,,Aaron Jordan Bramlett,,,
Adrian Branch,Position: Small Forward ? Shoots: Right,"6-7, 185lb (201cm, 83kg)","Born: November 17, 1963 (Age: 59-336d) in Washington, District of Columbia us",College: Maryland,"High School: DeMatha Catholic in Hyattsville, Maryland","Draft: Chicago Bulls, 2nd round (22nd pick, 46th overall), 1985 NBA Draft","NBA Debut: November 4, 1986",Career Length: 4 years,,,Adrian Francis Branch,,,
Elton Brand,"(E.B., Old School Chevy, Horse, Slant, Chief Beef)",Position: Power Forward and Center ? Shoots: Right,"6-9, 275lb (206cm, 124kg)","Born: March 11, 1979 (Age: 44-222d) in Cortlandt Manor, New York us",College: Duke,,,,,,,,,
Terrell Brandon,(Tee Bee),Position: Point Guard ? Shoots: Right,"5-11, 180lb (180cm, 81kg)","Born: May 20, 1970 (Age: 53-152d) in Portland, Oregon us",College: Oregon,,,,,,,,,
Malaki Branham,Malaki Lamar Branham ? Twitter: MalakiBranham ? Instagram: malakibranham_,Position: Shooting Guard ? Shoots: Right,"6-5, 180lb (196cm, 81kg)","Born: May 12, 2003 (Age: 20-160d) in Columbus, Ohio us",College: Ohio State,,,,,,,,,
Bob Brannum,"(Beeb, The Tank)",Position: Power Forward ? Shoots: Right,"6-5, 215lb (196cm, 97kg)","Born: May 28, 1926 in Winfield, Kansas us","Died: February 5, 2005 (Aged 78-253d)","Colleges: Kentucky, Michigan State","High School: Winfield in Winfield, Kansas","NBA Debut: November 1, 1949",Career Length: 5 years,,Robert Warren Brannum,,,
Brad Branson,Position: Power Forward ? Shoots: Right,"6-10, 220lb (208cm, 99kg)","Born: September 24, 1958 (Age: 65-025d) in Harvey, Illinois us",College: SMU,"High School: North in Fort Myers, Florida","Draft: Detroit Pistons, 2nd round (22nd pick, 45th overall), 1980 NBA Draft","NBA Debut: March 31, 1982",Career Length: 2 years,,,Bradley Alexander Branson,,,
Jesse Branson,(Jess),Position: Small Forward ? Shoots: Right,"6-7, 195lb (201cm, 88kg)","Born: January 7, 1942 in Burlington, North Carolina us","Died: November 2, 2014 (Aged 72-299d)",,,,,,Herman Jesse Branson,,,
Jarrell Brantley,Jarrell Isaiah Brantley ? Twitter: jstuntbrantley ? Instagram: jstuntbrantley,Position: Power Forward ? Shoots: Right,"6-5, 250lb (196cm, 113kg)","Born: June 7, 1996 (Age: 27-134d) in Charleston, South Carolina us",College: College of Charleston,"High School: Notre Dame Prep in Fitchburg, Massachusetts","Draft: Indiana Pacers, 2nd round (20th pick, 50th overall), 2019 NBA Draft","NBA Debut: October 25, 2019",Experience: 3 years,,,,,
Jim Brasco,Position: Guard ? Shoots: Right,"6-1, 170lb (185cm, 77kg)","Born: February 3, 1931 in Brooklyn, New York us","Died: March 21, 2014 (Aged 83-046d)",College: NYU,"High School: Abraham Lincoln in Brooklyn, New York","Draft: Syracuse Nationals, 2nd round, 1952 NBA Draft","NBA Debut: November 1, 1952",Career Length: 1 year,,James J. Brasco,,,
Mike Bratz,Michael Louis Bratz,Position: Point Guard ? Shoots: Right,"6-2, 185lb (188cm, 83kg)","Born: October 17, 1955 (Age: 68-002d) in Lompoc, California us",College: Stanford,"High School: Lompoc in Lompoc, California","Draft: Phoenix Suns, 3rd round (22nd pick, 66th overall), 1977 NBA Draft","NBA Debut: October 18, 1977",Career Length: 9 years,,Pronunciation: \Brahtz\,,,
Carl Braun,Position: Point Guard and Shooting Guard ? Shoots: Right,"6-5, 180lb (196cm, 81kg)","Born: September 25, 1927 in Brooklyn, New York us","Died: February 10, 2010 (Aged 82-138d)",College: Colgate,,,,,,,,,
Christian Braun,Christian Nicholas Braun ? Twitter: Ballin25Braun ? Instagram: christianxbraun,Position: Shooting Guard ? Shoots: Right,"6-7, 218lb (201cm, 98kg)","Born: April 17, 2001 (Age: 22-185d) in Burlington, Kansas us",College: Kansas,,,,,,,,,
Ignas Brazdeikis,Ignas Brazdeikis ? Twitter: _iggy_braz ? Instagram: _iggy_braz_,(Iggy),Position: Small Forward ? Shoots: Left,"6-6, 221lb (198cm, 100kg)","Born: January 8, 1999 (Age: 24-284d) in Kaunas, Lithuania lt",,,,,,,,,
Tim Breaux,Position: Small Forward ? Shoots: Right,"6-7, 215lb (201cm, 97kg)","Born: September 19, 1970 (Age: 53-030d) in Baton Rouge, Louisiana us",College: Wyoming,"High School: Zachary in Zachary, Louisiana","NBA Debut: November 5, 1994",Career Length: 3 years,,,,Timothy Breaux,,,
J.R. Bremer,Position: Point Guard ? Shoots: Left,"6-2, 185lb (188cm, 83kg)","Born: September 19, 1980 (Age: 43-030d) in Cleveland, Ohio us",College: St. Bonaventure,"High School: Cleveland Heights in Cleveland Heights, Ohio","NBA Debut: October 31, 2002",Career Length: 2 years,,,,Ernest Bremer Jr.,,,
Pete Brennan,Position: Forward ? Shoots: Right,"6-6, 205lb (198cm, 92kg)","Born: September 23, 1936 in Brooklyn, New York us","Died: June 8, 2012 (Aged 75-259d)",College: UNC,"High School: Saint Augustine in Brooklyn, New York","Draft: New York Knicks, 1st round (4th pick, 4th overall), 1958 NBA Draft","NBA Debut: October 26, 1958",Career Length: 1 year,,Peter Joseph Brennan,,,
Tom Brennan,Position: Small Forward ? Shoots: Right,"6-3, 195lb (190cm, 88kg)","Born: August 6, 1930 in Brooklyn, New York us","Died: February 11, 1990 (Aged 59-189d)",College: Villanova,"Draft: Philadelphia Warriors, 8th round, 1952 NBA Draft","NBA Debut: November 20, 1954",Career Length: 1 year,,,Thomas F. Brennan,,,
Randy Breuer,(Brew),Position: Center ? Shoots: Right,"7-3, 230lb (221cm, 104kg)","Born: October 11, 1960 (Age: 63-008d) in Lake City, Minnesota us",College: Minnesota,"High School: Lincoln in Lake City, Minnesota","Draft: Milwaukee Bucks, 1st round (18th pick, 18th overall), 1983 NBA Draft","NBA Debut: October 28, 1983",Career Length: 11 years,,Randall W. Breuer,,,
Corey Brewer,"(The Drunken Dribbler, Greyhound)","Position: Small Forward, Shooting Guard, and Power Forward ? Shoots: Right","6-9, 186lb (206cm, 84kg)","Born: March 5, 1986 (Age: 37-228d) in Portland, Tennessee us",College: Florida,,,,,,,,,
Jamison Brewer,"(Shorty, Young Fella)",Position: Point Guard and Shooting Guard ? Shoots: Right,"6-4, 184lb (193cm, 83kg)","Born: November 19, 1980 (Age: 42-334d) in East Point, Georgia us",College: Auburn,,,,,,Jamison Rudy Van Brewer,,,
Jim Brewer,"(Brew, Papa)",Position: Power Forward ? Shoots: Right,"6-9, 210lb (206cm, 95kg)","Born: December 3, 1951 (Age: 71-320d) in Maywood, Illinois us",Relatives: Nephew Doc Rivers,,,,,,,,,
Ron Brewer,(Boot),Position: Shooting Guard ? Shoots: Right,"6-4, 180lb (193cm, 81kg)","Born: July 16, 1955 (Age: 68-095d) in Fort Smith, Arkansas us",Relatives: Son Ronnie Brewer,,,,,,Ronald Charles Brewer,,,
Ronnie Brewer,Position: Shooting Guard and Small Forward ? Shoots: Right,"6-7, 220lb (201cm, 99kg)","Born: March 20, 1985 (Age: 38-213d) in Portland, Oregon us",Relatives: Father Ron Brewer,College: Arkansas,,,,,,,,,
Primo? Brezec,Primo? Brezec ? Twitter: Primozbrezec,Position: Center ? Shoots: Right,"7-2, 252lb (218cm, 114kg)","Born: October 2, 1979 (Age: 44-017d) in Postojna, Slovenia si","Draft: Indiana Pacers, 1st round (27th pick, 27th overall), 2000 NBA Draft","NBA Debut: November 4, 2001",Career Length: 8 years,,,,Pronunciation: \PREE-mohsh BREHZ-its\,,,
Frankie Brian,(Flash),Position: Shooting Guard and Point Guard ? Shoots: Right,"6-1, 180lb (185cm, 81kg)","Born: May 1, 1923 in Zachary, Louisiana us","Died: May 14, 2017 (Aged 94-013d)",,,,,,Frank Sands Brian,,,
Frank Brickowski,(Brick),Position: Center and Power Forward ? Shoots: Right,"6-9, 240lb (206cm, 108kg)","Born: August 14, 1959 (Age: 64-066d) in Bayville, New York us",College: Penn State,"High School: Locust Valley in Locust Valley, New York","Draft: New York Knicks, 3rd round (11th pick, 57th overall), 1981 NBA Draft","NBA Debut: October 26, 1984",Career Length: 12 years,,Francis Anthony Brickowski,,,
Junior Bridgeman,"(J.B., The Torch)",Position: Small Forward and Shooting Guard ? Shoots: Right,"6-5, 210lb (196cm, 95kg)","Born: September 17, 1953 (Age: 70-032d) in East Chicago, Indiana us",College: Louisville,"High School: Washington in East Chicago, Indiana","Draft: Los Angeles Lakers, 1st round (8th pick, 8th overall), 1975 NBA Draft","NBA Debut: October 25, 1975",Career Length: 12 years,,,,,
Bill Bridges,(The Train),Position: Power Forward ? Shoots: Right,"6-6, 228lb (198cm, 103kg)","Born: April 4, 1939 in Hobbs, New Mexico us","Died: September 25, 2015 (Aged 76-174d)",,,,,,,,,
Mikal Bridges,Mikal Bridges ? Twitter: mikal_bridges ? Instagram: mikalbridges,"(The Warden, Noodles, Inspector Go Go Gadget, String Bean, Brittle, Praying Mantis, Brooklyn Bridges)",Position: Small Forward and Shooting Guard ? Shoots: Right,"6-6, 209lb (198cm, 94kg)","Born: August 30, 1996 (Age: 27-050d) in Philadelphia, Pennsylvania us",,,,,,,,,
Miles Bridges,Position: Small Forward and Power Forward ? Shoots: Left,"6-6, 225lb (198cm, 102kg)","Born: March 21, 1998 (Age: 25-212d) in Flint, Michigan us",College: Michigan State,"High School: Huntington Prep in Huntington, West Virginia",Recruiting Rank: 2016 (10),"Draft: Los Angeles Clippers, 1st round (12th pick, 12th overall), 2018 NBA Draft","NBA Debut: October 17, 2018",Experience: 4 years,,,,,
Al Brightman,Position: Forward ? Shoots: Right,"6-2, 195lb (188cm, 88kg)","Born: September 22, 1923 in Eureka, California us","Died: June 10, 1992 (Aged 68-262d)",College: University of Charleston,"High School: Wilson in Long Beach, California",Career Length: 1 year,,,,Horace Albert Brightman,,,
Amida Brimah,Position: Center ? Shoots: Right,"6-10, 230lb (208cm, 104kg)","Born: February 11, 1994 (Age: 29-250d) in Accra, Ghana gh",College: UConn,"High School: Archbishop Coleman Carroll in Miami, Florida","NBA Debut: April 25, 2021",Experience: 1 year,,,,,,,
Aud Brindley,Position: Forward ? Shoots: Right,"6-4, 175lb (193cm, 79kg)","Born: December 31, 1923 in Mineola, New York us","Died: November 19, 1958 (Aged 34-323d)",College: Dartmouth College,"High School: Rockville Centre in Rockville Centre, New York","NBA Debut: February 19, 1947",Career Length: 1 year,,,Audley Brindley,,,
Isaiah Briscoe,(Boogie),Position: Point Guard ? Shoots: Right,"6-3, 215lb (190cm, 97kg)","Born: April 13, 1996 (Age: 27-189d) in Newark, New Jersey us",Relatives: Cousin Kyrie Irving,,,,,,,,,
