Player,championship_x,SUMMARY,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS,championship_y
Walter Davis,"6x All Star
2x All-NBA
1977-78 All-Rookie
1977-78 ROY",Career,1033,18.9,3,3.8,51.1,27.2,85.1,51.6,19.1,76.9,
Walt Frazier,"Hall of Fame
7x All Star
2x NBA Champ
6x All-NBA
1967-68 All-Rookie
7x All-Defensive
1974-75 AS MVP
NBA 75th Anniv. Team",Career,825,18.9,5.9,6.1,49,0,78.6,49,19.1,113.5,
Spencer Haywood,"Hall of Fame
5x All Star
1980 NBA Champ
4x All-NBA
1969-70 All-ABA
1969-70 All-Rookie
1969-70 AS MVP
1969-70 MVP
1969-70 ROY
ABA All-Time Team",Career,844,20.3,10.3,1.8,46.9,5.3,79.6,46.9,19.1,78.5,
Bailey Howell,"Hall of Fame
6x All Star
2x NBA Champ
1962-63 All-NBA",Career,950,18.7,9.9,2,48,,76.2,,19.1,114.8,
Shawn Kemp,"6x All Star
3x All-NBA",Career,1051,14.6,8.4,1.6,48.8,27.7,74.1,49,19.1,89.5,
David Lee,"2x All Star
2015 NBA Champ
2012-13 All-NBA",Career,829,13.5,8.8,2.2,53.5,3.4,77.2,53.6,19.1,76,
Ben Simmons,"3x All Star
2019-20 STL Champ
2019-20 All-NBA
2017-18 All-Rookie
2017-18 ROY
2x All-Defensive",Career,317,14.7,7.8,7.5,56,13.9,59.1,56.1,19.1,32.6,
Kemba Walker,"4x All Star
2018-19 All-NBA",Career,750,19.3,3.8,5.3,41.8,36,84,48.8,19.1,59.8,
Shareef Abdur-Rahim,"1x All Star
1996-97 All-Rookie",Career,830,18.1,7.5,2.5,47.2,29.7,81,47.9,19,71.2,0
Mark Aguirre,"3x All Star
2x NBA Champ",Career,923,20,5,3.1,48.4,31.2,74.1,49.8,19,67.8,2
DeMar DeRozan,"6x All Star
3x All-NBA",Career,1031,21,4.4,4,46.8,29.1,84,48.2,19,92.2,
Grant Hill,"Hall of Fame
7x All Star
5x All-NBA
1994-95 All-Rookie
1994-95 ROY",Career,1026,16.7,6,4.1,48.3,31.4,76.9,49.2,19,99.9,
John Wall,"5x All Star
2016-17 All-NBA
2010-11 All-Rookie
2014-15 All-Defensive",Career,647,18.7,4.2,8.9,43,32.2,77.6,46.2,19,44.5,
Brad Daugherty,"5x All Star
1991-92 All-NBA
1986-87 All-Rookie",Career,548,19,9.5,3.7,53.2,14.3,74.7,53.2,18.9,65.2,
Larry Jones,"4x All Star
3x All-ABA",Career,551,19.1,4.9,3.7,45.3,27.7,79.3,46.3,18.9,56.4,
Jerry Lucas,"Hall of Fame
7x All Star
1973 NBA Champ
5x All-NBA
1963-64 All-Rookie
1963-64 ROY
1964-65 AS MVP
NBA 75th Anniv. Team",Career,829,17,15.6,3.3,49.9,,78.3,,18.9,98.4,
Gary Payton,"Hall of Fame
9x All Star
1995-96 STL Champ
2006 NBA Champ
9x All-NBA
1990-91 All-Rookie
9x All-Defensive
1995-96 Def. POY
NBA 75th Anniv. Team",Career,1335,16.3,3.9,6.7,46.6,31.7,72.9,49.6,18.9,145.5,
Bill Russell,"Hall of Fame
12x All Star
4x TRB Champ
11x NBA Champ
11x All-NBA
5x MVP
1962-63 AS MVP
1968-69 All-Defensive
NBA 75th Anniv. Team",Career,963,15.1,22.5,4.3,44,,56.1,,18.9,163.5,
Chauncey Billups,"5x All Star
2004 NBA Champ
3x All-NBA
2003-04 Finals MVP
2x All-Defensive",Career,1043,15.2,2.9,5.4,41.5,38.7,89.4,49.5,18.8,120.8,
Gary Bradds,1969 ABA Champ,Career,254,12.2,5.5,0.9,47.5,5.6,79.8,47.5,18.8,15.8,
Derrick Favors,2010-11 All-Rookie,Career,790,10.6,7.1,1.1,53.4,19.8,66.3,53.7,18.8,60.2,
World B. Free,"1x All Star
1978-79 All-NBA",Career,886,20.3,2.7,3.7,45.6,33.7,75.3,46.3,18.8,67.7,
Shawn Marion,"4x All Star
2011 NBA Champ
2x All-NBA
1999-00 All-Rookie",Career,1163,15.2,8.7,1.9,48.4,33.1,81,51,18.8,124.9,
Chris Mullin,"Hall of Fame
5x All Star
4x All-NBA",Career,986,18.2,4.1,3.5,50.9,38.4,86.5,54,18.8,93.1,
Zelmo Beaty,"Hall of Fame
5x All Star
1971 ABA Champ
1962-63 All-Rookie
2x All-ABA
ABA All-Time Team",Career,889,17.1,10.9,1.5,49.4,15.4,77.1,49.4,18.7,106,
Sam Jones,"Hall of Fame
5x All Star
10x NBA Champ
3x All-NBA
NBA 75th Anniv. Team",Career,871,17.7,4.9,2.5,45.6,,80.3,,18.7,92.3,
Andrei Kirilenko,"1x All Star
2004-05 BLK Champ
2001-02 All-Rookie
3x All-Defensive",Career,797,11.8,5.5,2.7,47.4,31,75.4,50.2,18.7,75.4,
Stephon Marbury,"2x All Star
2x All-NBA
1996-97 All-Rookie",Career,846,19.3,3,7.6,43.3,32.5,78.4,47,18.7,77.5,
Vern Mikkelsen,"Hall of Fame
6x All Star
4x NBA Champ
4x All-NBA",Career,699,14.4,9.4,2.2,40.3,,76.6,,18.7,83.4,
Paul Millsap,"4x All Star
2006-07 All-Rookie
2015-16 All-Defensive",Career,1085,13.4,7.1,2.2,48.9,34.1,73.6,51.3,18.7,95.4,
Sidney Moncrief,"Hall of Fame
5x All Star
5x All-NBA
5x All-Defensive
2x Def. POY",Career,767,15.6,4.7,3.6,50.2,28.4,83.1,50.9,18.7,90.3,
Jeff Ruland,"2x All Star
1981-82 All-Rookie",Career,332,17.4,10.2,3,56.4,15.8,71.8,56.4,18.7,34.3,
Ray Allen,"Hall of Fame
10x All Star
2x NBA Champ
2x All-NBA
1996-97 All-Rookie
NBA 75th Anniv. Team",Career,1300,18.9,4.1,3.4,45.2,40,89.4,53,18.6,145.1,2
LaMelo Ball,"1x All Star
2020-21 ROY
2020-21 All-Rookie",Career,162,19.4,6.4,7.3,42.6,37.7,82.8,51.2,18.6,10.5,
Vince Carter,"8x All Star
2x All-NBA
1998-99 All-Rookie
1998-99 ROY",Career,1541,16.7,4.3,3.1,43.5,37.1,79.8,48.9,18.6,125.3,
Tim Hardaway,"Hall of Fame
5x All Star
5x All-NBA
1989-90 All-Rookie",Career,867,17.7,3.3,8.2,43.1,35.5,78.2,49,18.6,85,
Scottie Pippen,"Hall of Fame
7x All Star
1994-95 STL Champ
6x NBA Champ
7x All-NBA
10x All-Defensive
1993-94 AS MVP
NBA 75th Anniv. Team",Career,1178,16.1,6.4,5.2,47.3,32.6,70.4,50.4,18.6,125.1,
Willis Reed,"Hall of Fame
7x All Star
2x NBA Champ
5x All-NBA
1964-65 All-Rookie
1964-65 ROY
1969-70 All-Defensive
1969-70 AS MVP
2x Finals MVP
1969-70 MVP
NBA 75th Anniv. Team",Career,650,18.7,12.9,1.8,47.6,,74.7,,18.6,74.9,
Skip Thoren,1x All Star,Career,170,13.2,11,1.9,46.5,0,61.2,46.5,18.6,13,
David West,"2x All Star
2x NBA Champ",Career,1034,13.6,6.4,2.2,49.5,26.5,81.7,49.8,18.6,85.9,
Zydrunas Ilgauskas,"2x All Star
1997-98 All-Rookie",Career,843,13,7.3,1.1,47.6,31,78,47.8,18.5,66.3,
Kenny Sears,2x All Star,Career,529,13.9,7.8,1.6,45.5,,82.6,,18.5,55.8,
Gus Williams,"2x All Star
1979 NBA Champ
2x All-NBA
1975-76 All-Rookie",Career,825,17.1,2.7,5.6,46.1,23.8,75.6,46.5,18.5,67.9,
Bradley Beal,"3x All Star
2020-21 All-NBA
2012-13 All-Rookie",Career,695,22.1,4.1,4.3,46,37.2,82.3,52.2,18.4,52.2,
Devin Booker,"3x All Star
2021-22 All-NBA
2015-16 All-Rookie",Career,530,23.9,4,4.8,46.1,35.6,86.8,51.7,18.4,35.9,
DeAndre Jordan,"1x All Star
2x TRB Champ
2023 NBA Champ
3x All-NBA
2x All-Defensive",Career,1019,9,10.2,0.9,67.5,15.4,47.5,67.5,18.4,95.8,
Pete Maravich,"Hall of Fame
5x All Star
1976-77 Scoring Champ
4x All-NBA
1970-71 All-Rookie
NBA 75th Anniv. Team",Career,658,24.2,4.2,5.4,44.1,66.7,82,44.1,18.4,46.7,
Reggie Miller,"Hall of Fame
5x All Star
3x All-NBA
NBA 75th Anniv. Team",Career,1389,18.2,3,3,47.1,39.5,88.8,54.4,18.4,174.4,
Roy Tarpley,"1986-87 All-Rookie
1987-88 Sixth Man",Career,280,12.6,10,1,48.3,17.6,74.4,48.4,18.4,19.8,
Kiki Vandeweghe,2x All Star,Career,810,19.7,3.4,2.1,52.5,36.8,87.2,53.4,18.4,75.6,
Alvan Adams,"1x All Star
1975-76 All-Rookie
1975-76 ROY",Career,988,14.1,7,4.1,49.8,13.3,78.8,49.8,18.3,73.5,0
Terry Cummings,"2x All Star
2x All-NBA
1982-83 All-Rookie
1982-83 ROY",Career,1183,16.4,7.3,1.9,48.4,29.5,70.6,48.5,18.3,91.1,
De'Aaron Fox,"1x All Star
2022-23 All-NBA",Career,395,20.2,3.7,6.2,47.2,32.1,73.6,51.1,18.3,23.1,
Steve Francis,"3x All Star
1999-00 All-Rookie
1999-00 ROY",Career,576,18.1,5.6,6,42.9,34.1,79.7,46.3,18.3,54.1,
Michael Porter Jr.,2023 NBA Champ,Career,187,15.2,5.9,1.1,50.6,41.7,79.7,60.8,18.3,13.9,
Bill Sharman,"Hall of Fame
8x All Star
4x NBA Champ
7x All-NBA
1954-55 AS MVP
NBA 75th Anniv. Team",Career,711,17.8,3.9,3,42.6,,88.3,,18.3,82.8,
Donnie Freeman,"5x All Star
1973 ABA Champ
4x All-ABA
ABA All-Time Team",Career,648,18.9,3.5,3.5,45.6,15.1,80,45.7,18.2,58,
Al Horford,"5x All Star
2010-11 All-NBA
2007-08 All-Rookie
2017-18 All-Defensive",Career,1013,13.4,8.1,3.3,51.3,37.4,75.9,54.7,18.2,106.6,
Billy Knight,"3x All Star
1974-75 All-Rookie
1975-76 All-ABA",Career,821,16.9,5.3,2.3,50.7,28.4,82.7,50.9,18.2,63.9,
Tony Parker,"6x All Star
4x NBA Champ
4x All-NBA
2001-02 All-Rookie
2006-07 Finals MVP",Career,1254,15.5,2.7,5.6,49.1,32.4,75.1,50.8,18.2,111.3,
Deron Williams,"3x All Star
2x All-NBA
2005-06 All-Rookie",Career,845,16.3,3.1,8.1,44.5,35.7,82.2,49.8,18.2,77.3,
Marvin Barnes,"2x All Star
1974-75 All-ABA
1974-75 All-Rookie
1974-75 ROY
ABA All-Time Team",Career,315,16,9.1,2.1,48.1,21.4,69.1,48.1,18.1,20.6,
Bob Davies,"Hall of Fame
4x All Star
1948-49 AST Champ
1951 NBA Champ
5x All-BAA/NBA",Career,462,14.3,2.9,4.9,37.8,,75.9,,18.1,49.7,
Antawn Jamison,"2x All Star
1998-99 All-Rookie
2003-04 Sixth Man",Career,1083,18.5,7.5,1.6,45.1,34.6,72.4,48.5,18.1,87.8,
Gheorghe Mure?an,1995-96 Most Improved,Career,307,9.8,6.4,0.5,57.3,0,64.4,57.3,18.1,19,
Julius Randle,"2x All Star
2x All-NBA
2020-21 Most Improved",Career,595,18.7,9.4,3.6,47,33.6,74.5,50.9,18.1,39.5,
Derrick Rose,"3x All Star
2010-11 All-NBA
2008-09 All-Rookie
2008-09 ROY
2010-11 MVP",Career,699,17.7,3.3,5.3,45.6,31.5,83.1,48.3,18.1,44.2,
Pascal Siakam,"2x All Star
2019 NBA Champ
2x All-NBA
2018-19 Most Improved",Career,471,17,6.5,3.5,48.7,32.7,77.4,52.6,18.1,41,
Isiah Thomas,"Hall of Fame
12x All Star
1984-85 AST Champ
2x NBA Champ
5x All-NBA
1981-82 All-Rookie
2x AS MVP
1989-90 Finals MVP
NBA 75th Anniv. Team",Career,979,19.2,3.6,9.3,45.2,29,75.9,46.5,18.1,80.7,
Willie Wise,"3x All Star
1971 ABA Champ
1969-70 All-Rookie
2x All-ABA
2x All-Defensive
ABA All-Time Team",Career,552,17.6,8.3,2.9,47.5,21.9,72.4,47.7,18.1,48.7,
Tiny Archibald,"Hall of Fame
6x All Star
1972-73 Scoring Champ
1972-73 AST Champ
1981 NBA Champ
5x All-NBA
1980-81 AS MVP
NBA 75th Anniv. Team",Career,876,18.8,2.3,7.4,46.7,22.4,81,46.8,18,83.4,1
Derrick Coleman,"1x All Star
2x All-NBA
1990-91 All-Rookie
1990-91 ROY",Career,781,16.5,9.3,2.5,44.7,29.5,76.9,46.2,18,64.3,
Marc Gasol,"3x All Star
2019 NBA Champ
2x All-NBA
2008-09 All-Rookie
2012-13 All-Defensive
2012-13 Def. POY",Career,891,14,7.4,3.4,48.1,36,77.6,50.3,18,85.3,
Calvin Murphy,"Hall of Fame
1x All Star
1970-71 All-Rookie",Career,1002,17.9,2.1,4.4,48.2,13.9,89.2,48.3,18,84.1,
Red Robbins,"4x All Star
1971 ABA Champ
2x All-ABA",Career,586,13.1,10.5,1.7,46.6,30.5,81.8,47.1,18,50.4,
Willie Somerset,1x All Star,Career,143,21.9,4.6,3.6,42.5,28,80.8,43.9,18,14.8,
Rod Strickland,"1997-98 AST Champ
1997-98 All-NBA
1988-89 All-Rookie",Career,1094,13.2,3.7,7.3,45.4,28.2,72.1,46.2,18,85.8,
Lou Williams,3x Sixth Man,Career,1123,13.9,2.2,3.4,41.9,35.1,84.2,47.9,18,65.7,
Tom Heinsohn,"Hall of Fame
6x All Star
8x NBA Champ
4x All-NBA
1956-57 ROY",Career,654,18.6,8.8,2,40.5,,79,,17.9,60,
Jaren Jackson Jr.,"1x All Star
2x BLK Champ
2018-19 All-Rookie
2x All-Defensive
2022-23 Def. POY",Career,267,16.4,5.5,1.1,46.6,35.2,79,53.2,17.9,19.4,
Jason Kidd,"Hall of Fame
10x All Star
5x AST Champ
2011 NBA Champ
6x All-NBA
1994-95 All-Rookie
1994-95 ROY
9x All-Defensive
NBA 75th Anniv. Team",Career,1391,12.6,6.3,8.7,40,34.9,78.5,46.4,17.9,138.6,
Calvin Natt,"1x All Star
1979-80 All-Rookie",Career,599,17.2,6.8,2.2,52.8,21.9,76.8,52.9,17.9,57.2,
Jermaine O'Neal,"6x All Star
3x All-NBA
2001-02 Most Improved",Career,1011,13.2,7.2,1.4,46.7,14.7,71.5,46.7,17.9,66,
Dan Roundfield,"3x All Star
1979-80 All-NBA
5x All-Defensive",Career,813,14.3,9.2,2,48.2,11.1,73.5,48.3,17.9,66.5,
Rik Smits,"1x All Star
1988-89 All-Rookie",Career,867,14.8,6.1,1.4,50.7,11.5,77.3,50.7,17.9,56.6,
Tiago Splitter,2014 NBA Champ,Career,355,7.9,5,1.2,55.5,14.3,69.7,55.6,17.9,25.3,
Micheal Williams,"1989 NBA Champ
1991-92 All-Defensive",Career,413,11,2.5,5.8,46.4,22.7,86.8,47.1,17.9,28.5,
Marcus Camby,"4x BLK Champ
1996-97 All-Rookie
4x All-Defensive
2006-07 Def. POY",Career,973,9.5,9.8,1.9,46.6,20.5,67,46.8,17.8,81.6,
Baron Davis,"2x All Star
2x STL Champ
2003-04 All-NBA",Career,835,16.1,3.8,7.2,40.9,32,71.1,46.5,17.8,63.1,
Fat Lever,"2x All Star
1986-87 All-NBA
1987-88 All-Defensive",Career,752,13.9,6,6.2,44.7,31,77.1,45.5,17.8,61.2,
Kyle Lowry,"6x All Star
2019 NBA Champ
2015-16 All-NBA",Career,1078,14.6,4.4,6.3,42.4,36.7,81.5,51.1,17.8,108.1,
Mason Plumlee,2013-14 All-Rookie,Career,740,8.6,6.9,2.5,59.5,4.9,56.7,59.5,17.8,52.1,
Jack Twyman,"Hall of Fame
6x All Star
2x All-NBA",Career,823,19.2,6.6,2.3,45,,77.8,,17.8,75,
Fred Brown,"1x All Star
1979 NBA Champ",Career,963,14.6,2.7,3.3,47.8,37.3,85.8,48.2,17.7,63.2,
Vlade Divac,"Hall of Fame
1x All Star
1989-90 All-Rookie",Career,1134,11.8,8.2,3.1,49.5,23.5,69.2,50,17.7,96.4,
Elvin Hayes,"Hall of Fame
12x All Star
1968-69 Scoring Champ
2x TRB Champ
1978 NBA Champ
6x All-NBA
1968-69 All-Rookie
2x All-Defensive
NBA 75th Anniv. Team",Career,1303,21,12.5,1.8,45.2,14.7,67,45.2,17.7,120.8,
Jeff Hornacek,1x All Star,Career,1077,14.5,3.4,4.9,49.6,40.3,87.7,53,17.7,108.9,
Ricky Pierce,"1x All Star
2x Sixth Man",Career,969,14.9,2.4,1.9,49.3,32.2,87.5,50.7,17.7,72.2,
Chuck Share,1958 NBA Champ,Career,596,8.3,8.4,1.4,40,,69.3,,17.7,42,
James Worthy,"Hall of Fame
7x All Star
3x NBA Champ
2x All-NBA
1982-83 All-Rookie
1987-88 Finals MVP
NBA 75th Anniv. Team",Career,926,17.6,5.1,3,52.1,24.1,76.9,52.5,17.7,81.2,
Dave Bing,"Hall of Fame
7x All Star
1967-68 Scoring Champ
3x All-NBA
1966-67 All-Rookie
1966-67 ROY
1975-76 AS MVP
NBA 75th Anniv. Team",Career,901,20.3,3.8,6,44.1,,77.5,,17.6,68.8,
Chris Gatling,1x All Star,Career,700,10.3,5.3,0.7,51.3,24.9,66,51.7,17.6,32.1,
Mike Lewis,2x All Star,Career,337,12.1,11.9,3,49.8,0,73.5,49.8,17.6,24.4,
Swen Nater,"2x All Star
1979-80 TRB Champ
2x All-ABA
1973-74 All-Rookie
1973-74 ROY",Career,722,12.4,11.6,1.7,53.5,10,74.8,53.5,17.6,58.5,
Joakim Noah,"2x All Star
2013-14 All-NBA
3x All-Defensive
2013-14 Def. POY",Career,672,8.8,9,2.8,49.1,0,70,49.1,17.6,61.9,
Mitch Richmond,"Hall of Fame
6x All Star
2002 NBA Champ
5x All-NBA
1988-89 All-Rookie
1988-89 ROY
1994-95 AS MVP",Career,976,21,3.9,3.5,45.5,38.8,85,49.7,17.6,79.3,
Chet Walker,"Hall of Fame
7x All Star
1967 NBA Champ
1962-63 All-Rookie",Career,1032,18.2,7.1,2.1,47,,79.6,,17.6,117.4,
John Havlicek,"Hall of Fame
13x All Star
8x NBA Champ
11x All-NBA
1962-63 All-Rookie
8x All-Defensive
1973-74 Finals MVP
NBA 75th Anniv. Team",Career,1270,20.8,6.3,4.8,43.9,,81.5,,17.5,131.7,
Jrue Holiday,"2x All Star
2021 NBA Champ
5x All-Defensive",Career,906,16.4,4.1,6.5,46.2,36.6,78.3,51.4,17.5,63.1,
Carl Landry,2007-08 All-Rookie,Career,513,10.8,4.9,0.7,53.5,30,78.5,53.6,17.5,35.9,
Brad Miller,2x All Star,Career,868,11.2,7.1,2.8,48,33,80.4,49.4,17.5,76.5,
Flynn Robinson,"1x All Star
1972 NBA Champ",Career,543,14,2.5,3,45.6,26.7,84.6,45.7,17.5,32.6,
Glenn Robinson,"2x All Star
2005 NBA Champ
1994-95 All-Rookie",Career,688,20.7,6.1,2.7,45.9,34,82,48.5,17.5,39.8,
Bob Verga,"1x All Star
1969-70 All-ABA",Career,342,20.2,3.9,2.9,43.8,29.6,74.9,44.9,17.5,19.7,
Mack Calvin,"5x All Star
1969-70 All-Rookie
4x All-ABA
ABA All-Time Team",Career,755,16.1,2.5,4.8,44.7,24.5,86.3,45.1,17.4,60.4,
Mike Conley,"1x All Star
2012-13 All-Defensive",Career,1025,14.7,3,5.7,43.9,38.2,82,50.6,17.4,92.3,
Anfernee Hardaway,"4x All Star
3x All-NBA
1993-94 All-Rookie",Career,704,15.2,4.5,5,45.8,31.6,77.4,48.6,17.4,61.9,
Lou Hudson,"Hall of Fame
6x All Star
1969-70 All-NBA
1966-67 All-Rookie",Career,890,20.2,4.4,2.7,48.9,,79.7,,17.4,81,
Zach LaVine,"2x All Star
2014-15 All-Rookie",Career,555,20.5,4,3.9,46.5,38.4,83.3,53.5,17.4,30.8,
CJ McCollum,2015-16 Most Improved,Career,665,19.4,3.6,3.7,45.3,39.5,80.4,52.5,17.4,44.6,
Andre Miller,"2001-02 AST Champ
1999-00 All-Rookie",Career,1304,12.5,3.7,6.5,46.1,21.7,80.7,46.8,17.4,100.8,
Dejounte Murray,"1x All Star
2021-22 STL Champ
2017-18 All-Defensive",Career,394,14,5.9,5,45.8,33.5,78.4,49.3,17.4,21.1,
Bob Netolicky,"4x All Star
2x ABA Champ
1967-68 All-Rookie
1969-70 All-ABA
ABA All-Time Team",Career,618,16,8.9,1.4,49.2,19.4,66.1,49.3,17.4,48,
Dino Radja,"Hall of Fame
1993-94 All-Rookie",Career,224,16.7,8.4,1.6,49.7,0,73.5,49.7,17.4,14.3,
Josh Smith,"2004-05 All-Rookie
2009-10 All-Defensive",Career,894,14.5,7.4,3.1,45.2,28.5,63.2,47.2,17.4,51,
George Thompson,3x All Star,Career,437,18.6,3.3,3.6,46.5,26.5,76.2,47.3,17.4,30.9,
Richie Guerin,"Hall of Fame
6x All Star
3x All-NBA",Career,848,17.3,5,5,41.6,,78,,17.3,69.2,
Toni Kuko?,"Hall of Fame
3x NBA Champ
1993-94 All-Rookie
1995-96 Sixth Man",Career,846,11.6,4.2,3.7,44.7,33.5,72.9,49.2,17.3,59.6,
Jack Sikma,"Hall of Fame
7x All Star
1979 NBA Champ
1977-78 All-Rookie
1981-82 All-Defensive",Career,1107,15.6,9.8,3.2,46.4,32.8,84.9,47.1,17.3,112.5,
Bobby Wanzer,"Hall of Fame
5x All Star
1951 NBA Champ
3x All-NBA",Career,568,12.2,4.5,3.2,39.3,,80.2,,17.3,63.9,
Antonio McDyess,"1x All Star
1998-99 All-NBA
1995-96 All-Rookie",Career,1015,12,7.5,1.3,49.7,11.7,67,49.7,17.2,69.8,
Earl Monroe,"Hall of Fame
4x All Star
1973 NBA Champ
1968-69 All-NBA
1967-68 All-Rookie
1967-68 ROY
NBA 75th Anniv. Team",Career,926,18.8,3,3.9,46.4,-,80.7,46.4,17.2,77.4,
Dikembe Mutombo,"Hall of Fame
8x All Star
2x TRB Champ
3x BLK Champ
3x All-NBA
1991-92 All-Rookie
6x All-Defensive
4x Def. POY",Career,1196,9.8,10.3,1,51.8,0,68.4,51.8,17.2,117,
Terry Porter,2x All Star,Career,1274,12.2,3,5.6,46.3,38.6,83.6,51.8,17.2,110.4,
Detlef Schrempf,"3x All Star
1994-95 All-NBA
2x Sixth Man",Career,1136,13.9,6.2,3.4,49.1,38.4,80.3,51.3,17.2,109.5,
Myles Turner,"2x BLK Champ
2015-16 All-Rookie",Career,493,13.4,6.8,1.2,49.8,35.3,77.1,54.6,17.2,38.2,
Steven Adams,2013-14 All-Rookie,Career,706,9.2,8.2,1.5,58.7,6.7,53.6,58.7,17.1,59.3,
Marvin Bagley III,2018-19 All-Rookie,Career,208,13.3,7.2,0.9,50.6,29,67.8,53.1,17.1,9.3,
Tyreke Evans,"2009-10 All-Rookie
2009-10 ROY",Career,594,15.7,4.6,4.8,44,32.3,75.7,47.1,17.1,28.4,
Ray Felix,"1x All Star
1953-54 ROY",Career,637,10.9,8.9,0.7,41.2,,67.8,,17.1,39.6,
Johnny Green,4x All Star,Career,1057,11.6,8.6,1.4,49.3,,55.3,,17.1,58,
Gordon Hayward,1x All Star,Career,784,15.5,4.5,3.5,45.5,36.9,82.5,51.2,17.1,62,
Serge Ibaka,"2x BLK Champ
2019 NBA Champ
3x All-Defensive",Career,919,12,7.1,0.8,51.3,35.9,75.7,54.8,17.1,73,
Jimmy Jones,"6x All Star
1967-68 All-Rookie
3x All-ABA
ABA All-Time Team",Career,686,16.6,4.3,4.5,50.9,25,78.5,51,17.1,78.8,
Reggie Lewis,1x All Star,Career,450,17.6,4.3,2.6,48.8,20,82.4,49,17.1,38.9,
Evan Mobley,"2021-22 All-Rookie
2022-23 All-Defensive",Career,148,15.6,8.7,2.7,53.3,23.2,66.9,54.6,17.1,13.7,
Mehmet Okur,"1x All Star
2004 NBA Champ",Career,634,13.5,7,1.7,45.8,37.5,79.7,50.3,17.1,54.7,
Bobby Portis,2021 NBA Champ,Career,523,11.5,7,1.2,47.4,38.1,75.4,53,17.1,26.4,
Peja Stojakovi?,"3x All Star
2011 NBA Champ
2003-04 All-NBA",Career,804,17,4.7,1.8,45,40.1,89.5,53.2,17.1,82.6,
Eric Bledsoe,"2010-11 All-Rookie
2x All-Defensive",Career,756,13.7,3.9,4.7,45.2,33.6,78.4,50.4,17,46.1,
Malcolm Brogdon,"2016-17 All-Rookie
2016-17 ROY
2022-23 Sixth Man",Career,400,15.4,4.2,4.6,46.7,38.8,87.9,53.3,17,30,
Dave Cowens,"Hall of Fame
8x All Star
2x NBA Champ
3x All-NBA
1970-71 All-Rookie
1970-71 ROY
1972-73 AS MVP
1972-73 MVP
3x All-Defensive
NBA 75th Anniv. Team",Career,766,17.6,13.6,3.8,46,7.1,78.3,46,17,86.3,
Larry Kenon,"5x All Star
1974 ABA Champ
1973-74 All-Rookie",Career,752,17.2,8.9,2.2,48.7,14.3,78.4,48.7,17,58.5,
Emeka Okafor,"2004-05 All-Rookie
2004-05 ROY",Career,616,12,9.7,0.8,51.2,0,58.6,51.2,17,45.3,
Alvin Robertson,"4x All Star
3x STL Champ
1985-86 All-NBA
6x All-Defensive
1985-86 Def. POY
1985-86 Most Improved",Career,779,14,5.2,5,47.7,29.5,74.3,49,17,52.1,
James Silas,"2x All Star
1972-73 All-Rookie
2x All-ABA
ABA All-Time Team",Career,685,16.1,3,3.8,49.5,0,85.5,49.5,17,60.3,
Levern Tart,2x All Star,Career,274,19.4,5,3,44.5,25.3,78.4,44.7,17,19.9,
Rasheed Wallace,"4x All Star
2004 NBA Champ
1995-96 All-Rookie",Career,1109,14.4,6.7,1.8,46.7,33.6,72.1,50.7,17,105.1,
Danny Granger,"1x All Star
2005-06 All-Rookie
2008-09 Most Improved",Career,586,16.8,4.9,1.9,43.4,38,84.8,50,16.9,48.5,
Christian Laettner,"1x All Star
1992-93 All-Rookie",Career,868,12.8,6.7,2.6,48,26.1,82,48.6,16.9,64.9,
Danny Manning,"2x All Star
1997-98 Sixth Man",Career,883,14,5.2,2.3,51.1,20.6,72.9,51.3,16.9,55.1,
Micheal Ray Richardson,"4x All Star
1979-80 AST Champ
3x STL Champ
2x All-Defensive",Career,556,14.8,5.5,7,45.7,22,69,46.5,16.9,35.2,
Rudy Tomjanovich,"Hall of Fame
5x All Star",Career,768,17.4,8.1,2,50.1,26.2,78.4,50.2,16.9,70.4,
Mookie Blaylock,"1x All Star
2x STL Champ
6x All-Defensive",Career,889,13.5,4.1,6.7,40.9,33.6,73.6,46.5,16.8,71.8,
Bob Kauffman,3x All Star,Career,525,11.5,7,2.7,47.7,,74.9,,16.8,31.5,
Red Kerr,"3x All Star
1955 NBA Champ",Career,905,13.8,11.2,2.2,41.8,,72.3,,16.8,61.8,
Rashard Lewis,"2x All Star
2013 NBA Champ",Career,1049,14.9,5.2,1.7,45.2,38.6,80.5,52.4,16.8,90.9,
Lauri Markkanen,"1x All Star
2017-18 All-Rookie
2022-23 Most Improved",Career,348,17.3,7.1,1.4,45.5,37.1,85.8,54.5,16.8,24.8,
Donyell Marshall,1994-95 All-Rookie,Career,957,11.2,6.7,1.4,43.5,35,73.1,48.3,16.8,59,
Jim McDaniels,1x All Star,Career,271,10,6.5,1.1,46.6,-,72,46.6,16.8,9.1,
Leon Powe,2008 NBA Champ,Career,239,6.2,3.8,0.3,51.5,0,68.2,51.5,16.8,12,
Jeff Teague,"1x All Star
2021 NBA Champ",Career,826,12.2,2.4,5.6,44.4,36,84.4,48.9,16.8,52.4,
Keith Van Horn,1997-98 All-Rookie,Career,575,16,6.8,1.6,44.3,36.1,83.5,48.2,16.8,41.7,
Lenny Wilkens,"Hall of Fame
9x All Star
1969-70 AST Champ
1970-71 AS MVP
NBA 75th Anniv. Team",Career,1077,16.5,4.7,6.7,43.2,,77.4,,16.8,95.5,
