,Season,Lg,Player,G,Tm
477,,,Khalid Reeves,82,DAL
478,,,Glen Rice,82,CHH
479,,,Jalen Rose,82,IND
480,,,Bryon Russell,82,UTA
481,,,John Starks,82,NYK
482,,,Antoine Walker,82,BOS
483,,,John Wallace,82,TOR
484,,,Charlie Ward,82,NYK
485,,,Chris Whitney,82,WAS
486,1996-97,NBA,Michael Finley,83,TOT
487,,,A.C. Green,83,TOT
488,,,Aaron McKie,83,TOT
489,1995-96,NBA,Benoit Benjamin,83,TOT
490,1994-95,NBA,B.J. Armstrong,82,CHI
491,,,Vin Baker,82,MIL
492,,,Dana Barros,82,PHI
493,,,Shawn Bradley,82,PHI
494,,,Michael Cage,82,CLE
495,,,Sam Cassell,82,HOU
496,,,Marty Conlon,82,MIL
497,,,Hubert Davis,82,NYK
498,,,Todd Day,82,MIL
499,,,Chris Dudley,82,POR
500,,,Danny Ferry,82,CLE
501,,,Armen Gilliam,82,NJN
502,,,A.C. Green,82,PHO
503,,,Hersey Hawkins,82,CHH
504,,,Mark Jackson,82,IND
505,,,Avery Johnson,82,SAS
506,,,Shawn Kemp,82,SEA
507,,,Steve Kerr,82,CHI
508,,,Andrew Lang,82,ATL
509,,,Dan Majerle,82,PHO
510,,,Karl Malone*,82,UTA
511,,,Lee Mayberry,82,MIL
512,,,Dikembe Mutombo*,82,DEN
513,,,Johnny Newman,82,MIL
514,,,Doug Overton,82,WSB
515,,,Gary Payton*,82,SEA
516,,,Sam Perkins,82,SEA
517,,,Elliot Perry,82,PHO
518,,,Glen Rice,82,MIA
519,,,Mitch Richmond*,82,SAC
520,,,Detlef Schrempf,82,SEA
521,,,Michael Smith,82,SAC
522,,,John Stockton*,82,UTA
523,,,Buck Williams,82,POR
524,,,Lorenzo Williams,82,DAL
525,1993-94,NBA,Kenny Anderson,82,NJN
526,,,B.J. Armstrong,82,CHI
527,,,Stacey Augmon,82,ATL
528,,,Vin Baker,82,MIL
529,,,Mike Brown,82,MIN
530,,,Michael Cage,82,SEA
531,,,Tyrone Corbin,82,UTA
532,,,Dell Curry,82,CHH
533,,,Blue Edwards,82,MIL
534,,,Kevin Edwards,82,NJN
535,,,Craig Ehlo,82,ATL
536,,,Rick Fox,82,BOS
537,,,Chris Gatling,82,GSW
538,,,Armen Gilliam,82,NJN
539,,,A.C. Green,82,PHO
540,,,Anfernee Hardaway,82,ORL
541,,,Derek Harper,82,TOT
542,,,Hersey Hawkins,82,CHH
543,,,Lindsey Hunter,82,DET
544,,,Jim Jackson,82,DAL
545,,,Avery Johnson,82,GSW
546,,,Steve Kerr,82,CHI
547,,,Jon Koncak,82,ATL
548,,,Andrew Lang,82,ATL
549,,,Karl Malone*,82,UTA
550,,,Lee Mayberry,82,MIL
551,,,Xavier McDaniel,82,BOS
552,,,Eric Murdock,82,MIL
553,,,Dikembe Mutombo*,82,DEN
554,,,Pete Myers,82,CHI
555,,,Ken Norman,82,MIL
556,,,Charles Oakley,82,NYK
557,,,Gary Payton*,82,SEA
558,,,Clifford Robinson,82,POR
559,,,Dennis Scott,82,ORL
560,,,Scott Skiles,82,ORL
561,,,Latrell Sprewell,82,GSW
562,,,Bryant Stith,82,DEN
563,,,John Stockton*,82,UTA
564,,,Rod Strickland,82,POR
565,,,Otis Thorpe,82,HOU
566,,,Clarence Weatherspoon,82,PHI
567,,,Mark West,82,PHO
568,,,Ennis Whatley,82,ATL
569,,,Gerald Wilkins,82,CLE
570,,,Reggie Williams,82,DEN
571,1992-93,NBA,J.R. Reid,83,TOT
572,1991-92,NBA,Thurl Bailey,84,TOT
573,1990-91,NBA,Ron Anderson,82,PHI
574,,,B.J. Armstrong,82,CHI
575,,,Thurl Bailey,82,UTA
576,,,Manute Bol,82,PHI
577,,,Dee Brown,82,BOS
578,,,Mike Brown,82,UTA
579,,,Michael Cage,82,SEA
580,,,Bimbo Coles,82,MIA
581,,,Tyrone Corbin,82,MIN
582,,,Vlade Divac*,82,LAL
583,,,James Donaldson,82,DAL
584,,,Clyde Drexler*,82,POR
585,,,Craig Ehlo,82,CLE
586,,,Sean Elliott,82,SAS
587,,,Sleepy Floyd,82,HOU
588,,,Kevin Gamble,82,BOS
589,,,Kendall Gill,82,CHH
590,,,Jeff Grayer,82,MIL
591,,,A.C. Green,82,LAL
592,,,Tim Hardaway*,82,GSW
593,,,Rod Higgins,82,GSW
594,,,Vinnie Johnson,82,DET
595,,,Michael Jordan*,82,CHI
596,,,Greg Kite,82,ORL
597,,,Bill Laimbeer,82,DET
598,,,Karl Malone*,82,UTA
599,,,Moses Malone*,82,ATL
600,,,Vernon Maxwell,82,HOU
601,,,Reggie Miller*,82,IND
602,,,Sam Mitchell,82,MIN
603,,,Chris Mullin*,82,GSW
604,,,John Paxson,82,CHI
605,,,Gary Payton*,82,SEA
606,,,Scottie Pippen*,82,CHI
607,,,Pooh Richardson,82,MIN
608,,,Fred Roberts,82,MIL
609,,,Clifford Robinson,82,POR
610,,,David Robinson*,82,SAS
611,,,Dennis Rodman*,82,DET
612,,,Delaney Rudd,82,UTA
613,,,Danny Schayes,82,MIL
614,,,Detlef Schrempf,82,IND
615,,,Byron Scott,82,LAL
616,,,Dennis Scott,82,ORL
617,,,John Stockton*,82,UTA
618,,,Terry Teagle,82,LAL
619,,,LaSalle Thompson,82,IND
620,,,Otis Thorpe,82,HOU
621,,,Mark West,82,PHO
622,,,David Wood,82,HOU
623,1989-90,NBA,Mark Alarie,82,WSB
624,,,Willie Anderson,82,SAS
625,,,Thurl Bailey,82,UTA
626,,,Mike Brown,82,UTA
627,,,Michael Cage,82,SEA
628,,,Tony Campbell,82,MIN
629,,,Lester Conner,82,NJN
630,,,Tyrone Corbin,82,MIN
631,,,Vlade Divac*,82,LAL
632,,,Kevin Duckworth,82,POR
633,,,Mark Eaton,82,UTA
634,,,Blue Edwards,82,UTA
635,,,James Edwards,82,DET
