Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Holiday,Shared Games with AJ Griffin,Shared Games with Bogdan Bogdanović,Shared Games with Clint Capela,Shared Games with De'Andre Hunter,Shared Games with Dejounte Murray,Shared Games with Donovan Williams,Shared Games with Frank Kaminsky,Shared Games with Jalen Johnson,Shared Games with Jarrett Culver,Shared Games with John Collins,Shared Games with Justin Holiday,Shared Games with Onyeka Okongwu,Shared Games with Trae Young,Shared Games with Tyrese Martin,Shared Games with Vit Krejci,Aaron Holiday,AJ Griffin,Bogdan Bogdanović,Clint Capela,De'Andre Hunter,Dejounte Murray,Derrick Favors,Donovan Williams,Frank Kaminsky,Jalen Johnson,Jarrett Culver,John Collins,Justin Holiday,Onyeka Okongwu,Trae Young,Tyrese Martin,Vit Krejci,co_inf with Aaron Holiday,co_inf with AJ Griffin,co_inf with Bogdan Bogdanović,co_inf with Clint Capela,co_inf with De'Andre Hunter,co_inf with Dejounte Murray,co_inf with Derrick Favors,co_inf with Donovan Williams,co_inf with Frank Kaminsky,co_inf with Jalen Johnson,co_inf with Jarrett Culver,co_inf with John Collins,co_inf with Justin Holiday,co_inf with Onyeka Okongwu,co_inf with Trae Young,co_inf with Tyrese Martin,co_inf with Vit Krejci,Shared Games with Saddiq Bey,Shared Games with Bruno Fernando,Shared Games with Garrison Mathews,Bruno Fernando,Garrison Mathews,Saddiq Bey,co_inf with Saddiq Bey,co_inf with Bruno Fernando,co_inf with Garrison Mathews,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
28,28,11,2022-12-12,24-183,ATL,@,MEM,L (-25),1,29:26,2.0,9.0,.222,0.0,0.0,,0,0.0,,1.0,2.0,3.0,4.0,2.0,0.0,3.0,2.0,4.0,0.8,-27,9.0,2.0,0.2222222222222222,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,1.0,31.0,1.631578947368421,0.7999999999999989,58.0,3.0526315789473686
29,29,12,2022-12-14,24-185,ATL,@,ORL,L (-11),0,13:45,2.0,6.0,.333,0.0,2.0,.000,0,0.0,,0.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,4.0,3.9,-11,4.0,2.0,0.5,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,5.0,66.0,3.473684210526316,3.9,97.70000000000002,5.142105263157895
30,30,13,2022-12-16,24-187,ATL,@,CHO,W (+19),1,28:22,3.0,4.0,.750,0.0,0.0,,0,0.0,,0.0,5.0,5.0,5.0,0.0,0.0,1.0,3.0,6.0,7.2,+4,4.0,3.0,0.75,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,11.0,36.0,1.894736842105263,7.199999999999999,76.0,4.0
31,31,,2022-12-19,24-190,ATL,,ORL,W (+1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,79.0,4.157894736842105,0.0,106.2,5.589473684210526
32,32,,2022-12-21,24-192,ATL,,CHI,L (-2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,68.0,3.5789473684210527,0.0,85.4,4.494736842105263
33,33,,2022-12-23,24-194,ATL,,DET,W (+25),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,101.0,5.315789473684211,0.0,116.59999999999998,6.136842105263157
34,34,14,2022-12-27,24-198,ATL,@,IND,L (-15),0,4:30,1.0,2.0,.500,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,+5,2.0,1.0,0.5,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,0.0,57.0,3.0,1.0,88.59999999999998,4.663157894736841
35,35,15,2022-12-28,24-199,ATL,,BRK,L (-1),0,10:19,1.0,2.0,.500,0.0,0.0,,0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,-7,2.0,1.0,0.5,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,4.0,56.0,2.9473684210526314,3.0000000000000004,84.59999999999998,4.452631578947368
36,36,,2022-12-30,24-201,ATL,,LAL,L (-9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,65.0,3.421052631578948,0.0,91.0,4.7894736842105265
37,37,,2023-01-02,24-204,ATL,@,GSW,L (-2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,97.0,5.105263157894737,0.0,130.60000000000002,6.873684210526317
38,38,,2023-01-04,24-206,ATL,@,SAC,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,68.0,3.5789473684210527,0.0,101.8,5.3578947368421055
39,39,,2023-01-06,24-208,ATL,@,LAL,L (-16),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,60.0,3.1578947368421053,0.0,88.3,4.647368421052631
40,40,,2023-01-08,24-210,ATL,@,LAC,W (+4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,73.0,3.842105263157895,0.0,88.80000000000001,4.673684210526316
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,0.0,0.0,0.0,0.0,0.0
42,41,,2023-01-11,24-213,ATL,,MIL,L (-9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,66.0,3.473684210526316,0.0,91.29999999999998,4.805263157894736
43,42,,2023-01-13,24-215,ATL,@,IND,W (+2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,87.0,4.578947368421052,0.0,97.9,5.152631578947369
44,43,,2023-01-14,24-216,ATL,@,TOR,W (+11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,70.0,3.684210526315789,0.0,82.5,4.342105263157895
45,44,,2023-01-16,24-218,ATL,,MIA,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,79.0,4.157894736842105,0.0,106.29999999999998,5.594736842105262
46,45,,2023-01-18,24-220,ATL,@,DAL,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,90.0,4.7368421052631575,0.0,123.5,6.5
47,46,,2023-01-20,24-222,ATL,,NYK,W (+15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,96.0,5.052631578947368,0.0,133.9,7.0473684210526315
48,47,,2023-01-21,24-223,ATL,,CHO,L (-4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,89.0,4.684210526315789,0.0,106.8,5.621052631578947
49,48,,2023-01-23,24-225,ATL,@,CHI,L (-11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,68.0,3.5789473684210527,0.0,87.20000000000002,4.589473684210527
50,49,,2023-01-25,24-227,ATL,@,OKC,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,84.0,4.421052631578948,0.0,123.9,6.521052631578947
51,50,,2023-01-28,24-230,ATL,,LAC,L (-7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,93.0,4.894736842105263,0.0,121.3,6.38421052631579
52,51,16,2023-01-30,24-232,ATL,@,POR,L (-4),0,9:48,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,2.0,2.0,2.0,1.6,0,1.0,1.0,1.0,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,4.0,73.0,3.842105263157895,1.5999999999999996,106.0,5.578947368421052
53,52,17,2023-02-01,24-234,ATL,@,PHO,W (+32),0,7:13,0.0,2.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-9,2.0,0.0,0.0,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,-2.0,105.0,5.526315789473684,-1.4,116.0,6.105263157894737
54,53,,2023-02-03,24-236,ATL,@,UTA,W (+7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,94.0,4.947368421052632,0.0,119.1,6.268421052631578
55,54,18,2023-02-04,24-237,ATL,@,DEN,L (-20),0,11:44,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,-8,1.0,1.0,1.0,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,1.0,77.0,4.052631578947368,0.9999999999999998,104.29999999999998,5.489473684210526
56,55,,2023-02-07,24-240,ATL,@,NOP,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,75.0,3.947368421052632,0.0,94.70000000000002,4.98421052631579
57,56,,2023-02-09,24-242,ATL,,PHO,W (+9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,76.0,4.0,0.0,83.79999999999998,4.410526315789473
