Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Admiral Schofield,Shared Games with Bol Bol,Shared Games with Caleb Houstan,Shared Games with Cole Anthony,Shared Games with Franz Wagner,Shared Games with Gary Harris,Shared Games with Jalen Suggs,Shared Games with Kevon Harris,Shared Games with Markelle Fultz,Shared Games with Mo Bamba,Shared Games with Moritz Wagner,Shared Games with Paolo Banchero,Shared Games with Wendell Carter Jr.,Admiral Schofield,Bol Bol,Caleb Houstan,Chuma Okeke,Cole Anthony,Franz Wagner,Gary Harris,Jalen Suggs,Jay Scrubb,Kevon Harris,Markelle Fultz,Michael Carter-Williams,Mo Bamba,Moritz Wagner,Paolo Banchero,R.J. Hampton,Terrence Ross,Wendell Carter Jr.,co_inf with Admiral Schofield,co_inf with Bol Bol,co_inf with Caleb Houstan,co_inf with Chuma Okeke,co_inf with Cole Anthony,co_inf with Franz Wagner,co_inf with Gary Harris,co_inf with Jalen Suggs,co_inf with Jay Scrubb,co_inf with Kevon Harris,co_inf with Markelle Fultz,co_inf with Michael Carter-Williams,co_inf with Mo Bamba,co_inf with Moritz Wagner,co_inf with Paolo Banchero,co_inf with R.J. Hampton,co_inf with Terrence Ross,co_inf with Wendell Carter Jr.,Shared Games with Goga Bitadze,Derrick White,Goga Bitadze,co_inf with Goga Bitadze,co_inf with Derrick White,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
30,30,,2022-12-16,25-074,ORL,@,BOS,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,45.0,3.2142857142857144,0.0,59.3,4.235714285714286
31,31,,2022-12-18,25-076,ORL,@,BOS,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,51.0,3.642857142857143,0.0,59.2,4.228571428571429
32,32,,2022-12-19,25-077,ORL,@,ATL,L (-1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,75.0,5.357142857142857,0.0,84.1,6.007142857142857
33,33,,2022-12-21,25-079,ORL,@,HOU,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,66.0,4.714285714285714,0.0,76.69999999999999,5.478571428571428
34,34,,2022-12-23,25-081,ORL,,SAS,W (+20),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,99.0,7.071428571428571,0.0,101.3,7.235714285714286
35,35,,2022-12-27,25-085,ORL,,LAL,L (-19),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,62.0,4.428571428571429,0.0,68.0,4.857142857142857
36,36,,2022-12-28,25-086,ORL,@,DET,L (-20),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,55.0,3.928571428571429,0.0,57.39999999999999,4.1
37,37,,2022-12-30,25-088,ORL,,WAS,L (-19),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,50.0,3.571428571428572,0.0,61.10000000000001,4.364285714285715
38,38,,2023-01-04,25-093,ORL,,OKC,W (+11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,60.0,4.285714285714286,0.0,62.29999999999998,4.449999999999998
39,39,,2023-01-05,25-094,ORL,,MEM,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,55.0,3.928571428571429,0.0,68.49999999999999,4.8928571428571415
40,40,,2023-01-07,25-096,ORL,@,GSW,W (+14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,89.0,6.357142857142857,0.0,86.60000000000001,6.185714285714286
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,0.0,0.0,0.0,0.0,0.0
42,41,,2023-01-09,25-098,ORL,@,SAC,L (-25),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,74.0,5.285714285714286,0.0,79.8,5.7
43,42,,2023-01-10,25-099,ORL,@,POR,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,71.0,5.071428571428571,0.0,79.8,5.7
44,43,,2023-01-13,25-102,ORL,@,UTA,L (-4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,63.0,4.5,0.0,65.10000000000001,4.65
45,44,,2023-01-15,25-104,ORL,@,DEN,L (-3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,59.0,4.214285714285714,0.0,76.79999999999998,5.485714285714285
46,45,,2023-01-20,25-109,ORL,,NOP,W (+13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,77.0,5.5,0.0,79.30000000000001,5.6642857142857155
47,46,,2023-01-21,25-110,ORL,@,WAS,L (-20),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,53.0,3.7857142857142856,0.0,74.7,5.335714285714286
48,47,1,2023-01-23,25-112,ORL,,BOS,W (+15),0,9:36,4.0,7.0,.571,2.0,3.0,.667,0,2.0,.000,1.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,10.0,9.9,+7,4.0,2.0,0.5,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,7.0,65.0,4.642857142857143,9.9,79.69999999999999,5.692857142857142
49,48,2,2023-01-25,25-114,ORL,,IND,W (+6),0,8:23,2.0,4.0,.500,1.0,2.0,.500,0,0.0,,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,5.0,6.3,+2,2.0,1.0,0.5,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,6.0,84.0,6.0,6.3,90.5,6.464285714285714
50,49,,2023-01-27,25-116,ORL,@,MIA,L (-5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,62.0,4.428571428571429,0.0,62.5,4.464285714285714
51,50,3,2023-01-28,25-117,ORL,,CHI,L (-19),0,8:43,2.0,7.0,.286,1.0,4.0,.250,0,0.0,,1.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,5.0,3.1,-1,3.0,1.0,0.3333333333333333,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,3.0,66.0,4.714285714285714,3.100000000000001,73.9,5.278571428571429
52,51,4,2023-01-30,25-119,ORL,@,PHI,W (+10),0,9:47,1.0,2.0,.500,0.0,0.0,,0,0.0,,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,3.3,+1,2.0,1.0,0.5,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,4.0,73.0,5.214285714285714,3.2999999999999994,81.80000000000001,5.842857142857143
53,52,,2023-02-01,25-121,ORL,@,PHI,L (-11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,54.0,3.857142857142857,0.0,52.1,3.7214285714285715
54,53,5,2023-02-03,25-123,ORL,@,MIN,W (+7),0,9:53,4.0,5.0,.800,0.0,0.0,,1,1.0,1.000,1.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,9.0,9.0,-9,5.0,4.0,0.8,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,7.0,57.0,4.071428571428571,8.599999999999998,75.3,5.378571428571428
55,54,6,2023-02-05,25-125,ORL,@,CHO,W (+6),0,11:02,3.0,7.0,.429,0.0,1.0,.000,0,0.0,,4.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0,6.0,6.7,-11,6.0,3.0,0.5,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,7.0,78.0,5.571428571428571,6.7,81.89999999999998,5.849999999999999
56,55,7,2023-02-07,25-127,ORL,,NYK,L (-4),0,11:57,1.0,5.0,.200,0.0,2.0,.000,0,0.0,,2.0,3.0,5.0,1.0,0.0,1.0,0.0,0.0,2.0,2.6,-7,3.0,1.0,0.3333333333333333,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,4.0,68.0,4.857142857142857,2.6,65.5,4.678571428571429
57,56,8,2023-02-09,25-129,ORL,,DEN,W (+11),0,11:00,0.0,3.0,.000,0.0,0.0,,3,4.0,.750,1.0,2.0,3.0,1.0,3.0,1.0,0.0,0.0,3.0,6.2,+5,3.0,0.0,0.0,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,4.0,103.0,7.357142857142857,5.0,90.0,6.428571428571429
58,57,9,2023-02-11,25-131,ORL,,MIA,L (-4),0,14:15,1.0,3.0,.333,0.0,0.0,,1,2.0,.500,1.0,3.0,4.0,0.0,1.0,0.0,1.0,0.0,3.0,2.5,+5,3.0,1.0,0.3333333333333333,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,2.0,65.0,4.642857142857143,2.1000000000000005,66.89999999999998,4.778571428571427
59,58,10,2023-02-13,25-133,ORL,@,CHI,W (+9),0,12:57,0.0,4.0,.000,0.0,0.0,,0,0.0,,2.0,2.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,-1.2,-4,4.0,0.0,0.0,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,0.0,76.0,5.428571428571429,-1.1999999999999995,71.89999999999999,5.135714285714285
60,59,,2023-02-14,25-134,ORL,@,TOR,L (-10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,65.0,4.642857142857143,0.0,78.39999999999999,5.6
61,60,11,2023-02-23,25-143,ORL,,DET,W (+2),0,16:28,4.0,6.0,.667,2.0,3.0,.667,0,0.0,,1.0,6.0,7.0,1.0,2.0,1.0,2.0,1.0,10.0,10.9,-7,3.0,2.0,0.6666666666666666,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,13.0,66.0,4.714285714285714,10.899999999999997,72.89999999999999,5.207142857142856
