Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bryce McGowens,Shared Games with Cody Martin,Shared Games with Dennis Smith Jr.,Shared Games with Gordon Hayward,Shared Games with Jalen McDaniels,Shared Games with James Bouknight,Shared Games with JT Thor,Shared Games with Kai Jones,Shared Games with Kelly Oubre Jr.,Shared Games with Kobi Simmons,Shared Games with LaMelo Ball,Shared Games with Mark Williams,Shared Games with Nick Richards,Shared Games with P.J. Washington,Shared Games with Terry Rozier,Shared Games with Théo Maledon,Shared Games with Xavier Sneed,Bryce McGowens,Cody Martin,Dennis Smith Jr.,Gordon Hayward,Jalen McDaniels,James Bouknight,JT Thor,Kai Jones,Kelly Oubre Jr.,Kobi Simmons,LaMelo Ball,Mark Williams,Nick Richards,P.J. Washington,Terry Rozier,Théo Maledon,Xavier Sneed,co_inf with Bryce McGowens,co_inf with Cody Martin,co_inf with Dennis Smith Jr.,co_inf with Gordon Hayward,co_inf with Jalen McDaniels,co_inf with James Bouknight,co_inf with JT Thor,co_inf with Kai Jones,co_inf with Kelly Oubre Jr.,co_inf with Kobi Simmons,co_inf with LaMelo Ball,co_inf with Mark Williams,co_inf with Nick Richards,co_inf with P.J. Washington,co_inf with Terry Rozier,co_inf with Théo Maledon,co_inf with Xavier Sneed
37,37,37,2022-12-31,32-301,CHO,,BRK,L (-17),1,29.533333333333335,9.0,14.0,.643,0.0,0.0,,4,4,1.000,5,5,10,3,1,0,0,3,22,22.7,-10,14.0,9.0,0.6428571428571429,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
38,38,38,2023-01-02,32-303,CHO,,LAL,L (-6),1,32.583333333333336,6.0,7.0,.857,0.0,0.0,,6,11,.545,2,12,14,4,0,2,0,1,18,22.3,+1,7.0,6.0,0.8571428571428571,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
39,39,39,2023-01-04,32-305,CHO,,MEM,L (-24),1,23.1,2.0,2.0,1.000,0.0,0.0,,3,3,1.000,2,8,10,1,0,2,1,3,7,10.1,-3,2.0,2.0,1.0,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
40,40,40,2023-01-06,32-307,CHO,@,MIL,W (+29),1,31.366666666666667,8.0,9.0,.889,0.0,0.0,,1,3,.333,5,10,15,6,1,0,2,3,17,21.6,+30,9.0,8.0,0.8888888888888888,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
41,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
42,41,41,2023-01-08,32-309,CHO,@,IND,L (-5),1,31.616666666666667,6.0,10.0,.600,0.0,0.0,,6,6,1.000,4,9,13,2,0,0,2,4,18,16.7,-10,10.0,6.0,0.6,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
43,42,42,2023-01-10,32-311,CHO,@,TOR,L (-12),1,33.483333333333334,9.0,10.0,.900,0.0,0.0,,3,5,.600,2,5,7,3,0,0,0,2,21,21.0,0,10.0,9.0,0.9,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
44,43,43,2023-01-12,32-313,CHO,@,TOR,L (-10),1,34.75,6.0,6.0,1.000,0.0,0.0,,4,6,.667,5,10,15,4,1,1,2,1,16,22.0,-10,6.0,6.0,1.0,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
45,44,44,2023-01-14,32-315,CHO,,BOS,L (-16),1,32.9,4.0,10.0,.400,0.0,0.0,,1,2,.500,3,13,16,1,0,0,1,0,9,8.9,-21,10.0,4.0,0.4,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
46,45,45,2023-01-16,32-317,CHO,,BOS,L (-12),1,31.083333333333332,7.0,9.0,.778,0.0,0.0,,5,9,.556,6,6,12,7,0,0,1,3,19,22.6,-12,9.0,7.0,0.7777777777777778,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
47,46,46,2023-01-18,32-319,CHO,@,HOU,W (+5),1,29.3,6.0,8.0,.750,0.0,0.0,,5,6,.833,3,6,9,1,3,0,0,3,17,19.8,-6,8.0,6.0,0.75,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
48,47,47,2023-01-21,32-322,CHO,@,ATL,W (+4),1,29.45,11.0,14.0,.786,0.0,0.0,,3,4,.750,5,6,11,2,1,0,0,0,25,26.9,+10,14.0,11.0,0.7857142857142857,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
49,48,48,2023-01-23,32-324,CHO,@,UTA,L (-18),1,26.2,5.0,6.0,.833,0.0,0.0,,8,11,.727,4,4,8,5,0,1,2,0,18,20.8,-6,6.0,5.0,0.8333333333333334,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
50,49,49,2023-01-24,32-325,CHO,@,PHO,L (-31),1,25.133333333333333,6.0,10.0,.600,0.0,0.0,,5,6,.833,2,4,6,4,0,0,2,2,17,14.6,-6,10.0,6.0,0.6,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
51,50,50,2023-01-26,32-327,CHO,,CHI,W (+15),1,30.066666666666666,9.0,9.0,1.000,0.0,0.0,,3,4,.750,1,11,12,4,0,0,2,1,21,22.3,+19,9.0,9.0,1.0,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
52,51,51,2023-01-29,32-330,CHO,,MIA,W (+5),1,28.133333333333333,4.0,6.0,.667,0.0,0.0,,2,6,.333,2,6,8,1,0,0,3,3,10,5.5,-4,6.0,4.0,0.6666666666666666,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
53,52,52,2023-01-31,32-332,CHO,@,MIL,L (-9),1,31.416666666666668,7.0,12.0,.583,0.0,0.0,,0,2,.000,5,9,14,5,0,1,2,3,14,14.8,+2,12.0,7.0,0.5833333333333334,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
54,53,53,2023-02-02,32-334,CHO,@,CHI,L (-16),1,31.1,7.0,7.0,1.000,0.0,0.0,,2,2,1.000,4,7,11,5,1,0,2,3,16,20.1,-22,7.0,7.0,1.0,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
55,54,54,2023-02-03,32-335,CHO,@,DET,L (-6),1,31.383333333333333,2.0,6.0,.333,0.0,0.0,,9,14,.643,2,2,4,5,1,0,1,4,13,11.5,-7,6.0,2.0,0.3333333333333333,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
56,55,55,2023-02-05,32-337,CHO,,ORL,L (-6),1,31.183333333333334,5.0,6.0,.833,0.0,0.0,,0,4,.000,3,6,9,4,1,1,2,1,10,12.2,-2,6.0,5.0,0.8333333333333334,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
57,56,56,2023-02-08,32-340,CHO,@,WAS,L (-14),1,31.216666666666665,4.0,9.0,.444,0.0,0.0,,2,3,.667,2,5,7,3,0,0,1,5,10,6.9,-15,9.0,4.0,0.4444444444444444,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
58,57,,2023-02-10,32-342,LAC,,MIL,L (-13),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
59,58,57,2023-02-14,32-346,LAC,,GSW,W (+10),0,17.183333333333334,2.0,2.0,1.000,0.0,0.0,,4,4,1.000,2,3,5,3,1,0,1,2,8,11.0,+6,2.0,2.0,1.0,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
60,59,58,2023-02-16,32-348,LAC,@,PHO,W (+9),0,17.716666666666665,2.0,2.0,1.000,0.0,0.0,,2,2,1.000,0,6,6,3,1,1,0,3,6,9.8,+9,2.0,2.0,1.0,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
61,60,59,2023-02-24,32-356,LAC,,SAC,L (-1),1,25.366666666666667,4.0,4.0,1.000,0.0,0.0,,2,3,.667,2,8,10,4,1,0,3,3,10,11.8,+4,4.0,4.0,1.0,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
62,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
63,61,60,2023-02-26,32-358,LAC,@,DEN,L (-10),1,26.833333333333332,2.0,2.0,1.000,0.0,0.0,,3,5,.600,2,8,10,1,0,2,1,4,7,8.9,-15,2.0,2.0,1.0,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
64,62,61,2023-02-28,32-360,LAC,,MIN,L (-7),0,14.45,1.0,2.0,.500,0.0,0.0,,3,3,1.000,2,7,9,0,0,0,3,3,5,3.3,-3,2.0,1.0,0.5,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
65,63,62,2023-03-02,32-362,LAC,@,GSW,L (-24),1,29.033333333333335,3.0,5.0,.600,0.0,0.0,,6,6,1.000,2,18,20,2,0,0,3,2,12,14.1,-11,5.0,3.0,0.6,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
66,64,63,2023-03-03,32-363,LAC,@,SAC,L (-1),1,25.7,5.0,7.0,.714,0.0,0.0,,3,5,.600,3,5,8,3,0,1,1,3,13,13.5,+1,7.0,5.0,0.7142857142857143,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
67,65,64,2023-03-05,33-000,LAC,,MEM,W (+6),0,21.266666666666666,7.0,8.0,.875,0.0,0.0,,1,2,.500,2,7,9,2,1,0,2,2,15,14.9,+3,8.0,7.0,0.875,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
68,66,65,2023-03-08,33-003,LAC,,TOR,W (+8),0,16.45,2.0,3.0,.667,0.0,0.0,,4,6,.667,1,4,5,0,1,0,1,1,8,7.4,+8,3.0,2.0,0.6666666666666666,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
69,67,66,2023-03-11,33-006,LAC,,NYK,W (+11),0,20.666666666666668,1.0,4.0,.250,0.0,0.0,,4,5,.800,2,2,4,1,0,2,2,3,6,4.1,+5,4.0,1.0,0.25,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
70,68,67,2023-03-15,33-010,LAC,,GSW,W (+8),0,17.2,2.0,2.0,1.000,0.0,0.0,,0,0,,2,3,5,1,2,0,1,1,4,7.0,+1,2.0,2.0,1.0,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
71,69,68,2023-03-18,33-013,LAC,,ORL,L (-5),0,19.233333333333334,2.0,3.0,.667,0.0,0.0,,4,6,.667,1,9,10,3,1,0,0,4,8,10.8,-3,3.0,2.0,0.6666666666666666,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
72,70,69,2023-03-19,33-014,LAC,@,POR,W (+15),0,14.116666666666667,3.0,6.0,.500,0.0,0.0,,1,1,1.000,4,1,5,0,0,0,0,3,7,5.9,-11,6.0,3.0,0.5,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
73,71,70,2023-03-21,33-016,LAC,,OKC,L (-1),0,20.65,3.0,4.0,.750,0.0,0.0,,0,0,,4,8,12,1,0,0,2,2,6,7.5,-4,4.0,3.0,0.75,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
74,72,71,2023-03-23,33-018,LAC,,OKC,W (+22),0,24.25,1.0,2.0,.500,0.0,0.0,,0,0,,0,7,7,0,0,1,1,0,2,2.8,+28,2.0,1.0,0.5,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
75,73,72,2023-03-25,33-020,LAC,,NOP,L (-21),0,18.183333333333334,2.0,2.0,1.000,0.0,0.0,,1,2,.500,1,4,5,3,1,2,1,0,5,9.4,-8,2.0,2.0,1.0,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
