Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Austin Reaves,Shared Games with Cole Swider,Shared Games with Damian Jones,Shared Games with Dennis Schröder,Shared Games with Juan Toscano-Anderson,Shared Games with Kendrick Nunn,Shared Games with LeBron James,Shared Games with Lonnie Walker IV,Shared Games with Matt Ryan,Shared Games with Max Christie,Shared Games with Patrick Beverley,Shared Games with Russell Westbrook,Shared Games with Scotty Pippen Jr.,Shared Games with Thomas Bryant,Shared Games with Troy Brown Jr.,Shared Games with Wenyen Gabriel,Austin Reaves,Cole Swider,Damian Jones,Dennis Schröder,Juan Toscano-Anderson,Kendrick Nunn,LeBron James,Lonnie Walker IV,Matt Ryan,Max Christie,Patrick Beverley,Russell Westbrook,Scotty Pippen Jr.,Sterling Brown,Thomas Bryant,Tristan Thompson,Troy Brown Jr.,Wenyen Gabriel,co_inf with Austin Reaves,co_inf with Cole Swider,co_inf with Damian Jones,co_inf with Dennis Schröder,co_inf with Juan Toscano-Anderson,co_inf with Kendrick Nunn,co_inf with LeBron James,co_inf with Lonnie Walker IV,co_inf with Matt Ryan,co_inf with Max Christie,co_inf with Patrick Beverley,co_inf with Russell Westbrook,co_inf with Scotty Pippen Jr.,co_inf with Sterling Brown,co_inf with Thomas Bryant,co_inf with Tristan Thompson,co_inf with Troy Brown Jr.,co_inf with Wenyen Gabriel,Shared Games with Davon Reed,Shared Games with D'Angelo Russell,Shared Games with Jarred Vanderbilt,Shared Games with Malik Beasley,Shared Games with Mo Bamba,D'Angelo Russell,Davon Reed,Jarred Vanderbilt,Malik Beasley,Mo Bamba,Onyeka Okongwu,Shaquille Harrison,co_inf with Davon Reed,co_inf with D'Angelo Russell,co_inf with Jarred Vanderbilt,co_inf with Malik Beasley,co_inf with Mo Bamba,co_inf with Onyeka Okongwu,co_inf with Shaquille Harrison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
23,23,21,2022-12-06,29-270,LAL,@,CLE,L (-14),1,8:07,0.0,0.0,,0.0,0.0,,1,3.0,.333,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.9,-6,0.0,0.0,,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,3.0,60.0,2.857142857142857,2.5,70.5,3.357142857142857
24,24,,2022-12-07,29-271,LAL,@,TOR,L (-13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,,45.0,2.142857142857143,0.0,63.8,3.038095238095238
25,25,22,2022-12-09,29-273,LAL,@,PHI,L (-11),1,36:10,9.0,13.0,.692,0.0,1.0,.000,13,14.0,.929,2.0,10.0,12.0,0.0,2.0,2.0,3.0,5.0,31.0,27.9,+16,12.0,9.0,0.75,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,17.0,53.0,2.523809523809524,22.7,76.19999999999999,3.628571428571428
26,26,23,2022-12-11,29-275,LAL,@,DET,W (+7),1,35:44,12.0,18.0,.667,0.0,1.0,.000,10,12.0,.833,3.0,12.0,15.0,7.0,2.0,1.0,1.0,3.0,34.0,36.5,+7,17.0,12.0,0.7058823529411765,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,28.0,79.0,3.761904761904762,32.5,88.50000000000003,4.214285714285715
27,27,24,2022-12-13,29-277,LAL,,BOS,L (-4),1,46:01,13.0,24.0,.542,0.0,2.0,.000,11,15.0,.733,4.0,8.0,12.0,3.0,1.0,1.0,1.0,1.0,37.0,31.4,-8,22.0,13.0,0.5909090909090909,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,14.0,87.0,4.142857142857143,27.000000000000007,76.2,3.6285714285714286
28,28,25,2022-12-16,29-280,LAL,,DEN,W (+18),1,17:27,4.0,6.0,.667,0.0,0.0,,2,2.0,1.000,0.0,4.0,4.0,2.0,1.0,1.0,2.0,2.0,10.0,8.9,-4,6.0,4.0,0.6666666666666666,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,8.0,86.0,4.095238095238095,8.099999999999998,96.7,4.604761904761905
29,29,,2022-12-18,29-282,LAL,,WAS,W (+2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,,89.0,4.238095238095238,0.0,94.09999999999998,4.48095238095238
30,30,,2022-12-19,29-283,LAL,@,PHO,L (-26),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,,110.0,5.238095238095238,0.0,118.2,5.628571428571429
31,31,,2022-12-21,29-285,LAL,@,SAC,L (-14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,,67.0,3.1904761904761907,0.0,71.59999999999998,3.4095238095238085
32,32,,2022-12-23,29-287,LAL,,CHO,L (-4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,,85.0,4.047619047619048,0.0,89.2,4.247619047619048
33,33,,2022-12-25,29-289,LAL,@,DAL,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,,75.0,3.571428571428572,0.0,80.69999999999999,3.8428571428571425
34,34,,2022-12-27,29-291,LAL,@,ORL,W (+19),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,,100.0,4.761904761904762,0.0,107.1,5.1
35,35,,2022-12-28,29-292,LAL,@,MIA,L (-14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,,66.0,3.142857142857143,0.0,76.9,3.661904761904762
36,36,,2022-12-30,29-294,LAL,@,ATL,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,,79.0,3.761904761904762,0.0,84.0,4.0
37,37,,2023-01-02,29-297,LAL,@,CHO,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,,85.0,4.047619047619048,0.0,98.8,4.704761904761905
38,38,,2023-01-04,29-299,LAL,,MIA,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,,62.0,2.952380952380953,0.0,70.49999999999999,3.3571428571428563
39,39,,2023-01-06,29-301,LAL,,ATL,W (+16),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,,79.0,3.761904761904762,0.0,83.1,3.957142857142857
40,40,,2023-01-07,29-302,LAL,@,SAC,W (+2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,,78.0,3.7142857142857135,0.0,94.5,4.5
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,,0.0,0.0,0.0,0.0,0.0
42,41,,2023-01-09,29-304,LAL,@,DEN,L (-13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,,75.0,3.571428571428572,0.0,78.5,3.738095238095238
43,42,,2023-01-12,29-307,LAL,,DAL,L (-4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,,99.0,4.714285714285714,0.0,77.39999999999998,3.6857142857142846
44,43,,2023-01-15,29-310,LAL,,PHI,L (-1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,,78.0,3.7142857142857135,0.0,86.7,4.128571428571429
45,44,,2023-01-16,29-311,LAL,,HOU,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,,72.0,3.4285714285714284,0.0,92.1,4.385714285714285
46,45,,2023-01-18,29-313,LAL,,SAC,L (-5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,,82.0,3.9047619047619047,0.0,92.4,4.4
47,46,,2023-01-20,29-315,LAL,,MEM,W (+1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,,89.0,4.238095238095238,0.0,79.19999999999999,3.771428571428571
48,47,,2023-01-22,29-317,LAL,@,POR,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,,74.0,3.523809523809524,0.0,89.6,4.266666666666667
