Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Clarke,Shared Games with David Roddy,Shared Games with Desmond Bane,Shared Games with Dillon Brooks,Shared Games with Ja Morant,Shared Games with Jake LaRavia,Shared Games with Jaren Jackson Jr.,Shared Games with John Konchar,Shared Games with Kennedy Chandler,Shared Games with Santi Aldama,Shared Games with Steven Adams,Shared Games with Tyus Jones,Shared Games with Vince Williams Jr.,Shared Games with Xavier Tillman Sr.,Shared Games with Ziaire Williams,Brandon Clarke,Danny Green,David Roddy,Desmond Bane,Dillon Brooks,Ja Morant,Jacob Gilyard,Jake LaRavia,Jaren Jackson Jr.,John Konchar,Kennedy Chandler,Santi Aldama,Steven Adams,Tyus Jones,Vince Williams Jr.,Xavier Tillman Sr.,Ziaire Williams,co_inf with Brandon Clarke,co_inf with Danny Green,co_inf with David Roddy,co_inf with Desmond Bane,co_inf with Dillon Brooks,co_inf with Ja Morant,co_inf with Jacob Gilyard,co_inf with Jake LaRavia,co_inf with Jaren Jackson Jr.,co_inf with John Konchar,co_inf with Kennedy Chandler,co_inf with Santi Aldama,co_inf with Steven Adams,co_inf with Tyus Jones,co_inf with Vince Williams Jr.,co_inf with Xavier Tillman Sr.,co_inf with Ziaire Williams,Shared Games with Luke Kennard,Luke Kennard,Trae Young,co_inf with Luke Kennard,co_inf with Trae Young,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
30,30,,2022-12-20,20-128,MEM,@,DEN,L (-14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,71.0,4.4375,0.0,76.19999999999999,4.762499999999999
31,31,,2022-12-23,20-131,MEM,@,PHO,W (+25),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,100.0,6.25,0.0,104.3,6.51875
32,32,,2022-12-25,20-133,MEM,@,GSW,L (-14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,64.0,4.0,0.0,77.7,4.85625
33,33,,2022-12-27,20-135,MEM,,PHO,L (-17),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,70.0,4.375,0.0,75.3,4.70625
34,34,,2022-12-29,20-137,MEM,@,TOR,W (+13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,107.0,6.6875,0.0,105.5,6.59375
35,35,,2022-12-31,20-139,MEM,,NOP,W (+15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,99.0,6.1875,0.0,108.1,6.75625
36,36,6,2023-01-01,20-140,MEM,,SAC,W (+10),0,0:58,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-2,0.0,0.0,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,-1.0,90.0,5.625,-0.7,99.1,6.19375
37,37,,2023-01-04,20-143,MEM,@,CHO,W (+24),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,106.0,6.625,0.0,106.70000000000002,6.668750000000001
38,38,,2023-01-05,20-144,MEM,@,ORL,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,85.0,5.3125,0.0,94.5,5.90625
39,39,,2023-01-08,20-147,MEM,,UTA,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,96.0,6.0,0.0,109.4,6.8375
40,40,,2023-01-09,20-148,MEM,,SAS,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,82.0,5.125,0.0,92.6,5.7875
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,0.0,0.0,0.0,0.0,0.0
42,41,,2023-01-11,20-150,MEM,,SAS,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,91.0,5.6875,0.0,110.5,6.90625
43,42,,2023-01-14,20-153,MEM,@,IND,W (+18),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,108.0,6.75,0.0,109.0,6.8125
44,43,,2023-01-16,20-155,MEM,,PHO,W (+30),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,114.0,7.125,0.0,115.6,7.225
45,44,,2023-01-18,20-157,MEM,,CLE,W (+1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,74.0,4.625,0.0,89.2,5.575
46,45,,2023-01-20,20-159,MEM,@,LAL,L (-1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,79.0,4.9375,0.0,80.6,5.0375
47,46,,2023-01-22,20-161,MEM,@,PHO,L (-2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,65.0,4.0625,0.0,74.0,4.625
48,47,7,2023-01-23,20-162,MEM,@,SAC,L (-33),0,5:27,0.0,2.0,.000,0.0,1.0,.000,2,2.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,-0.8,-12,1.0,0.0,0.0,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,-3.0,61.0,3.8125,-1.6,70.6,4.4125
49,48,,2023-01-25,20-164,MEM,@,GSW,L (-2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,62.0,3.875,0.0,82.49999999999999,5.156249999999999
50,49,,2023-01-27,20-166,MEM,@,MIN,L (-11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,64.0,4.0,0.0,68.59999999999998,4.287499999999999
51,50,,2023-01-29,20-168,MEM,,IND,W (+12),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,89.0,5.5625,0.0,96.9,6.05625
52,51,,2023-02-01,20-171,MEM,,POR,L (-10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,71.0,4.4375,0.0,87.50000000000001,5.468750000000001
53,52,,2023-02-02,20-172,MEM,@,CLE,L (-15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,83.0,5.1875,0.0,83.8,5.2375
54,53,,2023-02-05,20-175,MEM,,TOR,L (-3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,83.0,5.1875,0.0,77.9,4.86875
55,54,,2023-02-07,20-177,MEM,,CHI,W (+15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,68.0,4.25,0.0,76.2,4.7625
56,55,8,2023-02-10,20-180,MEM,,MIN,W (+21),0,1:39,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.8,0,1.0,0.0,0.0,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,0.0,100.0,6.25,-0.8,105.1,6.56875
57,56,,2023-02-12,20-182,MEM,@,BOS,L (-10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,79.0,4.9375,0.0,76.2,4.7625
58,57,,2023-02-15,20-185,MEM,,UTA,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,85.0,5.3125,0.0,87.09999999999998,5.443749999999999
59,58,,2023-02-23,20-193,MEM,@,PHI,L (-5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,64.0,4.0,0.0,65.6,4.1
60,59,9,2023-02-25,20-195,MEM,,DEN,W (+18),0,4:15,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.7,-10,1.0,1.0,1.0,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,2.0,81.0,5.0625,2.7,78.69999999999997,4.918749999999998
61,60,10,2023-02-28,20-198,MEM,,LAL,W (+12),0,0:59,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,0.0,90.0,5.625,0.0,97.0,6.0625
