Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Clarke,Shared Games with Danny Green,Shared Games with David Roddy,Shared Games with Desmond Bane,Shared Games with Dillon Brooks,Shared Games with Ja Morant,Shared Games with Jacob Gilyard,Shared Games with Jake LaRavia,Shared Games with Jaren Jackson Jr.,Shared Games with Kennedy Chandler,Shared Games with Kenneth Lofton Jr.,Shared Games with Santi Aldama,Shared Games with Steven Adams,Shared Games with Tyus Jones,Shared Games with Vince Williams Jr.,Shared Games with Xavier Tillman Sr.,Shared Games with Ziaire Williams,Brandon Clarke,Danny Green,David Roddy,Desmond Bane,Dillon Brooks,Ja Morant,Jacob Gilyard,Jake LaRavia,Jaren Jackson Jr.,Kennedy Chandler,Kenneth Lofton Jr.,Santi Aldama,Steven Adams,Tyus Jones,Vince Williams Jr.,Xavier Tillman Sr.,Ziaire Williams,co_inf with Brandon Clarke,co_inf with Danny Green,co_inf with David Roddy,co_inf with Desmond Bane,co_inf with Dillon Brooks,co_inf with Ja Morant,co_inf with Jacob Gilyard,co_inf with Jake LaRavia,co_inf with Jaren Jackson Jr.,co_inf with Kennedy Chandler,co_inf with Kenneth Lofton Jr.,co_inf with Santi Aldama,co_inf with Steven Adams,co_inf with Tyus Jones,co_inf with Vince Williams Jr.,co_inf with Xavier Tillman Sr.,co_inf with Ziaire Williams,Shared Games with Luke Kennard,Luke Kennard,Trae Young,co_inf with Luke Kennard,co_inf with Trae Young,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
28,28,26,2022-12-15,26-268,MEM,,MIL,W (+41),1,16:33,2.0,4.0,.500,1.0,1.0,1.000,0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,3.9,+16,3.0,1.0,0.3333333333333333,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,4.0,114.0,6.333333333333333,3.9,128.2,7.122222222222222
29,29,27,2022-12-17,26-270,MEM,@,OKC,L (-6),1,23:19,1.0,4.0,.250,1.0,3.0,.333,0,0.0,,0.0,4.0,4.0,3.0,0.0,0.0,0.0,1.0,3.0,3.5,+9,1.0,0.0,0.0,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,6.0,61.0,3.388888888888889,3.5,71.0,3.9444444444444446
30,30,28,2022-12-20,26-273,MEM,@,DEN,L (-14),1,15:34,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,-14,0.0,0.0,,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,1.0,70.0,3.888888888888889,0.3,75.89999999999999,4.216666666666666
31,31,29,2022-12-23,26-276,MEM,@,PHO,W (+25),0,18:46,0.0,1.0,.000,0.0,1.0,.000,1,2.0,.500,0.0,3.0,3.0,4.0,2.0,0.0,0.0,2.0,1.0,4.8,+24,0.0,0.0,,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,7.0,93.0,5.166666666666667,4.4,99.9,5.550000000000001
32,32,30,2022-12-25,26-278,MEM,@,GSW,L (-14),0,20:09,0.0,6.0,.000,0.0,3.0,.000,0,0.0,,0.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,-1.6,0,3.0,0.0,0.0,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,-1.0,65.0,3.611111111111111,-1.5999999999999992,79.3,4.405555555555555
33,33,31,2022-12-27,26-280,MEM,,PHO,L (-17),0,14:04,2.0,3.0,.667,1.0,2.0,.500,0,0.0,,0.0,3.0,3.0,1.0,2.0,1.0,0.0,2.0,5.0,7.2,+7,1.0,1.0,1.0,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,9.0,61.0,3.388888888888889,7.199999999999998,68.10000000000001,3.7833333333333337
34,34,32,2022-12-29,26-282,MEM,@,TOR,W (+13),0,23:46,4.0,7.0,.571,2.0,3.0,.667,1,1.0,1.000,2.0,5.0,7.0,1.0,0.0,1.0,1.0,2.0,11.0,10.2,+5,4.0,2.0,0.5,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,11.0,96.0,5.333333333333333,9.8,95.7,5.316666666666666
35,35,33,2022-12-31,26-284,MEM,,NOP,W (+15),0,23:13,4.0,7.0,.571,0.0,3.0,.000,0,0.0,,1.0,2.0,3.0,3.0,3.0,0.0,1.0,2.0,8.0,9.3,+12,4.0,4.0,1.0,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,9.0,90.0,5.0,9.299999999999995,98.8,5.488888888888889
36,36,34,2023-01-01,26-285,MEM,,SAC,W (+10),1,27:38,5.0,11.0,.455,1.0,6.0,.167,1,1.0,1.000,2.0,4.0,6.0,2.0,4.0,0.0,1.0,0.0,12.0,13.3,0,5.0,4.0,0.8,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,11.0,78.0,4.333333333333333,12.9,85.50000000000001,4.750000000000001
37,37,35,2023-01-04,26-288,MEM,@,CHO,W (+24),0,18:49,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,4.3,+10,1.0,1.0,1.0,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,6.0,100.0,5.555555555555555,4.3,102.40000000000002,5.68888888888889
38,38,36,2023-01-05,26-289,MEM,@,ORL,W (+8),1,23:41,1.0,4.0,.250,1.0,2.0,.500,0,0.0,,0.0,7.0,7.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,-1,2.0,0.0,0.0,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,6.0,79.0,4.388888888888889,2.0000000000000004,92.5,5.138888888888889
39,39,37,2023-01-08,26-292,MEM,,UTA,W (+5),0,15:36,1.0,3.0,.333,1.0,2.0,.500,2,2.0,1.000,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,3.6,+12,1.0,0.0,0.0,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,1.0,95.0,5.277777777777778,2.800000000000001,106.6,5.922222222222222
40,40,38,2023-01-09,26-293,MEM,,SAS,W (+8),0,14:46,1.0,3.0,.333,1.0,2.0,.500,0,0.0,,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,3.3,+5,1.0,0.0,0.0,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,4.0,78.0,4.333333333333333,3.3000000000000007,89.3,4.961111111111111
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,,0.0,0.0,0.0,0.0,0.0
42,41,39,2023-01-11,26-295,MEM,,SAS,W (+6),0,12:20,0.0,2.0,.000,0.0,0.0,,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5,-4,2.0,0.0,0.0,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,1.0,90.0,5.0,-0.5000000000000001,111.0,6.166666666666667
43,42,,2023-01-14,26-298,MEM,@,IND,W (+18),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,,108.0,6.0,0.0,109.0,6.055555555555555
44,43,,2023-01-16,26-300,MEM,,PHO,W (+30),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,,114.0,6.333333333333333,0.0,115.6,6.422222222222222
45,44,40,2023-01-18,26-302,MEM,,CLE,W (+1),0,13:22,1.0,4.0,.250,0.0,2.0,.000,0,0.0,,0.0,4.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,0.1,+13,2.0,1.0,0.5,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,2.0,72.0,4.0,0.1,89.1,4.949999999999999
46,45,41,2023-01-20,26-304,MEM,@,LAL,L (-1),0,8:56,0.0,0.0,,0.0,0.0,,0,0.0,,2.0,2.0,4.0,1.0,1.0,0.0,0.0,3.0,0.0,2.5,+5,0.0,0.0,,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,6.0,73.0,4.055555555555555,2.5,78.1,4.338888888888889
47,46,42,2023-01-22,26-306,MEM,@,PHO,L (-2),0,5:59,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,-6,1.0,0.0,0.0,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,1.0,64.0,3.555555555555556,0.6,73.4,4.077777777777778
48,47,43,2023-01-23,26-307,MEM,@,SAC,L (-33),0,9:53,0.0,4.0,.000,0.0,0.0,,0,0.0,,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,-0.5,-4,4.0,0.0,0.0,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,-1.0,59.0,3.2777777777777777,-0.4999999999999996,69.49999999999999,3.8611111111111103
49,48,,2023-01-25,26-309,MEM,@,GSW,L (-2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,,62.0,3.4444444444444446,0.0,82.49999999999999,4.583333333333332
50,49,,2023-01-27,26-311,MEM,@,MIN,L (-11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,,64.0,3.555555555555556,0.0,68.59999999999998,3.81111111111111
51,50,,2023-01-29,26-313,MEM,,IND,W (+12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,,89.0,4.944444444444445,0.0,96.9,5.383333333333334
52,51,,2023-02-01,26-316,MEM,,POR,L (-10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,,71.0,3.9444444444444446,0.0,87.50000000000001,4.861111111111112
53,52,44,2023-02-02,26-317,MEM,@,CLE,L (-15),0,28:21,1.0,4.0,.250,0.0,2.0,.000,0,0.0,,1.0,6.0,7.0,5.0,2.0,0.0,1.0,2.0,2.0,5.8,-11,2.0,1.0,0.5,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,11.0,72.0,4.0,5.799999999999999,78.0,4.333333333333333
54,53,45,2023-02-05,26-320,MEM,,TOR,L (-3),0,18:27,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,3.0,2.2,-11,0.0,0.0,,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,5.0,78.0,4.333333333333333,2.2,75.7,4.205555555555556
55,54,46,2023-02-07,26-322,MEM,,CHI,W (+15),0,10:12,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,-2.3,-3,1.0,0.0,0.0,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,0.0,68.0,3.7777777777777777,-2.3,78.5,4.361111111111111
56,55,47,2023-02-10,26-325,MEM,,MIN,W (+21),0,26:46,1.0,3.0,.333,1.0,3.0,.333,0,0.0,,0.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,3.9,+15,0.0,0.0,,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,5.0,95.0,5.277777777777778,3.900000000000001,100.4,5.577777777777778
57,56,48,2023-02-12,26-327,MEM,@,BOS,L (-10),0,4:53,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.3,-3,0.0,0.0,,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,2.0,77.0,4.277777777777778,2.3000000000000003,73.9,4.105555555555556
58,57,49,2023-02-15,26-330,MEM,,UTA,W (+6),0,11:27,2.0,4.0,.500,2.0,3.0,.667,0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,5.6,-2,1.0,0.0,0.0,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,6.0,79.0,4.388888888888889,5.6000000000000005,81.49999999999999,4.527777777777777
