Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Caruso,Shared Games with Andre Drummond,Shared Games with Ayo Dosunmu,Shared Games with Carlik Jones,Shared Games with Coby White,Shared Games with Dalen Terry,Shared Games with DeMar DeRozan,Shared Games with Derrick Jones Jr.,Shared Games with Goran Dragić,Shared Games with Javonte Green,Shared Games with Malcolm Hill,Shared Games with Marko Simonovic,Shared Games with Nikola Vučević,Shared Games with Tony Bradley,Shared Games with Zach LaVine,Alex Caruso,Andre Drummond,Ayo Dosunmu,Carlik Jones,Coby White,Dalen Terry,DeMar DeRozan,Derrick Jones Jr.,Goran Dragić,Javonte Green,Kostas Antetokounmpo,Lonzo Ball,Malcolm Hill,Marko Simonovic,Nikola Vučević,Tony Bradley,Zach LaVine,co_inf with Alex Caruso,co_inf with Andre Drummond,co_inf with Ayo Dosunmu,co_inf with Carlik Jones,co_inf with Coby White,co_inf with Dalen Terry,co_inf with DeMar DeRozan,co_inf with Derrick Jones Jr.,co_inf with Goran Dragić,co_inf with Javonte Green,co_inf with Kostas Antetokounmpo,co_inf with Lonzo Ball,co_inf with Malcolm Hill,co_inf with Marko Simonovic,co_inf with Nikola Vučević,co_inf with Tony Bradley,co_inf with Zach LaVine,Shared Games with Terry Taylor,Shared Games with Patrick Beverley,Clint Capela,Patrick Beverley,Robert Williams,Terry Taylor,co_inf with Terry Taylor,co_inf with Clint Capela,co_inf with Patrick Beverley,co_inf with Robert Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
33,33,33,2022-12-26,21-122,CHI,,HOU,L (-15),1,39:32,5.0,10.0,.500,2.0,6.0,.333,0,0.0,,0.0,7.0,7.0,2.0,1.0,2.0,0.0,1.0,12.0,12.5,-16,4.0,3.0,0.75,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,14.0,72.0,4.235294117647059,12.499999999999998,76.7,4.511764705882353
34,34,34,2022-12-28,21-124,CHI,,MIL,W (+6),1,41:13,4.0,12.0,.333,0.0,4.0,.000,0,0.0,,1.0,3.0,4.0,2.0,1.0,1.0,0.0,5.0,8.0,3.9,-2,8.0,4.0,0.5,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,4.0,83.0,4.882352941176471,3.9,84.69999999999999,4.98235294117647
35,35,35,2022-12-30,21-126,CHI,,DET,W (+14),1,31:16,3.0,6.0,.500,2.0,4.0,.500,0,0.0,,1.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,8.0,5.9,+10,2.0,1.0,0.5,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,5.0,111.0,6.529411764705882,5.899999999999999,110.5,6.5
36,36,36,2022-12-31,21-127,CHI,,CLE,L (-1),1,21:03,4.0,7.0,.571,1.0,3.0,.333,0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,9.0,4.7,-3,4.0,3.0,0.75,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,2.0,78.0,4.588235294117647,4.7,91.0,5.352941176470588
37,37,37,2023-01-02,21-129,CHI,@,CLE,L (-11),1,30:07,4.0,10.0,.400,2.0,7.0,.286,0,0.0,,0.0,5.0,5.0,2.0,1.0,0.0,0.0,3.0,10.0,7.3,-2,3.0,2.0,0.6666666666666666,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,8.0,81.0,4.764705882352941,7.3,88.49999999999997,5.205882352941175
38,38,38,2023-01-04,21-131,CHI,,BRK,W (+9),1,37:44,6.0,8.0,.750,3.0,4.0,.750,7,7.0,1.000,0.0,7.0,7.0,2.0,2.0,0.0,2.0,4.0,22.0,20.7,+4,4.0,3.0,0.75,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,16.0,58.0,3.411764705882353,17.899999999999995,70.09999999999998,4.1235294117647046
39,39,39,2023-01-06,21-133,CHI,@,PHI,W (+14),1,35:03,7.0,11.0,.636,2.0,5.0,.400,2,2.0,1.000,2.0,4.0,6.0,2.0,0.0,0.0,1.0,2.0,18.0,15.3,+20,6.0,5.0,0.8333333333333334,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,12.0,99.0,5.823529411764706,14.499999999999996,93.7,5.511764705882353
40,40,40,2023-01-07,21-134,CHI,,UTA,W (+8),1,34:03,2.0,10.0,.200,2.0,4.0,.500,1,2.0,.500,1.0,2.0,3.0,0.0,1.0,1.0,0.0,2.0,7.0,2.6,+9,6.0,0.0,0.0,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,0.0,97.0,5.705882352941177,2.2,97.1,5.711764705882352
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,,0.0,0.0,0.0,0.0,0.0
42,41,41,2023-01-09,21-136,CHI,@,BOS,L (-8),1,29:10,3.0,8.0,.375,3.0,5.0,.600,1,2.0,.500,0.0,2.0,2.0,1.0,3.0,0.0,1.0,3.0,10.0,7.3,-12,3.0,0.0,0.0,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,5.0,66.0,3.882352941176471,6.899999999999998,64.39999999999999,3.7882352941176465
43,42,42,2023-01-11,21-138,CHI,@,WAS,L (-3),1,33:01,3.0,8.0,.375,0.0,2.0,.000,0,0.0,,2.0,4.0,6.0,0.0,0.0,1.0,1.0,2.0,6.0,3.1,-9,6.0,3.0,0.5,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,4.0,50.0,2.9411764705882355,3.0999999999999988,60.00000000000001,3.5294117647058827
44,43,43,2023-01-13,21-140,CHI,,OKC,L (-14),1,26:39,6.0,11.0,.545,2.0,6.0,.333,4,4.0,1.000,2.0,3.0,5.0,3.0,1.0,1.0,2.0,3.0,18.0,15.6,-13,5.0,4.0,0.8,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,11.0,60.0,3.5294117647058822,13.999999999999996,68.0,4.0
45,44,44,2023-01-15,21-142,CHI,,GSW,W (+14),1,31:34,3.0,8.0,.375,3.0,5.0,.600,1,2.0,.500,0.0,2.0,2.0,2.0,0.0,0.0,1.0,3.0,10.0,5.0,+3,3.0,0.0,0.0,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,3.0,126.0,7.411764705882353,4.6,142.29999999999998,8.370588235294116
46,45,45,2023-01-19,21-146,CHI,@,DET,W (+18),1,30:46,4.0,6.0,.667,2.0,3.0,.667,0,0.0,,1.0,5.0,6.0,2.0,2.0,2.0,1.0,0.0,10.0,13.4,+14,3.0,2.0,0.6666666666666666,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,15.0,100.0,5.882352941176471,13.4,115.90000000000002,6.817647058823531
47,46,46,2023-01-23,21-150,CHI,,ATL,W (+11),1,30:43,6.0,11.0,.545,2.0,4.0,.500,4,5.0,.800,3.0,7.0,10.0,2.0,1.0,0.0,2.0,2.0,18.0,16.1,+4,7.0,4.0,0.5714285714285714,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,13.0,96.0,5.647058823529412,14.5,104.9,6.170588235294118
48,47,47,2023-01-24,21-151,CHI,@,IND,L (-6),1,27:42,2.0,5.0,.400,1.0,3.0,.333,2,2.0,1.000,0.0,5.0,5.0,0.0,1.0,1.0,1.0,2.0,7.0,5.7,+2,2.0,1.0,0.5,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,6.0,87.0,5.117647058823529,4.9,92.8,5.458823529411765
49,48,48,2023-01-26,21-153,CHI,@,CHO,L (-15),1,31:52,6.0,15.0,.400,1.0,7.0,.143,2,2.0,1.000,1.0,4.0,5.0,1.0,1.0,1.0,2.0,2.0,15.0,8.4,-5,8.0,5.0,0.625,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,4.0,52.0,3.0588235294117645,7.599999999999994,62.5,3.676470588235294
50,49,49,2023-01-28,21-155,CHI,@,ORL,W (+19),1,36:32,7.0,11.0,.636,2.0,4.0,.500,0,0.0,,0.0,6.0,6.0,2.0,1.0,1.0,1.0,2.0,16.0,14.2,+14,7.0,5.0,0.7142857142857143,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,14.0,111.0,6.529411764705882,14.2,132.8,7.811764705882354
51,50,50,2023-01-31,21-158,CHI,,LAC,L (-5),1,32:46,4.0,8.0,.500,1.0,3.0,.333,2,2.0,1.000,0.0,6.0,6.0,1.0,0.0,1.0,1.0,2.0,11.0,8.4,-7,5.0,3.0,0.6,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,8.0,120.0,7.0588235294117645,7.599999999999996,114.1,6.711764705882352
52,51,51,2023-02-02,21-160,CHI,,CHO,W (+16),1,27:09,2.0,8.0,.250,2.0,4.0,.500,0,0.0,,0.0,3.0,3.0,1.0,1.0,0.0,2.0,2.0,6.0,1.0,+12,4.0,0.0,0.0,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,1.0,82.0,4.823529411764706,0.9999999999999992,84.99999999999997,4.999999999999998
53,52,52,2023-02-04,21-162,CHI,,POR,W (+8),1,31:11,3.0,9.0,.333,0.0,2.0,.000,0,0.0,,1.0,6.0,7.0,0.0,1.0,1.0,1.0,2.0,6.0,3.3,-11,7.0,3.0,0.4285714285714285,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,5.0,106.0,6.235294117647059,3.299999999999999,116.2,6.835294117647059
54,53,53,2023-02-06,21-164,CHI,,SAS,W (+24),1,18:06,4.0,7.0,.571,1.0,2.0,.500,2,2.0,1.000,1.0,5.0,6.0,3.0,1.0,0.0,1.0,0.0,11.0,12.0,+7,5.0,3.0,0.6,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,11.0,117.0,6.882352941176471,11.2,97.5,5.735294117647059
55,54,54,2023-02-07,21-165,CHI,@,MEM,L (-15),1,31:57,4.0,10.0,.400,0.0,3.0,.000,1,1.0,1.000,2.0,3.0,5.0,2.0,1.0,0.0,2.0,2.0,9.0,5.5,-5,7.0,4.0,0.5714285714285714,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,4.0,87.0,5.117647058823529,5.1000000000000005,89.79999999999998,5.28235294117647
56,55,55,2023-02-09,21-167,CHI,@,BRK,L (-11),1,14:25,1.0,4.0,.250,0.0,0.0,,0,0.0,,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,0.9,-16,4.0,1.0,0.25,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,1.0,67.0,3.941176470588236,0.9000000000000004,82.6,4.858823529411764
57,56,56,2023-02-11,21-169,CHI,@,CLE,L (-8),1,33:07,6.0,10.0,.600,1.0,3.0,.333,0,0.0,,1.0,5.0,6.0,3.0,4.0,0.0,1.0,2.0,13.0,14.9,+6,7.0,5.0,0.7142857142857143,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,15.0,75.0,4.411764705882353,14.900000000000002,57.49999999999999,3.38235294117647
58,57,57,2023-02-13,21-171,CHI,,ORL,L (-9),1,30:12,2.0,11.0,.182,0.0,4.0,.000,2,2.0,1.000,2.0,2.0,4.0,0.0,0.0,1.0,3.0,3.0,6.0,-2.4,-15,7.0,2.0,0.2857142857142857,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,-5.0,96.0,5.647058823529412,-3.200000000000001,88.30000000000001,5.194117647058825
59,58,58,2023-02-15,21-173,CHI,@,IND,L (-4),1,28:40,5.0,10.0,.500,1.0,3.0,.333,0,0.0,,1.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,11.0,9.0,-17,7.0,4.0,0.5714285714285714,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,6.0,91.0,5.352941176470588,8.999999999999998,98.09999999999998,5.770588235294117
60,59,59,2023-02-16,21-174,CHI,,MIL,L (-12),1,30:02,6.0,10.0,.600,3.0,5.0,.600,1,2.0,.500,1.0,4.0,5.0,2.0,2.0,0.0,0.0,1.0,16.0,15.9,-28,5.0,3.0,0.6,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,13.0,67.0,3.941176470588236,15.499999999999996,67.99999999999999,3.999999999999999
61,60,60,2023-02-24,21-182,CHI,,BRK,W (+44),0,27:45,5.0,8.0,.625,2.0,2.0,1.000,5,8.0,.625,3.0,3.0,6.0,3.0,2.0,0.0,2.0,1.0,17.0,16.9,+21,6.0,3.0,0.5,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,10.0,119.0,7.0,14.900000000000002,106.8,6.2823529411764705
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,,0.0,0.0,0.0,0.0,0.0
63,61,61,2023-02-26,21-184,CHI,,WAS,W (+20),0,22:07,2.0,4.0,.500,1.0,2.0,.500,0,0.0,,2.0,2.0,4.0,1.0,0.0,1.0,0.0,1.0,5.0,6.0,+9,2.0,1.0,0.5,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,7.0,86.0,5.0588235294117645,5.999999999999997,98.0,5.764705882352941
64,62,62,2023-02-28,21-186,CHI,@,TOR,L (-6),0,21:30,3.0,5.0,.600,2.0,2.0,1.000,0,0.0,,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,8.0,9.0,-8,3.0,1.0,0.3333333333333333,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,8.0,92.0,5.411764705882353,8.999999999999998,83.30000000000001,4.9
65,63,63,2023-03-01,21-187,CHI,@,DET,W (+2),0,27:51,4.0,9.0,.444,1.0,1.0,1.000,2,2.0,1.000,0.0,2.0,2.0,0.0,0.0,2.0,0.0,3.0,11.0,7.1,-6,8.0,3.0,0.375,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,4.0,89.0,5.235294117647059,6.300000000000001,102.09999999999998,6.005882352941176
66,64,64,2023-03-03,21-189,CHI,,PHO,L (-21),1,28:37,4.0,8.0,.500,0.0,2.0,.000,1,2.0,.500,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,9.0,5.1,-26,6.0,4.0,0.6666666666666666,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,2.0,97.0,5.705882352941177,4.699999999999999,107.79999999999998,6.341176470588234
67,65,65,2023-03-05,21-191,CHI,,IND,L (-3),0,21:13,5.0,6.0,.833,2.0,3.0,.667,2,2.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,14.0,8.7,-4,3.0,3.0,1.0,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,4.0,81.0,4.764705882352941,7.9,87.5,5.147058823529412
