Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Caruso,Shared Games with Andre Drummond,Shared Games with Ayo Dosunmu,Shared Games with Carlik Jones,Shared Games with Coby White,Shared Games with Dalen Terry,Shared Games with DeMar DeRozan,Shared Games with Goran Dragić,Shared Games with Javonte Green,Shared Games with Malcolm Hill,Shared Games with Marko Simonovic,Shared Games with Nikola Vučević,Shared Games with Patrick Williams,Shared Games with Tony Bradley,Shared Games with Zach LaVine,Alex Caruso,Andre Drummond,Ayo Dosunmu,Carlik Jones,Coby White,Dalen Terry,DeMar DeRozan,Goran Dragić,Javonte Green,Kostas Antetokounmpo,Lonzo Ball,Malcolm Hill,Marko Simonovic,Nikola Vučević,Patrick Williams,Tony Bradley,Zach LaVine,co_inf with Alex Caruso,co_inf with Andre Drummond,co_inf with Ayo Dosunmu,co_inf with Carlik Jones,co_inf with Coby White,co_inf with Dalen Terry,co_inf with DeMar DeRozan,co_inf with Goran Dragić,co_inf with Javonte Green,co_inf with Kostas Antetokounmpo,co_inf with Lonzo Ball,co_inf with Malcolm Hill,co_inf with Marko Simonovic,co_inf with Nikola Vučević,co_inf with Patrick Williams,co_inf with Tony Bradley,co_inf with Zach LaVine,Shared Games with Terry Taylor,Shared Games with Patrick Beverley,Clint Capela,Patrick Beverley,Robert Williams,Terry Taylor,co_inf with Terry Taylor,co_inf with Clint Capela,co_inf with Patrick Beverley,co_inf with Robert Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
28,28,23,2022-12-16,25-304,CHI,,NYK,L (-23),0,9:03,1.0,3.0,.333,0.0,1.0,.000,0,0.0,,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.2,+6,2.0,1.0,0.5,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,2.0,63.0,3.7058823529411766,1.2000000000000006,58.899999999999984,3.4647058823529404
29,29,24,2022-12-18,25-306,CHI,@,MIN,L (-24),0,19:59,5.0,7.0,.714,2.0,3.0,.667,1,1.0,1.000,1.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,13.0,11.3,-9,4.0,3.0,0.75,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,9.0,69.0,4.0588235294117645,10.9,93.5,5.5
30,30,25,2022-12-20,25-308,CHI,@,MIA,W (+10),0,15:25,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,-2,1.0,1.0,1.0,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,2.0,77.0,4.529411764705882,1.0000000000000004,92.7,5.452941176470588
31,31,,2022-12-21,25-309,CHI,@,ATL,W (+2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,,90.0,5.294117647058823,0.0,98.5,5.794117647058823
32,32,,2022-12-23,25-311,CHI,@,NYK,W (+1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,,103.0,6.0588235294117645,0.0,103.9,6.111764705882353
33,33,,2022-12-26,25-314,CHI,,HOU,L (-15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,,86.0,5.0588235294117645,0.0,89.19999999999999,5.247058823529411
34,34,,2022-12-28,25-316,CHI,,MIL,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,,87.0,5.117647058823529,0.0,88.6,5.211764705882352
35,35,,2022-12-30,25-318,CHI,,DET,W (+14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,,116.0,6.823529411764706,0.0,116.4,6.847058823529412
36,36,,2022-12-31,25-319,CHI,,CLE,L (-1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,,80.0,4.705882352941177,0.0,95.7,5.629411764705883
37,37,26,2023-01-02,25-321,CHI,@,CLE,L (-11),0,21:53,3.0,4.0,.750,0.0,1.0,.000,0,0.0,,2.0,4.0,6.0,0.0,0.0,0.0,1.0,4.0,6.0,4.4,-6,3.0,3.0,1.0,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,7.0,82.0,4.823529411764706,4.399999999999999,91.39999999999998,5.376470588235293
38,38,27,2023-01-04,25-323,CHI,,BRK,W (+9),0,12:52,3.0,3.0,1.000,0.0,0.0,,2,3.0,.667,0.0,2.0,2.0,0.0,1.0,1.0,2.0,4.0,8.0,5.4,+2,3.0,3.0,1.0,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,4.0,70.0,4.117647058823529,4.6,83.39999999999998,4.905882352941175
39,39,28,2023-01-06,25-325,CHI,@,PHI,W (+14),0,16:25,3.0,4.0,.750,1.0,1.0,1.000,1,3.0,.333,1.0,2.0,3.0,2.0,0.0,0.0,1.0,2.0,8.0,6.5,-8,3.0,2.0,0.6666666666666666,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,5.0,106.0,6.235294117647059,6.099999999999998,102.1,6.0058823529411764
40,40,29,2023-01-07,25-326,CHI,,UTA,W (+8),0,16:37,1.0,2.0,.500,0.0,0.0,,3,4.0,.750,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,4.1,+8,2.0,1.0,0.5,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,2.0,95.0,5.588235294117647,2.9000000000000004,96.4,5.670588235294118
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,,0.0,0.0,0.0,0.0,0.0
42,41,30,2023-01-09,25-328,CHI,@,BOS,L (-8),0,14:10,2.0,4.0,.500,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,+10,3.0,2.0,0.6666666666666666,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,2.0,69.0,4.0588235294117645,3.0,68.3,4.017647058823529
43,42,31,2023-01-11,25-330,CHI,@,WAS,L (-3),0,18:22,2.0,3.0,.667,1.0,2.0,.500,2,2.0,1.000,0.0,4.0,4.0,0.0,0.0,2.0,0.0,3.0,7.0,7.1,+5,1.0,1.0,1.0,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,8.0,46.0,2.7058823529411766,6.300000000000001,56.80000000000001,3.341176470588236
44,43,32,2023-01-13,25-332,CHI,,OKC,L (-14),0,30:19,3.0,7.0,.429,1.0,2.0,.500,0,0.0,,1.0,3.0,4.0,1.0,0.0,3.0,0.0,2.0,7.0,6.9,-2,5.0,2.0,0.4,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,8.0,63.0,3.7058823529411766,6.899999999999999,75.1,4.417647058823529
45,44,33,2023-01-15,25-334,CHI,,GSW,W (+14),0,21:43,2.0,6.0,.333,0.0,1.0,.000,3,3.0,1.000,1.0,0.0,1.0,3.0,1.0,0.0,1.0,3.0,7.0,5.2,+18,5.0,2.0,0.4,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,2.0,127.0,7.470588235294118,4.0,142.89999999999998,8.405882352941175
46,45,34,2023-01-19,25-338,CHI,@,DET,W (+18),0,16:32,5.0,6.0,.833,0.0,1.0,.000,2,3.0,.667,1.0,1.0,2.0,0.0,0.0,2.0,1.0,4.0,12.0,9.2,+3,5.0,5.0,1.0,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,6.0,109.0,6.411764705882353,8.4,120.90000000000002,7.111764705882354
47,46,35,2023-01-23,25-342,CHI,,ATL,W (+11),0,16:28,2.0,5.0,.400,1.0,2.0,.500,0,0.0,,3.0,1.0,4.0,1.0,0.0,1.0,1.0,3.0,5.0,3.9,-7,3.0,1.0,0.3333333333333333,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,5.0,104.0,6.117647058823529,3.8999999999999977,115.5,6.794117647058823
48,47,36,2023-01-24,25-343,CHI,@,IND,L (-6),0,20:13,5.0,9.0,.556,0.0,1.0,.000,0,0.0,,3.0,2.0,5.0,0.0,0.0,1.0,0.0,2.0,10.0,8.3,+2,8.0,5.0,0.625,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,7.0,86.0,5.0588235294117645,8.299999999999997,89.4,5.258823529411765
49,48,37,2023-01-26,25-345,CHI,@,CHO,L (-15),0,23:01,1.0,1.0,1.000,0.0,0.0,,1,2.0,.500,2.0,5.0,7.0,3.0,0.0,0.0,0.0,1.0,3.0,6.9,-9,1.0,1.0,1.0,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,10.0,46.0,2.7058823529411766,6.499999999999998,63.6,3.7411764705882353
50,49,38,2023-01-28,25-347,CHI,@,ORL,W (+19),0,14:37,2.0,3.0,.667,1.0,2.0,.500,0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,5.0,4.9,+3,1.0,1.0,1.0,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,5.0,120.0,7.0588235294117645,4.9,142.10000000000002,8.358823529411765
51,50,39,2023-01-31,25-350,CHI,,LAC,L (-5),0,16:15,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.4,-16,1.0,0.0,0.0,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,-1.0,129.0,7.588235294117647,-1.4,123.09999999999997,7.2411764705882335
52,51,40,2023-02-02,25-352,CHI,,CHO,W (+16),0,8:10,1.0,1.0,1.000,0.0,0.0,,0,0.0,,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.3,0,1.0,1.0,1.0,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,3.0,80.0,4.705882352941177,2.2999999999999994,83.69999999999999,4.923529411764705
53,52,41,2023-02-04,25-354,CHI,,POR,W (+8),0,16:49,0.0,1.0,.000,0.0,1.0,.000,2,2.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.2,+19,0.0,0.0,,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,0.0,111.0,6.529411764705882,0.3999999999999998,119.1,7.0058823529411764
54,53,42,2023-02-06,25-356,CHI,,SAS,W (+24),0,26:24,1.0,2.0,.500,1.0,1.0,1.000,2,2.0,1.000,0.0,3.0,3.0,1.0,2.0,2.0,0.0,3.0,5.0,7.8,+19,1.0,0.0,0.0,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,9.0,119.0,7.0,6.999999999999999,101.7,5.982352941176471
55,54,43,2023-02-07,25-357,CHI,@,MEM,L (-15),0,14:15,1.0,4.0,.250,1.0,3.0,.333,2,2.0,1.000,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,4.2,-10,1.0,0.0,0.0,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,3.0,88.0,5.176470588235294,3.4000000000000004,91.49999999999996,5.382352941176468
56,55,44,2023-02-09,25-359,CHI,@,BRK,L (-11),0,6:41,2.0,6.0,.333,0.0,2.0,.000,0,0.0,,2.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,4.0,3.6,+10,4.0,2.0,0.5,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,3.0,65.0,3.823529411764706,3.6,79.89999999999999,4.699999999999999
57,56,45,2023-02-11,25-361,CHI,@,CLE,L (-8),0,11:23,1.0,4.0,.250,0.0,0.0,,3,4.0,.750,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,-13,4.0,1.0,0.25,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,1.0,89.0,5.235294117647059,3.8,68.6,4.035294117647059
58,57,46,2023-02-13,25-363,CHI,,ORL,L (-9),0,9:04,0.0,0.0,,0.0,0.0,,1,2.0,.500,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,3.3,+6,0.0,0.0,,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,2.0,89.0,5.235294117647059,2.9000000000000004,82.20000000000002,4.835294117647059
