Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Collin Sexton,Shared Games with Jarred Vanderbilt,Shared Games with Johnny Juzang,Shared Games with Jordan Clarkson,Shared Games with Kelly Olynyk,Shared Games with Kris Dunn,Shared Games with Lauri Markkanen,Shared Games with Leandro Bolmaro,Shared Games with Luka Šamanić,Shared Games with Malik Beasley,Shared Games with Micah Potter,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Shared Games with Ochai Agbaji,Shared Games with Rudy Gay,Shared Games with Simone Fontecchio,Shared Games with Talen Horton-Tucker,Shared Games with Walker Kessler,Collin Sexton,Frank Jackson,Jarred Vanderbilt,Jarrell Brantley,Johnny Juzang,Jordan Clarkson,Kelly Olynyk,Kris Dunn,Lauri Markkanen,Leandro Bolmaro,Luka Šamanić,Malik Beasley,Micah Potter,Mike Conley,Nickeil Alexander-Walker,Ochai Agbaji,Rudy Gay,Simone Fontecchio,Talen Horton-Tucker,Walker Kessler,co_inf with Collin Sexton,co_inf with Frank Jackson,co_inf with Jarred Vanderbilt,co_inf with Jarrell Brantley,co_inf with Johnny Juzang,co_inf with Jordan Clarkson,co_inf with Kelly Olynyk,co_inf with Kris Dunn,co_inf with Lauri Markkanen,co_inf with Leandro Bolmaro,co_inf with Luka Šamanić,co_inf with Malik Beasley,co_inf with Micah Potter,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Ochai Agbaji,co_inf with Rudy Gay,co_inf with Simone Fontecchio,co_inf with Talen Horton-Tucker,co_inf with Walker Kessler,Shared Games with Damian Jones,Shared Games with Juan Toscano-Anderson,Damian Jones,Juan Toscano-Anderson,Malcolm Brogdon,co_inf with Damian Jones,co_inf with Juan Toscano-Anderson,co_inf with Malcolm Brogdon,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
26,26,,2022-12-03,23-077,UTA,,POR,L (-5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,60.0,3.0,0.0,60.8,3.04
27,27,,2022-12-07,23-081,UTA,,GSW,W (+1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,62.0,3.1,0.0,67.1,3.3549999999999995
28,28,,2022-12-09,23-083,UTA,,MIN,L (-10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,23.0,1.15,0.0,21.9,1.095
29,29,,2022-12-10,23-084,UTA,@,DEN,L (-5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,51.0,2.55,0.0,50.1,2.505
30,30,10,2022-12-13,23-087,UTA,,NOP,W (+21),0,3:50,0.0,0.0,,0.0,0.0,,0,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-4,0.0,0.0,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,2.0,50.0,2.5,1.0,39.99999999999999,1.9999999999999996
31,31,11,2022-12-15,23-089,UTA,,NOP,W (+3),0,3:03,2.0,2.0,1.000,0.0,0.0,,0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,3.1,-2,2.0,2.0,1.0,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,2.0,64.0,3.2,3.1,71.7,3.585
32,32,12,2022-12-17,23-091,UTA,@,MIL,L (-26),0,5:23,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-6,0.0,0.0,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,1.0,33.0,1.65,0.3,38.3,1.9149999999999998
33,33,13,2022-12-19,23-093,UTA,@,CLE,L (-23),0,6:15,2.0,3.0,.667,0.0,0.0,,0,0.0,,2.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,-2,3.0,2.0,0.6666666666666666,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,6.0,23.0,1.15,4.999999999999999,44.3,2.215
34,34,14,2022-12-20,23-094,UTA,@,DET,W (+15),0,6:33,1.0,1.0,1.000,0.0,0.0,,0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,3.7,-2,1.0,1.0,1.0,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,5.0,42.0,2.1,3.6999999999999993,55.7,2.785
35,35,15,2022-12-22,23-096,UTA,,WAS,W (+8),0,2:46,0.0,0.0,,0.0,0.0,,0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,-8,0.0,0.0,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,1.0,59.0,2.95,0.2999999999999999,53.5,2.675
36,36,,2022-12-26,23-100,UTA,@,SAS,L (-4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,36.0,1.8,0.0,54.0,2.7
37,37,,2022-12-28,23-102,UTA,@,GSW,L (-5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,45.0,2.25,0.0,52.00000000000001,2.6000000000000005
38,38,,2022-12-30,23-104,UTA,@,SAC,L (-1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,63.0,3.15,0.0,68.7,3.435
39,39,,2022-12-31,23-105,UTA,,MIA,L (-3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,57.0,2.85,0.0,66.5,3.325
40,40,,2023-01-03,23-108,UTA,,SAC,L (-2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,48.0,2.4,0.0,37.2,1.86
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,0.0,0.0,0.0,0.0,0.0
42,41,,2023-01-05,23-110,UTA,@,HOU,W (+17),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,78.0,3.9,0.0,86.2,4.3100000000000005
43,42,,2023-01-07,23-112,UTA,@,CHI,L (-8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,75.0,3.75,0.0,72.10000000000001,3.6050000000000004
44,43,,2023-01-08,23-113,UTA,@,MEM,L (-5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,73.0,3.65,0.0,65.70000000000002,3.285000000000001
45,44,,2023-01-10,23-115,UTA,,CLE,W (+2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,65.0,3.25,0.0,56.3,2.815
46,45,,2023-01-13,23-118,UTA,,ORL,W (+4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,59.0,2.95,0.0,66.7,3.335
47,46,,2023-01-14,23-119,UTA,,PHI,L (-1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,52.0,2.6,0.0,58.5,2.925
48,47,,2023-01-16,23-121,UTA,@,MIN,W (+1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,53.0,2.65,0.0,57.69999999999999,2.8849999999999993
49,48,16,2023-01-18,23-123,UTA,,LAC,W (+23),0,2:54,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+4,0.0,0.0,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,0.0,55.0,2.75,0.0,64.5,3.225
50,49,,2023-01-20,23-125,UTA,,BRK,L (-11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,39.0,1.95,0.0,51.8,2.59
51,50,17,2023-01-23,23-128,UTA,,CHO,W (+18),0,4:17,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,-1.8,-7,1.0,0.0,0.0,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,-1.0,53.0,2.65,-1.8,57.0,2.85
52,51,18,2023-01-25,23-130,UTA,@,POR,L (-10),0,0:53,2.0,2.0,1.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.4,+2,2.0,2.0,1.0,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,2.0,56.0,2.8,3.4,59.49999999999999,2.9749999999999996
53,52,,2023-01-28,23-133,UTA,,DAL,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,52.0,2.6,0.0,52.6,2.63
