Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Danuel House Jr.,Shared Games with De'Anthony Melton,Shared Games with Georges Niang,Shared Games with Jaden Springer,Shared Games with James Harden,Shared Games with Joel Embiid,Shared Games with Julian Champagnie,Shared Games with Mac McClung,Shared Games with Matisse Thybulle,Shared Games with Montrezl Harrell,Shared Games with P.J. Tucker,Shared Games with Paul Reed,Shared Games with Shake Milton,Shared Games with Tobias Harris,Shared Games with Tyrese Maxey,Danuel House Jr.,De'Anthony Melton,Georges Niang,Jaden Springer,James Harden,Joel Embiid,Julian Champagnie,Louis King,Mac McClung,Matisse Thybulle,Michael Foster Jr.,Montrezl Harrell,P.J. Tucker,Paul Reed,Saben Lee,Shake Milton,Tobias Harris,Tyrese Maxey,co_inf with Danuel House Jr.,co_inf with De'Anthony Melton,co_inf with Georges Niang,co_inf with Jaden Springer,co_inf with James Harden,co_inf with Joel Embiid,co_inf with Julian Champagnie,co_inf with Louis King,co_inf with Mac McClung,co_inf with Matisse Thybulle,co_inf with Michael Foster Jr.,co_inf with Montrezl Harrell,co_inf with P.J. Tucker,co_inf with Paul Reed,co_inf with Saben Lee,co_inf with Shake Milton,co_inf with Tobias Harris,co_inf with Tyrese Maxey,Shared Games with Jalen McDaniels,Shared Games with Dewayne Dedmon,Dewayne Dedmon,Grant Williams,Jalen McDaniels,co_inf with Jalen McDaniels,co_inf with Dewayne Dedmon,co_inf with Grant Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
28,28,,2022-12-16,25-145,PHI,,GSW,W (+12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,,103.0,6.0588235294117645,0.0,114.5,6.735294117647059
29,29,,2022-12-19,25-148,PHI,,TOR,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,,67.0,3.941176470588236,0.0,67.39999999999998,3.96470588235294
30,30,17,2022-12-21,25-150,PHI,,DET,W (+20),0,3:33,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.4,0,0.0,0.0,,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,2.0,87.0,5.117647058823529,1.4,90.2,5.305882352941176
31,31,18,2022-12-23,25-152,PHI,,LAC,W (+5),0,0:18,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,0,0.0,0.0,,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,0.0,92.0,5.411764705882353,-0.4,102.69999999999996,6.041176470588233
32,32,,2022-12-25,25-154,PHI,@,NYK,W (+7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,,82.0,4.823529411764706,0.0,99.0,5.823529411764706
33,33,,2022-12-27,25-156,PHI,@,WAS,L (-5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,,66.0,3.882352941176471,0.0,83.3,4.8999999999999995
34,34,19,2022-12-30,25-159,PHI,@,NOP,L (-11),0,1:02,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,+2,0.0,0.0,,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,-1.0,83.0,4.882352941176471,-1.0,87.10000000000001,5.123529411764706
35,35,20,2022-12-31,25-160,PHI,@,OKC,W (+19),0,25:11,3.0,7.0,.429,1.0,4.0,.250,0,2.0,.000,1.0,4.0,5.0,1.0,2.0,1.0,1.0,0.0,7.0,6.8,0,3.0,2.0,0.6666666666666666,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,6.0,89.0,5.235294117647059,6.799999999999998,86.89999999999999,5.1117647058823525
36,36,,2023-01-02,25-162,PHI,,NOP,W (+9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,,92.0,5.411764705882353,0.0,98.0,5.764705882352941
37,37,,2023-01-04,25-164,PHI,,IND,W (+3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,,94.0,5.529411764705882,0.0,104.4,6.141176470588236
38,38,,2023-01-06,25-166,PHI,,CHI,L (-14),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,,81.0,4.764705882352941,0.0,96.29999999999998,5.664705882352941
39,39,21,2023-01-08,25-168,PHI,@,DET,W (+12),0,6:34,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.7,-11,1.0,1.0,1.0,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,0.0,94.0,5.529411764705882,0.7,101.4,5.964705882352941
40,40,22,2023-01-10,25-170,PHI,,DET,W (+31),0,12:00,1.0,4.0,.250,1.0,1.0,1.000,1,2.0,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.8,-1,3.0,0.0,0.0,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,-2.0,129.0,7.588235294117647,0.4000000000000004,130.09999999999997,7.652941176470586
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,,0.0,0.0,0.0,0.0,0.0
42,41,23,2023-01-12,25-172,PHI,,OKC,L (-19),0,1:41,1.0,2.0,.500,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-3,2.0,1.0,0.5,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,0.0,76.0,4.470588235294118,1.0,78.5,4.617647058823529
43,42,,2023-01-14,25-174,PHI,@,UTA,W (+1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,,76.0,4.470588235294118,0.0,92.6,5.447058823529411
44,43,,2023-01-15,25-175,PHI,@,LAL,W (+1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,,81.0,4.764705882352941,0.0,87.09999999999998,5.1235294117647046
45,44,24,2023-01-17,25-177,PHI,@,LAC,W (+10),0,2:53,2.0,2.0,1.000,0.0,0.0,,0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.1,-7,2.0,2.0,1.0,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,3.0,77.0,4.529411764705882,4.1,97.0,5.705882352941177
46,45,,2023-01-19,25-179,PHI,@,POR,W (+10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,,96.0,5.647058823529412,0.0,100.0,5.882352941176471
47,46,,2023-01-21,25-181,PHI,@,SAC,W (+2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,,87.0,5.117647058823529,0.0,106.29999999999995,6.252941176470586
48,47,,2023-01-25,25-185,PHI,,BRK,W (+4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,,87.0,5.117647058823529,0.0,103.4,6.082352941176471
49,48,,2023-01-28,25-188,PHI,,DEN,W (+7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,,91.0,5.352941176470588,0.0,105.5,6.205882352941177
50,49,,2023-01-30,25-190,PHI,,ORL,L (-10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,,72.0,4.235294117647059,0.0,72.89999999999999,4.288235294117647
51,50,,2023-02-01,25-192,PHI,,ORL,W (+11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,,76.0,4.470588235294118,0.0,72.60000000000001,4.2705882352941185
52,51,25,2023-02-03,25-194,PHI,@,SAS,W (+12),0,1:32,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,0.0,87.0,5.117647058823529,0.0,104.69999999999996,6.158823529411762
53,52,,2023-02-05,25-196,PHI,@,NYK,L (-11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,,56.0,3.294117647058824,0.0,67.4,3.9647058823529413
54,53,,2023-02-08,25-199,PHI,@,BOS,L (-7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,,57.0,3.3529411764705883,0.0,69.9,4.111764705882353
55,54,,2023-02-10,25-201,PHI,,NYK,W (+11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,,99.0,5.823529411764706,0.0,113.79999999999998,6.694117647058823
56,55,,2023-02-11,25-202,PHI,@,BRK,W (+3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,,69.0,4.0588235294117645,0.0,68.89999999999999,4.052941176470588
57,56,,2023-02-13,25-204,PHI,,HOU,W (+19),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,,92.0,5.411764705882353,0.0,96.5,5.676470588235294
