Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Danuel House Jr.,Shared Games with De'Anthony Melton,Shared Games with Furkan Korkmaz,Shared Games with Georges Niang,Shared Games with Jaden Springer,Shared Games with James Harden,Shared Games with Joel Embiid,Shared Games with Julian Champagnie,Shared Games with Louis King,Shared Games with Mac McClung,Shared Games with Matisse Thybulle,Shared Games with Montrezl Harrell,Shared Games with P.J. Tucker,Shared Games with Paul Reed,Shared Games with Saben Lee,Shared Games with Shake Milton,Shared Games with Tyrese Maxey,Danuel House Jr.,De'Anthony Melton,Furkan Korkmaz,Georges Niang,Jaden Springer,James Harden,Joel Embiid,Julian Champagnie,Louis King,Mac McClung,Matisse Thybulle,Michael Foster Jr.,Montrezl Harrell,P.J. Tucker,Paul Reed,Saben Lee,Shake Milton,Tyrese Maxey,co_inf with Danuel House Jr.,co_inf with De'Anthony Melton,co_inf with Furkan Korkmaz,co_inf with Georges Niang,co_inf with Jaden Springer,co_inf with James Harden,co_inf with Joel Embiid,co_inf with Julian Champagnie,co_inf with Louis King,co_inf with Mac McClung,co_inf with Matisse Thybulle,co_inf with Michael Foster Jr.,co_inf with Montrezl Harrell,co_inf with P.J. Tucker,co_inf with Paul Reed,co_inf with Saben Lee,co_inf with Shake Milton,co_inf with Tyrese Maxey,Shared Games with Jalen McDaniels,Shared Games with Dewayne Dedmon,Dewayne Dedmon,Grant Williams,Jalen McDaniels,co_inf with Jalen McDaniels,co_inf with Dewayne Dedmon,co_inf with Grant Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
28,28,,2022-12-16,30-154,PHI,,GSW,W (+12),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,,103.0,5.421052631578948,0.0,114.5,6.026315789473684
29,29,26,2022-12-19,30-157,PHI,,TOR,W (+3),1,42:13,7.0,9.0,.778,5.0,7.0,.714,2,2.0,1.000,0.0,4.0,4.0,1.0,1.0,0.0,2.0,2.0,21.0,17.6,+7,2.0,2.0,1.0,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,14.0,53.0,2.789473684210526,16.799999999999997,50.59999999999998,2.663157894736841
30,30,27,2022-12-21,30-159,PHI,,DET,W (+20),1,21:08,6.0,9.0,.667,2.0,4.0,.500,3,3.0,1.000,2.0,2.0,4.0,1.0,1.0,0.0,1.0,3.0,17.0,14.6,0,5.0,4.0,0.8,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,10.0,79.0,4.157894736842105,13.4,78.2,4.11578947368421
31,31,28,2022-12-23,30-161,PHI,,LAC,W (+5),1,39:02,6.0,12.0,.500,2.0,6.0,.333,0,0.0,,2.0,6.0,8.0,2.0,0.0,0.0,4.0,3.0,14.0,7.4,+12,6.0,4.0,0.6666666666666666,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,8.0,84.0,4.421052631578948,7.399999999999999,94.89999999999998,4.994736842105262
32,32,29,2022-12-25,30-163,PHI,@,NYK,W (+7),1,36:56,4.0,10.0,.400,0.0,5.0,.000,0,0.0,,0.0,6.0,6.0,2.0,0.0,0.0,0.0,1.0,8.0,5.4,-4,5.0,4.0,0.8,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,6.0,76.0,4.0,5.399999999999999,93.6,4.9263157894736835
33,33,30,2022-12-27,30-165,PHI,@,WAS,L (-5),1,39:07,7.0,14.0,.500,0.0,4.0,.000,1,1.0,1.000,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,15.0,10.6,-7,10.0,7.0,0.7,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,7.0,59.0,3.1052631578947367,10.199999999999996,73.1,3.8473684210526313
34,34,31,2022-12-30,30-168,PHI,@,NOP,L (-11),1,33:06,5.0,10.0,.500,2.0,5.0,.400,2,2.0,1.000,0.0,5.0,5.0,3.0,0.0,1.0,0.0,1.0,14.0,12.9,+3,5.0,3.0,0.6,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,11.0,71.0,3.736842105263158,12.1,74.00000000000001,3.8947368421052637
35,35,32,2022-12-31,30-169,PHI,@,OKC,W (+19),1,30:55,10.0,17.0,.588,1.0,3.0,.333,2,2.0,1.000,5.0,4.0,9.0,4.0,0.0,0.0,0.0,2.0,23.0,21.8,+21,14.0,9.0,0.6428571428571429,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,17.0,78.0,4.105263157894737,21.0,72.69999999999999,3.8263157894736834
36,36,33,2023-01-02,30-171,PHI,,NOP,W (+9),1,31:29,2.0,5.0,.400,0.0,1.0,.000,1,2.0,.500,0.0,6.0,6.0,1.0,1.0,0.0,0.0,2.0,5.0,4.6,-1,4.0,2.0,0.5,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,6.0,86.0,4.526315789473684,4.199999999999999,93.8,4.936842105263158
37,37,34,2023-01-04,30-173,PHI,,IND,W (+3),1,38:40,8.0,18.0,.444,1.0,5.0,.200,2,2.0,1.000,4.0,6.0,10.0,3.0,0.0,1.0,1.0,0.0,19.0,16.0,-2,13.0,7.0,0.5384615384615384,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,12.0,82.0,4.315789473684211,15.2,89.19999999999999,4.694736842105263
38,38,35,2023-01-06,30-175,PHI,,CHI,L (-14),1,37:51,9.0,20.0,.450,2.0,7.0,.286,2,2.0,1.000,2.0,9.0,11.0,1.0,1.0,1.0,0.0,2.0,22.0,17.3,-12,13.0,7.0,0.5384615384615384,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,14.0,67.0,3.526315789473684,16.5,79.79999999999998,4.199999999999999
39,39,36,2023-01-08,30-177,PHI,@,DET,W (+12),1,27:18,5.0,11.0,.455,0.0,2.0,.000,2,2.0,1.000,1.0,3.0,4.0,0.0,2.0,2.0,1.0,2.0,12.0,9.5,+16,9.0,5.0,0.5555555555555556,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,6.0,88.0,4.631578947368421,8.7,93.4,4.915789473684211
40,40,37,2023-01-10,30-179,PHI,,DET,W (+31),1,26:42,6.0,6.0,1.000,2.0,2.0,1.000,0,0.0,,0.0,6.0,6.0,3.0,0.0,0.0,2.0,0.0,14.0,14.1,+40,4.0,4.0,1.0,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,15.0,112.0,5.894736842105263,14.099999999999998,116.4,6.126315789473685
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,,0.0,0.0,0.0,0.0,0.0
42,41,38,2023-01-12,30-181,PHI,,OKC,L (-19),1,32:42,5.0,13.0,.385,2.0,7.0,.286,1,2.0,.500,1.0,2.0,3.0,1.0,0.0,1.0,0.0,2.0,13.0,7.4,-9,6.0,3.0,0.5,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,3.0,73.0,3.842105263157895,7.0,72.5,3.8157894736842106
43,42,,2023-01-14,30-183,PHI,@,UTA,W (+1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,,76.0,4.0,0.0,92.6,4.873684210526315
44,43,39,2023-01-15,30-184,PHI,@,LAL,W (+1),1,31:04,7.0,13.0,.538,0.0,4.0,.000,1,1.0,1.000,0.0,5.0,5.0,3.0,0.0,3.0,3.0,3.0,15.0,10.2,+11,9.0,7.0,0.7777777777777778,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,9.0,72.0,3.789473684210526,9.8,77.29999999999998,4.068421052631578
45,44,40,2023-01-17,30-186,PHI,@,LAC,W (+10),1,35:17,8.0,12.0,.667,2.0,4.0,.500,2,4.0,.500,1.0,5.0,6.0,6.0,5.0,0.0,1.0,4.0,20.0,22.8,+10,8.0,6.0,0.75,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,20.0,60.0,3.1578947368421053,22.0,79.1,4.163157894736842
46,45,41,2023-01-19,30-188,PHI,@,POR,W (+10),1,32:32,5.0,11.0,.455,1.0,3.0,.333,0,0.0,,1.0,6.0,7.0,1.0,1.0,0.0,1.0,2.0,11.0,7.7,+7,8.0,4.0,0.5,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,8.0,88.0,4.631578947368421,7.699999999999999,92.29999999999998,4.857894736842105
47,46,42,2023-01-21,30-190,PHI,@,SAC,W (+2),1,25:10,7.0,13.0,.538,2.0,6.0,.333,1,1.0,1.000,0.0,5.0,5.0,6.0,0.0,0.0,5.0,6.0,17.0,9.0,-3,7.0,5.0,0.7142857142857143,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,9.0,78.0,4.105263157894737,8.599999999999998,97.69999999999996,5.142105263157893
48,47,43,2023-01-25,30-194,PHI,,BRK,W (+4),1,32:59,7.0,11.0,.636,1.0,2.0,.500,3,3.0,1.000,1.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,18.0,16.1,+8,9.0,6.0,0.6666666666666666,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,10.0,77.0,4.052631578947368,14.9,88.5,4.657894736842105
49,48,44,2023-01-28,30-197,PHI,,DEN,W (+7),1,32:13,6.0,10.0,.600,2.0,4.0,.500,0,0.0,,0.0,6.0,6.0,2.0,1.0,0.0,1.0,2.0,14.0,11.8,+3,6.0,4.0,0.6666666666666666,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,12.0,79.0,4.157894736842105,11.799999999999995,93.70000000000002,4.931578947368422
50,49,45,2023-01-30,30-199,PHI,,ORL,L (-10),1,32:57,7.0,15.0,.467,1.0,2.0,.500,2,2.0,1.000,2.0,4.0,6.0,1.0,0.0,0.0,2.0,2.0,17.0,9.8,-11,13.0,6.0,0.4615384615384615,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,5.0,67.0,3.526315789473684,8.999999999999996,63.900000000000006,3.3631578947368426
51,50,46,2023-02-01,30-201,PHI,,ORL,W (+11),1,37:24,7.0,10.0,.700,2.0,4.0,.500,0,0.0,,0.0,5.0,5.0,5.0,0.0,2.0,2.0,3.0,16.0,15.0,+3,6.0,5.0,0.8333333333333334,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,16.0,60.0,3.1578947368421053,15.0,72.10000000000001,3.7947368421052636
52,51,47,2023-02-03,30-203,PHI,@,SAS,W (+12),1,26:13,4.0,7.0,.571,0.0,0.0,,0,0.0,,1.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,8.0,6.8,+9,7.0,4.0,0.5714285714285714,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,5.0,82.0,4.315789473684211,6.8,97.9,5.152631578947369
53,52,48,2023-02-05,30-205,PHI,@,NYK,L (-11),1,38:04,5.0,12.0,.417,1.0,3.0,.333,3,3.0,1.000,2.0,8.0,10.0,3.0,0.0,1.0,1.0,1.0,14.0,12.8,+4,9.0,4.0,0.4444444444444444,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,12.0,44.0,2.3157894736842106,11.6,55.8,2.9368421052631577
54,53,49,2023-02-08,30-208,PHI,@,BOS,L (-7),1,32:07,2.0,10.0,.200,0.0,4.0,.000,0,0.0,,1.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,4.0,1.1,-11,6.0,2.0,0.3333333333333333,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,0.0,57.0,3.0,1.0999999999999996,68.80000000000001,3.621052631578948
55,54,50,2023-02-10,30-210,PHI,,NYK,W (+11),1,34:52,5.0,13.0,.385,2.0,8.0,.250,0,0.0,,0.0,4.0,4.0,4.0,1.0,0.0,1.0,2.0,12.0,8.1,+8,5.0,3.0,0.6,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,7.0,92.0,4.842105263157895,8.1,105.7,5.563157894736842
56,55,51,2023-02-11,30-211,PHI,@,BRK,W (+3),1,28:37,1.0,9.0,.111,1.0,3.0,.333,0,0.0,,0.0,5.0,5.0,2.0,1.0,1.0,1.0,0.0,3.0,0.7,+2,6.0,0.0,0.0,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,2.0,67.0,3.526315789473684,0.7000000000000002,68.19999999999999,3.589473684210526
57,56,52,2023-02-13,30-213,PHI,,HOU,W (+19),1,27:23,5.0,8.0,.625,1.0,4.0,.250,0,0.0,,1.0,5.0,6.0,0.0,2.0,1.0,0.0,2.0,11.0,11.5,+20,4.0,4.0,1.0,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,12.0,80.0,4.2105263157894735,11.499999999999998,85.0,4.473684210526316
