Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alperen Şengün,Shared Games with Boban Marjanović,Shared Games with Bruno Fernando,Shared Games with Daishen Nix,Shared Games with Eric Gordon,Shared Games with Garrison Mathews,Shared Games with Jabari Smith Jr.,Shared Games with Jae'Sean Tate,Shared Games with Jalen Green,Shared Games with Josh Christopher,Shared Games with Kenyon Martin Jr.,Shared Games with Tari Eason,Shared Games with Trevor Hudgins,Shared Games with TyTy Washington Jr.,Shared Games with Usman Garuba,Alperen Şengün,Boban Marjanović,Bruno Fernando,Daishen Nix,Darius Days,Eric Gordon,Garrison Mathews,Jabari Smith Jr.,Jae'Sean Tate,Jalen Green,Josh Christopher,Kenyon Martin Jr.,Tari Eason,Trevor Hudgins,TyTy Washington Jr.,Usman Garuba,Willie Cauley-Stein,co_inf with Alperen Şengün,co_inf with Boban Marjanović,co_inf with Bruno Fernando,co_inf with Daishen Nix,co_inf with Darius Days,co_inf with Eric Gordon,co_inf with Garrison Mathews,co_inf with Jabari Smith Jr.,co_inf with Jae'Sean Tate,co_inf with Jalen Green,co_inf with Josh Christopher,co_inf with Kenyon Martin Jr.,co_inf with Tari Eason,co_inf with Trevor Hudgins,co_inf with TyTy Washington Jr.,co_inf with Usman Garuba,co_inf with Willie Cauley-Stein,Shared Games with Frank Kaminsky,Shared Games with Justin Holiday,Frank Kaminsky,Jarrett Culver,John Wall,co_inf with Frank Kaminsky,co_inf with John Wall,co_inf with Jarrett Culver,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
60,59,,2023-02-24,22-296,HOU,@,GSW,L (-15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,,69.0,4.0588235294117645,0.0,81.69999999999999,4.805882352941175
61,60,,2023-02-26,22-298,HOU,@,POR,L (-17),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,,57.0,3.3529411764705883,0.0,76.89999999999999,4.523529411764706
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,,0.0,0.0,0.0,0.0,0.0
63,61,,2023-02-28,22-300,HOU,,DEN,L (-21),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,,74.0,4.352941176470588,0.0,87.59999999999998,5.152941176470587
64,62,41,2023-03-01,22-301,HOU,,MEM,L (-14),1,25:56,3.0,11.0,.273,2.0,5.0,.400,3,4.0,.750,1.0,4.0,5.0,2.0,0.0,0.0,2.0,2.0,11.0,4.6,0,6.0,1.0,0.1666666666666666,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,1.0,47.0,2.764705882352941,3.3999999999999995,59.39999999999999,3.494117647058823
65,63,42,2023-03-04,22-304,HOU,@,SAS,W (+12),1,29:31,4.0,10.0,.400,1.0,4.0,.250,2,3.0,.667,0.0,6.0,6.0,5.0,1.0,0.0,1.0,4.0,11.0,8.9,+7,6.0,3.0,0.5,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,9.0,76.0,4.470588235294118,8.1,89.9,5.288235294117648
66,64,43,2023-03-05,22-305,HOU,,SAS,W (+32),1,31:37,7.0,11.0,.636,3.0,5.0,.600,2,2.0,1.000,1.0,3.0,4.0,13.0,1.0,0.0,4.0,1.0,19.0,21.4,+22,6.0,4.0,0.6666666666666666,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,20.0,82.0,4.823529411764706,20.6,99.1,5.829411764705882
67,65,44,2023-03-07,22-307,HOU,,BRK,L (-22),1,28:55,2.0,11.0,.182,1.0,4.0,.250,3,4.0,.750,4.0,4.0,8.0,7.0,0.0,0.0,2.0,3.0,8.0,6.4,-25,7.0,1.0,0.1428571428571428,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,6.0,31.0,1.8235294117647056,5.2,44.29999999999998,2.6058823529411757
68,66,,2023-03-09,22-309,HOU,@,IND,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,,63.0,3.7058823529411766,0.0,83.80000000000001,4.929411764705883
69,67,45,2023-03-11,22-311,HOU,,CHI,L (-8),1,33:33,5.0,13.0,.385,2.0,7.0,.286,3,4.0,.750,0.0,4.0,4.0,4.0,2.0,0.0,1.0,3.0,15.0,11.3,-10,6.0,3.0,0.5,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,7.0,60.0,3.5294117647058822,10.1,71.39999999999999,4.199999999999999
70,68,46,2023-03-13,22-313,HOU,,BOS,W (+2),1,38:20,5.0,13.0,.385,1.0,4.0,.250,3,3.0,1.000,1.0,5.0,6.0,13.0,3.0,0.0,1.0,2.0,14.0,19.4,+4,9.0,4.0,0.4444444444444444,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,19.0,51.0,3.0,18.2,66.3,3.9
71,69,47,2023-03-15,22-315,HOU,,LAL,W (+4),1,39:04,11.0,16.0,.688,2.0,5.0,.400,3,4.0,.750,4.0,5.0,9.0,6.0,1.0,0.0,3.0,4.0,27.0,24.7,+7,11.0,9.0,0.8181818181818182,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,20.0,50.0,2.9411764705882355,23.49999999999999,55.0,3.235294117647059
72,70,48,2023-03-17,22-317,HOU,,NOP,W (+2),1,38:59,6.0,14.0,.429,5.0,12.0,.417,3,5.0,.600,0.0,4.0,4.0,6.0,2.0,0.0,3.0,1.0,20.0,15.8,+3,2.0,1.0,0.5,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,10.0,64.0,3.764705882352941,14.6,72.5,4.264705882352941
73,71,49,2023-03-19,22-319,HOU,,NOP,L (-10),1,40:14,7.0,15.0,.467,3.0,9.0,.333,8,8.0,1.000,0.0,5.0,5.0,4.0,0.0,0.0,2.0,1.0,25.0,19.2,-9,6.0,4.0,0.6666666666666666,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,9.0,29.0,1.7058823529411764,16.000000000000004,44.1,2.5941176470588236
74,72,50,2023-03-20,22-320,HOU,,GSW,L (-13),1,38:16,4.0,15.0,.267,3.0,10.0,.300,6,6.0,1.000,1.0,4.0,5.0,5.0,3.0,0.0,5.0,1.0,17.0,11.1,-11,5.0,1.0,0.2,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,4.0,41.0,2.411764705882353,8.7,60.3,3.5470588235294116
75,73,51,2023-03-22,22-322,HOU,@,MEM,L (-5),1,34:18,6.0,14.0,.429,2.0,5.0,.400,0,0.0,,3.0,7.0,10.0,10.0,1.0,0.0,3.0,1.0,14.0,15.4,-4,9.0,4.0,0.4444444444444444,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,18.0,59.0,3.4705882352941178,15.400000000000006,77.9,4.582352941176471
76,74,52,2023-03-24,22-324,HOU,@,MEM,L (-37),1,29:19,7.0,12.0,.583,1.0,2.0,.500,5,7.0,.714,0.0,6.0,6.0,7.0,2.0,0.0,3.0,1.0,20.0,18.9,-22,10.0,6.0,0.6,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,13.0,51.0,3.0,16.900000000000002,68.0,4.0
77,75,53,2023-03-26,22-326,HOU,@,CLE,L (-17),1,36:43,3.0,12.0,.250,0.0,3.0,.000,0,0.0,,1.0,2.0,3.0,4.0,1.0,0.0,2.0,2.0,6.0,1.1,-19,9.0,3.0,0.3333333333333333,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,0.0,40.0,2.3529411764705883,1.1000000000000023,52.2,3.070588235294118
78,76,54,2023-03-27,22-327,HOU,@,NYK,L (-22),1,34:42,8.0,14.0,.571,3.0,7.0,.429,7,8.0,.875,0.0,0.0,0.0,4.0,0.0,1.0,2.0,3.0,26.0,19.3,-20,7.0,5.0,0.7142857142857143,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,7.0,52.0,3.0588235294117645,16.500000000000007,64.39999999999999,3.7882352941176465
79,77,55,2023-03-29,22-329,HOU,@,BRK,L (-9),1,39:37,11.0,22.0,.500,4.0,10.0,.400,5,5.0,1.000,2.0,7.0,9.0,6.0,3.0,0.0,1.0,3.0,31.0,28.5,-14,12.0,7.0,0.5833333333333334,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,21.0,48.0,2.823529411764706,26.5,60.4,3.552941176470588
80,78,56,2023-03-31,22-331,HOU,,DET,W (+6),1,37:51,12.0,20.0,.600,7.0,13.0,.538,2,3.0,.667,2.0,1.0,3.0,1.0,4.0,0.0,3.0,5.0,33.0,24.8,+3,7.0,5.0,0.7142857142857143,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,15.0,44.0,2.588235294117647,24.0,58.99999999999999,3.4705882352941173
81,79,57,2023-04-02,22-333,HOU,,LAL,L (-25),1,36:32,7.0,16.0,.438,6.0,10.0,.600,0,0.0,,0.0,3.0,3.0,2.0,1.0,0.0,2.0,2.0,20.0,12.1,-17,6.0,1.0,0.1666666666666666,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,8.0,53.0,3.117647058823529,12.099999999999998,63.3,3.7235294117647055
82,80,58,2023-04-04,22-335,HOU,,DEN,W (+21),1,33:55,7.0,17.0,.412,5.0,11.0,.455,1,2.0,.500,1.0,2.0,3.0,9.0,2.0,0.0,2.0,3.0,20.0,16.9,+15,6.0,2.0,0.3333333333333333,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,13.0,68.0,4.0,16.5,83.69999999999999,4.923529411764705
83,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,,0.0,0.0,0.0,0.0,0.0
84,81,59,2023-04-07,22-338,HOU,@,CHO,W (+3),1,37:37,7.0,13.0,.538,2.0,5.0,.400,10,12.0,.833,0.0,3.0,3.0,5.0,2.0,0.0,3.0,5.0,26.0,20.3,+6,8.0,5.0,0.625,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,8.0,58.0,3.411764705882353,16.3,63.8,3.7529411764705882
85,82,,2023-04-09,22-340,HOU,@,WAS,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,,60.0,3.5294117647058822,0.0,77.2,4.541176470588235
